energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.61890967,1.34425052,1.49868871,0.00623443,0.02791232,0.01041853,0.65296572,0.39779629,0.24043947
-5.99399700,2.76240490,1.43577176,1.57219651,0.00647318,0.02961141,0.01089485,0.69639636,0.41854381,0.25291665
-5.98799400,2.90833282,1.52590171,1.64908975,0.00670237,0.03135235,0.01137260,0.73910986,0.43895160,0.26524801
-5.98199100,3.05456723,1.61326728,1.72832886,0.00691807,0.03311099,0.01184335,0.78045170,0.45866318,0.27721003
-5.97598799,3.19899252,1.69651422,1.80886396,0.00711661,0.03486382,0.01229906,0.81977808,0.47732908,0.28858633
-5.96998499,3.33956104,1.77434510,1.88966083,0.00729481,0.03658873,0.01273229,0.85647465,0.49461682,0.29917424
-5.96398199,3.47435061,1.84555707,1.96972754,0.00745000,0.03826576,0.01313640,0.88997513,0.51022088,0.30879121
-5.95797899,3.60161966,1.90907783,2.04814058,0.00758022,0.03987782,0.01350576,0.91977879,0.52387196,0.31728068
-5.95197599,3.71985709,1.96399806,2.12406904,0.00768422,0.04141129,0.01383586,0.94546598,0.53534538,0.32451719
-5.94597299,3.82782425,2.00959881,2.19679554,0.00776159,0.04285652,0.01412347,0.96671113,0.54446789,0.33041034
-5.93996998,3.92458676,2.04537245,2.26573242,0.00781272,0.04420811,0.01436666,0.98329232,0.55112291,0.33490759
-5.93396698,4.00953406,2.07103607,2.33043249,0.00783885,0.04546510,0.01456486,0.99509707,0.55525350,0.33799554
-5.92796398,4.08238558,2.08653667,2.39059317,0.00784197,0.04663087,0.01471879,1.00212401,0.55686329,0.33969972
-5.92196098,4.14318280,2.09204774,2.44605398,0.00782479,0.04771284,0.01483039,1.00448025,0.55601505,0.34008273
-5.91595798,4.19226742,2.08795735,2.49678712,0.00779059,0.04872204,0.01490265,1.00237455,0.55282701,0.33924097
-5.90995498,4.23024663,2.07484836,2.54288170,0.00774308,0.04967235,0.01493945,0.99610670,0.54746717,0.33729990
-5.90395198,4.25794721,2.05347158,2.58452249,0.00768624,0.05057970,0.01494529,0.98605345,0.54014580,0.33440821
-5.89794897,4.27636076,2.02471323,2.62196425,0.00762415,0.05146102,0.01492512,0.97265187,0.53110649,0.33073098
-5.89194597,4.28658304,1.98955837,2.65550325,0.00756075,0.05233318,0.01488398,0.95638079,0.52061625,0.32644233
-5.88594297,4.28975057,1.94905187,2.68544759,0.00749974,0.05321187,0.01482685,0.93774129,0.50895507,0.32171779
-5.87993997,4.28697805,1.90425894,2.71208814,0.00744432,0.05411048,0.01475832,0.91723721,0.49640543,0.31672681
-5.87393697,4.27929967,1.85622692,2.73567177,0.00739710,0.05503908,0.01468245,0.89535653,0.48324228,0.31162572
-5.86793397,4.26761770,1.80595009,2.75637862,0.00735995,0.05600354,0.01460254,0.87255448,0.46972392,0.30655154
-5.86193097,4.25266069,1.75433899,2.77430458,0.00733391,0.05700484,0.01452104,0.84923916,0.45608404,0.30161682
-5.85592796,4.23495354,1.70219542,2.78945015,0.00731916,0.05803857,0.01443945,0.82576017,0.44252542,0.29690582
-5.84992496,4.21480065,1.65019389,2.80171627,0.00731502,0.05909476,0.01435832,0.80240069,0.42921532,0.29247218
-5.84392196,4.19228272,1.59887022,2.81090730,0.00731994,0.06015796,0.01427726,0.77937325,0.41628273,0.28833811
-5.83791896,4.16726694,1.54861711,2.81674093,0.00733165,0.06120757,0.01419503,0.75681904,0.40381750,0.28449509
-5.83191596,4.13942952,1.49968653,2.81886424,0.00734720,0.06221855,0.01410961,0.73481077,0.39187120,0.28090607
-5.82591296,4.10828891,1.45219838,2.81687507,0.00736316,0.06316224,0.01401844,0.71335857,0.38045962,0.27750895
-5.81990995,4.07324741,1.40615437,2.81034703,0.00737576,0.06400753,0.01391851,0.69241849,0.36956658,0.27422113
-5.81390695,4.03363847,1.36145614,2.79885689,0.00738109,0.06472204,0.01380657,0.67190297,0.35914885,0.27094486
-5.80790395,3.98877684,1.31792633,2.78201247,0.00737527,0.06527354,0.01367935,0.65169265,0.34914177,0.26757317
-5.80190095,3.93800854,1.27533133,2.75947933,0.00735464,0.06563126,0.01353367,0.63164873,0.33946534,0.26399591
-5.79589795,3.88075788,1.23340444,2.73100486,0.00731592,0.06576729,0.01336669,0.61162530,0.33003035,0.26010576
-5.78989495,3.81656895,1.19186818,2.69643818,0.00725638,0.06565779,0.01317596,0.59148094,0.32074430,0.25580384
-5.78389195,3.74513953,1.15045483,2.65574490,0.00717394,0.06528406,0.01295960,0.57108905,0.31151691,0.25100464
-5.77788894,3.66634585,1.10892431,2.60901591,0.00706728,0.06463343,0.01271633,0.55034650,0.30226490,0.24564013
-5.77188594,3.58025719,1.06707865,2.55646990,0.00693587,0.06369984,0.01244554,0.52918025,0.29291595,0.23966288
-5.76588294,3.48714014,1.02477292,2.49844956,0.00677999,0.06248427,0.01214731,0.50755179,0.28341175,0.23304805
-5.75987994,3.38745270,0.98192220,2.43541190,0.00660073,0.06099475,0.01182237,0.48545935,0.27371010,0.22579430
-5.75387694,3.28182926,0.93850486,2.36791345,0.00639989,0.05924623,0.01147207,0.46293789,0.26378598,0.21792363
-5.74787394,3.17105767,0.89456225,2.29659125,0.00617996,0.05726008,0.01109835,0.44005720,0.25363188,0.20948018
-5.74187094,3.05605026,0.85019535,2.22214102,0.00594393,0.05506353,0.01070362,0.41691828,0.24325719,0.20052821
-5.73586793,2.93781077,0.80555888,2.14529372,0.00569525,0.05268876,0.01029071,0.39364833,0.23268707,0.19114935
