energy_ev,total_up,Bi_p_up,Bi_d_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up
-6.00000000,0.96620690,0.09670647,0.00408334,0.46589434,0.11871773,0.52596576,0.00000000
-5.99399700,0.98897948,0.10013208,0.00414747,0.47856599,0.12115808,0.53878768,0.00000000
-5.98799400,1.01026213,0.10366672,0.00421258,0.49033009,0.12330805,0.55056581,0.00000000
-5.98199100,1.02986019,0.10730610,0.00427784,0.50108048,0.12513946,0.56117585,0.00000000
-5.97598799,1.04769207,0.11106004,0.00434297,0.51076436,0.12663857,0.57055003,0.00000000
-5.96998499,1.06378963,0.11495235,0.00440824,0.51938347,0.12780636,0.57867742,0.00000000
-5.96398199,1.07829270,0.11902003,0.00447444,0.52699235,0.12865805,0.58560122,0.00000000
-5.95797899,1.09143779,0.12331163,0.00454280,0.53369384,0.12922195,0.59141321,0.00000000
-5.95197599,1.10354166,0.12788479,0.00461494,0.53963211,0.12953765,0.59624569,0.00000000
-5.94597299,1.11498037,0.13280319,0.00469273,0.54498334,0.12965370,0.60026124,0.00000000
-5.93996998,1.12616503,0.13813286,0.00477820,0.54994464,0.12962481,0.60364103,0.00000000
-5.93396698,1.13751532,0.14393805,0.00487336,0.55472186,0.12950879,0.60657211,0.00000000
-5.92796398,1.14943226,0.15027685,0.00498009,0.55951670,0.12936337,0.60923465,0.00000000
-5.92196098,1.16227163,0.15719680,0.00510002,0.56451408,0.12924297,0.61178956,0.00000000
-5.91595798,1.17631936,0.16473061,0.00523434,0.56987027,0.12919576,0.61436746,0.00000000
-5.90995498,1.19177028,0.17289224,0.00538373,0.57570247,0.12926100,0.61705934,0.00000000
-5.90395198,1.20871128,0.18167360,0.00554828,0.58208045,0.12946681,0.61990965,0.00000000
-5.89794897,1.22710986,0.19104204,0.00572736,0.58902075,0.12982860,0.62291202,0.00000000
-5.89194597,1.24680853,0.20093870,0.00591963,0.59648353,0.13034807,0.62600791,0.00000000
-5.88594297,1.26752550,0.21127802,0.00612300,0.60437267,0.13101292,0.62908820,0.00000000
-5.87993997,1.28886165,0.22194835,0.00633466,0.61253866,0.13179723,0.63199761,0.00000000
-5.87393697,1.31031338,0.23281374,0.00655115,0.62078451,0.13266251,0.63454169,0.00000000
-5.86793397,1.33129074,0.24371695,0.00676843,0.62887420,0.13355937,0.63649599,0.00000000
-5.86193097,1.35114002,0.25448342,0.00698198,0.63654325,0.13442963,0.63761688,0.00000000
-5.85592796,1.36916971,0.26492635,0.00718696,0.64351095,0.13520890,0.63765340,0.00000000
