energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.69384692,4.35320616,0.05519305,0.24939313,1.06593658,0.91062021,1.26024955,0.71541246,0.09768761,2.29952805
-5.68784392,4.34809643,0.05543801,0.25604475,1.06189170,0.93217467,1.23087742,0.70814875,0.09897702,2.28102414
-5.68184092,4.34151761,0.05550009,0.26255669,1.05743019,0.95451161,1.20086605,0.69970273,0.10011618,2.26122635
-5.67583792,4.33326838,0.05537172,0.26885338,1.05256125,0.97738103,1.17037932,0.69013981,0.10108172,2.24020622
-5.66983492,4.32304210,0.05504822,0.27485800,1.04726944,1.00048687,1.13955568,0.67952516,0.10185129,2.21798434
-5.66383192,4.31044051,0.05452802,0.28049391,1.04151613,1.02349272,1.10850906,0.66792339,0.10240441,2.19453443
-5.65782891,4.29499296,0.05381281,0.28568626,1.03524238,1.04602980,1.07733113,0.65539858,0.10272324,2.16979012
-5.65182591,4.27618007,0.05290758,0.29036372,1.02837298,1.06770687,1.04609478,0.64201449,0.10279340,2.14365392
-5.64582291,4.25346090,0.05182067,0.29446029,1.02082163,1.08812168,1.01485849,0.62783504,0.10260460,2.11600794
-5.63981991,4.22630209,0.05056366,0.29791717,1.01249676,1.10687372,0.98367116,0.61292478,0.10215123,2.08672580
-5.63381691,4.19420775,0.04915118,0.30068453,1.00330791,1.12357757,0.95257710,0.59734962,0.10143277,2.05568504
-5.62781391,4.15674863,0.04760069,0.30272320,0.99317235,1.13787645,0.92162095,0.58117749,0.10045402,2.02277936
-5.62181091,4.11358923,0.04593214,0.30400618,0.98202138,1.14945539,0.89085196,0.56447897,0.09922519,1.98793024
-5.61580790,4.06451161,0.04416754,0.30451982,0.96980633,1.15805340,0.86032763,0.54732797,0.09776164,1.95109726
-5.60980490,4.00943476,0.04233055,0.30426473,0.95650362,1.16347419,0.83011639,0.52980222,0.09608360,1.91228664
-5.60380190,3.94842878,0.04044594,0.30325637,0.94211892,1.16559497,0.80029922,0.51198358,0.09421555,1.87155768
