energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.24551761,-1.24551762,0.00923240,-0.00923240,0.19283512,-0.19283512,0.22857107,-0.22857108,0.00000000,-0.00000000,0.26597514,-0.26597514,0.41035789,-0.41035789,0.51032903,-0.51032903,0.00000000,-0.00000000
-5.99399700,1.26697275,-1.26697275,0.01101946,-0.01101946,0.19707645,-0.19707645,0.23008069,-0.23008069,0.00000000,-0.00000000,0.26514185,-0.26514185,0.42618688,-0.42618688,0.51559694,-0.51559694,0.00000000,-0.00000000
-5.98799400,1.29291077,-1.29291077,0.01317016,-0.01317016,0.20154615,-0.20154615,0.23284875,-0.23284876,0.00000000,-0.00000000,0.26493314,-0.26493314,0.44493448,-0.44493448,0.52294857,-0.52294857,0.00000000,-0.00000000
-5.98199100,1.32410973,-1.32410973,0.01571747,-0.01571747,0.20634219,-0.20634219,0.23702449,-0.23702450,0.00000000,-0.00000000,0.26545668,-0.26545668,0.46696079,-0.46696079,0.53270801,-0.53270801,0.00000000,-0.00000000
-5.97598799,1.36154689,-1.36154689,0.01869464,-0.01869465,0.21159154,-0.21159154,0.24279752,-0.24279752,0.00000000,-0.00000000,0.26687966,-0.26687966,0.49267518,-0.49267519,0.54528763,-0.54528763,0.00000000,-0.00000000
-5.96998499,1.40636918,-1.40636918,0.02213400,-0.02213400,0.21744494,-0.21744494,0.25039427,-0.25039428,0.00000000,-0.00000000,0.26942621,-0.26942621,0.52252022,-0.52252022,0.56117866,-0.56117866,0.00000000,-0.00000000
-5.96398199,1.45985346,-1.45985346,0.02606545,-0.02606545,0.22407018,-0.22407018,0.26007236,-0.26007236,0.00000000,-0.00000000,0.27337252,-0.27337252,0.55695189,-0.55695189,0.58093721,-0.58093721,0.00000000,-0.00000000
-5.95797899,1.52335750,-1.52335750,0.03051496,-0.03051496,0.23164448,-0.23164448,0.27211280,-0.27211281,0.00000000,-0.00000000,0.27904007,-0.27904007,0.59641681,-0.59641681,0.60516610,-0.60516610,0.00000000,-0.00000000
-5.95197599,1.59826325,-1.59826325,0.03550287,-0.03550287,0.24034585,-0.24034585,0.28681046,-0.28681046,0.00000000,-0.00000000,0.28678685,-0.28678685,0.64132709,-0.64132709,0.63449285,-0.63449285,0.00000000,-0.00000000
-5.94597299,1.68591420,-1.68591420,0.04104219,-0.04104219,0.25034414,-0.25034414,0.30446280,-0.30446280,0.00000000,-0.00000000,0.29699679,-0.29699679,0.69203380,-0.69203380,0.66954465,-0.66954465,0.00000000,-0.00000000
