energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,6.82211389,0.04406780,1.10057262,0.99377267,0.60508431,3.22477554,2.69820746,2.44596347,0.00000000
-5.99399700,6.81005981,0.04322990,1.10467831,1.00404254,0.60844727,3.22205322,2.68907856,2.43507175,0.00000000
-5.98799400,6.78463789,0.04232028,1.10526512,1.01260774,0.61122904,3.21016518,2.67456444,2.42106517,0.00000000
-5.98199100,6.74566765,0.04134485,1.10221386,1.01932356,0.61341314,3.18917764,2.65460578,2.40394135,0.00000000
-5.97598799,6.69330276,0.04031171,1.09548108,1.02408931,0.61500472,3.15937675,2.62926724,2.38379460,0.00000000
-5.96998499,6.62803259,0.03923092,1.08510014,1.02685188,0.61603123,3.12126149,2.59873623,2.36081824,0.00000000
-5.96398199,6.55067186,0.03811430,1.07117966,1.02760790,0.61654225,3.07552901,2.56331720,2.33530324,0.00000000
-5.95797899,6.46233932,0.03697517,1.05389965,1.02640426,0.61660845,3.02305294,2.52342219,2.30763333,0.00000000
-5.95197599,6.36442708,0.03582799,1.03350537,1.02333708,0.61631976,2.96485605,2.47955831,2.27827671,0.00000000
-5.94597299,6.25856213,0.03468800,1.01029951,1.01854924,0.61578297,2.90207842,2.43231280,2.24777516,0.00000000
-5.93996998,6.14656210,0.03357084,0.98463286,1.01222661,0.61511873,2.83594272,2.38233665,2.21673069,0.00000000
-5.93396698,6.03038719,0.03249212,0.95689409,1.00459309,0.61445819,2.76771800,2.33032745,2.18579052,0.00000000
-5.92796398,5.91209003,0.03146714,0.92749899,0.99590464,0.61393939,2.69868350,2.27701221,2.15563080,0.00000000
-5.92196098,5.79376521,0.03051046,0.89687960,0.98644251,0.61370342,2.63009381,2.22313084,2.12693951,0.00000000
-5.91595798,5.67749997,0.02963566,0.86547354,0.97650586,0.61389056,2.56314655,2.16942057,2.10039915,0.00000000
-5.90995498,5.56532723,0.02885509,0.83371408,0.96640392,0.61463640,2.49895346,2.11660192,2.07666950,0.00000000
-5.90395198,5.45918178,0.02817962,0.80202094,0.95644798,0.61606808,2.43851568,2.06536617,2.05637088,0.00000000
-5.89794897,5.36086053,0.02761855,0.77079223,0.94694323,0.61830058,2.38270372,2.01636456,2.04006823,0.00000000
-5.89194597,5.27198708,0.02717951,0.74039757,0.93818088,0.62143324,2.33224223,1.97019911,2.02825630,0.00000000
-5.88594297,5.19398117,0.02686837,0.71117245,0.93043060,0.62554657,2.28769980,1.92741509,2.02134637,0.00000000
-5.87993997,5.12803316,0.02668927,0.68341392,0.92393346,0.63069931,2.24948364,1.88849480,2.01965463,0.00000000
-5.87393697,5.07508371,0.02664465,0.65737751,0.91889573,0.63692589,2.21783872,1.85385277,2.02339267,0.00000000
-5.86793397,5.03580906,0.02673528,0.63327528,0.91548356,0.64423446,2.19285140,1.82383207,2.03266044,0.00000000
-5.86193097,5.01061194,0.02696040,0.61127510,0.91381890,0.65260541,2.17445674,1.79870173,2.04744182,0.00000000
-5.85592796,4.99961854,0.02731775,0.59150074,0.91397665,0.66199070,2.16244945,1.77865523,2.06760326,0.00000000
-5.84992496,5.00268163,0.02780378,0.57403303,0.91598331,0.67231395,2.15649772,1.76381006,2.09289578,0.00000000
-5.84392196,5.01939010,0.02841367,0.55891161,0.91981725,0.68347150,2.15615964,1.75420838,2.12296026,0.00000000
-5.83791896,5.04908504,0.02914154,0.54613748,0.92541044,0.69533441,2.16090173,1.74981887,2.15733646,0.00000000
-5.83191596,5.09088208,0.02998054,0.53567597,0.93265194,0.70775153,2.17011898,1.75053984,2.19547537,0.00000000
-5.82591296,5.14369992,0.03092298,0.52746023,0.94139276,0.72055358,2.18315601,1.75620356,2.23675483,0.00000000
-5.81990995,5.20629417,0.03196049,0.52139505,0.95145211,0.73355808,2.19932865,1.76658196,2.28049807,0.00000000
-5.81390695,5.27729587,0.03308407,0.51736087,0.96262473,0.74657517,2.21794557,1.78139345,2.32599435,0.00000000
-5.80790395,5.35525320,0.03428431,0.51521797,0.97468905,0.75941397,2.23832914,1.80031082,2.37252122,0.00000000
-5.80190095,5.43867510,0.03555138,0.51481070,0.98741573,0.77188923,2.25983500,1.82296987,2.41936733,0.00000000
-5.79589795,5.52607487,0.03687523,0.51597160,1.00057627,0.78382808,2.28186970,1.84897863,2.46585474,0.00000000
-5.78989495,5.61601213,0.03824556,0.51852541,1.01395128,0.79507639,2.30390576,1.87792653,2.51135984,0.00000000
-5.78389195,5.70713095,0.03965200,0.52229279,1.02733788,0.80550453,2.32549368,1.90939337,2.55533175,0.00000000
-5.77788894,5.79819263,0.04108406,0.52709371,1.04055608,0.81501209,2.34627041,1.94295739,2.59730721,0.00000000
-5.77188594,5.88810134,0.04253121,0.53275042,1.05345360,0.82353138,2.36596395,1.97820234,2.63692125,0.00000000
-5.76588294,5.97592161,0.04398288,0.53908998,1.06590906,0.83102937,2.38439397,2.01472294,2.67391300,0.00000000
