energy_ev,total_up,Ag_p_up,Ag_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,1.57635071,0.09672331,1.31832056,0.02356509,0.00160950,0.20803081,0.00000000
-5.99399700,1.58969747,0.09609053,1.33458220,0.02321060,0.00160870,0.20523385,0.00000000
-5.98799400,1.60828592,0.09590443,1.35583213,0.02292693,0.00161592,0.20250640,0.00000000
-5.98199100,1.63194261,0.09615899,1.38186673,0.02271426,0.00163059,0.19987799,0.00000000
-5.97598799,1.66045168,0.09685766,1.41243503,0.02257470,0.00165226,0.19738056,0.00000000
-5.96998499,1.69354942,0.09801310,1.44723379,0.02251215,0.00168054,0.19504794,0.00000000
-5.96398199,1.73092124,0.09964657,1.48590478,0.02253215,0.00171518,0.19291537,0.00000000
-5.95797899,1.77220133,0.10178708,1.52803499,0.02264164,0.00175597,0.19101899,0.00000000
-5.95197599,1.81697530,0.10447034,1.57315973,0.02284874,0.00180280,0.18939543,0.00000000
-5.94597299,1.86478572,0.10773727,1.62076879,0.02316236,0.00185564,0.18808139,0.00000000
-5.93996998,1.91514038,0.11163253,1.67031531,0.02359186,0.00191450,0.18711325,0.00000000
-5.93396698,1.96752276,0.11620259,1.72122705,0.02414666,0.00197946,0.18652667,0.00000000
-5.92796398,2.02140412,0.12149372,1.77291944,0.02483575,0.00205064,0.18635612,0.00000000
-5.92196098,2.07625629,0.12754979,1.82480953,0.02566726,0.00212822,0.18663444,0.00000000
-5.91595798,2.13156437,0.13440985,1.87633014,0.02664799,0.00221236,0.18739217,0.00000000
-5.90995498,2.18683832,0.14210564,1.92694319,0.02778293,0.00230327,0.18865680,0.00000000
-5.90395198,2.24162267,0.15065895,1.97615138,0.02907479,0.00240114,0.19045193,0.00000000
-5.89794897,2.29550341,0.16007907,2.02350744,0.03052358,0.00250611,0.19279609,0.00000000
-5.89194597,2.34811169,0.17036019,2.06862039,0.03212623,0.00261826,0.19570157,0.00000000
-5.88594297,2.39912382,0.18147901,2.11115828,0.03387626,0.00273761,0.19917301,0.00000000
-5.87993997,2.44825766,0.19339263,2.15084737,0.03576349,0.00286402,0.20320598,0.00000000
-5.87393697,2.49526559,0.20603675,2.18746783,0.03777393,0.00299721,0.20778550,0.00000000
-5.86793397,2.53992465,0.21932449,2.22084639,0.03988964,0.00313673,0.21288468,0.00000000
-5.86193097,2.58202459,0.23314571,2.25084651,0.04208889,0.00328189,0.21846352,0.00000000
-5.85592796,2.62135505,0.24736718,2.27735697,0.04434623,0.00343177,0.22446804,0.00000000
-5.84992496,2.65769284,0.26183355,2.30027986,0.04663291,0.00358521,0.23082985,0.00000000
-5.84392196,2.69079059,0.27636925,2.31951909,0.04891730,0.00374076,0.23746616,0.00000000
-5.83791896,2.72036808,0.29078131,2.33497029,0.05116545,0.00389676,0.24428045,0.00000000
-5.83191596,2.74610701,0.30486318,2.34651323,0.05334191,0.00405126,0.25116383,0.00000000
-5.82591296,2.76765027,0.31839935,2.35400744,0.05541048,0.00420212,0.25799697,0.00000000
-5.81990995,2.78460595,0.33117080,2.35729152,0.05733518,0.00434703,0.26465284,0.00000000
-5.81390695,2.79655640,0.34296106,2.35618651,0.05908127,0.00448356,0.27099988,0.00000000
-5.80790395,2.80307196,0.35356260,2.35050300,0.06061623,0.00460922,0.27690587,0.00000000
-5.80190095,2.80372882,0.36278347,2.34005192,0.06191084,0.00472155,0.28224196,0.00000000
-5.79589795,2.79813004,0.37045378,2.32465809,0.06294011,0.00481816,0.28688708,0.00000000
-5.78989495,2.78592848,0.37643176,2.30417566,0.06368425,0.00489684,0.29073218,0.00000000
-5.78389195,2.76685030,0.38060923,2.27850456,0.06412939,0.00495564,0.29368445,0.00000000
-5.77788894,2.74071749,0.38291603,2.24760650,0.06426824,0.00499290,0.29567096,0.00000000
-5.77188594,2.70746804,0.38332335,2.21151967,0.06410054,0.00500736,0.29664189,0.00000000
-5.76588294,2.66717232,0.38184574,2.17037083,0.06363333,0.00499818,0.29657289,0.00000000
-5.75987994,2.62004463,0.37854163,2.12438397,0.06288090,0.00496500,0.29546666,0.00000000
-5.75387694,2.56644903,0.37351236,2.07388488,0.06186467,0.00490791,0.29335353,0.00000000
-5.74787394,2.50689903,0.36689977,2.01930107,0.06061275,0.00482753,0.29029109,0.00000000
-5.74187094,2.44205089,0.35888237,1.96115709,0.05915930,0.00472494,0.28636288,0.00000000
-5.73586793,2.37269091,0.34967030,1.90006518,0.05754373,0.00460165,0.28167610,0.00000000
-5.72986493,2.29971717,0.33949930,1.83671188,0.05580973,0.00445958,0.27635861,0.00000000
-5.72386193,2.22411662,0.32862390,1.77184111,0.05400421,0.00430100,0.27055518,0.00000000
-5.71785893,2.14693863,0.31731011,1.70623453,0.05217607,0.00412843,0.26442330,0.00000000
-5.71185593,2.06926612,0.30582796,1.64069032,0.05037498,0.00394462,0.25812864,0.00000000
-5.70585293,1.99218567,0.29444414,1.57600109,0.04865014,0.00375241,0.25184034,0.00000000
-5.69984992,1.91675782,0.28341494,1.51293214,0.04704906,0.00355469,0.24572641,0.00000000
-5.69384692,1.84398876,0.27297985,1.45220086,0.04561637,0.00335432,0.23994921,0.00000000
