energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,3.61668533,0.19375180,0.13957170,1.15602238,0.80452033,0.60280201,0.79402024,1.28258363,0.00000000
-5.99399700,3.60471409,0.19759559,0.13966581,1.16774901,0.80188079,0.59671481,0.78393247,1.27706137,0.00000000
-5.98799400,3.58121007,0.20019274,0.13912579,1.17337865,0.79665560,0.58828804,0.77212867,1.26765866,0.00000000
-5.98199100,3.54604277,0.20149528,0.13795390,1.17274004,0.78888119,0.57752325,0.75856027,1.25428574,0.00000000
-5.97598799,3.49933142,0.20148423,0.13616548,1.16579731,0.77864224,0.56446504,0.74322274,1.23694186,0.00000000
-5.96998499,3.44144374,0.20016978,0.13378861,1.15265018,0.76606979,0.54920184,0.72615693,1.21571599,0.00000000
-5.96398199,3.37298442,0.19759033,0.13086324,1.13352948,0.75133733,0.53186517,0.70744848,1.19078383,0.00000000
-5.95797899,3.29477342,0.19381070,0.12743989,1.10878805,0.73465504,0.51262731,0.68722502,1.16240128,0.00000000
-5.95197599,3.20781544,0.18891938,0.12357794,1.07888751,0.71626242,0.49169733,0.66565158,1.13089458,0.00000000
-5.94597299,3.11326215,0.18302505,0.11934364,1.04438148,0.69641979,0.46931580,0.64292433,1.09664772,0.00000000
-5.93996998,3.01236933,0.17625258,0.11480792,1.00589616,0.67539901,0.44574824,0.61926302,1.06008788,0.00000000
-5.93396698,2.90645159,0.16873853,0.11004413,0.96410921,0.65347407,0.42127770,0.59490280,1.02166962,0.00000000
-5.92796398,2.79683714,0.16062665,0.10512586,0.91972784,0.63091206,0.39619683,0.57008570,0.98185888,0.00000000
-5.92196098,2.68482526,0.15206325,0.10012490,0.87346746,0.60796503,0.37079983,0.54505254,0.94111759,0.00000000
-5.91595798,2.57164883,0.14319291,0.09510950,0.82603143,0.58486321,0.34537461,0.52003555,0.89988981,0.00000000
-5.90995498,2.45844390,0.13415454,0.09014294,0.77809326,0.56180993,0.32019556,0.49525234,0.85859007,0.00000000
-5.90395198,2.34622759,0.12507803,0.08528255,0.73028155,0.53897852,0.29551723,0.47090132,0.81759453,0.00000000
-5.89794897,2.23588521,0.11608154,0.08057912,0.68316836,0.51651124,0.27156919,0.44715897,0.77723517,0.00000000
-5.89194597,2.12816682,0.10726953,0.07607680,0.63726133,0.49452022,0.24855214,0.42417899,0.73779735,0.00000000
-5.88594297,2.02369262,0.09873147,0.07181329,0.59299944,0.47309024,0.22663552,0.40209322,0.69952045,0.00000000
-5.87993997,1.92296625,0.09054139,0.06782052,0.55075235,0.45228301,0.20595640,0.38101420,0.66260135,0.00000000
-5.87393697,1.82639451,0.08275802,0.06412553,0.51082300,0.43214264,0.18661984,0.36103914,0.62720040,0.00000000
-5.86793397,1.73431157,0.07542555,0.06075152,0.47345288,0.41270180,0.16870029,0.34225490,0.59344915,0.00000000
-5.86193097,1.64700573,0.06857491,0.05771912,0.43882951,0.39398805,0.15224412,0.32474366,0.56145924,0.00000000
-5.85592796,1.56474669,0.06222542,0.05504758,0.40709529,0.37602998,0.13727275,0.30858869,0.53133175,0.00000000
-5.84992496,1.48781126,0.05638665,0.05275594,0.37835723,0.35886268,0.12378648,0.29388009,0.50316633,0.00000000
-5.84392196,1.41650586,0.05106051,0.05086402,0.35269683,0.34253210,0.11176842,0.28071982,0.47706945,0.00000000
-5.83791896,1.35118438,0.04624325,0.04939333,0.33017954,0.32709822,0.10118861,0.26922589,0.45316139,0.00000000
-5.83191596,1.29226043,0.04192753,0.04836759,0.31086340,0.31263666,0.09200782,0.25953547,0.43158135,0.00000000
-5.82591296,1.24021329,0.03810415,0.04781313,0.29480633,0.29923884,0.08418114,0.25180652,0.41249065,0.00000000
-5.81990995,1.19558763,0.03476376,0.04775895,0.28207208,0.28701058,0.07766101,0.24621810,0.39607379,0.00000000
-5.81390695,1.15898704,0.03189816,0.04823655,0.27273446,0.27606949,0.07239977,0.24296916,0.38253740,0.00000000
