energy_ev,total_up,Ga_p_up,Ga_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,0.52286496,0.05551275,0.00000000,0.15175038,0.11262522,0.11110841,0.00000000
-5.99399700,0.54671158,0.05932135,0.00000000,0.16073618,0.11812314,0.11336721,0.00000000
-5.98799400,0.57235457,0.06318468,0.00000000,0.17109885,0.12345390,0.11756995,0.00000000
-5.98199100,0.59952873,0.06708925,0.00000000,0.18279299,0.12854423,0.12368207,0.00000000
-5.97598799,0.62801654,0.07102572,0.00000000,0.19578481,0.13333369,0.13167676,0.00000000
-5.96998499,0.65765142,0.07498885,0.00000000,0.21004983,0.13777626,0.14153400,0.00000000
-5.96398199,0.68831807,0.07897718,0.00000000,0.22556966,0.14184148,0.15323862,0.00000000
-5.95797899,0.71994962,0.08299245,0.00000000,0.24232787,0.14551490,0.16677753,0.00000000
-5.95197599,0.75252187,0.08703873,0.00000000,0.26030523,0.14879793,0.18213618,0.00000000
-5.94597299,0.78604489,0.09112126,0.00000000,0.27947444,0.15170702,0.19929468,0.00000000
-5.93996998,0.82055245,0.09524520,0.00000000,0.29979481,0.15427228,0.21822358,0.00000000
-5.93396698,0.85608989,0.09941423,0.00000000,0.32120698,0.15653545,0.23887972,0.00000000
-5.92796398,0.89270104,0.10362911,0.00000000,0.34362816,0.15854756,0.26120228,0.00000000
-5.92196098,0.93041513,0.10788639,0.00000000,0.36694815,0.16036611,0.28510944,0.00000000
-5.91595798,0.96923420,0.11217714,0.00000000,0.39102641,0.16205217,0.31049560,0.00000000
-5.90995498,1.00912192,0.11648610,0.00000000,0.41569054,0.16366732,0.33722952,0.00000000
-5.90395198,1.04999433,0.12079105,0.00000000,0.44073621,0.16527075,0.36515346,0.00000000
-5.89794897,1.09171308,0.12506256,0.00000000,0.46592869,0.16691648,0.39408326,0.00000000
-5.89194597,1.13408146,0.12926416,0.00000000,0.49100614,0.16865094,0.42380947,0.00000000
-5.88594297,1.17684330,0.13335297,0.00000000,0.51568426,0.17051096,0.45409938,0.00000000
-5.87993997,1.21968489,0.13728064,0.00000000,0.53966246,0.17252213,0.48469990,0.00000000
-5.87393697,1.26223950,0.14099467,0.00000000,0.56263106,0.17469781,0.51534108,0.00000000
-5.86793397,1.30409432,0.14444004,0.00000000,0.58427923,0.17703846,0.54574007,0.00000000
-5.86193097,1.34479927,0.14756097,0.00000000,0.60430333,0.17953158,0.57560538,0.00000000
-5.85592796,1.38387710,0.15030280,0.00000000,0.62241523,0.18215204,0.60464118,0.00000000
-5.84992496,1.42083436,0.15261388,0.00000000,0.63835019,0.18486286,0.63255157,0.00000000
-5.84392196,1.45517254,0.15444728,0.00000000,0.65187387,0.18761625,0.65904460,0.00000000
-5.83791896,1.48639900,0.15576242,0.00000000,0.66278831,0.19035502,0.68383600,0.00000000
-5.83191596,1.51403729,0.15652631,0.00000000,0.67093646,0.19301416,0.70665253,0.00000000
-5.82591296,1.53763661,0.15671452,0.00000000,0.67620530,0.19552263,0.72723514,0.00000000
-5.81990995,1.55678020,0.15631182,0.00000000,0.67852729,0.19780523,0.74534174,0.00000000
-5.81390695,1.57109268,0.15531243,0.00000000,0.67788035,0.19978462,0.76074983,0.00000000
-5.80790395,1.58024641,0.15371989,0.00000000,0.67428648,0.20138331,0.77325914,0.00000000
-5.80190095,1.58396690,0.15154675,0.00000000,0.66780908,0.20252576,0.78269413,0.00000000
-5.79589795,1.58203748,0.14881381,0.00000000,0.65854938,0.20314039,0.78890667,0.00000000
-5.78989495,1.57430340,0.14554935,0.00000000,0.64664221,0.20316158,0.79177883,0.00000000
-5.78389195,1.56067537,0.14178809,0.00000000,0.63225129,0.20253161,0.79122575,0.00000000
-5.77788894,1.54113263,0.13757011,0.00000000,0.61556440,0.20120241,0.78719852,0.00000000
-5.77188594,1.51572554,0.13293982,0.00000000,0.59678872,0.19913720,0.77968696,0.00000000
-5.76588294,1.48457749,0.12794485,0.00000000,0.57614627,0.19631190,0.76872220,0.00000000
-5.75987994,1.44788607,0.12263512,0.00000000,0.55386989,0.19271616,0.75437866,0.00000000
-5.75387694,1.40592315,0.11706188,0.00000000,0.53019955,0.18835422,0.73677544,0.00000000
-5.74787394,1.35903362,0.11127695,0.00000000,0.50537924,0.18324523,0.71607673,0.00000000
-5.74187094,1.30763269,0.10533205,0.00000000,0.47965418,0.17742321,0.69249111,0.00000000
-5.73586793,1.25220133,0.09927814,0.00000000,0.45326849,0.17093663,0.66626960,0.00000000
-5.72986493,1.19327993,0.09316495,0.00000000,0.42646313,0.16384745,0.63770241,0.00000000
-5.72386193,1.13146003,0.08704050,0.00000000,0.39947400,0.15622974,0.60711425,0.00000000
