energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-5.79589795,2.01992892,0.00099244,0.67972090,0.26580761,0.19219117,0.00783654,0.51143804,0.94343348,0.58872041
-5.78989495,2.01150739,0.00103855,0.68373038,0.26204754,0.18699034,0.00836361,0.50276202,0.95879255,0.58096621
-5.78389195,2.00984657,0.00108418,0.68898670,0.25933536,0.18331011,0.00890681,0.49704827,0.97494571,0.57498601
-5.77788894,2.01529757,0.00112912,0.69574652,0.25760023,0.18116870,0.00945904,0.49423685,0.99191846,0.57105299
-5.77188594,2.02808716,0.00117334,0.70423781,0.25675856,0.18055757,0.01001316,0.49422120,1.00974666,0.56939492
-5.76588294,2.04832225,0.00121697,0.71465731,0.25671789,0.18144359,0.01056212,0.49685346,1.02848103,0.57019156
-5.75987994,2.07599712,0.00126038,0.72716906,0.25738062,0.18377163,0.01109898,0.50195012,1.04819040,0.57357366
-5.75387694,2.11100287,0.00130413,0.74190392,0.25864760,0.18746748,0.01161708,0.50929816,1.06896326,0.57962360
-5.74787394,2.15313832,0.00134897,0.75895972,0.26042121,0.19244095,0.01211002,0.51866125,1.09090735,0.58837727
-5.74187094,2.20212164,0.00139587,0.77840199,0.26260808,0.19858901,0.01257185,0.52978597,1.11414734,0.59982706
-5.73586793,2.25760197,0.00144596,0.80026499,0.26512119,0.20579895,0.01299706,0.54240780,1.13882050,0.61392551
-5.72986493,2.31917053,0.00150050,0.82455265,0.26788148,0.21395138,0.01338069,0.55625689,1.16507047,0.63058947
-5.72386193,2.38637047,0.00156084,0.85123947,0.27081881,0.22292299,0.01371838,0.57106327,1.19303958,0.64970431
-5.71785893,2.45870522,0.00162835,0.88027109,0.27387241,0.23258895,0.01400645,0.58656164,1.22285978,0.67112802
-5.71185593,2.53564494,0.00170437,0.91156447,0.27699077,0.24282502,0.01424194,0.60249544,1.25464282,0.69469495
-5.70585293,2.61663089,0.00179012,0.94500758,0.28013111,0.25350909,0.01442264,0.61862030,1.28847013,0.72021891
-5.69984992,2.70107784,0.00188665,0.98045869,0.28325844,0.26452238,0.01454716,0.63470678,1.32438274,0.74749572
-5.69384692,2.78837458,0.00199477,1.01774531,0.28634435,0.27575013,0.01461492,0.65054232,1.36237207,0.77630493
-5.68784392,2.87788297,0.00211493,1.05666292,0.28936559,0.28708185,0.01462620,0.66593260,1.40237173,0.80641094
-5.68184092,2.96893600,0.00224723,1.09697365,0.29230266,0.29841133,0.01458214,0.68070224,1.44425125,0.83756349
-5.67583792,3.06083558,0.00239132,1.13840529,0.29513839,0.30963634,0.01448473,0.69469503,1.48781172,0.86949776
-5.66983492,3.15285077,0.00254638,1.18065067,0.29785671,0.32065821,0.01433683,0.70777382,1.53278418,0.90193432
-5.66383192,3.24421739,0.00271111,1.22336807,0.30044176,0.33138149,0.01414214,0.71982026,1.57883065,0.93457910
-5.65782891,3.33413985,0.00288372,1.26618256,0.30287734,0.34171380,0.01390520,0.73073462,1.62554833,0.96712383
-5.65182591,3.42179606,0.00306194,1.30868895,0.30514689,0.35156595,0.01363134,0.74043579,1.67247684,0.99924716
-5.64582291,3.50634618,0.00324310,1.35045623,0.30723402,0.36085266,0.01332670,0.74886186,1.71910859,1.03061669
-5.63981991,3.58694558,0.00342416,1.39103392,0.30912359,0.36949371,0.01299816,0.75597119,1.76490202,1.06089223
-5.63381691,3.66276253,0.00360181,1.42996026,0.31080344,0.37741584,0.01265337,0.76174435,1.80929748,1.08973049
-5.62781391,3.73300029,0.00377254,1.46677215,0.31226663,0.38455530,0.01230067,0.76618676,1.85173512,1.11679103
-5.62181091,3.79692327,0.00393281,1.50101673,0.31351413,0.39086089,0.01194910,0.76933208,1.89167437,1.14174366
-5.61580790,3.85388635,0.00407913,1.53226418,0.31455791,0.39629763,0.01160838,0.77124623,1.92861392,1.16427702
-5.60980490,3.90336615,0.00420816,1.56012121,0.31542409,0.40085064,0.01128889,0.77203178,1.96211174,1.18410794
-5.60380190,3.94499253,0.00431690,1.58424475,0.31615620,0.40452910,0.01100163,0.77183241,1.99180371,1.20099130
-5.59779890,3.97857855,0.00440272,1.60435503,0.31681797,0.40737008,0.01075819,0.77083700,2.01742024,1.21472980
-5.59179590,4.00414663,0.00446355,1.62024730,0.31749583,0.40944179,0.01057070,0.76928295,2.03879962,1.22518301
-5.58579290,4.02194895,0.00449786,1.63180146,0.31830042,0.41084600,0.01045176,0.76745820,2.05589741,1.23227524
-5.57978989,4.03247997,0.00450481,1.63898888,0.31936731,0.41171942,0.01041436,0.76570151,2.06879088,1.23600136
-5.57378689,4.03647928,0.00448423,1.64187570,0.32085629,0.41223357,0.01047174,0.76440055,2.07767816,1.23643027
-5.56778389,4.03492337,0.00443666,1.64062232,0.32294950,0.41259311,0.01063724,0.76398742,2.08287160,1.23370552
-5.56178089,4.02900562,0.00436328,1.63547861,0.32584797,0.41303239,0.01092405,0.76493141,2.08478548,1.22804262
-5.55577789,4.02010405,0.00426593,1.62677508,0.32976673,0.41381018,0.01134500,0.76772879,2.08391823,1.21972311
-5.54977489,4.00973766,0.00414699,1.61490992,0.33492842,0.41520267,0.01191223,0.77288979,2.08082999,1.20908544
-5.54377189,3.99951229,0.00400934,1.60033275,0.34155572,0.41749485,0.01263681,0.78092296,2.07611628,1.19651280
-5.53776888,3.99105815,0.00385617,1.58352553,0.34986264,0.42097047,0.01352838,0.79231733,2.07037910,1.18241856
-5.53176588,3.98596152,0.00369097,1.56498171,0.36004509,0.42590113,0.01459469,0.80752293,2.06419688,1.16722981
-5.52576288,3.98569375,0.00351732,1.54518465,0.37227110,0.43253466,0.01584113,0.82693048,2.05809486,1.15137000
-5.51975988,3.99154090,0.00333880,1.52458647,0.38667111,0.44108349,0.01727028,0.85085100,2.05251744,1.13524131
-5.51375688,4.00453776,0.00315889,1.50358852,0.40332884,0.45171349,0.01888143,0.87949648,2.04780414,1.11920790
-5.50775388,4.02540964,0.00298081,1.48252453,0.42227314,0.46453376,0.02067016,0.91296244,2.04417057,1.10358088
-5.50175088,4.05452545,0.00280750,1.46164741,0.44347143,0.47958803,0.02262802,0.95121345,2.04169541,1.08860574
-5.49574787,4.09186457,0.00264147,1.44112054,0.46682506,0.49684807,0.02474216,0.99407253,2.04031450,1.07445305
-5.48974487,4.13700007,0.00248477,1.42101381,0.49216704,0.51620957,0.02699524,1.04121519,2.03982224,1.06121296
-5.48374187,4.18909939,0.00233898,1.40130495,0.51926233,0.53749082,0.02936535,1.09216887,2.03988048,1.04889360
-5.47773887,4.24694325,0.00220516,1.38188571,0.54781097,0.56043436,0.03182615,1.14631802,2.04003445,1.03742380
-5.47173587,4.30896219,0.00208389,1.36257274,0.57745397,0.58471182,0.03434713,1.20291505,2.03973503,1.02665956
-5.46573287,4.37328956,0.00197525,1.34312236,0.60778195,0.60993161,0.03689406,1.26109714,2.03836610,1.01639425
-5.45972986,4.43782865,0.00187891,1.32324842,0.63834624,0.63564957,0.03942964,1.31990822,2.03527561,1.00637171
-5.45372686,4.50033104,0.00179417,1.30264211,0.66867204,0.66138196,0.04191430,1.37832572,2.02980870,0.99630159
-5.44772386,4.55848259,0.00172000,1.28099263,0.69827316,0.68662039,0.04430710,1.43529085,2.02134115,0.98587605
-5.44172086,4.60999300,0.00165517,1.25800752,0.72666763,0.71084815,0.04656682,1.48974135,2.00931133,0.97478692
-5.43571786,4.65268478,0.00159827,1.23343153,0.75339361,0.73355712,0.04865310,1.54064524,1.99324904,0.96274236
-5.42971486,4.68457737,0.00154782,1.20706299,0.77802474,0.75426461,0.05052758,1.58703420,1.97279980,0.94948216
-5.42371186,4.70396250,0.00150233,1.17876688,0.80018431,0.77252936,0.05215510,1.62803486,1.94774326,0.93479093
-5.41770885,4.70946722,0.00146037,1.14848405,0.81955739,0.78796590,0.05350479,1.66289676,1.91800501,0.91850852
-5.41170585,4.70010184,0.00142064,1.11623600,0.83590055,0.80025677,0.05455109,1.69101551,1.88366120,0.90053716
-5.40570285,4.67529064,0.00138199,1.08212544,0.84904844,0.80916186,0.05527457,1.71195010,1.84493594,0.88084528
-5.39969985,4.63488430,0.00134346,1.04633242,0.85891710,0.81452460,0.05566259,1.72543362,1.80219168,0.85946767
-5.39369685,4.57915383,0.00130433,1.00910672,0.86550372,0.81627469,0.05570972,1.73137681,1.75591341,0.83650230
-5.38769385,4.50876686,0.00126411,0.97075689,0.86888307,0.81442732,0.05541790,1.72986447,1.70668744,0.81210417
-5.38169085,4.42474787,0.00122256,0.93163668,0.86920056,0.80907897,0.05479639,1.72114497,1.65517613,0.78647650
-5.37568784,4.32842505,0.00117963,0.89212982,0.86666271,0.80040019,0.05386138,1.70561359,1.60209000,0.75986005
-5.36968484,4.22136670,0.00113551,0.85263390,0.86152524,0.78862563,0.05263543,1.68379065,1.54815852,0.73252108
-5.36368184,4.10531094,0.00109055,0.81354427,0.85407970,0.77404212,0.05114670,1.65629565,1.49410135,0.70473883
-5.35767884,3.98209236,0.00104525,0.77523890,0.84463935,0.75697536,0.04942794,1.62381903,1.44060117,0.67679312
-5.35167584,3.85356954,0.00100022,0.73806465,0.83352498,0.73777594,0.04751542,1.58709287,1.38827952,0.64895277
-5.34567284,3.72155686,0.00095616,0.70232589,0.82105154,0.71680551,0.04544774,1.54686235,1.33767668,0.62146541
-5.33966983,3.58776384,0.00091376,0.66827564,0.80751616,0.69442375,0.04326464,1.50385907,1.28923623,0.59454913
-5.33366683,3.45374466,0.00087376,0.63610952,0.79318820,0.67097674,0.04100578,1.45877780,1.24329493,0.56838630
-5.32766383,3.32085938,0.00083682,0.60596279,0.77830171,0.64678726,0.03870968,1.41225748,1.20007791,0.54311975
-5.32166083,3.19024837,0.00080356,0.57791013,0.76305063,0.62214737,0.03641267,1.36486716,1.15969925,0.51885132
-5.31565783,3.06281987,0.00077448,0.55196818,0.74758661,0.59731348,0.03414808,1.31709729,1.12216732,0.49564269
-5.30965483,2.93925040,0.00075000,0.52810029,0.73201968,0.57250391,0.03194552,1.26935641,1.08739445,0.47351828
-5.30365183,2.81999674,0.00073037,0.50622320,0.71642119,0.54789891,0.02983040,1.22197276,1.05521000,0.45246982
-5.29764882,2.70531784,0.00071574,0.48621514,0.70082891,0.52364275,0.02782364,1.17520042,1.02537604,0.43246229
-5.29164582,2.59530452,0.00070610,0.46792469,0.68525368,0.49984774,0.02594153,1.12922910,0.99760451,0.41344072
-5.28564282,2.48991449,0.00070130,0.45118014,0.66968717,0.47659953,0.02419580,1.08419656,0.97157511,0.39533739
-5.27963982,2.38901043,0.00070107,0.43579867,0.65411007,0.45396339,0.02259384,1.04020269,0.94695286,0.37807907
-5.27363682,2.29239851,0.00070502,0.42159510,0.63850042,0.43199083,0.02113904,0.99732423,0.92340461,0.36159376
-5.26763382,2.19986537,0.00071267,0.40838971,0.62284136,0.41072628,0.01983126,0.95562908,0.90061386,0.34581682
-5.26163082,2.11121163,0.00072345,0.39601508,0.60712801,0.39021324,0.01866738,0.91518935,0.87829349,0.33069586
-5.25562781,2.02628049,0.00073675,0.38432163,0.59137317,0.37049967,0.01764186,0.87609247,0.85619585,0.31619471
-5.24962481,1.94498034,0.00075192,0.37318183,0.57561158,0.35164239,0.01674738,0.83844979,0.83412036,0.30229581
-5.24362181,1.86730084,0.00076833,0.36249307,0.55990261,0.33371016,0.01597545,0.80240240,0.81191842,0.28900151
-5.23761881,1.79332223,0.00078536,0.35217929,0.54433139,0.31678557,0.01531695,0.76812391,0.78949584,0.27633396
-5.23161581,1.72321811,0.00080248,0.34219131,0.52900840,0.30096560,0.01476276,0.73582038,0.76681297,0.26433391
-5.22561281,1.65725206,0.00081921,0.33250623,0.51406760,0.28636097,0.01430415,0.70572748,0.74388287,0.25305845
-5.21960980,1.59576887,0.00083521,0.32312581,0.49966335,0.27309437,0.01393325,0.67810520,0.72076780,0.24257802
-5.21360680,1.53918128,0.00085027,0.31407419,0.48596627,0.26129786,0.01364331,0.65323058,0.69757441,0.23297271
-5.20760380,1.48795307,0.00086432,0.30539494,0.47315820,0.25110944,0.01342901,0.63138879,0.67444789,0.22432826
-5.20160080,1.44257959,0.00087744,0.29714779,0.46142670,0.24266915,0.01328654,0.61286326,0.65156552,0.21673174
-5.19559780,1.40356670,0.00088990,0.28940493,0.45095905,0.23611481,0.01321367,0.59792504,0.62912977,0.21026737
-5.18959480,1.37140897,0.00090213,0.28224729,0.44193618,0.23157762,0.01320974,0.58682223,0.60736115,0.20501242
-5.18359180,1.34656821,0.00091471,0.27576068,0.43452672,0.22917782,0.01327548,0.57976963,0.58649122,0.20103343
-5.17758879,1.32945286,0.00092837,0.27003207,0.42888130,0.22902045,0.01341286,0.57693921,0.56675572,0.19838299
-5.17158579,1.32039926,0.00094396,0.26514602,0.42512741,0.23119149,0.01362483,0.57845168,0.54838799,0.19709695
-5.16558279,1.31965519,0.00096240,0.26118140,0.42336490,0.23575438,0.01391496,0.58436952,0.53161295,0.19719242
-5.15957979,1.32736631,0.00098471,0.25820845,0.42366236,0.24274702,0.01428715,0.59469169,0.51664154,0.19866639
-5.15357679,1.34356594,0.00101189,0.25628631,0.42605447,0.25217942,0.01474518,0.60935027,0.50366586,0.20149509
-5.14757379,1.36816851,0.00104493,0.25546099,0.43054044,0.26403191,0.01529238,0.62820911,0.49285496,0.20563425
-5.14157079,1.40096681,0.00108475,0.25576393,0.43708355,0.27825409,0.01593125,0.65106462,0.48435140,0.21101988
-5.13556778,1.44163322,0.00113213,0.25721114,0.44561193,0.29476449,0.01666304,0.67764861,0.47826864,0.21757000
-5.12956478,1.48972471,0.00118771,0.25980285,0.45602040,0.31345098,0.01748752,0.70763316,0.47468914,0.22518680
-5.12356178,1.54469151,0.00125191,0.26352376,0.46817335,0.33417190,0.01840264,0.74063731,0.47366319,0.23375944
