energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-2.33216608,0.33762766,0.00253164,0.05130961,0.04767932,0.24388848,0.00000000,0.05869576,0.09533554
-2.32616308,0.32715039,0.00229909,0.05190470,0.04953917,0.23411752,0.00000000,0.05958756,0.09366576
-2.32016008,0.31889281,0.00207337,0.05297756,0.05192931,0.22581028,0.00000000,0.06108331,0.09270540
-2.31415708,0.31314908,0.00185685,0.05456639,0.05488187,0.21918653,0.00000000,0.06323625,0.09253405
-2.30815408,0.31014320,0.00165152,0.05669639,0.05841578,0.21441779,0.00000000,0.06608833,0.09321016
-2.30215108,0.31002412,0.00145901,0.05937861,0.06253545,0.21162434,0.00000000,0.06966915,0.09476937
-2.29614807,0.31286332,0.00128054,0.06260912,0.06722979,0.21087384,0.00000000,0.07399542,0.09722358
-2.29014507,0.31865492,0.00111702,0.06636864,0.07247170,0.21218182,0.00000000,0.07907094,0.10056075
-2.28414207,0.32731819,0.00096903,0.07062262,0.07821807,0.21551382,0.00000000,0.08488718,0.10474547
-2.27813907,0.33870262,0.00083690,0.07532191,0.08441037,0.22078910,0.00000000,0.09142441,0.10972027
-2.27213607,0.35259511,0.00072077,0.08040380,0.09097579,0.22788581,0.00000000,0.09865335,0.11540766
-2.26613307,0.36872935,0.00062065,0.08579371,0.09782899,0.23664750,0.00000000,0.10653741,0.12171285
-2.26013007,0.38679684,0.00053653,0.09140720,0.10487441,0.24689055,0.00000000,0.11503531,0.12852708
-2.25412706,0.40645944,0.00046843,0.09715250,0.11200914,0.25841256,0.00000000,0.12410405,0.13573149
-2.24812406,0.42736287,0.00041652,0.10293332,0.11912615,0.27100111,0.00000000,0.13370218,0.14320131
-2.24212106,0.44915085,0.00038119,0.10865198,0.12611803,0.28444281,0.00000000,0.14379311,0.15081034
-2.23611806,0.47147922,0.00036314,0.11421257,0.13288075,0.29853222,0.00000000,0.15434845,0.15843552
-2.23011506,0.49402970,0.00036348,0.11952423,0.13931773,0.31308031,0.00000000,0.16535102,0.16596138
-2.22411206,0.51652261,0.00038382,0.12450429,0.14534364,0.32792214,0.00000000,0.17679764,0.17328426
-2.21810905,0.53872821,0.00042636,0.12908110,0.15088810,0.34292349,0.00000000,0.18870126,0.18031606
-2.21210605,0.56047596,0.00049395,0.13319657,0.15589889,0.35798616,0.00000000,0.20109253,0.18698740
-2.20610305,0.58166162,0.00059017,0.13680818,0.16034472,0.37305167,0.00000000,0.21402055,0.19325008
-2.20010005,0.60225161,0.00071940,0.13989041,0.16421719,0.38810331,0.00000000,0.22755270,0.19907864
-2.19409705,0.62228454,0.00088686,0.14243549,0.16753203,0.40316638,0.00000000,0.24177371,0.20447103
