energy_ev,total_up,S_s_up,S_p_up,Si_p_up,Si_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.12469224,0.01064378,0.17748244,0.03485302,0.00000000,0.12339474,0.29763071
-5.99399700,1.17190098,0.01121812,0.18661408,0.03691122,0.00000000,0.13053836,0.30753587
-5.98799400,1.22499480,0.01184824,0.19613046,0.03925058,0.00000000,0.13823387,0.31901317
-5.98199100,1.28369421,0.01253139,0.20605383,0.04184460,0.00000000,0.14645229,0.33199594
-5.97598799,1.34772208,0.01326412,0.21640877,0.04466546,0.00000000,0.15516552,0.34642075
-5.96998499,1.41680568,0.01404225,0.22722124,0.04768448,0.00000000,0.16434633,0.36222792
-5.96398199,1.49067599,0.01486079,0.23851712,0.05087264,0.00000000,0.17396816,0.37936103
-5.95797899,1.56906457,0.01571393,0.25032049,0.05420100,0.00000000,0.18400462,0.39776577
-5.95197599,1.65169823,0.01659503,0.26265148,0.05764113,0.00000000,0.19442875,0.41738784
-5.94597299,1.73829188,0.01749667,0.27552390,0.06116549,0.00000000,0.20521205,0.43817037
-5.93996998,1.82854008,0.01841069,0.28894270,0.06474779,0.00000000,0.21632341,0.46005074
-5.93396698,1.92210789,0.01932841,0.30290151,0.06836327,0.00000000,0.22772802,0.48295725
-5.92796398,2.01862180,0.02024075,0.31738016,0.07198893,0.00000000,0.23938621,0.50680563
-5.92196098,2.11766128,0.02113847,0.33234264,0.07560369,0.00000000,0.25125252,0.53149581
-5.91595798,2.21875172,0.02201252,0.34773544,0.07918852,0.00000000,0.26327491,0.55690910
-5.90995498,2.32135937,0.02285431,0.36348651,0.08272641,0.00000000,0.27539425,0.58290602
-5.90395198,2.42488879,0.02365612,0.37950488,0.08620235,0.00000000,0.28754419,0.60932494
-5.89794897,2.52868317,0.02441144,0.39568120,0.08960318,0.00000000,0.29965139,0.63598176
-5.89194597,2.63202782,0.02511537,0.41188895,0.09291741,0.00000000,0.31163616,0.66267057
-5.88594297,2.73415682,0.02576499,0.42798670,0.09613489,0.00000000,0.32341353,0.68916558
-5.87993997,2.83426283,0.02635969,0.44382096,0.09924657,0.00000000,0.33489471,0.71522401
-5.87393697,2.93150961,0.02690142,0.45922988,0.10224405,0.00000000,0.34598888,0.74059012
-5.86793397,3.02504699,0.02739491,0.47404743,0.10511926,0.00000000,0.35660527,0.76500004
-5.86193097,3.11402769,0.02784778,0.48810803,0.10786405,0.00000000,0.36665541,0.78818741
-5.85592796,3.19762522,0.02827057,0.50125129,0.11046977,0.00000000,0.37605547,0.80988940
-5.84992496,3.27505229,0.02867660,0.51332685,0.11292701,0.00000000,0.38472864,0.82985305
-5.84392196,3.34557898,0.02908181,0.52419888,0.11522523,0.00000000,0.39260727,0.84784158
-5.83791896,3.40854985,0.02950443,0.53375023,0.11735263,0.00000000,0.39963494,0.86364038
-5.83191596,3.46339944,0.02996452,0.54188593,0.11929595,0.00000000,0.40576806,0.87706261
-5.82591296,3.50966550,0.03048349,0.54853600,0.12104049,0.00000000,0.41097718,0.88795395
-5.81990995,3.54699961,0.03108347,0.55365731,0.12257020,0.00000000,0.41524783,0.89619651
-5.81390695,3.57517460,0.03178666,0.55723465,0.12386785,0.00000000,0.41858082,0.90171168
-5.80790395,3.59408881,0.03261467,0.55928071,0.12491534,0.00000000,0.42099210,0.90446190
-5.80190095,3.60376689,0.03358780,0.55983535,0.12569415,0.00000000,0.42251208,0.90445116
-5.79589795,3.60435741,0.03472437,0.55896384,0.12618579,0.00000000,0.42318448,0.90172446
-5.78989495,3.59612717,0.03604011,0.55675453,0.12637242,0.00000000,0.42306481,0.89636604
-5.78389195,3.57945280,0.03754763,0.55331584,0.12623750,0.00000000,0.42221845,0.88849670
-5.77788894,3.55480974,0.03925598,0.54877286,0.12576643,0.00000000,0.42071850,0.87827010
-5.77188594,3.52275932,0.04117033,0.54326365,0.12494729,0.00000000,0.41864339,0.86586848
-5.76588294,3.48393422,0.04329179,0.53693543,0.12377146,0.00000000,0.41607449,0.85149768
-5.75987994,3.43902298,0.04561736,0.52994085,0.12223435,0.00000000,0.41309366,0.83538188
-5.75387694,3.38875416,0.04814005,0.52243440,0.12033588,0.00000000,0.40978098,0.81775812
-5.74787394,3.33388047,0.05084909,0.51456916,0.11808102,0.00000000,0.40621261,0.79887080
