energy_ev,total_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up,Ta_p_up,Ta_d_up
-6.00000000,6.63445524,0.23316121,1.24202374,2.79002586,0.00000000,2.43351599,2.41149106
-5.99399700,6.67848581,0.23394252,1.24627135,2.81552657,0.00000000,2.44755662,2.44785248
-5.98799400,6.69768631,0.23383912,1.24591337,2.83059053,0.00000000,2.45254375,2.47497312
-5.98199100,6.69141292,0.23283779,1.24088895,2.83485248,0.00000000,2.44827707,2.49232466
-5.97598799,6.65924622,0.23093214,1.23117431,2.82805018,0.00000000,2.43463266,2.49948821
-5.96998499,6.60103314,0.22812374,1.21678891,2.81004493,0.00000000,2.41157713,2.49617816
-5.96398199,6.51692789,0.22442320,1.19780177,2.78084122,0.00000000,2.37918174,2.48226415
-5.95797899,6.40742850,0.21985118,1.17433719,2.74060401,0.00000000,2.33763530,2.45778966
-5.95197599,6.27340546,0.21443927,1.14657942,2.68967202,0.00000000,2.28725462,2.42298566
-5.94597299,6.11611961,0.20823066,1.11477564,2.62856570,0.00000000,2.22849136,2.37827822
-5.93996998,5.93722639,0.20128028,1.07923681,2.55798886,0.00000000,2.16193434,2.32428893
-5.93396698,5.73876493,0.19365476,1.04033607,2.47882304,0.00000000,2.08830664,2.26182766
-5.92796398,5.52313084,0.18543169,0.99850439,2.39211446,0.00000000,2.00845698,2.19187750
-5.92196098,5.29303307,0.17669859,0.95422362,2.29905356,0.00000000,1.92334554,2.11557219
-5.91595798,5.05143591,0.16755135,0.90801694,2.20094789,0.00000000,1.83402441,2.03416684
-5.90995498,4.80148843,0.15809226,0.86043723,2.09918933,0.00000000,1.74161352,1.94900312
-5.90395198,4.54644435,0.14842780,0.81205368,1.99521712,0.00000000,1.64727296,1.86147062
-5.89794897,4.28957612,0.13866612,0.76343732,1.89047843,0.00000000,1.55217310,1.77296602
-5.89194597,4.03408737,0.12891452,0.71514632,1.78638838,0.00000000,1.45746381,1.68485217
-5.88594297,3.78302792,0.11927688,0.66771142,1.68429154,0.00000000,1.36424444,1.59841906
-5.87993997,3.53921554,0.10985134,0.62162265,1.58542667,0.00000000,1.27353589,1.51484849
-5.87393697,3.30516823,0.10072812,0.57731752,1.49089648,0.00000000,1.18625615,1.43518417
-5.86793397,3.08304995,0.09198780,0.53517164,1.40164381,0.00000000,1.10320052,1.36030854
-5.86193097,2.87463225,0.08370002,0.49549179,1.31843511,0.00000000,1.02502719,1.29092732
-5.85592796,2.68127300,0.07592258,0.45851201,1.24185196,0.00000000,0.95224881,1.22756219
-5.84992496,2.50391263,0.06870120,0.42439252,1.17229058,0.00000000,0.88523029,1.17055173
-5.84392196,2.34308728,0.06206959,0.39322158,1.10996916,0.00000000,0.82419242,1.12006014
-5.83791896,2.19895729,0.05605014,0.36501990,1.05494203,0.00000000,0.76922116,1.07609299
-5.83191596,2.07134884,0.05065491,0.33974741,1.00711986,0.00000000,0.72028153,1.03851871
-5.82591296,1.95980582,0.04588704,0.31731171,0.96629425,0.00000000,0.67723542,1.00709445
-5.81990995,1.86364880,0.04174231,0.29757789,0.93216535,0.00000000,0.63986195,0.98149481
-5.81390695,1.78203755,0.03821097,0.28037894,0.90437080,0.00000000,0.60787952,0.96134149
-5.80790395,1.71403392,0.03527956,0.26552646,0.88251446,0.00000000,0.58096801,0.94623254
-5.80190095,1.65866178,0.03293272,0.25282083,0.86619343,0.00000000,0.55879040,0.93576947
-5.79589795,1.61496124,0.03115495,0.24206066,0.85502199,0.00000000,0.54101257,0.92958105
-5.78989495,1.58203514,0.02993206,0.23305105,0.84865163,0.00000000,0.52732063,0.92734269
-5.78389195,1.55908575,0.02925256,0.22561025,0.84678622,0.00000000,0.51743502,0.92879071
-5.77788894,1.54544113,0.02910856,0.21957480,0.84919210,0.00000000,0.51112120,0.93373120
-5.77188594,1.54057032,0.02949652,0.21480291,0.85570279,0.00000000,0.50819649,0.94204321
-5.76588294,1.54408790,0.03041755,0.21117607,0.86621867,0.00000000,0.50853329,0.95367679
-5.75987994,1.55574853,0.03187736,0.20859924,0.88070201,0.00000000,0.51205870,0.96864613
-5.75387694,1.57543265,0.03388594,0.20699950,0.89916794,0.00000000,0.51875097,0.98701882
-5.74787394,1.60312477,0.03645678,0.20632363,0.92167223,0.00000000,0.52863305,1.00890180
-5.74187094,1.63888620,0.03960586,0.20653482,0.94829674,0.00000000,0.54176399,1.03442526
-5.73586793,1.68282380,0.04335034,0.20760868,0.97913332,0.00000000,0.55822841,1.06372528
-5.72986493,1.73505663,0.04770700,0.20952902,1.01426721,0.00000000,0.57812476,1.09692622
-5.72386193,1.79568205,0.05269044,0.21228349,1.05376054,0.00000000,0.60155278,1.13412366
-5.71785893,1.86474287,0.05831124,0.21585942,1.09763673,0.00000000,0.62860069,1.17536875
-5.71185593,1.94219664,0.06457392,0.22023993,1.14586629,0.00000000,0.65933240,1.22065423
-5.70585293,2.02788827,0.07147500,0.22540060,1.19835447,0.00000000,0.69377519,1.26990291
-5.69984992,2.12152669,0.07900106,0.23130664,1.25493099,0.00000000,0.73190818,1.32295849
-5.69384692,2.22266608,0.08712696,0.23791077,1.31534212,0.00000000,0.77365185,1.37957910
-5.68784392,2.33069228,0.09581436,0.24515172,1.37924515,0.00000000,0.81885880,1.43943342
-5.68184092,2.44481434,0.10501044,0.25295343,1.44620534,0.00000000,0.86730620,1.50209937
-5.67583792,2.56406166,0.11464715,0.26122485,1.51569525,0.00000000,0.91868994,1.56706520
-5.66983492,2.68728660,0.12464081,0.26986040,1.58709660,0.00000000,0.97262095,1.63373292
-5.66383192,2.81317258,0.13489237,0.27874095,1.65970454,0.00000000,1.02862380,1.70142392
-5.65782891,2.94024776,0.14528817,0.28773537,1.73273433,0.00000000,1.08613786,1.76938662
-5.65182591,3.06690407,0.15570132,0.29670249,1.80533049,0.00000000,1.14452131,1.83680616
