energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,4.50106610,0.00827565,0.00000000,0.04660556,0.44599635,1.90785468,1.47287368,0.02879002,2.57195187
-5.99399700,4.46964200,0.00821246,0.00000000,0.04509915,0.45080454,1.90761584,1.45340936,0.02889960,2.55315040
-5.98799400,4.44053669,0.00815277,0.00000000,0.04379887,0.45527327,1.90875747,1.43489195,0.02906074,2.53681668
-5.98199100,4.41444322,0.00809826,0.00000000,0.04273386,0.45941759,1.91132417,1.41763961,0.02928131,2.52327453
-5.97598799,4.39208076,0.00805071,0.00000000,0.04193089,0.46325914,1.91537209,1.40197558,0.02956903,2.51285341
-5.96998499,4.37416693,0.00801184,0.00000000,0.04141363,0.46682529,1.92096055,1.38821861,0.02993119,2.50587233
-5.96398199,4.36138924,0.00798329,0.00000000,0.04120183,0.47014805,1.92814328,1.37667344,0.03037428,2.50262336
-5.95797899,4.35437652,0.00796650,0.00000000,0.04131070,0.47326261,1.93695958,1.36762173,0.03090369,2.50335558
-5.95197599,4.35367183,0.00796262,0.00000000,0.04175028,0.47620576,1.94742603,1.36131372,0.03152346,2.50825999
-5.94597299,4.35970767,0.00797245,0.00000000,0.04252507,0.47901420,1.95952922,1.35796092,0.03223609,2.51745621
-5.93996998,4.37278482,0.00799637,0.00000000,0.04363371,0.48172290,1.97321989,1.35773001,0.03304234,2.53098139
-5.93396698,4.39305578,0.00803429,0.00000000,0.04506883,0.48436354,1.98840899,1.36073832,0.03394123,2.54878211
-5.92796398,4.42051353,0.00808558,0.00000000,0.04681710,0.48696327,2.00496591,1.36705082,0.03492999,2.57070951
-5.92196098,4.45498637,0.00814913,0.00000000,0.04885943,0.48954377,2.02271906,1.37667883,0.03600415,2.59651820
-5.91595798,4.49613910,0.00822328,0.00000000,0.05117133,0.49212065,2.04145899,1.38958045,0.03715771,2.62586881
-5.90995498,4.54348057,0.00830593,0.00000000,0.05372337,0.49470336,2.06094380,1.40566252,0.03838336,2.65833457
-5.90395198,4.59637746,0.00839456,0.00000000,0.05648192,0.49729537,2.08090676,1.42478409,0.03967270,2.69341133
-5.89794897,4.65407348,0.00848629,0.00000000,0.05940982,0.49989485,2.10106564,1.44676121,0.04101659,2.73053092
-5.89194597,4.71571342,0.00857802,0.00000000,0.06246729,0.50249556,2.12113340,1.47137266,0.04240547,2.76907725
-5.88594297,4.78037074,0.00866654,0.00000000,0.06561284,0.50508802,2.14082959,1.49836649,0.04382961,2.80840446
-5.87993997,4.84707754,0.00874861,0.00000000,0.06880421,0.50766077,2.15989176,1.52746697,0.04527950,2.84785625
-5.87393697,4.91485554,0.00882113,0.00000000,0.07199936,0.51020168,2.17808646,1.55838175,0.04674603,2.88678583
