energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.52983942,0.09797842,0.08842132,0.01128601,0.98289530,0.47301299,0.16345223,0.70002005,0.58387761
-5.99399700,2.47989451,0.10227199,0.08351958,0.01079926,0.97332975,0.46586789,0.16476679,0.67531450,0.56105104
-5.98799400,2.42852379,0.10658976,0.07846908,0.01031185,0.96309824,0.45840318,0.16602657,0.64960090,0.53809552
-5.98199100,2.37623017,0.11086702,0.07333171,0.00983102,0.95228952,0.45069646,0.16721014,0.62320204,0.51524887
-5.97598799,2.32341537,0.11503310,0.06816862,0.00936326,0.94095263,0.44280536,0.16828845,0.59642598,0.49272380
-5.96998499,2.27037771,0.11901319,0.06303906,0.00891427,0.92909846,0.43476705,0.16922594,0.56956079,0.47070443
-5.96398199,2.21731596,0.12273060,0.05799931,0.00848879,0.91670385,0.42659910,0.16998209,0.54287040,0.44934429
-5.95797899,2.16433908,0.12610914,0.05310187,0.00809057,0.90371782,0.41830146,0.17051326,0.51659185,0.42876585
-5.95197599,2.11148081,0.12907570,0.04839466,0.00772239,0.89006969,0.40985950,0.17077483,0.49093385,0.40906130
-5.94597299,2.05871846,0.13156273,0.04392058,0.00738604,0.87567854,0.40124791,0.17072355,0.46607676,0.39029462
-5.93996998,2.00599444,0.13351074,0.03971712,0.00708249,0.86046348,0.39243513,0.17031984,0.44217365,0.37250468
-5.93396698,1.95323937,0.13487043,0.03581623,0.00681189,0.84435425,0.38338822,0.16953006,0.41935259,0.35570918
-5.92796398,1.90039546,0.13560467,0.03224437,0.00657381,0.82730132,0.37407774,0.16832862,0.39771970,0.33990910
-5.92196098,1.84743860,0.13568989,0.02902273,0.00636735,0.80928521,0.36448240,0.16669981,0.37736282,0.32509352
-5.91595798,1.79439809,0.13511711,0.02616748,0.00619127,0.79032421,0.35459328,0.16463916,0.35835552,0.31124437
-5.90995498,1.74137278,0.13389247,0.02369028,0.00604421,0.77048030,0.34441731,0.16215445,0.34076117,0.29834102
-5.90395198,1.68854256,0.13203707,0.02159871,0.00592475,0.74986270,0.33397983,0.15926616,0.32463671,0.28636432
-5.89794897,1.63617476,0.12958642,0.01989681,0.00583162,0.72862896,0.32332617,0.15600741,0.31003595,0.27529993
-5.89194597,1.58462480,0.12658930,0.01858557,0.00576371,0.70698347,0.31252203,0.15242327,0.29701214,0.26514086
-5.88594297,1.53433108,0.12310616,0.01766340,0.00572018,0.68517329,0.30165276,0.14856970,0.28561958,0.25588896
-5.87993997,1.48580433,0.11920713,0.01712650,0.00570047,0.66348162,0.29082150,0.14451184,0.27591428,0.24755539
-5.87393697,1.43961174,0.11496973,0.01696916,0.00570430,0.64221906,0.28014628,0.14032196,0.26795342,0.24016009
-5.86793397,1.39635680,0.11047629,0.01718400,0.00573160,0.62171308,0.26975621,0.13607709,0.26179392,0.23373025
-5.86193097,1.35665560,0.10581140,0.01776197,0.00578246,0.60229621,0.25978701,0.13185634,0.25748981,0.22829795
-5.85592796,1.32111091,0.10105920,0.01869241,0.00585702,0.58429333,0.25037601,0.12773814,0.25508894,0.22389708
-5.84992496,1.29028511,0.09630086,0.01996290,0.00595536,0.56800885,0.24165680,0.12379739,0.25462888,0.22055980
-5.84392196,1.26467345,0.09161219,0.02155910,0.00607737,0.55371411,0.23375399,0.12010280,0.25613256,0.21831272
-5.83791896,1.24467877,0.08706157,0.02346447,0.00622262,0.54163579,0.22677807,0.11671435,0.25960364,0.21717302
-5.83191596,1.23058906,0.08270820,0.02566009,0.00639021,0.53194564,0.22082073,0.11368108,0.26502206,0.21714486
-5.82591296,1.22255885,0.07860075,0.02812436,0.00657874,0.52475224,0.21595082,0.11103930,0.27234000,0.21821613
-5.81990995,1.22059543,0.07477644,0.03083284,0.00678614,0.52009484,0.21221112,0.10881126,0.28147855,0.22035588
-5.81390695,1.22455052,0.07126055,0.03375806,0.00700969,0.51793997,0.20961604,0.10700439,0.29232522,0.22351254
-5.80790395,1.23411789,0.06806648,0.03686952,0.00724598,0.51818054,0.20815037,0.10561104,0.30473266,0.22761300
-5.80190095,1.24883704,0.06519606,0.04013376,0.00749094,0.52063786,0.20776907,0.10460882,0.31851854,0.23256272
-5.79589795,1.26810287,0.06264046,0.04351448,0.00773988,0.52506629,0.20839823,0.10396158,0.33346681,0.23824672
-5.78989495,1.29118085,0.06038126,0.04697291,0.00798765,0.53116034,0.20993690,0.10362075,0.34933030,0.24453161
-5.78389195,1.31722711,0.05839194,0.05046821,0.00822869,0.53856407,0.21226008,0.10352730,0.36583462,0.25126833
-5.77788894,1.34531254,0.05663948,0.05395799,0.00845728,0.54688221,0.21522230,0.10361399,0.38268321,0.25829562
-5.77188594,1.37444985,0.05508618,0.05739896,0.00866763,0.55569265,0.21866208,0.10380788,0.39956342,0.26544404
-5.76588294,1.40362242,0.05369144,0.06074761,0.00885415,0.56455977,0.22240667,0.10403307,0.41615344,0.27254025
-5.75987994,1.43181375,0.05241358,0.06396096,0.00901156,0.57304804,0.22627726,0.10421345,0.43212962,0.27941140
-5.75387694,1.45803632,0.05121154,0.06699732,0.00913513,0.58073530,0.23009417,0.10427542,0.44717422,0.28588949
-5.74787394,1.48135867,0.05004644,0.06981703,0.00922083,0.58722540,0.23368194,0.10415039,0.46098301,0.29181538
-5.74187094,1.50092975,0.04888292,0.07238320,0.00926541,0.59215943,0.23687420,0.10377704,0.47327260,0.29704241
-5.73586793,1.51599972,0.04769017,0.07466233,0.00926657,0.59522543,0.23951804,0.10310322,0.48378722,0.30143948
-5.72986493,1.52593657,0.04644278,0.07662495,0.00922300,0.59616608,0.24147781,0.10208744,0.49230465,0.30489343
-5.72386193,1.53023814,0.04512123,0.07824605,0.00913438,0.59478431,0.24263826,0.10069985,0.49864124,0.30731081
-5.71785893,1.52853956,0.04371209,0.07950550,0.00900140,0.59094661,0.24290686,0.09892282,0.50265572,0.30861887
-5.71185593,1.52061594,0.04220798,0.08038837,0.00882570,0.58458413,0.24221544,0.09675095,0.50425189,0.30876602
-5.70585293,1.50638087,0.04060728,0.08088507,0.00860977,0.57569168,0.24052095,0.09419070,0.50337999,0.30772164
-5.69984992,1.48588100,0.03891361,0.08099148,0.00835685,0.56432474,0.23780555,0.09125955,0.50003691,0.30547538
-5.69384692,1.45928740,0.03713515,0.08070893,0.00807081,0.55059486,0.23407591,0.08798494,0.49426522,0.30203615
-5.68784392,1.42688426,0.03528385,0.08004414,0.00775599,0.53466369,0.22936203,0.08440275,0.48615117,0.29743072
-5.68184092,1.38905584,0.03337459,0.07900903,0.00741706,0.51673605,0.22371546,0.08055578,0.47582175,0.29170227
-5.67583792,1.34627214,0.03142427,0.07762053,0.00705885,0.49705231,0.21720717,0.07649201,0.46344101,0.28490873
-5.66983492,1.29907407,0.02945098,0.07590031,0.00668624,0.47588050,0.20992507,0.07226287,0.44920582,0.27712115
-5.66383192,1.24805869,0.02747316,0.07387441,0.00630401,0.45350854,0.20197144,0.06792155,0.43334110,0.26842208
-5.65782891,1.19386488,0.02550893,0.07157290,0.00591672,0.43023662,0.19346021,0.06352145,0.41609495,0.25890405
-5.65182591,1.13715998,0.02357543,0.06902948,0.00552867,0.40637028,0.18451426,0.05911477,0.39773352,0.24866806
-5.64582291,1.07862746,0.02168839,0.06628100,0.00514376,0.38221413,0.17526284,0.05475128,0.37853599,0.23782215
-5.63981991,1.01895585,0.01986171,0.06336700,0.00476552,0.35806643,0.16583907,0.05047743,0.35878967,0.22648008
-5.63381691,0.95882906,0.01810727,0.06032921,0.00439700,0.33421456,0.15637768,0.04633556,0.33878532,0.21475988
-5.62781391,0.89891784,0.01643476,0.05721103,0.00404083,0.31093137,0.14701294,0.04236344,0.31881278,0.20278261
-5.62181091,0.83987265,0.01485171,0.05405698,0.00369919,0.28847245,0.13787682,0.03859402,0.29915697,0.19067092
-5.61580790,0.78231750,0.01336352,0.05091218,0.00337384,0.26707423,0.12909742,0.03505540,0.28009430,0.17854768
-5.60980490,0.72684497,0.01197360,0.04782184,0.00306614,0.24695271,0.12079757,0.03177096,0.26188947,0.16653460
-5.60380190,0.67401210,0.01068357,0.04483076,0.00277708,0.22830293,0.11309374,0.02875965,0.24479279,0.15475080
-5.59779890,0.62433715,0.00949346,0.04198288,0.00250734,0.21129894,0.10609508,0.02603643,0.22903787,0.14331143
-5.59179590,0.57829728,0.00840196,0.03932089,0.00225731,0.19609415,0.09990277,0.02361272,0.21483988,0.13232633
-5.58579290,0.53632687,0.00740666,0.03688591,0.00202710,0.18282214,0.09460941,0.02149701,0.20239419,0.12189881
-5.57978989,0.49881676,0.00650426,0.03471726,0.00181664,0.17159763,0.09029876,0.01969540,0.19187554,0.11212454
-5.57378689,0.46611415,0.00569084,0.03285233,0.00162565,0.16251771,0.08704551,0.01821223,0.18343768,0.10309066
-5.56778389,0.43852335,0.00496201,0.03132654,0.00145369,0.15566325,0.08491529,0.01705058,0.17721345,0.09487506
-5.56178089,0.41630718,0.00431314,0.03017340,0.00130019,0.15110033,0.08396478,0.01621285,0.17331538,0.08754588
-5.55577789,0.39968908,0.00373946,0.02942467,0.00116450,0.14888185,0.08424196,0.01570122,0.17183663,0.08116132
-5.54977489,0.38885583,0.00323622,0.02911062,0.00104585,0.14904910,0.08578650,0.01551803,0.17285238,0.07576960
-5.54377189,0.38396071,0.00279880,0.02926027,0.00094341,0.15163337,0.08863020,0.01566613,0.17642156,0.07140916
-5.53776888,0.38512691,0.00242278,0.02990179,0.00085632,0.15665742,0.09279751,0.01614912,0.18258877,0.06810908
-5.53176588,0.39245103,0.00210401,0.03106274,0.00078366,0.16413695,0.09830606,0.01697146,0.19138644,0.06588951
-5.52576288,0.40600632,0.00183865,0.03277039,0.00072454,0.17408178,0.10516716,0.01813857,0.20283685,0.06476228
-5.51975988,0.42584540,0.00162320,0.03505186,0.00067807,0.18649673,0.11338622,0.01965671,0.21695419,0.06473150
-5.51375688,0.45200215,0.00145454,0.03793416,0.00064337,0.20138222,0.12296298,0.02153279,0.23374613,0.06579402
-5.50775388,0.48449236,0.00132985,0.04144404,0.00061967,0.21873426,0.13389158,0.02377409,0.25321500,0.06793991
-5.50175088,0.52331301,0.00124671,0.04560757,0.00060622,0.23854389,0.14616034,0.02638780,0.27535818,0.07115268
-5.49574787,0.56843972,0.00120296,0.05044949,0.00060243,0.26079597,0.15975112,0.02938046,0.30016771,0.07540932
-5.48974487,0.61982247,0.00119673,0.05599229,0.00060781,0.28546714,0.17463845,0.03275726,0.32762881,0.08068022
-5.48374187,0.67737927,0.00122637,0.06225498,0.00062202,0.31252308,0.19078815,0.03652129,0.35771731,0.08692874
