energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,3.97927604,0.11759089,0.00000000,0.00027452,2.93513243,1.70530152,1.56093728
-5.99399700,4.05240637,0.11854537,0.00000000,0.00029980,2.98679251,1.77468662,1.58707992
-5.98799400,4.12918661,0.11975268,0.00000000,0.00033557,3.04003604,1.84777380,1.61346433
-5.98199100,4.20909572,0.12116563,0.00000000,0.00038267,3.09467982,1.92410280,1.64003553
-5.97598799,4.29171327,0.12273855,0.00000000,0.00044208,3.15061068,2.00321480,1.66676923
-5.96998499,4.37669590,0.12442766,0.00000000,0.00051482,3.20776416,2.08464857,1.69365899
-5.96398199,4.46374884,0.12619142,0.00000000,0.00060194,3.26609960,2.16793528,1.72070197
-5.95797899,4.55259435,0.12799078,0.00000000,0.00070449,3.32557323,2.25259255,1.74788422
-5.95197599,4.64293909,0.12978953,0.00000000,0.00082344,3.38611097,2.33811815,1.77516659
-5.94597299,4.73444232,0.13155453,0.00000000,0.00095965,3.44758251,2.42398387,1.80247185
-5.93996998,4.82668676,0.13325592,0.00000000,0.00111377,3.50977801,2.50962987,1.82967411
-5.93396698,4.91915342,0.13486726,0.00000000,0.00128620,3.57238878,2.59446003,1.85659084
-5.92796398,5.01120198,0.13636562,0.00000000,0.00147704,3.63499296,2.67783853,1.88297817
-5.92196098,5.10205743,0.13773159,0.00000000,0.00168600,3.69704682,2.75908803,1.90852960
-5.91595798,5.19080384,0.13894912,0.00000000,0.00191235,3.75788227,2.83748985,1.93287828
-5.90995498,5.27638565,0.14000534,0.00000000,0.00215490,3.81671080,2.91228618,1.95560274
-5.90395198,5.35761664,0.14089030,0.00000000,0.00241195,3.87263366,2.98268478,1.97623577
-5.89794897,5.43319646,0.14159660,0.00000000,0.00268129,3.92465815,3.04786619,1.99427617
-5.89194597,5.50173431,0.14211904,0.00000000,0.00296019,3.97171938,3.10699371,2.00920282
-5.88594297,5.56177927,0.14245423,0.00000000,0.00324544,4.01270685,3.15922595,2.02049043
-5.87993997,5.61185637,0.14260030,0.00000000,0.00353337,4.04649499,3.20373219,2.02762653
-5.87393697,5.65050729,0.14255662,0.00000000,0.00381996,4.07197654,3.23971000,2.03012878
-5.86793397,5.67633453,0.14232368,0.00000000,0.00410092,4.08809778,3.26640504,2.02756220
-5.86193097,5.68804748,0.14190308,0.00000000,0.00437179,4.09389417,3.28313238,2.01955546
-5.85592796,5.68450872,0.14129762,0.00000000,0.00462804,4.08852529,3.28929869,2.00581575
-5.84992496,5.66477882,0.14051157,0.00000000,0.00486528,4.07130761,3.28442449,1.98614167
-5.84392196,5.62815776,0.13955098,0.00000000,0.00507933,4.04174378,3.26816557,1.96043349
-5.83791896,5.57422111,0.13842412,0.00000000,0.00526641,3.99954728,3.24033244,1.92870062
-5.83191596,5.50284910,0.13714190,0.00000000,0.00542324,3.94466113,3.20090686,1.89106572
