energy_ev,total_up,Rh_p_up,Rh_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,2.36356740,1.56108109,1.52463553,0.66171620,0.02297790,0.00562751,0.14034740
-5.99399700,2.37677462,1.55636992,1.53672938,0.66253062,0.02333603,0.00562048,0.13763058
-5.98799400,2.38771946,1.55096096,1.54714189,0.66344176,0.02364071,0.00559260,0.13481039
-5.98199100,2.39733155,1.54570965,1.55644300,0.66476256,0.02389839,0.00554553,0.13195469
-5.97598799,2.40659953,1.54147123,1.56524983,0.66681196,0.02411715,0.00548124,0.12912695
-5.96998499,2.41654211,1.53907501,1.57420843,0.66990592,0.02430648,0.00540190,0.12638471
-5.96398199,2.42817704,1.53929933,1.58397369,0.67434791,0.02447700,0.00530984,0.12377844
-5.95797899,2.44248867,1.54284775,1.59518797,0.68041929,0.02464004,0.00520747,0.12135077
-5.95197599,2.46039492,1.55032726,1.60845895,0.68836955,0.02480732,0.00509721,0.11913616
-5.94597299,2.48271467,1.56222877,1.62433731,0.69840701,0.02499042,0.00498145,0.11716084
-5.93996998,2.51013653,1.57891080,1.64329525,0.71068991,0.02520037,0.00486243,0.11544312
-5.93396698,2.54319021,1.60058652,1.66570630,0.72531862,0.02544719,0.00474225,0.11399389
-5.92796398,2.58222156,1.62731486,1.69182761,0.74232904,0.02573942,0.00462274,0.11281734
-5.92196098,2.62737245,1.65899583,1.72178520,0.76168771,0.02608373,0.00450548,0.11191178
-5.91595798,2.67856648,1.69537042,1.75556316,0.78328887,0.02648459,0.00439176,0.11127063
-5.90995498,2.73550141,1.73602513,1.79299723,0.80695376,0.02694394,0.00428251,0.11088335
-5.90395198,2.79764898,1.78040124,1.83377346,0.83243230,0.02746104,0.00417834,0.11073646
-5.89794897,2.86426263,1.82780853,1.87743206,0.85940738,0.02803234,0.00407953,0.11081453
-5.89194597,2.93439311,1.87744321,1.92337683,0.88750156,0.02865150,0.00398605,0.11110110
-5.88594297,3.00691195,1.92840961,1.97088988,0.91628623,0.02930948,0.00389757,0.11157953
-5.87993997,3.08054229,1.97974499,2.01915152,0.94529289,0.02999477,0.00381352,0.11223386
-5.87393697,3.15389618,2.03044673,2.06726467,0.97402627,0.03069370,0.00373312,0.11304952
-5.86793397,3.22551733,2.07950104,2.11428325,1.00197879,0.03139082,0.00365548,0.11401394
-5.86193097,3.29392787,2.12591229,2.15924351,1.02864592,0.03206943,0.00357959,0.11511712
-5.85592796,3.35767755,2.16873193,2.20119730,1.05354177,0.03271211,0.00350444,0.11635202
-5.84992496,3.41539366,2.20708604,2.23924616,1.07621435,0.03330131,0.00342907,0.11771494
-5.84392196,3.46582973,2.24020057,2.27257486,1.09625995,0.03381997,0.00335263,0.11920565
-5.83791896,3.50791124,2.26742338,2.30048333,1.11333588,0.03425214,0.00327443,0.12082753
-5.83191596,3.54077645,2.28824230,2.32241538,1.12717128,0.03458356,0.00319402,0.12258740
-5.82591296,3.56381080,2.30229871,2.33798343,1.13757537,0.03480224,0.00311120,0.12449541
-5.81990995,3.57667328,2.30939599,2.34698782,1.14444287,0.03489890,0.00302607,0.12656462
-5.81390695,3.57931379,2.30950287,2.34943007,1.14775638,0.03486740,0.00293907,0.12881053
-5.80790395,3.57198044,2.30275143,2.34551927,1.14758565,0.03470499,0.00285095,0.13125049
-5.80190095,3.55521644,2.28943006,2.33567112,1.14408370,0.03441249,0.00276280,0.13390291
-5.79589795,3.52984655,2.26997162,2.32049959,1.13748008,0.03399434,0.00267603,0.13678646
-5.78989495,3.49695326,2.24493742,2.30080115,1.12807151,0.03345853,0.00259232,0.13991913
-5.78389195,3.45784354,2.21499763,2.27753198,1.11621032,0.03281632,0.00251364,0.14331721
-5.77788894,3.41400723,2.18090897,2.25177895,1.10229116,0.03208198,0.00244212,0.14699431
-5.77188594,3.36706845,2.14349039,2.22472500,1.08673657,0.03127230,0.00238006,0.15096025
-5.76588294,3.31873168,2.10359776,2.19761036,1.06998193,0.03040607,0.00232983,0.15522009
-5.75987994,3.27072453,2.06209830,2.17169069,1.05246048,0.02950344,0.00229382,0.15977308
-5.75387694,3.22473905,2.01984573,2.14819372,1.03458882,0.02858533,0.00227436,0.16461174
-5.74787394,3.18237378,1.97765668,2.12827584,1.01675362,0.02767268,0.00227360,0.16972106
-5.74187094,3.14507853,1.93628916,2.11298029,0.99929973,0.02678579,0.00229352,0.17507776
-5.73586793,3.11410389,1.89642366,2.10319840,0.98252037,0.02594368,0.00233577,0.18064975
-5.72986493,3.09045726,1.85864711,2.09963542,0.96664938,0.02516349,0.00240164,0.18639576
-5.72386193,3.07486694,1.82344026,2.10278207,0.95185597,0.02445994,0.00249198,0.19226521
-5.71785893,3.06775559,1.79116841,2.11289319,0.93824189,0.02384490,0.00260716,0.19819831
-5.71185593,3.06922410,1.76207586,2.12997414,0.92584105,0.02332706,0.00274698,0.20412642
-5.70585293,3.07904625,1.73628386,2.15377560,0.91462155,0.02291175,0.00291071,0.20997281
-5.69984992,3.09667470,1.71379205,2.18379724,0.90448990,0.02260079,0.00309700,0.21565359
-5.69384692,3.12125791,1.69448337,2.21930003,0.89529714,0.02239261,0.00330391,0.22107913
-5.68784392,3.15166750,1.67813202,2.25932700,0.88684671,0.02228235,0.00352893,0.22615568
-5.68184092,3.18653525,1.66441445,2.30273183,0.87890362,0.02226212,0.00376901,0.23078743
-5.67583792,3.22429835,1.65292298,2.34821419,0.87120458,0.02232141,0.00402059,0.23487874
-5.66983492,3.26325145,1.64318167,2.39436086,0.86346882,0.02244751,0.00427971,0.23833672
-5.66383192,3.30160368,1.63466423,2.43969095,0.85540917,0.02262600,0.00454207,0.24107387
-5.65782891,3.33753874,1.62681342,2.48270379,0.84674303,0.02284135,0.00480315,0.24301093
-5.65182591,3.36927589,1.61906153,2.52192787,0.83720295,0.02307741,0.00505831,0.24407963
-5.64582291,3.39512982,1.61085148,2.55596883,0.82654657,0.02331807,0.00530293,0.24422541
-5.63981991,3.41356742,1.60165800,2.58355504,0.81456554,0.02354773,0.00553251,0.24340986
-5.63381691,3.42325935,1.59100828,2.60357917,0.80109328,0.02375183,0.00574286,0.24161295
-5.62781391,3.42312493,1.57850170,2.61513411,0.78601139,0.02391732,0.00593015,0.23883472
-5.62181091,3.41236887,1.56382787,2.61754240,0.76925464,0.02403300,0.00609110,0.23509657
-5.61580790,3.39050868,1.54678264,2.61037798,0.75081431,0.02408980,0.00622303,0.23044193
-5.60980490,3.35739222,1.52728155,2.59347983,0.73074006,0.02408106,0.00632399,0.22493633
