energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.75282314,-1.10410122,0.00370952,-0.00781957,0.03261653,-0.02556546,2.28688847,-1.24406426,0.45639015,-0.26241697,0.01098433,-0.01769980,1.07720513,-0.68290144
-5.99399700,1.79349418,-1.14314535,0.00375742,-0.00719941,0.03292766,-0.02556359,2.35470710,-1.32047846,0.47028706,-0.27017539,0.01026496,-0.01664018,1.10373738,-0.71104976
-5.98799400,1.83486662,-1.18825803,0.00384402,-0.00672773,0.03322977,-0.02578027,2.42161915,-1.40329538,0.48483483,-0.27965169,0.00966027,-0.01569243,1.13060545,-0.74271861
-5.98199100,1.87679412,-1.23904871,0.00397184,-0.00639816,0.03351277,-0.02619927,2.48736086,-1.49195476,0.49998347,-0.29079366,0.00917202,-0.01485907,1.15772626,-0.77766645
-5.97598799,1.91912165,-1.29506866,0.00414440,-0.00620323,0.03376744,-0.02680239,2.55165360,-1.58583926,0.51567037,-0.30353589,0.00880181,-0.01414049,1.18501077,-0.81561802
-5.96998499,1.96168230,-1.35582159,0.00436605,-0.00613467,0.03398554,-0.02756984,2.61419857,-1.68428093,0.53181895,-0.31780194,0.00855128,-0.01353528,1.21236178,-0.85627048
-5.96398199,2.00429383,-1.42077382,0.00464175,-0.00618370,0.03415986,-0.02848055,2.67467214,-1.78656784,0.54833752,-0.33350624,0.00842224,-0.01304070,1.23967155,-0.89929930
-5.95797899,2.04675552,-1.48936380,0.00497689,-0.00634122,0.03428436,-0.02951250,2.73272231,-1.89195052,0.56511869,-0.35055546,0.00841681,-0.01265302,1.26681962,-0.94436387
-5.95197599,2.08884541,-1.56101062,0.00537697,-0.00659802,0.03435422,-0.03064304,2.78796692,-1.99964845,0.58203931,-0.36884939,0.00853741,-0.01236796,1.29367103,-0.99111245
-5.94597299,2.13031865,-1.63512128,0.00584739,-0.00694492,0.03436586,-0.03184919,2.83999393,-2.10885624,0.59896101,-0.38828126,0.00878676,-0.01218101,1.32007509,-1.03918651
-5.93996998,2.17090697,-1.71109674,0.00639306,-0.00737286,0.03431701,-0.03310789,2.88836410,-2.21874977,0.61573155,-0.40873754,0.00916766,-0.01208773,1.34586504,-1.08822432
-5.93396698,2.21031976,-1.78833657,0.00701815,-0.00787302,0.03420668,-0.03439634,2.93261638,-2.32849203,0.63218693,-0.43009736,0.00968290,-0.01208403,1.37085877,-1.13786370
-5.92796398,2.24824674,-1.86624230,0.00772573,-0.00843683,0.03403516,-0.03569219,2.97227597,-2.43723897,0.64815418,-0.45223144,0.01033494,-0.01216630,1.39486061,-1.18774406
-5.92196098,2.28436234,-1.94421965,0.00851747,-0.00905601,0.03380395,-0.03697384,3.00686479,-2.54414515,0.66345484,-0.47500088,0.01112568,-0.01233152,1.41766421,-1.23750766
-5.91595798,2.31833152,-2.02167976,0.00939332,-0.00972261,0.03351572,-0.03822068,3.03591415,-2.64836940,0.67790899,-0.49825583,0.01205610,-0.01257729,1.43905650,-1.28680031
-5.90995498,2.34981682,-2.09803960,0.01035126,-0.01042895,0.03317417,-0.03941332,3.05897889,-2.74908045,0.69133962,-0.52183418,0.01312595,-0.01290176,1.45882237,-1.33527156
-5.90395198,2.37848628,-2.17272202,0.01138708,-0.01116763,0.03278389,-0.04053382,3.07565229,-2.84546274,0.70357715,-0.54556051,0.01433339,-0.01330355,1.47675008,-1.38257455
-5.89794897,2.40402153,-2.24515551,0.01249420,-0.01193148,0.03235026,-0.04156593,3.08558097,-2.93672226,0.71446389,-0.56924548,0.01567473,-0.01378155,1.49263669,-1.42836577
-5.89194597,2.42612579,-2.31477422,0.01366360,-0.01271351,0.03187918,-0.04249528,3.08847882,-3.02209271,0.72385813,-0.59268562,0.01714409,-0.01433471,1.50629353,-1.47230485
-5.88594297,2.44453093,-2.38101836,0.01488378,-0.01350686,0.03137691,-0.04330957,3.08413904,-3.10084188,0.73163774,-0.61566396,0.01873322,-0.01496181,1.51755109,-1.51405464
-5.87993997,2.45900335,-2.44333542,0.01614091,-0.01430472,0.03084985,-0.04399869,3.07244364,-3.17227834,0.73770300,-0.63795136,0.02043130,-0.01566120,1.52626305,-1.55328175
-5.87393697,2.46934810,-2.50118240,0.01741894,-0.01510028,0.03030428,-0.04455490,3.05336961,-3.23575855,0.74197848,-0.65930863,0.02222487,-0.01643054,1.53230930,-1.58965770
-5.86793397,2.47541103,-2.55402920,0.01869993,-0.01588667,0.02974617,-0.04497285,3.02699138,-3.29069413,0.74441404,-0.67948963,0.02409780,-0.01726656,1.53559752,-1.62286085
-5.86193097,2.47707894,-2.60136339,0.01996438,-0.01665688,0.02918091,-0.04524962,2.99347944,-3.33655947,0.74498468,-0.69824509,0.02603139,-0.01816486,1.53606349,-1.65257918
-5.85592796,2.47427767,-2.64269631,0.02119175,-0.01740377,0.02861315,-0.04538468,2.95309510,-3.37289949,0.74368947,-0.71532728,0.02800451,-0.01911975,1.53366998,-1.67851399
-5.84992496,2.46696844,-2.67757040,0.02236088,-0.01812000,0.02804660,-0.04537982,2.90618173,-3.39933727,0.74054959,-0.73049525,0.02999387,-0.02012413,1.52840448,-1.70038440
-5.84392196,2.45514287,-2.70556772,0.02345069,-0.01879804,0.02748391,-0.04523901,2.85315313,-3.41558148,0.73560561,-0.74352054,0.03197440,-0.02116948,1.52027587,-1.71793262
-5.83791896,2.43881716,-2.72631919,0.02444067,-0.01943025,0.02692658,-0.04496817,2.79447967,-3.42143330,0.72891433,-0.75419315,0.03391962,-0.02224587,1.50931058,-1.73092979
-5.83191596,2.41802598,-2.73951430,0.02531156,-0.02000888,0.02637491,-0.04457496,2.73067315,-3.41679252,0.72054521,-0.76232750,0.03580217,-0.02334210,1.49554837,-1.73918224
-5.82591296,2.39281681,-2.74491091,0.02604593,-0.02052623,0.02582804,-0.04406844,2.66227134,-3.40166244,0.71057694,-0.76776818,0.03759436,-0.02444585,1.47903835,-1.74253775
-5.81990995,2.36324521,-2.74234448,0.02662872,-0.02097475,0.02528402,-0.04345878,2.58982316,-3.37615340,0.69909403,-0.77039512,0.03926874,-0.02554396,1.45983551,-1.74089165
-5.81390695,2.32937159,-2.73173636,0.02704772,-0.02134720,0.02473992,-0.04275688,2.51387528,-3.34048456,0.68618401,-0.77012802,0.04079874,-0.02662271,1.43799811,-1.73419228
