energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.13234462,-0.59114153,0.21161885,-0.07808997,0.35654795,-0.06527370,0.01052123,-0.00028236,0.28353774,-0.13864483,0.01518432,-0.00349108,0.11797584,-0.11066729
-5.99399700,1.14003412,-0.61987195,0.21399482,-0.08569168,0.35859991,-0.06812485,0.01034611,-0.00030447,0.28655381,-0.14639583,0.01547659,-0.00358878,0.11779190,-0.11489671
-5.98799400,1.15218976,-0.64764823,0.21708728,-0.09358891,0.36216769,-0.07081681,0.01024736,-0.00032598,0.29032537,-0.15398995,0.01567624,-0.00367044,0.11854573,-0.11887542
-5.98199100,1.16847416,-0.67425106,0.22081446,-0.10172880,0.36716787,-0.07332442,0.01022504,-0.00034652,0.29475106,-0.16136048,0.01577673,-0.00373484,0.12022075,-0.12258140
-5.97598799,1.18849804,-0.69947792,0.22508347,-0.11005176,0.37349692,-0.07562486,0.01027828,-0.00036573,0.29972064,-0.16844127,0.01577391,-0.00378098,0.12278888,-0.12599971
-5.96998499,1.21182179,-0.72314718,0.22979152,-0.11849227,0.38103137,-0.07769818,0.01040521,-0.00038327,0.30511590,-0.17516795,0.01566609,-0.00380809,0.12621009,-0.12912298
-5.96398199,1.23795861,-0.74510176,0.23482754,-0.12697981,0.38962842,-0.07952776,0.01060285,-0.00039882,0.31081199,-0.18147907,0.01545401,-0.00381566,0.13043226,-0.13195176
-5.95797899,1.26637867,-0.76521243,0.24007413,-0.13544005,0.39912698,-0.08110069,0.01086705,-0.00041207,0.31667887,-0.18731735,0.01514087,-0.00380345,0.13539122,-0.13449452
-5.95197599,1.29651439,-0.78338034,0.24540982,-0.14379601,0.40934899,-0.08240808,0.01119247,-0.00042279,0.32258304,-0.19263079,0.01473208,-0.00377148,0.14101103,-0.13676752
-5.94597299,1.32776649,-0.79953871,0.25071145,-0.15196950,0.42010111,-0.08344531,0.01157247,-0.00043079,0.32838927,-0.19737374,0.01423511,-0.00372009,0.14720456,-0.13879431
-5.93996998,1.35951071,-0.81365359,0.25585665,-0.15988243,0.43117677,-0.08421207,0.01199922,-0.00043593,0.33396250,-0.20150783,0.01365921,-0.00364990,0.15387421,-0.14060495
-5.93396698,1.39110538,-0.82572346,0.26072631,-0.16745826,0.44235852,-0.08471237,0.01246364,-0.00043816,0.33916969,-0.20500266,0.01301504,-0.00356179,0.16091293,-0.14223494
-5.92796398,1.42189961,-0.83577762,0.26520698,-0.17462332,0.45342080,-0.08495436,0.01295556,-0.00043749,0.34388184,-0.20783636,0.01231432,-0.00345696,0.16820545,-0.14372385
-5.92196098,1.45124224,-0.84387348,0.26919315,-0.18130810,0.46413315,-0.08494998,0.01346380,-0.00043402,0.34797593,-0.20999583,0.01156947,-0.00333682,0.17562975,-0.14511371
-5.91595798,1.47849161,-0.85009259,0.27258942,-0.18744841,0.47426380,-0.08471456,0.01397637,-0.00042795,0.35133696,-0.21147677,0.01079317,-0.00320303,0.18305880,-0.14644713
-5.90995498,1.50302606,-0.85453578,0.27531238,-0.19298644,0.48358371,-0.08426623,0.01448069,-0.00041953,0.35385996,-0.21228342,0.00999803,-0.00305744,0.19036259,-0.14776526
-5.90395198,1.52425507,-0.85731747,0.27729245,-0.19787156,0.49187099,-0.08362523,0.01496384,-0.00040911,0.35545206,-0.21242808,0.00919624,-0.00290206,0.19741030,-0.14910576
-5.89794897,1.54163111,-0.85855941,0.27847531,-0.20206110,0.49891568,-0.08281321,0.01541292,-0.00039712,0.35603450,-0.21193040,0.00839925,-0.00273903,0.20407278,-0.15050070
-5.89194597,1.55466171,-0.85838439,0.27882326,-0.20552081,0.50452470,-0.08185242,0.01581533,-0.00038408,0.35554461,-0.21081656,0.00761751,-0.00257053,0.21022514,-0.15197459
-5.88594297,1.56292174,-0.85691001,0.27831626,-0.20822528,0.50852693,-0.08076498,0.01615916,-0.00037057,0.35393769,-0.20911821,0.00686029,-0.00239883,0.21574954,-0.15354272
-5.87993997,1.56606542,-0.85424320,0.27695279,-0.21015817,0.51077827,-0.07957213,0.01643354,-0.00035726,0.35118869,-0.20687153,0.00613557,-0.00222614,0.22053789,-0.15520982
-5.87393697,1.56383769,-0.85047563,0.27475049,-0.21131228,0.51116638,-0.07829366,0.01662899,-0.00034490,0.34729376,-0.20411618,0.00544990,-0.00205464,0.22449473,-0.15696910
-5.86793397,1.55608451,-0.84568056,0.27174652,-0.21168966,0.50961503,-0.07694740,0.01673770,-0.00033431,0.34227142,-0.20089440,0.00480846,-0.00188642,0.22753978,-0.15880197
-5.86193097,1.54276168,-0.83991137,0.26799775,-0.21130157,0.50608788,-0.07554888,0.01675384,-0.00032640,0.33616351,-0.19725027,0.00421504,-0.00172344,0.22961043,-0.16067824
-5.85592796,1.52394170,-0.83320190,0.26358068,-0.21016848,0.50059133,-0.07411127,0.01667374,-0.00032218,0.32903556,-0.19322919,0.00367219,-0.00156753,0.23066383,-0.16255705
-5.84992496,1.49981819,-0.82556894,0.25859111,-0.20832012,0.49317653,-0.07264543,0.01649605,-0.00032277,0.32097689,-0.18887759,0.00318128,-0.00142034,0.23067858,-0.16438835
-5.84392196,1.47070770,-0.81701664,0.25314350,-0.20579558,0.48394025,-0.07116023,0.01622177,-0.00032940,0.31210008,-0.18424299,0.00274269,-0.00128336,0.22965592,-0.16611510
-5.83791896,1.43704840,-0.80754298,0.24737003,-0.20264352,0.47302446,-0.06966308,0.01585426,-0.00034342,0.30253993,-0.17937433,0.00235599,-0.00115789,0.22762031,-0.16767590
-5.83191596,1.39939556,-0.79714781,0.24141931,-0.19892250,0.46061484,-0.06816067,0.01539909,-0.00036634,0.29245191,-0.17432267,0.00202012,-0.00104507,0.22461940,-0.16900812
-5.82591296,1.35841377,-0.78584247,0.23545467,-0.19470149,0.44693780,-0.06665981,0.01486390,-0.00039986,0.28201003,-0.16914217,0.00173355,-0.00094588,0.22072326,-0.17005130
