energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Li_s_up,Li_s_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.24683183,-2.59541301,0.01592219,-0.03411850,0.24174129,-0.25285036,0.38350039,-0.48789086,1.01807379,-0.66413258,0.38725795,-0.27514767,0.02738957,-0.03286207,1.01264937,-1.29692318
-5.99399700,2.31420974,-2.64998294,0.01517706,-0.03529262,0.25470673,-0.26411066,0.39250217,-0.49313281,1.08192743,-0.69379657,0.39948673,-0.28237783,0.02743139,-0.03364008,1.03632846,-1.31892817
-5.98799400,2.39167392,-2.70444746,0.01459870,-0.03659461,0.26898356,-0.27610577,0.40270367,-0.49818403,1.14831103,-0.72493739,0.41450245,-0.29031224,0.02757673,-0.03438918,1.06381641,-1.33991561
-5.98199100,2.47801854,-2.75908588,0.01418413,-0.03802794,0.28439893,-0.28878688,0.41385375,-0.50318541,1.21651217,-0.75758356,0.43209761,-0.29896036,0.02782178,-0.03511455,1.09464443,-1.36011186
-5.97598799,2.57182422,-2.81415373,0.01392767,-0.03959380,0.30075510,-0.30209610,0.42567530,-0.50827953,1.28576165,-0.79174890,0.45200617,-0.30831836,0.02815997,-0.03582107,1.12825777,-1.37973951
-5.96998499,2.67148376,-2.86985998,0.01382093,-0.04129053,0.31783226,-0.31596636,0.43787234,-0.51360444,1.35524813,-0.82742978,0.47390627,-0.31836628,0.02858221,-0.03651283,1.16402737,-1.39900365
-5.96398199,2.77523359,-2.92634627,0.01385295,-0.04311311,0.33539183,-0.33032140,0.45013776,-0.51928754,1.42413392,-0.86460268,0.49742451,-0.32906547,0.02907719,-0.03719272,1.20126401,-1.41807904
-5.95797899,2.88119038,-2.98366927,0.01401032,-0.04505270,0.35318034,-0.34507601,0.46216151,-0.52543968,1.49157137,-0.90322192,0.52214197,-0.34035672,0.02963180,-0.03786210,1.23923450,-1.43709932
-5.95197599,2.98739150,-3.04178703,0.01427741,-0.04709629,0.37093366,-0.36013633,0.47363900,-0.53214994,1.55671944,-0.94321791,0.54760187,-0.35215897,0.03023168,-0.03852050,1.27717930,-1.45614835
-5.94597299,3.09183850,-3.10055023,0.01463661,-0.04922652,0.38838168,-0.37540043,0.48427933,-0.53948108,1.61875982,-0.98449573,0.57331872,-0.36436897,0.03086171,-0.03916554,1.31433118,-1.47525447
-5.93996998,3.19254211,-3.15969868,0.01506873,-0.05142165,0.40525325,-0.39075903,0.49381312,-0.54746596,1.67691222,-1.02693421,0.59878871,-0.37686180,0.03150662,-0.03979293,1.34993395,-1.49438777
-5.93396698,3.28756750,-3.21886329,0.01555334,-0.05365576,0.42128128,-0.40609653,0.50199962,-0.55610500,1.73044839,-1.07038562,0.62350128,-0.38949241,0.03215154,-0.04039657,1.38326096,-1.51346037
-5.92796398,3.37507835,-3.27757352,0.01606924,-0.05589905,0.43620800,-0.42129222,0.50863291,-0.56536480,1.77870464,-1.11467589,0.64695125,-0.40209806,0.03278251,-0.04096879,1.41363252,-1.53232989
-5.92196098,3.45337853,-3.33526987,0.01659497,-0.05811838,0.44979007,-0.43622176,0.51354686,-0.57517788,1.82109241,-1.15960551,0.66865135,-0.41450175,0.03338703,-0.04150070,1.44043173,-1.55080559
