energy_ev,total_up,Ca_p_up,Ca_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.44747192,0.00516849,0.00000000,0.37231016,0.09360433,0.00592233,0.08613011,0.21665050,0.00000000
-5.99399700,0.40141854,0.00449775,0.00000000,0.32643125,0.08242966,0.00630186,0.07497116,0.19766040,0.00000000
-5.98799400,0.36180659,0.00389920,0.00000000,0.28643054,0.07274106,0.00668790,0.06522623,0.18156426,0.00000000
-5.98199100,0.32852000,0.00337194,0.00000000,0.25221381,0.06454835,0.00707248,0.05686980,0.16829247,0.00000000
-5.97598799,0.30139991,0.00291428,0.00000000,0.22363981,0.05785124,0.00744763,0.04986483,0.15775976,0.00000000
-5.96998499,0.28026128,0.00252395,0.00000000,0.20053319,0.05264266,0.00780565,0.04416608,0.14987349,0.00000000
-5.96398199,0.26490835,0.00219825,0.00000000,0.18269625,0.04891166,0.00813930,0.03972319,0.14454129,0.00000000
-5.95797899,0.25514816,0.00193429,0.00000000,0.16991897,0.04664599,0.00844204,0.03648324,0.14167795,0.00000000
-5.95197599,0.25080156,0.00172908,0.00000000,0.16198700,0.04583395,0.00870822,0.03439283,0.14121111,0.00000000
-5.94597299,0.25171126,0.00157970,0.00000000,0.15868727,0.04646570,0.00893328,0.03339951,0.14308553,0.00000000
-5.93996998,0.25774671,0.00148339,0.00000000,0.15981124,0.04853365,0.00911392,0.03345264,0.14726576,0.00000000
-5.93396698,0.26880556,0.00143761,0.00000000,0.16515585,0.05203230,0.00924820,0.03450359,0.15373713,0.00000000
-5.92796398,0.28481182,0.00144011,0.00000000,0.17452224,0.05695715,0.00933562,0.03650546,0.16250494,0.00000000
-5.92196098,0.30571093,0.00148892,0.00000000,0.18771276,0.06330306,0.00937716,0.03941223,0.17359200,0.00000000
-5.91595798,0.33146202,0.00158232,0.00000000,0.20452647,0.07106198,0.00937523,0.04317761,0.18703451,0.00000000
-5.90995498,0.36202784,0.00171884,0.00000000,0.22475382,0.08022024,0.00933360,0.04775357,0.20287656,0.00000000
-5.90395198,0.39736292,0.00189719,0.00000000,0.24817085,0.09075553,0.00925724,0.05308873,0.22116345,0.00000000
-5.89794897,0.43740077,0.00211617,0.00000000,0.27453360,0.10263375,0.00915216,0.05912676,0.24193418,0.00000000
-5.89194597,0.48204054,0.00237461,0.00000000,0.30357314,0.11580588,0.00902515,0.06580486,0.26521341,0.00000000
-5.88594297,0.53113422,0.00267127,0.00000000,0.33499191,0.13020519,0.00888355,0.07305250,0.29100328,0.00000000
-5.87993997,0.58447494,0.00300474,0.00000000,0.36846150,0.14574473,0.00873497,0.08079053,0.31927561,0.00000000
-5.87393697,0.64178714,0.00337340,0.00000000,0.40362252,0.16231559,0.00858698,0.08893071,0.34996469,0.00000000
-5.86793397,0.70271925,0.00377532,0.00000000,0.44008647,0.17978578,0.00844687,0.09737578,0.38296122,0.00000000
-5.86193097,0.76683943,0.00420818,0.00000000,0.47743999,0.19800012,0.00832134,0.10602004,0.41810768,0.00000000
-5.85592796,0.83363472,0.00466930,0.00000000,0.51525115,0.21678103,0.00821633,0.11475059,0.45519538,0.00000000
-5.84992496,0.90251394,0.00515553,0.00000000,0.55307780,0.23593041,0.00813673,0.12344909,0.49396356,0.00000000
-5.84392196,0.97281426,0.00566333,0.00000000,0.59047757,0.25523251,0.00808630,0.13199399,0.53410042,0.00000000
-5.83791896,1.04381151,0.00618873,0.00000000,0.62701900,0.27445781,0.00806754,0.14026329,0.57524644,0.00000000
-5.83191596,1.11473364,0.00672741,0.00000000,0.66229338,0.29336775,0.00808160,0.14813752,0.61699967,0.00000000
-5.82591296,1.18477720,0.00727474,0.00000000,0.69592669,0.31172024,0.00812833,0.15550301,0.65892295,0.00000000
-5.81990995,1.25312587,0.00782587,0.00000000,0.72759085,0.32927565,0.00820628,0.16225514,0.70055284,0.00000000
-5.81390695,1.31897053,0.00837582,0.00000000,0.75701393,0.34580316,0.00831281,0.16830151,0.74140982,0.00000000
-5.80790395,1.38152986,0.00891955,0.00000000,0.78398843,0.36108713,0.00844422,0.17356492,0.78100952,0.00000000
-5.80190095,1.44007078,0.00945210,0.00000000,0.80837749,0.37493330,0.00859591,0.17798578,0.81887443,0.00000000
-5.79589795,1.49392767,0.00996867,0.00000000,0.83011833,0.38717453,0.00876260,0.18152417,0.85454568,0.00000000
-5.78989495,1.54251975,0.01046471,0.00000000,0.84922296,0.39767580,0.00893848,0.18416112,0.88759446,0.00000000
-5.78389195,1.58536573,0.01093603,0.00000000,0.86577588,0.40633827,0.00911750,0.18589922,0.91763257,0.00000000
-5.77788894,1.62209532,0.01137886,0.00000000,0.87992900,0.41310228,0.00929353,0.18676246,0.94432185,0.00000000
-5.77188594,1.65245702,0.01178993,0.00000000,0.89189390,0.41794901,0.00946061,0.18679527,0.96738206,0.00000000
-5.76588294,1.67632203,0.01216647,0.00000000,0.90193180,0.42090082,0.00961314,0.18606080,0.98659693,0.00000000
-5.75987994,1.69368415,0.01250630,0.00000000,0.91034183,0.42202029,0.00974606,0.18463855,1.00181840,0.00000000
-5.75387694,1.70465587,0.01280780,0.00000000,0.91744788,0.42140776,0.00985502,0.18262139,1.01296870,0.00000000
-5.74787394,1.70946070,0.01306992,0.00000000,0.92358495,0.41919774,0.00993649,0.18011211,1.02004048,0.00000000
-5.74187094,1.70842238,0.01329217,0.00000000,0.92908532,0.41555416,0.00998787,0.17721964,1.02309493,0.00000000
-5.73586793,1.70195128,0.01347458,0.00000000,0.93426520,0.41066463,0.01000758,0.17405511,1.02225812,0.00000000
-5.72986493,1.69052871,0.01361766,0.00000000,0.93941245,0.40473405,0.00999504,0.17072787,1.01771559,0.00000000
-5.72386193,1.67468972,0.01372236,0.00000000,0.94477573,0.39797767,0.00995070,0.16734174,1.00970570,0.00000000
-5.71785893,1.65500505,0.01379002,0.00000000,0.95055539,0.39061401,0.00987603,0.16399149,0.99851165,0.00000000
-5.71185593,1.63206294,0.01382230,0.00000000,0.95689652,0.38285776,0.00977340,0.16075972,0.98445281,0.00000000
-5.70585293,1.60645137,0.01382114,0.00000000,0.96388413,0.37491306,0.00964602,0.15771441,0.96787532,0.00000000
-5.69984992,1.57874136,0.01378869,0.00000000,0.97154068,0.36696730,0.00949783,0.15490695,0.94914262,0.00000000
-5.69384692,1.54947181,0.01372726,0.00000000,0.97982584,0.35918575,0.00933335,0.15237097,0.92862580,0.00000000
-5.68784392,1.51913641,0.01363926,0.00000000,0.98863845,0.35170716,0.00915751,0.15012182,0.90669445,0.00000000
-5.68184092,1.48817289,0.01352719,0.00000000,0.99782056,0.34464046,0.00897554,0.14815680,0.88370797,0.00000000
-5.67583792,1.45695489,0.01339351,0.00000000,1.00716325,0.33806278,0.00879272,0.14645604,0.86000776,0.00000000
