energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.86014714,0.00815848,0.54942159,0.54119705,0.62581248,0.02699342,0.92223065,2.00883164,0.67316194
-5.99399700,2.88255569,0.00856852,0.54630619,0.55194404,0.64229823,0.02770950,0.94320034,1.99650929,0.67318785
-5.98799400,2.90656925,0.00895890,0.54385616,0.56359651,0.65841311,0.02833472,0.96487058,1.98651541,0.67332941
-5.98199100,2.93233804,0.00932346,0.54220945,0.57621305,0.67400707,0.02885721,0.98712555,1.97919163,0.67371726
-5.97598799,2.95988327,0.00965611,0.54146617,0.58982230,0.68892918,0.02926655,1.00981549,1.97472405,0.67445043
-5.96998499,2.98909228,0.00995100,0.54168556,0.60441993,0.70303015,0.02955408,1.03275885,1.97313942,0.67559225
-5.96398199,3.01972093,0.01020267,0.54288489,0.61996717,0.71616526,0.02971326,1.05574610,1.97430873,0.67716824
-5.95797899,3.05140295,0.01040625,0.54504023,0.63639069,0.72819764,0.02973995,1.07854513,1.97795821,0.67916614
-5.95197599,3.08366548,0.01055757,0.54808912,0.65358402,0.73900165,0.02963262,1.10090800,1.98368664,0.68153804
-5.94597299,3.11594969,0.01065333,0.55193471,0.67141025,0.74846629,0.02939242,1.12257838,1.99098809,0.68420416
-5.93996998,3.14763520,0.01069119,0.55645114,0.68970584,0.75649834,0.02902325,1.14329964,1.99927850,0.68705825
-5.93396698,3.17806668,0.01066988,0.56148987,0.70828535,0.76302506,0.02853165,1.16282283,2.00792467,0.68997401
-5.92796398,3.20658112,0.01058923,0.56688646,0.72694677,0.76799631,0.02792663,1.18091426,2.01627387,0.69281214
-5.92196098,3.23253411,0.01045020,0.57246747,0.74547718,0.77138600,0.02721944,1.19736231,2.02368247,0.69542765
-5.91595798,3.25532396,0.01025485,0.57805717,0.76365845,0.77319259,0.02642324,1.21198302,2.02954220,0.69767694
-5.90995498,3.27441227,0.01000631,0.58348359,0.78127271,0.77343885,0.02555269,1.22462439,2.03330256,0.69942430
-5.90395198,3.28934041,0.00970867,0.58858389,0.79810748,0.77217078,0.02462359,1.23516909,2.03448873,0.70054746
-5.89794897,3.29974117,0.00936685,0.59320869,0.81396010,0.76945570,0.02365240,1.24353577,2.03271409,0.70094221
-5.89194597,3.30534572,0.00898651,0.59722536,0.82864161,0.76537975,0.02265581,1.24967884,2.02768730,0.70052564
-5.88594297,3.30598599,0.00857380,0.60052030,0.84197978,0.76004492,0.02165040,1.25358711,2.01921407,0.69923824
-5.87993997,3.30159294,0.00813527,0.60300018,0.85382160,0.75356577,0.02065219,1.25528141,2.00719392,0.69704485
-5.87393697,3.29219165,0.00767764,0.60459238,0.86403498,0.74606608,0.01967637,1.25481161,1.99161299,0.69393451
-5.86793397,3.27789389,0.00720766,0.60524463,0.87251005,0.73767558,0.01873706,1.25225332,1.97253341,0.68991952
-5.86193097,3.25888923,0.00673189,0.60492419,0.87915994,0.72852699,0.01784707,1.24770454,1.95008077,0.68503377
-5.85592796,3.23543554,0.00625659,0.60361667,0.88392131,0.71875346,0.01701781,1.24128270,1.92443032,0.67933070
-5.84992496,3.20784955,0.00578759,0.60132459,0.88675468,0.70848662,0.01625923,1.23312211,1.89579334,0.67288093
-5.84392196,3.17649819,0.00533015,0.59806600,0.88764459,0.69785510,0.01557978,1.22337208,1.86440424,0.66576980
-5.83791896,3.14179083,0.00488890,0.59387294,0.88659970,0.68698372,0.01498645,1.21219575,1.83050939,0.65809499
-5.83191596,3.10417271,0.00446780,0.58879016,0.88365282,0.67599320,0.01448483,1.19976935,1.79435805,0.64996404
-5.82591296,3.06411940,0.00407007,0.58287375,0.87886076,0.66500027,0.01407920,1.18628210,1.75619572,0.64149213
-5.81990995,3.02213184,0.00369824,0.57618993,0.87230399,0.65411812,0.01377257,1.17193617,1.71625992,0.63279979
-5.81390695,2.97873166,0.00335415,0.56881370,0.86408603,0.64345696,0.01356681,1.15694665,1.67477825,0.62401061
-5.80790395,2.93445624,0.00303900,0.56082748,0.85433244,0.63312456,0.01346265,1.14154114,1.63196847,0.61524898
-5.80190095,2.88985288,0.00275342,0.55231957,0.84318924,0.62322664,0.01345976,1.12595870,1.58803993,0.60663760
-5.79589795,2.84547190,0.00249752,0.54338238,0.83082084,0.61386684,0.01355672,1.11044799,1.54319604,0.59829484
-5.78989495,2.80185808,0.00227103,0.53411039,0.81740732,0.60514642,0.01375101,1.09526432,1.49763712,0.59033201
-5.78389195,2.75954070,0.00207331,0.52459795,0.80314109,0.59716331,0.01403896,1.08066564,1.45156311,0.58285036
-5.77788894,2.71902210,0.00190352,0.51493686,0.78822301,0.59001077,0.01441573,1.06690749,1.40517582,0.57593821
-5.77188594,2.68076523,0.00176065,0.50521385,0.77285804,0.58377561,0.01487518,1.05423701,1.35868020,0.56966799
-5.76588294,2.64518085,0.00164363,0.49550813,0.75725058,0.57853597,0.01540983,1.04288635,1.31228474,0.56409367
-5.75987994,2.61261501,0.00155136,0.48588913,0.74159980,0.57435904,0.01601085,1.03306565,1.26620072,0.55924860
-5.75387694,2.58333779,0.00148281,0.47641460,0.72609492,0.57129858,0.01666798,1.02495625,1.22064045,0.55514399
-5.74787394,2.55753422,0.00143705,0.46712920,0.71091102,0.56939277,0.01736962,1.01870426,1.17581482,0.55176823
