energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Se_s_up,Se_p_up
-6.00000000,1.53434871,0.33208344,0.92343364,0.00978445,0.02653406,0.00842264,0.00000000,0.04113856,0.40409568
-5.99399700,1.43785630,0.30824513,0.86828830,0.00908415,0.02419290,0.00783311,0.00000000,0.03848131,0.37689418
-5.98799400,1.34823181,0.28582384,0.81855039,0.00841399,0.02208828,0.00726377,0.00000000,0.03591956,0.35065983
-5.98199100,1.26572964,0.26493586,0.77409162,0.00777937,0.02021225,0.00671969,0.00000000,0.03347770,0.32565257
-5.97598799,1.19049599,0.24567039,0.73473296,0.00718422,0.01855534,0.00620525,0.00000000,0.03117624,0.30209378
-5.96998499,1.12256285,0.22808743,0.70024456,0.00663100,0.01710663,0.00572407,0.00000000,0.02903155,0.28016197
-5.96398199,1.06184594,0.21221685,0.67034700,0.00612084,0.01585393,0.00527892,0.00000000,0.02705565,0.25999014
-5.95797899,1.00814680,0.19805861,0.64471429,0.00565366,0.01478389,0.00487173,0.00000000,0.02525626,0.24166499
-5.95197599,0.96115919,0.18558412,0.62297868,0.00522834,0.01388220,0.00450355,0.00000000,0.02363690,0.22522768
-5.94597299,0.92047975,0.17473874,0.60473741,0.00484291,0.01313372,0.00417462,0.00000000,0.02219720,0.21067635
-5.93996998,0.88562242,0.16544514,0.58956121,0.00449474,0.01252274,0.00388442,0.00000000,0.02093329,0.19796994
-5.93396698,0.85603604,0.15760749,0.57700440,0.00418075,0.01203320,0.00363175,0.00000000,0.01983830,0.18703328
-5.92796398,0.83112450,0.15111620,0.56661622,0.00389766,0.01164894,0.00341483,0.00000000,0.01890293,0.17776304
-5.92196098,0.81026838,0.14585301,0.55795287,0.00364208,0.01135398,0.00323147,0.00000000,0.01811609,0.17003439
-5.91595798,0.79284727,0.14169622,0.55058987,0.00341079,0.01113286,0.00307913,0.00000000,0.01746548,0.16370782
-5.90995498,0.77826173,0.13852577,0.54413414,0.00320082,0.01097082,0.00295509,0.00000000,0.01693828,0.15863614
-5.90395198,0.76595390,0.13622810,0.53823534,0.00300959,0.01085422,0.00285656,0.00000000,0.01652164,0.15467100
-5.89794897,0.75542609,0.13470042,0.53259594,0.00283503,0.01077065,0.00278080,0.00000000,0.01620327,0.15166896
-5.89194597,0.74625641,0.13385439,0.52697959,0.00267565,0.01070926,0.00272519,0.00000000,0.01597180,0.14949678
-5.88594297,0.73811101,0.13361907,0.52121757,0.00253057,0.01066089,0.00268735,0.00000000,0.01581713,0.14803572
-5.87993997,0.73075258,0.13394296,0.51521297,0.00239958,0.01061818,0.00266519,0.00000000,0.01573065,0.14718478
-5.87393697,0.72404492,0.13479531,0.50894255,0.00228318,0.01057566,0.00265694,0.00000000,0.01570530,0.14686286
-5.86793397,0.71795359,0.13616654,0.50245644,0.00218252,0.01052976,0.00266115,0.00000000,0.01573561,0.14700982
-5.86193097,0.71254296,0.13806791,0.49587551,0.00209946,0.01047873,0.00267673,0.00000000,0.01581755,0.14758641
-5.85592796,0.70797008,0.14053056,0.48938700,0.00203652,0.01042255,0.00270292,0.00000000,0.01594835,0.14857339
-5.84992496,0.70447578,0.14360400,0.48323841,0.00199693,0.01036281,0.00273922,0.00000000,0.01612622,0.14996975
-5.84392196,0.70237389,0.14735421,0.47773033,0.00198455,0.01030244,0.00278541,0.00000000,0.01635008,0.15179040
-5.83791896,0.70203908,0.15186151,0.47320826,0.00200391,0.01024558,0.00284145,0.00000000,0.01661917,0.15406347
-5.83191596,0.70389403,0.15721826,0.47005416,0.00206019,0.01019728,0.00290744,0.00000000,0.01693277,0.15682734
-5.82591296,0.70839673,0.16352665,0.46867776,0.00215919,0.01016328,0.00298360,0.00000000,0.01728989,0.16012775
-5.81990995,0.71602818,0.17089647,0.46950819,0.00230737,0.01014978,0.00307018,0.00000000,0.01768901,0.16401507
-5.81390695,0.72728113,0.17944313,0.47298585,0.00251177,0.01016322,0.00316746,0.00000000,0.01812786,0.16854177
-5.80790395,0.74264989,0.18928574,0.47955486,0.00278000,0.01021003,0.00327571,0.00000000,0.01860337,0.17376049
-5.80190095,0.76262139,0.20054537,0.48965594,0.00312018,0.01029653,0.00339517,0.00000000,0.01911159,0.17972233
-5.79589795,0.78766726,0.21334327,0.50371954,0.00354086,0.01042869,0.00352605,0.00000000,0.01964775,0.18647578
-5.78989495,0.81823667,0.22779908,0.52215922,0.00405091,0.01061209,0.00366855,0.00000000,0.02020641,0.19406592
-5.78389195,0.85474952,0.24402879,0.54536478,0.00465937,0.01085171,0.00382285,0.00000000,0.02078167,0.20253396
-5.77788894,0.89758955,0.26214239,0.57369504,0.00537525,0.01115193,0.00398914,0.00000000,0.02136737,0.21191701
-5.77188594,0.94709671,0.28224097,0.60746987,0.00620728,0.01151637,0.00416765,0.00000000,0.02195744,0.22224779
-5.76588294,1.00355852,0.30441330,0.64696128,0.00716370,0.01194786,0.00435864,0.00000000,0.02254616,0.23355429
-5.75987994,1.06720000,0.32873178,0.69238354,0.00825187,0.01244833,0.00456244,0.00000000,0.02312847,0.24585923
-5.75387694,1.13817203,0.35524763,0.74388223,0.00947794,0.01301869,0.00477943,0.00000000,0.02370021,0.25917911
-5.74787394,1.21653822,0.38398566,0.80152245,0.01084651,0.01365877,0.00501006,0.00000000,0.02425834,0.27352287
-5.74187094,1.30226067,0.41493854,0.86527657,0.01236020,0.01436719,0.00525479,0.00000000,0.02480111,0.28889015
-5.73586793,1.39518507,0.44806085,0.93501208,0.01401923,0.01514123,0.00551410,0.00000000,0.02532806,0.30526916
-5.72986493,1.49502622,0.48326340,1.01048021,0.01582112,0.01597673,0.00578842,0.00000000,0.02584011,0.32263427
-5.72386193,1.60135484,0.52040788,1.09130621,0.01776028,0.01686796,0.00607806,0.00000000,0.02633939,0.34094350
-5.71785893,1.71358697,0.55930256,1.17698218,0.01982775,0.01780760,0.00638318,0.00000000,0.02682917,0.36013605
-5.71185593,1.83097731,0.59969923,1.26686343,0.02201099,0.01878665,0.00670372,0.00000000,0.02731357,0.38013023
-5.70585293,1.95261759,0.64129196,1.36016927,0.02429376,0.01979445,0.00703930,0.00000000,0.02779740,0.40082188
-5.69984992,2.07744133,0.68371798,1.45598901,0.02665608,0.02081879,0.00738923,0.00000000,0.02828585,0.42208364
