energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.71765537,0.01174595,0.00554401,0.45504078,0.00000000,0.00153609,0.52655639,0.30170000,0.06382656
-5.99399700,0.66866685,0.01174365,0.00489405,0.42571354,0.00000000,0.00151707,0.49021135,0.28654463,0.05836936
-5.98799400,0.63018554,0.01182447,0.00434600,0.40300707,0.00000000,0.00151454,0.46160609,0.27486309,0.05396842
-5.98199100,0.60215117,0.01198518,0.00389626,0.38683205,0.00000000,0.00152763,0.44070004,0.26657990,0.05060998
-5.97598799,0.58442144,0.01222097,0.00354094,0.37704723,0.00000000,0.00155533,0.42739164,0.26157765,0.04827419
-5.96998499,0.57678530,0.01252561,0.00327592,0.37346854,0.00000000,0.00159654,0.42152820,0.25970437,0.04693627
-5.96398199,0.57897453,0.01289177,0.00309688,0.37587712,0.00000000,0.00165004,0.42291454,0.26078079,0.04656741
-5.95797899,0.59067275,0.01331130,0.00299936,0.38402565,0.00000000,0.00171451,0.43131968,0.26460737,0.04713547
-5.95197599,0.61152151,0.01377561,0.00297874,0.39764301,0.00000000,0.00178858,0.44648140,0.27097058,0.04860521
-5.94597299,0.64112313,0.01427590,0.00303025,0.41643672,0.00000000,0.00187082,0.46810821,0.27964825,0.05093835
-5.93996998,0.67904016,0.01480352,0.00314892,0.44009346,0.00000000,0.00195976,0.49587907,0.29041379,0.05409317
-5.93396698,0.72479189,0.01535016,0.00332956,0.46827761,0.00000000,0.00205392,0.52944070,0.30303926,0.05802393
-5.92796398,0.77784830,0.01590812,0.00356668,0.50062833,0.00000000,0.00215180,0.56840316,0.31729707,0.06268006
-5.92196098,0.83762216,0.01647036,0.00385449,0.53675526,0.00000000,0.00225194,0.61233398,0.33296066,0.06800522
-5.91595798,0.90346029,0.01703066,0.00418679,0.57623383,0.00000000,0.00235287,0.66075176,0.34980408,0.07393635
-5.90995498,0.97463496,0.01758359,0.00455700,0.61860038,0.00000000,0.00245318,0.71311984,0.36760080,0.08040281
-5.90395198,1.05033659,0.01812452,0.00495813,0.66334804,0.00000000,0.00255148,0.76884102,0.38612210,0.08732568
-5.89794897,1.12966895,0.01864948,0.00538282,0.70992393,0.00000000,0.00264645,0.82725406,0.40513518,0.09461737
-5.89194597,1.21164781,0.01915511,0.00582335,0.75772833,0.00000000,0.00273682,0.88763282,0.42440153,0.10218166
-5.88594297,1.29520407,0.01963847,0.00627178,0.80611636,0.00000000,0.00282140,0.94918876,0.44367581,0.10991412
-5.87993997,1.37919213,0.02009695,0.00672007,0.85440257,0.00000000,0.00289910,1.01107713,0.46270556,0.11770309
-5.87393697,1.46240372,0.02052812,0.00716018,0.90186878,0.00000000,0.00296896,1.07240743,0.48123197,0.12543127
-5.86793397,1.54358748,0.02092960,0.00758432,0.94777509,0.00000000,0.00303014,1.13225796,0.49899195,0.13297767
-5.86193097,1.62147396,0.02129906,0.00798512,0.99137401,0.00000000,0.00308197,1.18969433,0.51572160,0.14022023
-5.85592796,1.69480524,0.02163416,0.00835587,1.03192731,0.00000000,0.00312397,1.24379151,0.53116098,0.14703874
-5.84992496,1.76236841,0.02193261,0.00869071,1.06872495,0.00000000,0.00315591,1.29365852,0.54506009,0.15331806
-5.84392196,1.82303129,0.02219221,0.00898489,1.10110539,0.00000000,0.00317777,1.33846487,0.55718591,0.15895158
-5.83791896,1.87577904,0.02241103,0.00923491,1.12847639,0.00000000,0.00318983,1.37746751,0.56733006,0.16384464
-5.83191596,1.91974964,0.02258754,0.00943872,1.15033515,0.00000000,0.00319265,1.41003699,0.57531668,0.16791776
-5.82591296,1.95426654,0.02272081,0.00959582,1.16628689,0.00000000,0.00318710,1.43568145,0.58101017,0.17110963
-5.81990995,1.97886662,0.02281065,0.00970734,1.17606074,0.00000000,0.00317432,1.45406710,0.58432220,0.17337953
-5.81390695,1.99332178,0.02285787,0.00977604,1.17952207,0.00000000,0.00315578,1.46503394,0.58521748,0.17470916
-5.80790395,1.99765266,0.02286433,0.00980623,1.17668040,0.00000000,0.00313317,1.46860573,0.58371803,0.17510369
-5.80190095,1.99213360,0.02283308,0.00980372,1.16769241,0.00000000,0.00310844,1.46499336,0.57990534,0.17459202
-5.79589795,1.97728804,0.02276838,0.00977557,1.15285958,0.00000000,0.00308367,1.45459123,0.57392036,0.17322604
-5.78989495,1.95387427,0.02267566,0.00972989,1.13262049,0.00000000,0.00306109,1.43796643,0.56596105,0.17107917
-5.78389195,1.92286193,0.02256142,0.00967551,1.10753800,0.00000000,0.00304291,1.41584115,0.55627755,0.16824393
-5.77788894,1.88539999,0.02243299,0.00962172,1.07828168,0.00000000,0.00303134,1.38906879,0.54516502,0.16482881
-5.77188594,1.84277766,0.02229833,0.00957784,1.04560641,0.00000000,0.00302843,1.35860482,0.53295457,0.16095455
-5.76588294,1.79637976,0.02216569,0.00955290,1.01032787,0.00000000,0.00303597,1.32547369,0.52000244,0.15674987
-5.75987994,1.74763870,0.02204329,0.00955525,0.97329624,0.00000000,0.00305549,1.29073312,0.50667818,0.15234704
-5.75387694,1.69798508,0.02193891,0.00959221,0.93536905,0.00000000,0.00308808,1.25543758,0.49335211,0.14787727
