energy_ev,total_up,Au_p_up,Au_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,1.21566652,0.21908342,1.11162910,0.00160112,0.04998221,0.03597293,0.00000000
-5.99399700,1.30487334,0.21495506,1.20254720,0.00182531,0.05027733,0.03508282,0.00000000
-5.98799400,1.40498755,0.21159222,1.30398214,0.00207375,0.05080277,0.03432400,0.00000000
-5.98199100,1.51545649,0.20907291,1.41534658,0.00234677,0.05155321,0.03372114,0.00000000
-5.97598799,1.63552730,0.20745573,1.53586179,0.00264442,0.05251849,0.03329556,0.00000000
-5.96998499,1.76424449,0.20677558,1.66455761,0.00296654,0.05368299,0.03306431,0.00000000
-5.96398199,1.90045398,0.20704055,1.80027824,0.00331261,0.05502533,0.03303948,0.00000000
-5.95797899,2.04281390,0.20823029,1.94169407,0.00368180,0.05651841,0.03322771,0.00000000
-5.95197599,2.18981230,0.21029575,2.08731969,0.00407288,0.05812980,0.03362983,0.00000000
-5.94597299,2.33979145,0.21316028,2.23553786,0.00448423,0.05982243,0.03424076,0.00000000
-5.93996998,2.49097852,0.21672192,2.38462905,0.00491382,0.06155551,0.03504960,0.00000000
-5.93396698,2.64152170,0.22085684,2.53280606,0.00535917,0.06328571,0.03603985,0.00000000
-5.92796398,2.78953086,0.22542362,2.67825255,0.00581737,0.06496855,0.03718983,0.00000000
-5.92196098,2.93312165,0.23026813,2.81916471,0.00628508,0.06655973,0.03847321,0.00000000
-5.91595798,3.07046133,0.23522898,2.95379447,0.00675858,0.06801665,0.03985974,0.00000000
-5.90995498,3.19981514,0.24014296,3.08049302,0.00723379,0.06929975,0.04131594,0.00000000
-5.90395198,3.31959113,0.24485056,3.19775294,0.00770633,0.07037383,0.04280603,0.00000000
-5.89794897,3.42838215,0.24920113,3.30424743,0.00817162,0.07120917,0.04429281,0.00000000
-5.89194597,3.52500301,0.25305761,3.39886508,0.00862494,0.07178239,0.04573862,0.00000000
-5.88594297,3.60852147,0.25630061,3.48073872,0.00906157,0.07207718,0.04710628,0.00000000
-5.87993997,3.67828172,0.25883163,3.54926704,0.00947689,0.07208458,0.04836010,0.00000000
-5.87393697,3.73391913,0.26057556,3.60412803,0.00986655,0.07180319,0.04946674,0.00000000
-5.86793397,3.77536565,0.26148204,3.64528344,0.01022655,0.07123892,0.05039611,0.00000000
-5.86193097,3.80284549,0.26152604,3.67297397,0.01055343,0.07040460,0.05112216,0.00000000
-5.85592796,3.81686097,0.26070741,3.68770516,0.01084440,0.06931933,0.05162353,0.00000000
-5.84992496,3.81816928,0.25904955,3.69022451,0.01109738,0.06800759,0.05188414,0.00000000
-5.84392196,3.80775073,0.25659732,3.68149067,0.01131121,0.06649825,0.05189359,0.00000000
-5.83791896,3.78677010,0.25341423,3.66263590,0.01148558,0.06482349,0.05164738,0.00000000
-5.83191596,3.75653246,0.24957907,3.63492349,0.01162117,0.06301755,0.05114705,0.00000000
-5.82591296,3.71843567,0.24518227,3.59970191,0.01171957,0.06111561,0.05040006,0.00000000
-5.81990995,3.67392137,0.24032185,3.55835779,0.01178324,0.05915263,0.04941950,0.00000000
-5.81390695,3.62442687,0.23509950,3.51226980,0.01181543,0.05716225,0.04822371,0.00000000
-5.80790395,3.57134002,0.22961667,3.46276559,0.01182005,0.05517588,0.04683564,0.00000000
-5.80190095,3.51595908,0.22397097,3.41108356,0.01180146,0.05322183,0.04528220,0.00000000
-5.79589795,3.45945924,0.21825294,3.35834133,0.01176433,0.05132472,0.04359340,0.00000000
-5.78989495,3.40286734,0.21254347,3.30551214,0.01171341,0.04950498,0.04180153,0.00000000
-5.78389195,3.34704570,0.20691164,3.25340998,0.01165332,0.04777861,0.03994017,0.00000000
-5.77788894,3.29268537,0.20141346,3.20268412,0.01158837,0.04615705,0.03804338,0.00000000
