energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,11.06812978,0.01385298,2.36556525,7.10102356,5.61400159,0.07577485,2.20319399,0.91239354,0.27654841
-5.99399700,11.04585104,0.01359294,2.34144947,7.23849883,5.53263677,0.07564202,2.24122983,0.93906144,0.28040690
-5.98799400,10.99735695,0.01335373,2.31060980,7.35946366,5.43690615,0.07530984,2.27535603,0.96465269,0.28376620
-5.98199100,10.92303739,0.01313425,2.27332878,7.46249565,5.32788236,0.07479925,2.30514654,0.98861717,0.28660491
-5.97598799,10.82374614,0.01293329,2.22999958,7.54644235,5.20688397,0.07413592,2.33025540,1.01043910,0.28890770
-5.96998499,10.70078633,0.01274964,2.18111692,7.61045420,5.07544591,0.07334988,2.35042737,1.02965234,0.29066559
-5.96398199,10.55588356,0.01258209,2.12726505,7.65401110,4.93528308,0.07247496,2.36550652,1.04585446,0.29187612
-5.95797899,10.39114764,0.01242952,2.06910324,7.67694124,4.78824894,0.07154817,2.37544228,1.05871910,0.29254342
-5.95197599,10.20902425,0.01229090,2.00734929,7.67943140,4.63629039,0.07060903,2.38029272,1.06800607,0.29267828
-5.94597299,10.01223811,0.01216534,1.94276196,7.66202759,4.48140076,0.06969872,2.38022454,1.07356862,0.29229795
-5.93996998,9.80372928,0.01205210,1.87612256,7.62562557,4.32557264,0.06885924,2.37550983,1.07535782,0.29142597
-5.93396698,9.58658444,0.01195058,1.80821670,7.57145102,4.17075192,0.06813251,2.36651934,1.07342350,0.29009174
-5.92796398,9.36396509,0.01186035,1.73981644,7.50102939,4.01879469,0.06755941,2.35371241,1.06791185,0.28833000
-5.92196098,9.13903471,0.01178116,1.67166368,7.41614613,3.87142809,0.06717882,2.33762387,1.05905970,0.28618019
-5.91595798,8.91488677,0.01171290,1.60445488,7.31879841,3.73021626,0.06702670,2.31884817,1.04718567,0.28368563
-5.90995498,8.69447572,0.01165563,1.53882787,7.21113978,3.59653214,0.06713513,2.29802146,1.03267848,0.28089268
