energy_ev,total_up,P_s_up,P_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,6.59148353,0.01413819,0.14910907,2.90250103,4.70917072,1.55727299,0.00000000
-5.99399700,6.72933278,0.01386944,0.14508825,2.93124793,4.81558834,1.59044350,0.00000000
-5.98799400,6.87977118,0.01363699,0.14194073,2.96853868,4.92935385,1.62771034,0.00000000
-5.98199100,7.04141265,0.01344271,0.13963328,3.01373733,5.04959558,1.66860678,0.00000000
-5.97598799,7.21244261,0.01328678,0.13811796,3.06597722,5.17515762,1.71255579,0.00000000
-5.96998499,7.39065738,0.01316783,0.13733460,3.12419931,5.30461718,1.75888767,0.00000000
-5.96398199,7.57351501,0.01308304,0.13721350,3.18719545,5.43631023,1.80686013,0.00000000
-5.95797899,7.75819595,0.01302838,0.13767807,3.25365439,5.56836486,1.85567981,0.00000000
-5.95197599,7.94167168,0.01299884,0.13864746,3.32220869,5.69874152,1.90452468,0.00000000
-5.94597299,8.12077946,0.01298873,0.14003897,3.39148045,5.82527917,1.95256631,0.00000000
-5.93996998,8.29230081,0.01299190,0.14177025,3.46012446,5.94574612,1.99899168,0.00000000
-5.93396698,8.45304172,0.01300207,0.14376115,3.52686701,6.05789412,2.04302342,0.00000000
-5.92796398,8.59991220,0.01301303,0.14593528,3.59053950,6.15951416,2.08393847,0.00000000
-5.92196098,8.73000299,0.01301888,0.14822116,3.65010585,6.24849237,2.12108429,0.00000000
-5.91595798,8.84065738,0.01301426,0.15055308,3.70468349,6.32286435,2.15389259,0.00000000
-5.90995498,8.92953622,0.01299444,0.15287155,3.75355755,6.38086624,2.18189031,0.00000000
-5.90395198,8.99467435,0.01295546,0.15512349,3.79618868,6.42098101,2.20470762,0.00000000
-5.89794897,9.03452714,0.01289418,0.15726219,3.83221482,6.44197860,2.22208312,0.00000000
-5.89194597,9.04800586,0.01280830,0.15924699,3.86144756,6.44294867,2.23386622,0.00000000
-5.88594297,9.03450134,0.01269637,0.16104294,3.88386390,6.42332497,2.24001670,0.00000000
-5.87993997,8.99389529,0.01255769,0.16262030,3.89959421,6.38290078,2.24060187,0.00000000
