energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,7.37818017,0.05376694,1.65219818,1.09594547,0.52037984,1.92551492,2.88154733,0.05841451,2.31555734
-5.99399700,7.36472639,0.05412377,1.67794520,1.06869494,0.50444416,1.94149445,2.90461733,0.05747102,2.27591131
-5.98799400,7.33565379,0.05443093,1.69729425,1.03941239,0.48783303,1.95249839,2.91858395,0.05637879,2.23451613
-5.98199100,7.29195184,0.05470644,1.71017429,1.00843762,0.47073482,1.95859025,2.92350314,0.05515908,2.19199158
-5.97598799,7.23486100,0.05496902,1.71665397,0.97613821,0.45334422,1.95992949,2.91958421,0.05383517,2.14895254
-5.96998499,7.16583498,0.05523749,1.71693870,0.94290138,0.43585794,1.95676492,2.90718160,0.05243168,2.10599180
-5.96398199,7.08649473,0.05553014,1.71136295,0.90912498,0.41846998,1.94942541,2.88678214,0.05097376,2.06366308
-5.95797899,6.99857638,0.05586415,1.70037818,0.87520786,0.40136679,1.93830821,2.85898820,0.04948630,2.02246499
-5.95197599,6.90387576,0.05625502,1.68453686,0.84154021,0.38472232,1.92386542,2.82449766,0.04799320,1.98282677
-5.94597299,6.80419209,0.05671604,1.66447336,0.80849421,0.36869348,1.90658922,2.78408170,0.04651664,1.94509654
-5.93996998,6.70127367,0.05725784,1.64088254,0.77641535,0.35341606,1.88699644,2.73856141,0.04507648,1.90953280
-5.93396698,6.59676788,0.05788808,1.61449700,0.74561495,0.33900130,1.86561317,2.68878420,0.04368977,1.87629951
-5.92796398,6.49217795,0.05861115,1.58606385,0.71636393,0.32553347,1.84295991,2.63560129,0.04237036,1.84546506
-5.92196098,6.38882805,0.05942804,1.55632209,0.68888818,0.31306828,1.81953789,2.57984685,0.04112871,1.81700524
-5.91595798,6.28783795,0.06033633,1.52598135,0.66336561,0.30163248,1.79581702,2.52231983,0.03997179,1.79080996
-5.90995498,6.19010790,0.06133027,1.49570277,0.63992482,0.29122444,1.77222575,2.46376892,0.03890314,1.76669334
-5.90395198,6.09631358,0.06240096,1.46608261,0.61864542,0.28181577,1.74914313,2.40488096,0.03792310,1.74440671
-5.89794897,6.00691075,0.06353668,1.43763901,0.59955974,0.27335392,1.72689307,2.34627304,0.03702911,1.72365370
-5.89194597,5.92214830,0.06472322,1.41080225,0.58265586,0.26576542,1.70574088,2.28848806,0.03621609,1.70410664
-5.88594297,5.84208825,0.06594431,1.38590836,0.56788158,0.25895991,1.68589185,2.23199359,0.03547698,1.68542357
-5.87993997,5.76663102,0.06718217,1.36319635,0.55514911,0.25283444,1.66749173,2.17718344,0.03480321,1.66726473
-5.87393697,5.69554389,0.06841793,1.34280844,0.54434022,0.24727809,1.65062871,2.12438149,0.03418527,1.64930798
-5.86793397,5.62849078,0.06963221,1.32479328,0.53531160,0.24217652,1.63533667,2.07384709,0.03361326,1.63126233
-5.86193097,5.56506159,0.07080557,1.30911168,0.52790015,0.23741636,1.62159934,2.02578132,0.03307733,1.61287906
-5.85592796,5.50479945,0.07191900,1.29564425,0.52192800,0.23288930,1.60935504,1.98033365,0.03256823,1.59395995
-5.84992496,5.44722472,0.07295434,1.28420076,0.51720719,0.22849554,1.59850180,1.93760820,0.03207758,1.57436255
-5.84392196,5.39185483,0.07389467,1.27453058,0.51354385,0.22414679,1.58890262,1.89766948,0.03159828,1.55400229
-5.83791896,5.33821967,0.07472457,1.26633387,0.51074187,0.21976844,1.58039070,1.86054701,0.03112468,1.53285166
-5.83191596,5.28587241,0.07543045,1.25927316,0.50860600,0.21530110,1.57277468,1.82623884,0.03065271,1.51093674
-5.82591296,5.23439609,0.07600069,1.25298501,0.50694459,0.21070135,1.56584378,1.79471399,0.03018000,1.48833149
-5.81990995,5.18340676,0.07642584,1.24709149,0.50557174,0.20594182,1.55937285,1.76591379,0.02970578,1.46515038
-5.81390695,5.13255385,0.07669864,1.24121126,0.50430930,0.20101067,1.55312753,1.73975246,0.02923085,1.44153982
-5.80790395,5.08151888,0.07681415,1.23497012,0.50298855,0.19591051,1.54686941,1.71611725,0.02875743,1.41766913
-5.80190095,5.03001341,0.07676975,1.22801079,0.50145168,0.19065684,1.54036136,1.69486845,0.02828899,1.39372148
-5.79589795,4.97777708,0.07656509,1.22000194,0.49955332,0.18527628,1.53337293,1.67583961,0.02783001,1.36988542
-5.78989495,4.92457657,0.07620209,1.21064618,0.49716189,0.17980444,1.52568586,1.65883842,0.02738575,1.34634728
-5.78389195,4.87020589,0.07568490,1.19968705,0.49416104,0.17428386,1.51709973,1.64364833,0.02696204,1.32328492
-5.77788894,4.81448827,0.07501976,1.18691480,0.49045099,0.16876180,1.50743733,1.63003125,0.02656503,1.30086287
-5.77188594,4.75727972,0.07421495,1.17217096,0.48594984,0.16328822,1.49654990,1.61773132,0.02620091,1.27922896
-5.76588294,4.69847391,0.07328060,1.15535147,0.48059477,0.15791393,1.48432188,1.60647978,0.02587573,1.25851250
-5.75987994,4.63800801,0.07222861,1.13640846,0.47434308,0.15268890,1.47067507,1.59600070,0.02559518,1.23882369
-5.75387694,4.57586887,0.07107239,1.11535055,0.46717288,0.14766088,1.45557180,1.58601748,0.02536436,1.22025419
-5.74787394,4.51209897,0.06982668,1.09224176,0.45908359,0.14287427,1.43901728,1.57625973,0.02518763,1.20287854
-5.74187094,4.44680128,0.06850728,1.06719888,0.45009598,0.13836932,1.42106063,1.56647022,0.02506841,1.18675611
-5.73586793,4.38014267,0.06713077,1.04038767,0.44025171,0.13418152,1.40179473,1.55641158,0.02500909,1.17193341
-5.72986493,4.31235525,0.06571425,1.01201783,0.42961260,0.13034134,1.38135484,1.54587230,0.02501084,1.15844627
-5.72386193,4.24373525,0.06427495,0.98233691,0.41825923,0.12687411,1.35991585,1.53467192,0.02507357,1.14632205
-5.71785893,4.17463945,0.06282993,0.95162351,0.40628927,0.12380017,1.33768845,1.52266491,0.02519583,1.13558142
-5.71185593,4.10547904,0.06139575,0.92017986,0.39381534,0.12113511,1.31491418,1.50974337,0.02537477,1.12623967
-5.70585293,4.03671121,0.05998811,0.88832415,0.38096258,0.11889020,1.29185956,1.49583819,0.02560617,1.11830780
-5.69984992,3.96882885,0.05862156,0.85638266,0.36786602,0.11707285,1.26880957,1.48091891,0.02588449,1.11179300
-5.69384692,3.90234873,0.05730918,0.82468220,0.35466776,0.11568718,1.24606054,1.46499227,0.02620291,1.10669899
-5.68784392,3.83779893,0.05606233,0.79354279,0.34151415,0.11473460,1.22391278,1.44809960,0.02655354,1.10302605
-5.68184092,3.77570596,0.05489043,0.76327092,0.32855302,0.11421435,1.20266304,1.43031339,0.02692759,1.10077111
-5.67583792,3.71658218,0.05380074,0.73415352,0.31593102,0.11412415,1.18259705,1.41173315,0.02731557,1.09992772
-5.66983492,3.66091427,0.05279827,0.70645267,0.30379119,0.11446065,1.16398242,1.39248094,0.02770765,1.10048640
-5.66383192,3.60915288,0.05188563,0.68040120,0.29227085,0.11521997,1.14706184,1.37269690,0.02809391,1.10243504
-5.65782891,3.56170424,0.05106299,0.65619922,0.28149972,0.11639811,1.13204695,1.35253478,0.02846472,1.10575969
-5.65182591,3.51892363,0.05032813,0.63401151,0.27159844,0.11799135,1.11911299,1.33215797,0.02881111,1.11044566
-5.64582291,3.48111109,0.04967640,0.61396590,0.26267740,0.11999651,1.10839422,1.31173604,0.02912507,1.11647880
-5.63981991,3.44850927,0.04910086,0.59615256,0.25483588,0.12241120,1.09998054,1.29144176,0.02939995,1.12384698
-5.63381691,3.42130338,0.04859245,0.58062407,0.24816153,0.12523400,1.09391511,1.27144894,0.02963073,1.13254163
-5.62781391,3.39962301,0.04814010,0.56739650,0.24273005,0.12846450,1.09019333,1.25193075,0.02981427,1.14255918
-5.62181091,3.38354552,0.04773105,0.55645110,0.23860508,0.13210337,1.08876307,1.23305862,0.02994951,1.15390223
-5.61580790,3.37310066,0.04735110,0.54773683,0.23583825,0.13615225,1.08952633,1.21500157,0.03003761,1.16658032
-5.60980490,3.36827609,0.04698497,0.54117359,0.23446926,0.14061366,1.09234225,1.19792574,0.03008195,1.18061017
-5.60380190,3.36902313,0.04661665,0.53665586,0.23452598,0.14549074,1.09703145,1.18199414,0.03008808,1.19601512
-5.59779890,3.37526260,0.04622988,0.53405705,0.23602454,0.15078704,1.10338155,1.16736621,0.03006359,1.21282386
-5.59179590,3.38689006,0.04580857,0.53323399,0.23896927,0.15650604,1.11115381,1.15419728,0.03001787,1.23106825
-5.58579290,3.40378028,0.04533725,0.53403181,0.24335255,0.16265080,1.12009049,1.14263769,0.02996183,1.25078028
-5.57978989,3.42579043,0.04480160,0.53628878,0.24915452,0.16922336,1.12992288,1.13283148,0.02990749,1.27198825
-5.57378689,3.45276200,0.04418891,0.53984114,0.25634267,0.17622415,1.14037950,1.12491472,0.02986757,1.29471218
-5.56778389,3.48452121,0.04348847,0.54452769,0.26487130,0.18365136,1.15119426,1.11901340,0.02985508,1.31895883
-5.56178089,3.52087807,0.04269202,0.55019396,0.27468101,0.19150017,1.16211430,1.11524102,0.02988279,1.34471642
-5.55577789,3.56162420,0.04179403,0.55669586,0.28569820,0.19976212,1.17290706,1.11369598,0.02996281,1.37194940
-5.54977489,3.60652984,0.04079196,0.56390277,0.29783469,0.20842439,1.18336651,1.11445890,0.03010619,1.40059372
-5.54377189,3.65534054,0.03968642,0.57169984,0.31098764,0.21746921,1.19331817,1.11759018,0.03032249,1.43055284
-5.53776888,3.70777399,0.03848122,0.57998954,0.32503984,0.22687342,1.20262296,1.12312787,0.03061953,1.46169500
-5.53176588,3.76351783,0.03718327,0.58869253,0.33986043,0.23660820,1.21117964,1.13108617,0.03100313,1.49385205
-5.52576288,3.82222886,0.03580247,0.59774765,0.35530622,0.24663902,1.21892600,1.14145468,0.03147705,1.52682015
-5.51975988,3.88353443,0.03435142,0.60711134,0.37122367,0.25692593,1.22583874,1.15419869,0.03204288,1.56036267
-5.51375688,3.94703638,0.03284507,0.61675641,0.38745150,0.26742412,1.23193230,1.16926035,0.03270019,1.59421528
-5.50775388,4.01231782,0.03130034,0.62667027,0.40382397,0.27808490,1.23725669,1.18656108,0.03344667,1.62809335
-5.50175088,4.07895291,0.02973558,0.63685276,0.42017477,0.28885697,1.24189451,1.20600489,0.03427841,1.66170149
-5.49574787,4.14651924,0.02817012,0.64731372,0.43634138,0.29968799,1.24595738,1.22748263,0.03519021,1.69474486
-5.48974487,4.21461257,0.02662375,0.65807025,0.45216974,0.31052646,1.24958189,1.25087691,0.03617598,1.72694186
-5.48374187,4.28286296,0.02511619,0.66914396,0.46751902,0.32132380,1.25292524,1.27606733,0.03722912,1.75803760
-5.47773887,4.35095144,0.02366660,0.68055802,0.48226634,0.33203641,1.25616061,1.30293584,0.03834295,1.78781734
-5.47173587,4.41862593,0.02229318,0.69233435,0.49631102,0.34262780,1.25947237,1.33137158,0.03951107,1.81611927
-5.46573287,4.48571525,0.02101273,0.70449076,0.50957827,0.35307049,1.26305112,1.36127507,0.04072770,1.84284572
-5.45972986,4.55213996,0.01984032,0.71703824,0.52202199,0.36334758,1.26708869,1.39256122,0.04198791,1.86797194
-5.45372686,4.61791872,0.01878905,0.72997841,0.53362646,0.37345392,1.27177291,1.42516088,0.04328778,1.89155193
-5.44772386,4.68316939,0.01786980,0.74330113,0.54440688,0.38339669,1.27728235,1.45902066,0.04462444,1.91372056
-5.44172086,4.74810417,0.01709109,0.75698248,0.55440847,0.39319534,1.28378106,1.49410099,0.04599602,1.93469163
-5.43571786,4.81301841,0.01645899,0.77098297,0.56370432,0.40288082,1.29141321,1.53037228,0.04740143,1.95475177
-5.42971486,4.87827331,0.01597705,0.78524636,0.57239189,0.41249414,1.30029804,1.56780942,0.04884010,1.97425009
-5.42371186,4.94427305,0.01564628,0.79969888,0.58058832,0.42208414,1.31052497,1.60638477,0.05031159,1.99358399
-5.41770885,5.01143727,0.01546519,0.81424920,0.58842487,0.43170477,1.32214926,1.64606014,0.05181514,2.01318167
-5.41170585,5.08017029,0.01542985,0.82878910,0.59604050,0.44141176,1.33518843,1.68677806,0.05334920,2.03348200
-5.40570285,5.15082858,0.01553397,0.84319486,0.60357513,0.45125896,1.34961949,1.72845307,0.05491092,2.05491278
-5.39969985,5.22368837,0.01576898,0.85732954,0.61116276,0.46129455,1.36537736,1.77096342,0.05649572,2.07786847
-5.39369685,5.29891516,0.01612423,0.87104595,0.61892481,0.47155715,1.38235461,1.81414393,0.05809685,2.10268833
-5.38769385,5.37653685,0.01658708,0.88419040,0.62696401,0.48207230,1.40040255,1.85778031,0.05970512,2.12963628
-5.38169085,5.45642220,0.01714317,0.89660694,0.63535910,0.49284914,1.41933382,1.90160566,0.06130867,2.15888340
-5.37568784,5.53826583,0.01777664,0.90814199,0.64416053,0.50387782,1.43892645,1.94529926,0.06289298,2.19049399
-5.36968484,5.62158071,0.01847034,0.91864920,0.65338746,0.51512759,1.45892920,1.98848795,0.06444094,2.22441597
-5.36368184,5.70569863,0.01920624,0.92799412,0.66302598,0.52654566,1.47906810,2.03075019,0.06593309,2.26047595
-5.35767884,5.78977884,0.01996569,0.93605852,0.67302879,0.53805704,1.49905382,2.07162274,0.06734810,2.29837954
-5.35167584,5.87282430,0.02072983,0.94274411,0.68331613,0.54956528,1.51858967,2.11060954,0.06866327,2.33771649
-5.34567284,5.95370493,0.02147997,0.94797536,0.69377801,0.56095412,1.53737979,2.14719280,0.06985518,2.37797072
-5.33966983,6.03118674,0.02219803,0.95170127,0.70427752,0.57208996,1.55513714,2.18084542,0.07090050,2.41853468
-5.33366683,6.10396543,0.02286692,0.95389594,0.71465510,0.58282515,1.57159109,2.21104463,0.07177674,2.45872719
-5.32766383,6.17070296,0.02347097,0.95455791,0.72473351,0.59300187,1.58649404,2.23728592,0.07246310,2.49781423
