energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,2.91685931,0.75420537,1.82073981,0.00435521,0.07906899,0.43657846,0.67285899,0.00255036,0.23103258
-5.99399700,2.92871923,0.75812548,1.82421152,0.00418132,0.07902116,0.43412622,0.68267083,0.00253822,0.22866753
-5.98799400,2.93612342,0.75993299,1.82232761,0.00400851,0.07885686,0.43147537,0.69422284,0.00251533,0.22613575
-5.98199100,2.93794496,0.75916443,1.81447904,0.00383561,0.07852458,0.42834748,0.70721872,0.00248095,0.22335331
-5.97598799,2.93329825,0.75545365,1.80025476,0.00366180,0.07798338,0.42451164,0.72135335,0.00243475,0.22025484
-5.96998499,2.92155769,0.74854030,1.77945266,0.00348666,0.07720370,0.41978917,0.73631657,0.00237680,0.21679514
-5.96398199,2.90236504,0.73827415,1.75208225,0.00331022,0.07616767,0.41405594,0.75179639,0.00230757,0.21294992
-5.95797899,2.87562597,0.72461517,1.71835921,0.00313288,0.07486898,0.40724251,0.76748164,0.00222785,0.20871554
-5.95197599,2.84149646,0.70762955,1.67869233,0.00295541,0.07331239,0.39933211,0.78306443,0.00213877,0.20410787
-5.94597299,2.80036052,0.68748217,1.63366375,0.00277891,0.07151273,0.39035676,0.79824240,0.00204168,0.19916041
-5.93996998,2.75280072,0.66442583,1.58400360,0.00260472,0.06949368,0.38039182,0.81272107,0.00193818,0.19392172
-5.93396698,2.69956353,0.63878802,1.53056038,0.00243437,0.06728629,0.36954937,0.82621654,0.00182998,0.18845234
-5.92796398,2.64152139,0.61095579,1.47426852,0.00226950,0.06492727,0.35797069,0.83845851,0.00171890,0.18282150
-5.92196098,2.57963361,0.58135960,1.41611477,0.00211182,0.06245726,0.34581837,0.84919387,0.00160679,0.17710354
-5.91595798,2.51490795,0.55045666,1.35710464,0.00196297,0.05991906,0.33326832,0.85819086,0.00149548,0.17137453
-5.90995498,2.44836453,0.51871474,1.29823047,0.00182455,0.05735589,0.32050210,0.86524357,0.00138674,0.16570899
-5.90395198,2.38100347,0.48659679,1.24044215,0.00169801,0.05480988,0.30769976,0.87017692,0.00128223,0.16017701
-5.89794897,2.31377710,0.45454713,1.18462142,0.00158464,0.05232056,0.29503358,0.87285159,0.00118347,0.15484182
-5.89194597,2.24756753,0.42297953,1.13156052,0.00148554,0.04992380,0.28266277,0.87316884,0.00109183,0.14975784
-5.88594297,2.18316947,0.39226748,1.08194540,0.00140160,0.04765075,0.27072925,0.87107468,0.00100847,0.14496936
-5.87993997,2.12127845,0.36273684,1.03634379,0.00133346,0.04552727,0.25935455,0.86656324,0.00093437,0.14050976
-5.87393697,2.06248360,0.33466090,0.99519785,0.00128156,0.04357341,0.24863789,0.85967882,0.00087032,0.13640126
-5.86793397,2.00726466,0.30825778,0.95882120,0.00124611,0.04180330,0.23865515,0.85051645,0.00081688,0.13265520
-5.86193097,1.95599211,0.28369001,0.92739977,0.00122712,0.04022513,0.22945887,0.83922061,0.00077444,0.12927269
-5.85592796,1.90892973,0.26106597,0.90099600,0.00122440,0.03884146,0.22107897,0.82598217,0.00074316,0.12624561
-5.84992496,1.86623878,0.24044304,0.87955569,0.00123755,0.03764952,0.21352404,0.81103334,0.00072303,0.12355783
-5.84392196,1.82798314,0.22183194,0.86291697,0.00126602,0.03664180,0.20678320,0.79464096,0.00071387,0.12118662
-5.83791896,1.79413496,0.20520207,0.85082091,0.00130912,0.03580662,0.20082816,0.77709822,0.00071533,0.11910407
-5.83191596,1.76458055,0.19048741,0.84292321,0.00136597,0.03512884,0.19561557,0.75871532,0.00072688,0.11727855
-5.82591296,1.73912656,0.17759280,0.83880671,0.00143562,0.03459052,0.19108946,0.73980938,0.00074787,0.11567612
-5.81990995,1.71750657,0.16640024,0.83799452,0.00151698,0.03417167,0.18718372,0.72069437,0.00077750,0.11426185
-5.81390695,1.69938856,0.15677503,0.83996351,0.00160888,0.03385091,0.18382454,0.70167134,0.00081486,0.11300103
-5.80790395,1.68438347,0.14857164,0.84415832,0.00171009,0.03360621,0.18093294,0.68301976,0.00085894,0.11186032
-5.80190095,1.67205562,0.14163913,0.85000558,0.00181934,0.03341552,0.17842715,0.66499033,0.00090863,0.11080879
-5.79589795,1.66193515,0.13582611,0.85692866,0.00193532,0.03325739,0.17622506,0.64779965,0.00096277,0.10981887
-5.78989495,1.65353283,0.13098517,0.86436272,0.00205678,0.03311157,0.17424660,0.63162718,0.00102016,0.10886729
-5.78389195,1.64635740,0.12697679,0.87177002,0.00218249,0.03295955,0.17241611,0.61661453,0.00107959,0.10793596
-5.77788894,1.63993519,0.12367278,0.87865546,0.00231132,0.03278507,0.17066468,0.60286704,0.00113989,0.10701279
-5.77188594,1.63383160,0.12095919,0.88458196,0.00244225,0.03257461,0.16893241,0.59045760,0.00119992,0.10609256
-5.76588294,1.62767385,0.11873883,0.88918540,0.00257444,0.03231779,0.16717056,0.57943228,0.00125867,0.10517767
-5.75987994,1.62117397,0.11693323,0.89218871,0.00270720,0.03200774,0.16534353,0.56981740,0.00131525,0.10427881
-5.75387694,1.61415104,0.11548432,0.89341458,0.00284007,0.03164144,0.16343056,0.56162741,0.00136898,0.10341565
-5.74787394,1.60655137,0.11435553,0.89279618,0.00297282,0.03121994,0.16142712,0.55487301,0.00141939,0.10261718
-5.74187094,1.59846533,0.11353248,0.89038542,0.00310543,0.03074857,0.15934588,0.54956897,0.00146626,0.10192204
-5.73586793,1.59013976,0.11302322,0.88635808,0.00323810,0.03023698,0.15721720,0.54574085,0.00150970,0.10137846
-5.72986493,1.58198467,0.11285786,0.88101542,0.00337124,0.02969919,0.15508902,0.54343032,0.00155012,0.10104399
-5.72386193,1.57457351,0.11308775,0.87478181,0.00350542,0.02915342,0.15302618,0.54269843,0.00158830,0.10098478
-5.71785893,1.56863628,0.11378402,0.86819813,0.00364130,0.02862195,0.15110913,0.54362676,0.00162537,0.10127460
-5.71185593,1.56504536,0.11503551,0.86191088,0.00377962,0.02813072,0.14943196,0.54631606,0.00166285,0.10199342
-5.70585293,1.56479399,0.11694614,0.85665704,0.00392111,0.02770895,0.14809991,0.55088266,0.00170260,0.10322558
-5.69984992,1.56896801,0.11963169,0.85324482,0.00406639,0.02738858,0.14722630,0.55745265,0.00174684,0.10505766
-5.69384692,1.57871159,0.12321598,0.85253101,0.00421594,0.02720364,0.14692908,0.56615418,0.00179813,0.10757602
-5.68784392,1.59518815,0.12782666,0.85539526,0.00436999,0.02718948,0.14732704,0.57710849,0.00185928,0.11086409
-5.68184092,1.61953786,0.13359051,0.86271210,0.00452849,0.02738202,0.14853584,0.59042003,0.00193339,0.11499950
-5.67583792,1.65283332,0.14062850,0.87532174,0.00469102,0.02781685,0.15066395,0.60616640,0.00202370,0.12005116
-5.66983492,1.69603526,0.14905067,0.89400040,0.00485678,0.02852832,0.15380880,0.62438872,0.00213361,0.12607636
-5.66383192,1.74994996,0.15895108,0.91943129,0.00502454,0.02954863,0.15805307,0.64508304,0.00226658,0.13311808
-5.65782891,1.81519012,0.17040283,0.95217731,0.00519269,0.03090687,0.16346145,0.66819329,0.00242605,0.14120249
