energy_ev,total_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,7.83456813,0.03789847,0.00969214,0.03933379,0.05825541,0.15635287,0.13186272,7.21177022
-5.99399700,7.87792097,0.04084384,0.00900452,0.04040545,0.06001396,0.15930604,0.13527489,7.23989327
-5.98799400,7.90207722,0.04375328,0.00836145,0.04138390,0.06172268,0.16227784,0.13858673,7.25011574
-5.98199100,7.90422316,0.04658653,0.00775929,0.04223998,0.06333288,0.16516295,0.14171827,7.23995879
-5.97598799,7.88198828,0.04930244,0.00719465,0.04294655,0.06479659,0.16785479,0.14459011,7.20736966
-5.96998499,7.83350492,0.05186000,0.00666444,0.04347927,0.06606798,0.17024852,0.14712555,7.15077239
-5.96398199,7.75745244,0.05421949,0.00616592,0.04381730,0.06710467,0.17224409,0.14925273,7.06910362
-5.95797899,7.65308505,0.05634352,0.00569671,0.04394399,0.06786893,0.17374908,0.15090658,6.96183292
-5.95197599,7.52024311,0.05819815,0.00525478,0.04384723,0.06832873,0.17468130,0.15203069,6.82896776
-5.94597299,7.35934805,0.05975387,0.00483842,0.04351991,0.06845869,0.17497118,0.15257885,6.67104348
-5.93996998,7.17138145,0.06098643,0.00444624,0.04295996,0.06824070,0.17456367,0.15251639,6.48909895
-5.93396698,6.95784948,0.06187759,0.00407706,0.04217045,0.06766443,0.17341972,0.15182104,6.28463930
-5.92796398,6.72073399,0.06241557,0.00372995,0.04115936,0.06672753,0.17151724,0.15048350,6.05958710
-5.92196098,6.46243220,0.06259534,0.00340410,0.03993933,0.06543556,0.16885149,0.14850759,5.81622383
-5.91595798,6.18568708,0.06241870,0.00309886,0.03852715,0.06380176,0.16543495,0.14590988,5.55712374
-5.90995498,5.89351068,0.06189404,0.00281364,0.03694328,0.06184649,0.16129665,0.14271910,5.28508235
-5.90395198,5.58910322,0.06103599,0.00254797,0.03521114,0.05959654,0.15648093,0.13897498,5.00304183
-5.89794897,5.27577032,0.05986477,0.00230140,0.03335644,0.05708422,0.15104579,0.13472697,4.71401581
-5.89194597,4.95684126,0.05840549,0.00207357,0.03140640,0.05434630,0.14506089,0.13003261,4.42101589
-5.88594297,4.63559070,0.05668718,0.00186416,0.02938904,0.05142288,0.13860523,0.12495573,4.12698206
-5.87993997,4.31516626,0.05474187,0.00167294,0.02733246,0.04835622,0.13176465,0.11956463,3.83471918
-5.87393697,3.99852404,0.05260358,0.00149979,0.02526412,0.04518949,0.12462925,0.11393026,3.54684104
-5.86793397,3.68837387,0.05030727,0.00134472,0.02321033,0.04196566,0.11729089,0.10812442,3.26572360
-5.86193097,3.38713537,0.04788793,0.00120792,0.02119569,0.03872637,0.10984076,0.10221823,2.99346825
-5.85592796,3.09690579,0.04537968,0.00108978,0.01924271,0.03551097,0.10236725,0.09628077,2.73187576
-5.84992496,2.81943980,0.04281507,0.00099100,0.01737156,0.03235571,0.09495398,0.09037799,2.48243091
-5.84392196,2.55614108,0.04022440,0.00091257,0.01559991,0.02929303,0.08767838,0.08457201,2.24629753
-5.83791896,2.30806494,0.03763527,0.00085592,0.01394287,0.02635107,0.08061045,0.07892061,2.02432334
-5.83191596,2.07593101,0.03507227,0.00082291,0.01241306,0.02355338,0.07381205,0.07347714,1.81705340
-5.82591296,1.86014452,0.03255681,0.00081595,0.01102082,0.02091874,0.06733655,0.06829069,1.62475089
-5.81990995,1.66082446,0.03010704,0.00083805,0.00977440,0.01846121,0.06122878,0.06340644,1.44742382
-5.81390695,1.47783700,0.02773796,0.00089286,0.00868029,0.01619026,0.05552540,0.05886628,1.28485600
-5.80790395,1.31083217,0.02546152,0.00098478,0.00774359,0.01411108,0.05025542,0.05470950,1.13664055
-5.80190095,1.15928214,0.02328693,0.00111894,0.00696831,0.01222498,0.04544101,0.05097353,1.00221472
-5.79589795,1.02251937,0.02122085,0.00130125,0.00635781,0.01052981,0.04109839,0.04769471,0.88089422
-5.78989495,0.89977327,0.01926776,0.00153841,0.00591504,0.00902053,0.03723874,0.04490890,0.77190616
-5.78389195,0.79020416,0.01743021,0.00183785,0.00564288,0.00768967,0.03386924,0.04265196,0.67441946
-5.77788894,0.69293354,0.01570917,0.00220764,0.00554434,0.00652793,0.03099385,0.04096003,0.58757197
