energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
1.94197099,4.33049702,0.02730423,0.99198492,1.45626308,0.78290272,0.23500734,1.44373221,1.52536858,0.00139586
1.94797399,4.38604614,0.02628051,1.01442093,1.46776949,0.79156568,0.23711447,1.46289088,1.55680406,0.00137650
1.95397699,4.43782761,0.02518838,1.03636889,1.47724222,0.80009326,0.23878109,1.48164729,1.58442639,0.00135655
1.95997999,4.48547941,0.02404401,1.05771803,1.48463465,0.80850618,0.23998878,1.49975966,1.60783170,0.00133638
1.96598299,4.52848325,0.02286332,1.07832221,1.48984834,0.81678364,0.24071038,1.51692518,1.62660898,0.00131623
1.97198599,4.56619593,0.02166168,1.09800695,1.49273848,0.82486625,0.24091101,1.53279747,1.64035556,0.00129628
1.97798899,4.59789177,0.02045357,1.11657909,1.49312383,0.83266166,0.24054988,1.54700744,1.64869480,0.00127660
1.98399200,4.62281334,0.01925238,1.13383821,1.49080020,0.84005236,0.23958266,1.55918624,1.65129485,0.00125718
1.98999500,4.64022732,0.01807036,1.14958933,1.48555685,0.84690522,0.23796437,1.56898899,1.64788755,0.00123796
1.99599800,4.64948180,0.01691854,1.16365591,1.47719436,0.85308212,0.23565249,1.57611788,1.63828599,0.00121881
2.00200100,4.65006133,0.01580679,1.17589243,1.46554305,0.85845089,0.23261025,1.58034319,1.62239992,0.00119959
2.00800400,4.64163621,0.01474393,1.18619561,1.45048062,0.86289591,0.22880981,1.58152105,1.60024769,0.00118012
2.01400700,4.62410264,0.01373781,1.19451358,1.43194774,0.86632769,0.22423502,1.57960682,1.57196401,0.00116026
2.02001001,4.59761113,0.01279549,1.20085230,1.40996074,0.86869073,0.21888388,1.57466335,1.53780296,0.00113990
2.02601301,4.56258130,0.01192337,1.20527888,1.38462041,0.86996919,0.21277024,1.56686351,1.49813582,0.00111896
2.03201601,4.51970199,0.01112729,1.20792131,1.35611641,0.87019009,0.20592487,1.55648702,1.45344388,0.00109743
2.03801901,4.46991646,0.01041266,1.20896489,1.32472703,0.86942369,0.19839562,1.54391164,1.40430642,0.00107536
2.04402201,4.41439370,0.00978450,1.20864519,1.29081420,0.86778130,0.19024690,1.52959917,1.35138451,0.00105285
