energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,7.14849701,1.88362665,4.23927507,0.02619337,0.39497695,0.00812860,1.83620448,1.43811949,0.50627594
-5.99399700,7.16099334,1.90690413,4.23729008,0.02560171,0.40105510,0.00834601,1.84159444,1.44669941,0.50923119
-5.98799400,7.16503531,1.92741884,4.23088248,0.02495185,0.40634566,0.00857023,1.84440079,1.45266249,0.51164313
-5.98199100,7.15959814,1.94472602,4.21942681,0.02424740,0.41068998,0.00879536,1.84449826,1.45596390,0.51343153
-5.97598799,7.14365677,1.95839675,4.20228318,0.02349308,0.41394062,0.00901543,1.84176400,1.45657303,0.51451381
-5.96998499,7.11622400,1.96802720,4.17882596,0.02269451,0.41596581,0.00922446,1.83607977,1.45447194,0.51480804
-5.96398199,7.07638926,1.97324793,4.14847265,0.02185802,0.41665331,0.00941669,1.82733502,1.44965434,0.51423604
-5.95797899,7.02335633,1.97373299,4.11071154,0.02099049,0.41591378,0.00958668,1.81543059,1.44212484,0.51272652
-5.95197599,6.95647829,1.96920852,4.06512702,0.02009909,0.41368335,0.00972950,1.80028283,1.43189881,0.51021799
-5.94597299,6.87528853,1.95946058,4.01142158,0.01919111,0.40992542,0.00984083,1.78182798,1.41900252,0.50666149
-5.93996998,6.77952620,1.94434168,3.94943349,0.01827379,0.40463162,0.00991715,1.76002651,1.40347361,0.50202280
-5.93396698,6.66915528,1.92377598,3.87914970,0.01735413,0.39782188,0.00995580,1.73486718,1.38536174,0.49628413
-5.92796398,6.54437648,1.89776275,3.80071337,0.01643875,0.38954369,0.00995512,1.70637056,1.36472935,0.48944523
-5.92196098,6.40563150,1.86637789,3.71442605,0.01553381,0.37987059,0.00991444,1.67459182,1.34165232,0.48152384
-5.91595798,6.25359961,1.82977357,3.62074431,0.01464488,0.36889991,0.00983419,1.63962257,1.31622052,0.47255547
-5.90995498,6.08918673,1.78817573,3.52027135,0.01377687,0.35674992,0.00971581,1.60159165,1.28853816,0.46259255
-5.90395198,5.91350766,1.74187978,3.41374384,0.01293403,0.34355652,0.00956173,1.56066490,1.25872385,0.45170305
-5.89794897,5.72786216,1.69124440,3.30201475,0.01211989,0.32946953,0.00937528,1.51704377,1.22691038,0.43996862
-5.89194597,5.53370605,1.63668395,3.18603292,0.01133727,0.31464880,0.00916056,1.47096296,1.19324427,0.42748235
-5.88594297,5.33261842,1.57865954,3.06682014,0.01058830,0.29926021,0.00892229,1.42268715,1.15788505,0.41434632
-5.87993997,5.12626639,1.51766929,2.94544675,0.00987448,0.28347177,0.00866564,1.37250703,1.12100432,0.40066899
-5.87393697,4.91636869,1.45423813,2.82300664,0.00919668,0.26744982,0.00839602,1.32073473,1.08278475,0.38656261
-5.86793397,4.70465937,1.38890738,2.70059243,0.00855523,0.25135562,0.00811892,1.26769893,1.04341888,0.37214076
-5.86193097,4.49285280,1.32222466,2.57927184,0.00794998,0.23534227,0.00783969,1.21373976,1.00310792,0.35751603
-5.85592796,4.28261111,1.25473425,2.46006573,0.00738036,0.21955203,0.00756336,1.15920368,0.96206043,0.34279798
-5.84992496,4.07551477,1.18696827,2.34392855,0.00684547,0.20411424,0.00729449,1.10443845,0.92049095,0.32809142
-5.84392196,3.87303711,1.11943882,2.23173166,0.00634410,0.18914367,0.00703699,1.04978838,0.87861853,0.31349499
-5.83791896,3.67652302,1.05263114,2.12424967,0.00587488,0.17473944,0.00679408,0.99558976,0.83666509,0.29910002
-5.83191596,3.48717219,0.98699795,2.02215020,0.00543628,0.16098439,0.00656813,0.94216670,0.79485361,0.28498978
-5.82591296,3.30602684,0.92295486,1.92598689,0.00502667,0.14794500,0.00636070,0.88982720,0.75340609,0.27123886
-5.81990995,3.13396373,0.86087677,1.83619571,0.00464443,0.13567163,0.00617248,0.83885962,0.71254121,0.25791293
-5.81390695,2.97169027,0.80109534,1.75309433,0.00428791,0.12419916,0.00600336,0.78952946,0.67247176,0.24506852
-5.80790395,2.81974432,0.74389719,1.67688431,0.00395554,0.11354793,0.00585247,0.74207641,0.63340181,0.23275306
-5.80190095,2.67849718,0.68952287,1.60765572,0.00364582,0.10372489,0.00571830,0.69671173,0.59552363,0.22100494
