energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.57347610,0.03790891,0.00000000,0.03783683,1.61616462,1.56660466,0.56699716
-5.99399700,2.60031724,0.03863963,0.00000000,0.03798993,1.63402039,1.58690884,0.56737629
-5.98799400,2.62166125,0.03934208,0.00000000,0.03802763,1.64865923,1.60438237,0.56646045
-5.98199100,2.63692864,0.04000272,0.00000000,0.03794355,1.65969628,1.61855282,0.56419671
-5.97598799,2.64560461,0.04060740,0.00000000,0.03773360,1.66677686,1.62896368,0.56054833
-5.96998499,2.64725194,0.04114177,0.00000000,0.03739596,1.66958551,1.63518529,0.55549671
-5.96398199,2.64152279,0.04159190,0.00000000,0.03693121,1.66785480,1.63682588,0.54904307
-5.95797899,2.62816911,0.04194481,0.00000000,0.03634217,1.66137362,1.63354244,0.54120967
-5.95197599,2.60705179,0.04218908,0.00000000,0.03563388,1.64999490,1.62505112,0.53204077
-5.94597299,2.57814813,0.04231542,0.00000000,0.03481339,1.63364251,1.61113701,0.52160307
-5.93996998,2.54155762,0.04231718,0.00000000,0.03388961,1.61231712,1.59166275,0.50998579
-5.93396698,2.49750584,0.04219088,0.00000000,0.03287306,1.58610090,1.56657591,0.49730040
-5.92796398,2.44634609,0.04193655,0.00000000,0.03177567,1.55516066,1.53591447,0.48367990
-5.92196098,2.38855871,0.04155801,0.00000000,0.03061052,1.51974938,1.49981047,0.46927769
-5.91595798,2.32474773,0.04106302,0.00000000,0.02939162,1.48020566,1.45849121,0.45426613
-5.90995498,2.25563459,0.04046330,0.00000000,0.02813366,1.43695116,1.41227799,0.43883459
-5.90395198,2.18204893,0.03977437,0.00000000,0.02685179,1.39048563,1.36158222,0.42318718
-5.89794897,2.10491615,0.03901528,0.00000000,0.02556141,1.34137964,1.30689883,0.40753999
-5.89194597,2.02524187,0.03820815,0.00000000,0.02427800,1.29026495,1.24879709,0.39211803
-5.88594297,1.94409349,0.03737764,0.00000000,0.02301688,1.23782258,1.18790904,0.37715167
-5.87993997,1.86257902,0.03655021,0.00000000,0.02179305,1.18476896,1.12491581,0.36287278
-5.87393697,1.78182373,0.03575341,0.00000000,0.02062103,1.13184032,1.06053230,0.34951057
-5.86793397,1.70294515,0.03501501,0.00000000,0.01951465,1.07977587,0.99549070,0.33728711
-5.86193097,1.62702719,0.03436211,0.00000000,0.01848693,1.02930020,0.93052338,0.32641277
-5.85592796,1.55509409,0.03382029,0.00000000,0.01754985,0.98110557,0.86634584,0.31708150
-5.84992496,1.48808521,0.03341274,0.00000000,0.01671422,0.93583458,0.80364027,0.30946624
-5.84392196,1.42683139,0.03315951,0.00000000,0.01598950,0.89406396,0.74304027,0.30371447
-5.83791896,1.37203388,0.03307673,0.00000000,0.01538363,0.85628992,0.68511736,0.29994407
-5.83191596,1.32424645,0.03317609,0.00000000,0.01490284,0.82291569,0.63036959,0.29823971
-5.82591296,1.28386153,0.03346436,0.00000000,0.01455156,0.79424166,0.57921267,0.29864973
-5.81990995,1.25110074,0.03394306,0.00000000,0.01433223,0.77045845,0.53197379,0.30118380
-5.81390695,1.22601032,0.03460832,0.00000000,0.01424522,0.75164314,0.48888826,0.30581140
-5.80790395,1.20846141,0.03545093,0.00000000,0.01428875,0.73775881,0.45009891,0.31246125
-5.80190095,1.19815547,0.03645644,0.00000000,0.01445882,0.72865726,0.41565815,0.32102170
-5.79589795,1.19463439,0.03760556,0.00000000,0.01474925,0.72408496,0.38553242,0.33134217
-5.78989495,1.19729504,0.03887459,0.00000000,0.01515170,0.72369184,0.35960883,0.34323566
-5.78389195,1.20540778,0.04023606,0.00000000,0.01565576,0.72704268,0.33770346,0.35648229
-5.77788894,1.21813833,0.04165943,0.00000000,0.01624916,0.73363065,0.31957113,0.37083382
-5.77188594,1.23457210,0.04311191,0.00000000,0.01691791,0.74289262,0.30491609,0.38601911
-5.76588294,1.25374054,0.04455936,0.00000000,0.01764661,0.75422568,0.29340326,0.40175029
-5.75987994,1.27464828,0.04596718,0.00000000,0.01841879,0.76700435,0.28466972,0.41772965
-5.75387694,1.29630060,0.04730126,0.00000000,0.01921720,0.78059806,0.27833599,0.43365684
-5.74787394,1.31773008,0.04852893,0.00000000,0.02002428,0.79438816,0.27401687,0.44923643
-5.74187094,1.33802186,0.04961978,0.00000000,0.02082255,0.80778419,0.27133153,0.46418530
-5.73586793,1.35633658,0.05054655,0.00000000,0.02159502,0.82023881,0.26991262,0.47823988
-5.72986493,1.37193053,0.05128576,0.00000000,0.02232565,0.83126091,0.26941426,0.49116276
-5.72386193,1.38417218,0.05181840,0.00000000,0.02299972,0.84042670,0.26951875,0.50274848
-5.71785893,1.39255484,0.05213033,0.00000000,0.02360419,0.84738826,0.26994194,0.51282839
-5.71185593,1.39670505,0.05221258,0.00000000,0.02412800,0.85187949,0.27043719,0.52127415
-5.70585293,1.39638644,0.05206157,0.00000000,0.02456232,0.85371929,0.27079787,0.52799994
-5.69984992,1.39149921,0.05167902,0.00000000,0.02490066,0.85281183,0.27085862,0.53296306
-5.69384692,1.38207530,0.05107181,0.00000000,0.02513900,0.84914422,0.27049524,0.53616319
-5.68784392,1.36826960,0.05025162,0.00000000,0.02527569,0.84278156,0.26962340,0.53764000
-5.68184092,1.35034770,0.04923449,0.00000000,0.02531139,0.83385973,0.26819642,0.53746963
-5.67583792,1.32867091,0.04804024,0.00000000,0.02524886,0.82257645,0.26620217,0.53575985
-5.66983492,1.30367919,0.04669176,0.00000000,0.02509269,0.80918087,0.26365931,0.53264453
-5.66383192,1.27587303,0.04521437,0.00000000,0.02484899,0.79396240,0.26061319,0.52827747
-5.65782891,1.24579501,0.04363499,0.00000000,0.02452503,0.77723926,0.25713148,0.52282605
-5.65182591,1.21401198,0.04198152,0.00000000,0.02412889,0.75934736,0.25329992,0.51646503
-5.64582291,1.18109880,0.04028209,0.00000000,0.02366905,0.74062995,0.24921819,0.50937085
-5.63981991,1.14762414,0.03856450,0.00000000,0.02315411,0.72142861,0.24499626,0.50171668
-5.63381691,1.11413906,0.03685573,0.00000000,0.02259241,0.70207589,0.24075122,0.49366852
-5.62781391,1.08116867,0.03518154,0.00000000,0.02199183,0.68288977,0.23660475,0.48538234
-5.62181091,1.04920697,0.03356628,0.00000000,0.02135960,0.66417016,0.23268120,0.47700261
-5.61580790,1.01871486,0.03203267,0.00000000,0.02070216,0.64619733,0.22910633,0.46866183
-5.60980490,0.99012086,0.03060190,0.00000000,0.02002512,0.62923209,0.22600659,0.46048123
-5.60380190,0.96382427,0.02929365,0.00000000,0.01933329,0.61351743,0.22350883,0.45257228
-5.59779890,0.94019986,0.02812631,0.00000000,0.01863071,0.59928124,0.22174036,0.44503874
-5.59179590,0.91960348,0.02711715,0.00000000,0.01792084,0.58673955,0.22082903,0.43797903
-5.58579290,0.90237770,0.02628261,0.00000000,0.01720661,0.57609995,0.22090330,0.43148849
-5.57978989,0.88885671,0.02563850,0.00000000,0.01649067,0.56756450,0.22209209,0.42566129
-5.57378689,0.87936968,0.02520013,0.00000000,0.01577548,0.56133186,0.22452420,0.42059171
-5.56778389,0.87424213,0.02498246,0.00000000,0.01506352,0.55759816,0.22832718,0.41637452
-5.56178089,0.87379471,0.02500003,0.00000000,0.01435733,0.55655644,0.23362568,0.41310445
-5.55577789,0.87833934,0.02526686,0.00000000,0.01365968,0.55839443,0.24053913,0.41087462
-5.54977489,0.88817263,0.02579619,0.00000000,0.01297354,0.56329085,0.24917885,0.40977403
-5.54377189,0.90356694,0.02660007,0.00000000,0.01230211,0.57141023,0.25964469,0.40988426
-5.53776888,0.92475946,0.02768891,0.00000000,0.01164880,0.58289670,0.27202129,0.41127571
-5.53176588,0.95194000,0.02907086,0.00000000,0.01101709,0.59786699,0.28637422,0.41400347
-5.52576288,0.98523833,0.03075116,0.00000000,0.01041049,0.61640324,0.30274611,0.41810338
-5.51975988,1.02471190,0.03273149,0.00000000,0.00983237,0.63854610,0.32115315,0.42358854
-5.51375688,1.07033478,0.03500929,0.00000000,0.00928586,0.66428867,0.34158197,0.43044651
-5.50775388,1.12198885,0.03757715,0.00000000,0.00877367,0.69357166,0.36398734,0.43863768
