energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-5.45372686,0.46191406,-0.46191409,0.00015733,-0.00015733,0.01451803,-0.01451803,0.09541475,-0.09541475,0.08370526,-0.08370527,0.00456428,-0.00456428,0.28174844,-0.28174846,0.16965628,-0.16965629,0.05034384,-0.05034384
-5.44772386,0.49632224,-0.49632228,0.00014611,-0.00014611,0.01682599,-0.01682599,0.10183930,-0.10183930,0.09171234,-0.09171236,0.00510233,-0.00510233,0.30065571,-0.30065573,0.17655099,-0.17655100,0.05485099,-0.05485099
-5.44172086,0.53538071,-0.53538076,0.00013685,-0.00013685,0.01942138,-0.01942138,0.10922789,-0.10922790,0.10073961,-0.10073962,0.00568501,-0.00568501,0.32208670,-0.32208672,0.18480590,-0.18480591,0.06001636,-0.06001637
-5.43571786,0.57867339,-0.57867344,0.00012963,-0.00012963,0.02230978,-0.02230978,0.11749612,-0.11749613,0.11074048,-0.11074049,0.00630819,-0.00630819,0.34575379,-0.34575382,0.19425317,-0.19425318,0.06580192,-0.06580193
-5.42971486,0.62570062,-0.62570068,0.00012453,-0.00012453,0.02549364,-0.02549365,0.12654216,-0.12654216,0.12165341,-0.12165342,0.00696662,-0.00696662,0.37131864,-0.37131867,0.20469608,-0.20469609,0.07216015,-0.07216016
-5.42371186,0.67587986,-0.67587992,0.00012160,-0.00012160,0.02897173,-0.02897174,0.13624672,-0.13624673,0.13340149,-0.13340151,0.00765393,-0.00765393,0.39839399,-0.39839402,0.21591119,-0.21591120,0.07903328,-0.07903329
-5.41770885,0.72855054,-0.72855060,0.00012090,-0.00012090,0.03273864,-0.03273865,0.14647402,-0.14647403,0.14589290,-0.14589292,0.00836265,-0.00836265,0.42654808,-0.42654811,0.22765209,-0.22765210,0.08635291,-0.08635292
-5.41170585,0.78298330,-0.78298336,0.00012249,-0.00012249,0.03678454,-0.03678454,0.15707343,-0.15707344,0.15902200,-0.15902202,0.00908431,-0.00908431,0.45531163,-0.45531166,0.23965444,-0.23965446,0.09404018,-0.09404019
-5.40570285,0.83839332,-0.83839339,0.00012640,-0.00012640,0.04109508,-0.04109508,0.16788211,-0.16788212,0.17267137,-0.17267139,0.00980955,-0.00980955,0.48418724,-0.48418727,0.25164234,-0.25164236,0.10200649,-0.10200650
-5.39969985,0.89395762,-0.89395768,0.00013271,-0.00013271,0.04565154,-0.04565154,0.17872839,-0.17872841,0.18671456,-0.18671458,0.01052833,-0.01052833,0.51266097,-0.51266100,0.26333568,-0.26333569,0.11015474,-0.11015475
-5.39369685,0.94883567,-0.94883574,0.00014150,-0.00014150,0.05043118,-0.05043119,0.18943578,-0.18943579,0.20101954,-0.20101956,0.01123010,-0.01123010,0.54021569,-0.54021572,0.27445826,-0.27445828,0.11838119,-0.11838120
-5.38769385,1.00219280,-1.00219287,0.00015288,-0.00015288,0.05540790,-0.05540791,0.19982760,-0.19982761,0.21545280,-0.21545282,0.01190410,-0.01190410,0.56634578,-0.56634581,0.28474640,-0.28474641,0.12657778,-0.12657779
-5.38169085,1.05322544,-1.05322550,0.00016699,-0.00016699,0.06055308,-0.06055309,0.20973197,-0.20973199,0.22988389,-0.22988391,0.01253962,-0.01253962,0.59057260,-0.59057263,0.29395754,-0.29395755,0.13463495,-0.13463496
-5.37568784,1.10118737,-1.10118743,0.00018403,-0.00018403,0.06583667,-0.06583667,0.21898708,-0.21898709,0.24419026,-0.24419028,0.01312633,-0.01312633,0.61246014,-0.61246016,0.30187872,-0.30187873,0.14244485,-0.14244486
