energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.67898006,-1.67898002,0.04647754,-0.04647754,0.13687338,-0.13687336,0.64960530,-0.64960526,0.42953614,-0.42953614,0.01517892,-0.01517892,0.79720686,-0.79720685
-5.99399700,1.63597972,-1.63597967,0.04679762,-0.04679762,0.13120729,-0.13120728,0.62106579,-0.62106575,0.42230887,-0.42230886,0.01460987,-0.01460987,0.77825706,-0.77825704
-5.98799400,1.58902142,-1.58902137,0.04690743,-0.04690743,0.12545504,-0.12545503,0.59205236,-0.59205232,0.41375665,-0.41375664,0.01398037,-0.01398037,0.75716968,-0.75716966
-5.98199100,1.53832539,-1.53832532,0.04680073,-0.04680073,0.11963584,-0.11963583,0.56271436,-0.56271432,0.40392047,-0.40392046,0.01329999,-0.01329999,0.73406640,-0.73406638
-5.97598799,1.48417439,-1.48417432,0.04647523,-0.04647523,0.11376870,-0.11376869,0.53320225,-0.53320220,0.39286238,-0.39286237,0.01257917,-0.01257916,0.70910401,-0.70910398
-5.96998499,1.42691455,-1.42691448,0.04593271,-0.04593271,0.10787339,-0.10787338,0.50366840,-0.50366836,0.38066552,-0.38066551,0.01182884,-0.01182884,0.68247325,-0.68247321
-5.96398199,1.36695415,-1.36695407,0.04517901,-0.04517901,0.10197139,-0.10197138,0.47426777,-0.47426774,0.36743366,-0.36743364,0.01106014,-0.01106014,0.65439668,-0.65439664
-5.95797899,1.30476022,-1.30476014,0.04422388,-0.04422388,0.09608651,-0.09608650,0.44515811,-0.44515808,0.35328998,-0.35328996,0.01028404,-0.01028404,0.62512569,-0.62512565
-5.95197599,1.24085290,-1.24085281,0.04308069,-0.04308068,0.09024544,-0.09024544,0.41649981,-0.41649978,0.33837534,-0.33837531,0.00951113,-0.00951113,0.59493646,-0.59493642
-5.94597299,1.17579766,-1.17579757,0.04176609,-0.04176608,0.08447790,-0.08447789,0.38845522,-0.38845518,0.32284583,-0.32284581,0.00875141,-0.00875140,0.56412522,-0.56412518
-5.93996998,1.11019558,-1.11019548,0.04029950,-0.04029950,0.07881658,-0.07881657,0.36118745,-0.36118742,0.30686987,-0.30686985,0.00801403,-0.00801403,0.53300274,-0.53300270
-5.93396698,1.04467213,-1.04467204,0.03870256,-0.03870256,0.07329684,-0.07329683,0.33485885,-0.33485882,0.29062481,-0.29062478,0.00730724,-0.00730724,0.50188841,-0.50188836
-5.92796398,0.97986491,-0.97986481,0.03699849,-0.03699849,0.06795615,-0.06795614,0.30962900,-0.30962897,0.27429323,-0.27429320,0.00663826,-0.00663826,0.47110400,-0.47110396
-5.92196098,0.91641077,-0.91641068,0.03521145,-0.03521145,0.06283334,-0.06283333,0.28565261,-0.28565258,0.25805915,-0.25805912,0.00601324,-0.00601324,0.44096752,-0.44096748
-5.91595798,0.85493312,-0.85493303,0.03336588,-0.03336588,0.05796778,-0.05796777,0.26307727,-0.26307725,0.24210411,-0.24210408,0.00543725,-0.00543725,0.41178716,-0.41178712
-5.90995498,0.79602963,-0.79602954,0.03148585,-0.03148585,0.05339838,-0.05339837,0.24204129,-0.24204126,0.22660350,-0.22660347,0.00491432,-0.00491432,0.38385580,-0.38385576
-5.90395198,0.74026116,-0.74026107,0.02959448,-0.02959448,0.04916262,-0.04916261,0.22267168,-0.22267165,0.21172310,-0.21172308,0.00444748,-0.00444748,0.35744611,-0.35744607
-5.89794897,0.68814197,-0.68814188,0.02771343,-0.02771342,0.04529559,-0.04529558,0.20508247,-0.20508244,0.19761606,-0.19761603,0.00403883,-0.00403883,0.33280647,-0.33280643
-5.89194597,0.64013182,-0.64013174,0.02586244,-0.02586244,0.04182908,-0.04182907,0.18937335,-0.18937333,0.18442031,-0.18442028,0.00368964,-0.00368964,0.31015776,-0.31015772
-5.88594297,0.59662992,-0.59662985,0.02405902,-0.02405902,0.03879076,-0.03879075,0.17562879,-0.17562877,0.17225654,-0.17225651,0.00340044,-0.00340044,0.28969112,-0.28969109
-5.87993997,0.55797091,-0.55797083,0.02231820,-0.02231820,0.03620347,-0.03620347,0.16391751,-0.16391750,0.16122678,-0.16122676,0.00317108,-0.00317108,0.27156667,-0.27156663
-5.87393697,0.52442275,-0.52442268,0.02065240,-0.02065239,0.03408471,-0.03408470,0.15429248,-0.15429247,0.15141349,-0.15141347,0.00300088,-0.00300088,0.25591305,-0.25591302
-5.86793397,0.49618654,-0.49618648,0.01907138,-0.01907138,0.03244613,-0.03244613,0.14679127,-0.14679126,0.14287921,-0.14287918,0.00288865,-0.00288865,0.24282792,-0.24282789
-5.86193097,0.47339789,-0.47339783,0.01758233,-0.01758233,0.03129335,-0.03129335,0.14143676,-0.14143675,0.13566672,-0.13566670,0.00283281,-0.00283281,0.23237896,-0.23237893
-5.85592796,0.45612968,-0.45612963,0.01618999,-0.01618999,0.03062575,-0.03062574,0.13823813,-0.13823812,0.12979965,-0.12979963,0.00283141,-0.00283141,0.22460563,-0.22460561
-5.84992496,0.44439600,-0.44439596,0.01489681,-0.01489680,0.03043651,-0.03043651,0.13719211,-0.13719210,0.12528337,-0.12528336,0.00288220,-0.00288220,0.21952125,-0.21952123
-5.84392196,0.43815681,-0.43815678,0.01370322,-0.01370322,0.03071275,-0.03071275,0.13828430,-0.13828429,0.12210628,-0.12210626,0.00298267,-0.00298267,0.21711537,-0.21711535
-5.83791896,0.43732333,-0.43732330,0.01260789,-0.01260789,0.03143579,-0.03143579,0.14149063,-0.14149063,0.12024122,-0.12024120,0.00313009,-0.00313009,0.21735637,-0.21735635
-5.83191596,0.44176359,-0.44176357,0.01160800,-0.01160800,0.03258152,-0.03258152,0.14677883,-0.14677883,0.11964712,-0.11964711,0.00332150,-0.00332150,0.22019405,-0.22019404
-5.82591296,0.45130832,-0.45130830,0.01069951,-0.01069951,0.03412089,-0.03412089,0.15410974,-0.15410975,0.12027072,-0.12027071,0.00355374,-0.00355374,0.22556226,-0.22556225
-5.81990995,0.46575662,-0.46575661,0.00987745,-0.00987745,0.03602052,-0.03602052,0.16343868,-0.16343869,0.12204837,-0.12204837,0.00382348,-0.00382348,0.23338132,-0.23338132
-5.81390695,0.48488160,-0.48488160,0.00913615,-0.00913615,0.03824338,-0.03824338,0.17471652,-0.17471653,0.12490782,-0.12490782,0.00412725,-0.00412725,0.24356037,-0.24356037
-5.80790395,0.50843571,-0.50843572,0.00846947,-0.00846946,0.04074955,-0.04074956,0.18789063,-0.18789064,0.12877007,-0.12877007,0.00446141,-0.00446141,0.25599945,-0.25599946
-5.80190095,0.53615565,-0.53615566,0.00787098,-0.00787098,0.04349710,-0.04349711,0.20290556,-0.20290558,0.13355116,-0.13355116,0.00482221,-0.00482221,0.27059135,-0.27059136
-5.79589795,0.56776688,-0.56776689,0.00733418,-0.00733418,0.04644295,-0.04644295,0.21970346,-0.21970348,0.13916393,-0.13916393,0.00520581,-0.00520581,0.28722319,-0.28722320
-5.78989495,0.60298765,-0.60298768,0.00685259,-0.00685259,0.04954380,-0.04954380,0.23822417,-0.23822419,0.14551974,-0.14551974,0.00560830,-0.00560830,0.30577775,-0.30577776
-5.78389195,0.64153244,-0.64153247,0.00641988,-0.00641988,0.05275705,-0.05275705,0.25840500,-0.25840503,0.15253005,-0.15253005,0.00602574,-0.00602574,0.32613441,-0.32613443
