energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,10.96243849,0.05686489,0.82166090,6.54602207,3.45801430,0.11049954,4.03657225,1.42714550,0.34396960
-5.99399700,10.95093417,0.05703267,0.83245449,6.62774747,3.45207585,0.10959428,4.01101346,1.41602692,0.34129026
-5.98799400,10.88800676,0.05695090,0.83869569,6.67358147,3.43032860,0.10818845,3.96737768,1.39921723,0.33695329
-5.98199100,10.77289807,0.05660869,0.84021207,6.68214869,3.39250672,0.10628319,3.90568091,1.37668287,0.33099046
-5.97598799,10.60582059,0.05600017,0.83691913,6.65277081,3.33862889,0.10388968,3.82628355,1.34849177,0.32346302
-5.96998499,10.38799092,0.05512499,0.82882501,6.58550382,3.26901119,0.10102905,3.72989513,1.31481680,0.31446121
-5.96398199,10.12163088,0.05398867,0.81603225,6.48115210,3.18427029,0.09773199,3.61756791,1.27593593,0.30410294
-5.95797899,9.80993556,0.05260274,0.79873664,6.34125832,3.08531647,0.09403802,3.49067935,1.23222895,0.29253150
-5.95197599,9.45700934,0.05098462,0.77722301,6.16806940,2.97333655,0.08999450,3.35090408,1.18417092,0.27991257
-5.94597299,9.06777215,0.04915735,0.75185826,5.96447963,2.84976751,0.08565547,3.20017641,1.13232258,0.26643049
-5.93996998,8.64783988,0.04714908,0.72308177,5.73395325,2.71626174,0.08108021,3.04064494,1.07731802,0.25228403
-5.93396698,8.20338396,0.04499244,0.69139371,5.48042972,2.57464558,0.07633175,2.87462107,1.01985024,0.23768170
-5.92796398,7.74097586,0.04272371,0.65734156,5.20821534,2.42687284,0.07147531,2.70452355,0.96065504,0.22283697
-5.92196098,7.26742289,0.04038192,0.62150558,4.92186581,2.27497546,0.06657670,2.53282106,0.90049402,0.20796338
-5.91595798,6.78960180,0.03800789,0.58448370,4.62606425,2.12101322,0.06170084,2.36197524,0.84013723,0.19326983
-5.90995498,6.31429631,0.03564319,0.54687627,4.32549927,1.96702459,0.05691036,2.19438584,0.78034613,0.17895618
-5.90395198,5.84804433,0.03332922,0.50927157,4.02474753,1.81498066,0.05226435,2.03234001,0.72185752,0.16520932
-5.89794897,5.39699969,0.03110618,0.47223213,3.72816483,1.66674356,0.04781731,1.87796698,0.66536881,0.15219967
-5.89194597,4.96681225,0.02901226,0.43628265,3.43978890,1.52403084,0.04361835,1.73319937,0.61152516,0.14007845
-5.88594297,4.56252905,0.02708279,0.40189956,3.16325685,1.38838649,0.03971052,1.59974169,0.56090868,0.12897546
-5.87993997,4.18851812,0.02534957,0.36950271,2.90173880,1.26115924,0.03613041,1.47904643,0.51402989,0.11899763
-5.87393697,3.84841526,0.02384032,0.33944905,2.65788906,1.14348818,0.03290796,1.37229767,0.47132156,0.11022814
-5.86793397,3.54509331,0.02257818,0.31202855,2.43381491,1.03629536,0.03006641,1.28040183,0.43313469,0.10272617
-5.86193097,3.28065225,0.02158139,0.28746219,2.23106278,0.94028492,0.02762243,1.20398515,0.39973666,0.09652721
-5.85592796,3.05642831,0.02086302,0.26590198,2.05062058,0.85594785,0.02558635,1.14339696,0.37131124,0.09164382
-5.84992496,2.87301924,0.02043088,0.24743271,1.89293500,0.78357146,0.02396244,1.09871806,0.34796018,0.08806680
-5.84392196,2.73032316,0.02028741,0.23207535,1.75794156,0.72325242,0.02274935,1.06977340,0.32970615,0.08576671
-5.83791896,2.62758823,0.02042978,0.21979180,1.64510574,0.67491249,0.02194043,1.05614815,0.31649664,0.08469569
-5.83191596,2.56347039,0.02084997,0.21049074,1.55347277,0.63831578,0.02152420,1.05720665,0.30820864,0.08478940
-5.82591296,2.53609697,0.02153495,0.20403431,1.48172397,0.61308674,0.02148466,1.07211341,0.30465390,0.08596924
-5.81990995,2.54313411,0.02246699,0.20024544,1.42823774,0.59872825,0.02180172,1.09985603,0.30558447,0.08814462
-5.81390695,2.58185664,0.02362397,0.19891555,1.39115302,0.59463920,0.02245152,1.13926945,0.31069852,0.09121532
-5.80790395,2.64921891,0.02497977,0.19981254,1.36843359,0.60013127,0.02340674,1.18906142,0.31964630,0.09507401
-5.80190095,2.74192622,0.02650479,0.20268873,1.35793173,0.61444481,0.02463695,1.24783913,0.33203634,0.09960871
-5.79589795,2.85650589,0.02816648,0.20728868,1.35744962,0.63676381,0.02610891,1.31413674,0.34744183,0.10470533
-5.78989495,2.98937793,0.02992998,0.21335677,1.36479753,0.66623011,0.02778695,1.38644381,0.36540720,0.11025022
-5.78389195,3.13692475,0.03175879,0.22064435,1.37784761,0.70195699,0.02963333,1.46323438,0.38545515,0.11613268
-5.77788894,3.29555972,0.03361552,0.22891633,1.39458244,0.74304253,0.03160874,1.54299657,0.40709396,0.12224735
-5.77188594,3.46179400,0.03546269,0.23795712,1.41313761,0.78858282,0.03367273,1.62426212,0.42982531,0.12849659
