energy_ev,total_up,Al_p_up,Al_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,5.15544058,0.06442048,0.00000000,2.48053247,2.31094585,0.01044239,3.12786004
-5.99399700,5.11338171,0.06327169,0.00000000,2.47849931,2.28395814,0.01023370,3.11083846
-5.98799400,5.05087866,0.06186083,0.00000000,2.46569975,2.24908285,0.00998646,3.08137143
-5.98199100,4.96911209,0.06021261,0.00000000,2.44253520,2.20698094,0.00970390,3.04005794
-5.97598799,4.86962739,0.05835739,0.00000000,2.40961358,2.15844830,0.00939003,2.98771953
-5.96998499,4.75428915,0.05633058,0.00000000,2.36773179,2.10439064,0.00904962,2.92537576
-5.96398199,4.62522661,0.05417194,0.00000000,2.31785230,2.04579547,0.00868807,2.85421385
-5.95797899,4.48477240,0.05192467,0.00000000,2.26107464,1.98370231,0.00831140,2.77555375
-5.95197599,4.33539672,0.04963451,0.00000000,2.19860317,1.91917228,0.00792607,2.69080989
-5.94597299,4.17963970,0.04734869,0.00000000,2.13171226,1.85325828,0.00753886,2.60145131
-5.93996998,4.02004419,0.04511488,0.00000000,2.06171020,1.78697691,0.00715678,2.50896149
-5.93396698,3.85909167,0.04298008,0.00000000,1.98990342,1.72128312,0.00678686,2.41479954
-5.92796398,3.69914328,0.04098956,0.00000000,1.91756208,1.65704851,0.00643602,2.32036402
-5.92196098,3.54238784,0.03918582,0.00000000,1.84588832,1.59504378,0.00611094,2.22696068
-5.91595798,3.39079825,0.03760762,0.00000000,1.77598812,1.53592585,0.00581787,2.13577494
-5.90995498,3.24609717,0.03628909,0.00000000,1.70884757,1.48022969,0.00556252,2.04784986
-5.90395198,3.10973252,0.03525891,0.00000000,1.64531387,1.42836490,0.00534992,1.96406993
-5.89794897,2.98286262,0.03453967,0.00000000,1.58608157,1.38061650,0.00518431,1.88515073
-5.89194597,2.86635066,0.03414730,0.00000000,1.53168387,1.33714974,0.00506906,1.81163438
-5.88594297,2.76076771,0.03409063,0.00000000,1.48248900,1.29801798,0.00500656,1.74389025
-5.87993997,2.66640319,0.03437120,0.00000000,1.43870117,1.26317324,0.00499823,1.68212041
-5.87393697,2.58328179,0.03498310,0.00000000,1.40036585,1.23247843,0.00504444,1.62636919
-5.86793397,2.51118544,0.03591308,0.00000000,1.36737879,1.20572078,0.00514458,1.57653612
-5.86193097,2.44967931,0.03714076,0.00000000,1.33949827,1.18262579,0.00529701,1.53239144
-5.85592796,2.39814076,0.03863909,0.00000000,1.31636017,1.16287104,0.00549921,1.49359364
-5.84992496,2.35579011,0.04037491,0.00000000,1.29749518,1.14609975,0.00574778,1.45970831
-5.84392196,2.32172274,0.04230974,0.00000000,1.28234794,1.13193356,0.00603864,1.43022789
-5.83791896,2.29494163,0.04440072,0.00000000,1.27029753,1.11998453,0.00636710,1.40459183
-5.83191596,2.27439003,0.04660171,0.00000000,1.26067900,1.10986627,0.00672806,1.38220682
-5.82591296,2.25898377,0.04886449,0.00000000,1.25280554,1.10120423,0.00711618,1.36246686
-5.81990995,2.24764282,0.05114009,0.00000000,1.24599080,1.09364522,0.00752606,1.34477278
-5.81390695,2.23932186,0.05338018,0.00000000,1.23957115,1.08686609,0.00795245,1.32855110
-5.80790395,2.23303935,0.05553851,0.00000000,1.23292712,1.08058179,0.00839040,1.31327178
-5.80190095,2.22790461,0.05757224,0.00000000,1.22550367,1.07455267,0.00883550,1.29846467
-5.79589795,2.22314248,0.05944337,0.00000000,1.21682874,1.06859084,0.00928402,1.28373419
-5.78989495,2.21811475,0.06111986,0.00000000,1.20652932,1.06256562,0.00973304,1.26877180
-5.78389195,2.21233772,0.06257671,0.00000000,1.19434457,1.05640764,0.01018053,1.25336593
-5.77788894,2.20549522,0.06379682,0.00000000,1.18013542,1.05011145,0.01062550,1.23740878
-5.77188594,2.19744623,0.06477156,0.00000000,1.16389006,1.04373629,0.01106793,1.22089967
-5.76588294,2.18822666,0.06550105,0.00000000,1.14572500,1.03740466,0.01150879,1.20394453
-5.75987994,2.17804471,0.06599423,0.00000000,1.12588142,1.03129853,0.01194993,1.18675125
-5.75387694,2.16726951,0.06626855,0.00000000,1.10471678,1.02565303,0.01239401,1.16962100
-5.74787394,2.15641323,0.06634936,0.00000000,1.08269180,1.02074743,0.01284424,1.15293527
-5.74187094,2.14610672,0.06626905,0.00000000,1.06035307,1.01689370,0.01330424,1.13713917
-5.73586793,2.13706939,0.06606592,0.00000000,1.03831202,1.01442258,0.01377777,1.12272135
-5.72986493,2.13007430,0.06578283,0.00000000,1.01722078,1.01366788,0.01426841,1.11019119
-5.72386193,2.12590945,0.06546566,0.00000000,0.99774598,1.01494929,0.01477938,1.10005412
-5.71785893,2.12533703,0.06516170,0.00000000,0.98054145,1.01855448,0.01531316,1.09278609
-5.71185593,2.12905198,0.06491791,0.00000000,0.96622095,1.02472124,0.01587126,1.08880818
-5.70585293,2.13764187,0.06477921,0.00000000,0.95533200,1.03362055,0.01645403,1.08846262
-5.69984992,2.15154980,0.06478688,0.00000000,0.94833202,1.04534137,0.01706036,1.09199125
-5.69384692,2.17104216,0.06497699,0.00000000,0.94556776,1.05987817,0.01768764,1.09951757
-5.68784392,2.19618293,0.06537904,0.00000000,0.94725885,1.07712181,0.01833160,1.11103328
-5.68184092,2.22681588,0.06601486,0.00000000,0.95348628,1.09685459,0.01898632,1.12639011
-5.67583792,2.26255587,0.06689774,0.00000000,0.96418635,1.11874987,0.01964429,1.14529760
-5.66983492,2.30278995,0.06803182,0.00000000,0.97915028,1.14237669,0.02029653,1.16732686
-5.66383192,2.34668859,0.06941187,0.00000000,0.99802956,1.16720924,0.02093279,1.19192067
-5.65782891,2.39322685,0.07102339,0.00000000,1.02034692,1.19264125,0.02154182,1.21840939
-5.65182591,2.44121492,0.07284298,0.00000000,1.04551225,1.21800462,0.02211168,1.24603214
-5.64582291,2.48933679,0.07483911,0.00000000,1.07284306,1.24259174,0.02263014,1.27396249
-5.63981991,2.53619551,0.07697310,0.00000000,1.10158839,1.26568042,0.02308503,1.30133749
-5.63381691,2.58036320,0.07920046,0.00000000,1.13095523,1.28656050,0.02346469,1.32728875
-5.62781391,2.62043341,0.08147235,0.00000000,1.16013630,1.30456074,0.02375838,1.35097423
-5.62181091,2.65507355,0.08373720,0.00000000,1.18833797,1.31907476,0.02395666,1.37160914
-5.61580790,2.68307488,0.08594249,0.00000000,1.21480713,1.32958478,0.02405178,1.38849466
-5.60980490,2.70339763,0.08803644,0.00000000,1.23885582,1.33568180,0.02403795,1.40104303
-5.60380190,2.71520910,0.08996973,0.00000000,1.25988262,1.33708137,0.02391165,1.40879775
-5.59779890,2.71791301,0.09169707,0.00000000,1.27738987,1.33363392,0.02367176,1.41144820
-5.59179590,2.71116845,0.09317855,0.00000000,1.29099610,1.32532926,0.02331970,1.40883770
-5.58579290,2.69489786,0.09438079,0.00000000,1.30044318,1.31229490,0.02285944,1.40096499
-5.57978989,2.66928356,0.09527777,0.00000000,1.30559804,1.29478835,0.02229745,1.38797889
-5.57378689,2.63475332,0.09585140,0.00000000,1.30644906,1.27318377,0.02164257,1.37016683
-5.56778389,2.59195569,0.09609166,0.00000000,1.30309753,1.24795373,0.02090583,1.34793759
-5.56178089,2.54172690,0.09599653,0.00000000,1.29574479,1.21964712,0.02010018,1.32179964
-5.55577789,2.48505082,0.09557157,0.00000000,1.28467583,1.18886430,0.01924021,1.29233592
-5.54977489,2.42301458,0.09482922,0.00000000,1.27024043,1.15623097,0.01834182,1.26017677
-5.54377189,2.35676210,0.09378791,0.00000000,1.25283294,1.12237204,0.01742190,1.22597220
-5.53776888,2.28744800,0.09247101,0.00000000,1.23287167,1.08788685,0.01649796,1.19036508
-5.53176588,2.21619438,0.09090570,0.00000000,1.21077929,1.05332707,0.01558781,1.15396648
-5.52576288,2.14405239,0.08912184,0.00000000,1.18696501,1.01917826,0.01470925,1.11733442
-5.51975988,2.07197054,0.08715080,0.00000000,1.16180951,0.98584591,0.01387975,1.08095678
-5.51375688,2.00077083,0.08502445,0.00000000,1.13565330,0.95364640,0.01311620,1.04523923
-5.50775388,1.93113355,0.08277432,0.00000000,1.10878882,0.92280332,0.01243467,1.01049819
-5.50175088,1.86359091,0.08043082,0.00000000,1.08145655,0.89344872,0.01185021,0.97695920
-5.49574787,1.79852911,0.07802277,0.00000000,1.05384508,0.86562912,0.01137662,0.94475994
-5.48974487,1.73619802,0.07557700,0.00000000,1.02609455,0.83931564,0.01102632,0.91395777
-5.48374187,1.67672722,0.07311826,0.00000000,0.99830324,0.81441716,0.01081015,0.88454070
-5.47773887,1.62014678,0.07066913,0.00000000,0.97053631,0.79079581,0.01073724,0.85644090
-5.47173587,1.56641107,0.06825015,0.00000000,0.94283609,0.76828355,0.01081482,0.82954982
-5.46573287,1.51542376,0.06588002,0.00000000,0.91523281,0.74669880,0.01104804,0.80373371
-5.45972986,1.46706223,0.06357581,0.00000000,0.88775516,0.72586221,0.01143985,0.77884869
-5.45372686,1.42119990,0.06135315,0.00000000,0.86043965,0.70561055,0.01199076,0.75475440
-5.44772386,1.37772502,0.05922647,0.00000000,0.83333829,0.68580827,0.01269872,0.73132545
-5.44172086,1.33655517,0.05720912,0.00000000,0.80652398,0.66635595,0.01355891,0.70846036
-5.43571786,1.29764665,0.05531342,0.00000000,0.78009335,0.64719562,0.01456368,0.68608747
-5.42971486,1.26099882,0.05355067,0.00000000,0.75416684,0.62831277,0.01570236,0.66416783
-5.42371186,1.22665328,0.05193107,0.00000000,0.72888634,0.60973528,0.01696131,0.64269531
-5.41770885,1.19468873,0.05046354,0.00000000,0.70441034,0.59152955,0.01832394,0.62169400
-5.41170585,1.16521198,0.04915561,0.00000000,0.68090726,0.57379433,0.01977077,0.60121357
-5.40570285,1.13834626,0.04801314,0.00000000,0.65854745,0.55665289,0.02127975,0.58132311
-5.39969985,1.11421787,0.04704018,0.00000000,0.63749433,0.54024401,0.02282648,0.56210388
-5.39369685,1.09294213,0.04623878,0.00000000,0.61789545,0.52471260,0.02438474,0.54364187
-5.38769385,1.07460986,0.04560886,0.00000000,0.59987396,0.51020040,0.02592692,0.52602042
-5.38169085,1.05927508,0.04514815,0.00000000,0.58352118,0.49683728,0.02742471,0.50931362
-5.37568784,1.04694475,0.04485218,0.00000000,0.56889048,0.48473366,0.02884972,0.49358077
-5.36968484,1.03757115,0.04471433,0.00000000,0.55599309,0.47397430,0.03017430,0.47886212
