energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,2.64701222,0.05548886,0.01184991,1.03845263,0.82847766,0.02804812,1.69005939,0.61465369,0.13596116
-5.99399700,2.62787559,0.05639342,0.01190318,1.02813625,0.82470965,0.02787876,1.67851014,0.61142770,0.13510401
-5.98799400,2.61152756,0.05751641,0.01196419,1.01813410,0.82208312,0.02775288,1.66852551,0.60911279,0.13427817
-5.98199100,2.59817530,0.05884376,0.01203249,1.00851494,0.82069791,0.02767086,1.66023873,0.60766276,0.13349248
-5.97598799,2.58789178,0.06035496,0.01210707,0.99931435,0.82060760,0.02763098,1.65370175,0.60699164,0.13275121
-5.96998499,2.58061449,0.06202358,0.01218636,0.99053406,0.82181832,0.02762952,1.64888373,0.60697688,0.13205383
-5.96398199,2.57614917,0.06381805,0.01226830,0.98214287,0.82428924,0.02766081,1.64567278,0.60746401,0.13139489
-5.95797899,2.57417860,0.06570260,0.01235043,0.97407892,0.82793484,0.02771744,1.64388059,0.60827231,0.13076428
-5.95197599,2.57427565,0.06763831,0.01242996,0.96625321,0.83262866,0.02779048,1.64325000,0.60920145,0.13014757
-5.94597299,2.57592038,0.06958422,0.01250393,0.95855413,0.83820844,0.02786980,1.64346501,0.61003860,0.12952659
-5.93996998,2.57852007,0.07149846,0.01256935,0.95085289,0.84448249,0.02794438,1.64416298,0.61056582,0.12888020
-5.93396698,2.58143186,0.07333935,0.01262331,0.94300938,0.85123696,0.02800272,1.64494837,0.61056736,0.12818519
-5.92796398,2.58398682,0.07506644,0.01266317,0.93487854,0.85824383,0.02803318,1.64540778,0.60983676,0.12741732
-5.92196098,2.58551475,0.07664145,0.01268666,0.92631666,0.86526928,0.02802446,1.64512556,0.60818332,0.12655240
-5.91595798,2.58536886,0.07802906,0.01269199,0.91718764,0.87208222,0.02796594,1.64369946,0.60543784,0.12556741
-5.90995498,2.58294938,0.07919765,0.01267796,0.90736874,0.87846265,0.02784808,1.64075585,0.60145758,0.12444164
-5.90395198,2.57772544,0.08011984,0.01264401,0.89675586,0.88420960,0.02766277,1.63596391,0.59613015,0.12315768
-5.89794897,2.56925431,0.08077295,0.01259025,0.88526791,0.88914831,0.02740362,1.62904820,0.58937640,0.12170231
-5.89194597,2.55719753,0.08113931,0.01251747,0.87285039,0.89313662,0.02706619,1.61979938,0.58115231,0.12006725
-5.88594297,2.54133336,0.08120649,0.01242709,0.85947787,0.89607004,0.02664819,1.60808247,0.57144985,0.11824968
-5.87993997,2.52156511,0.08096745,0.01232109,0.84515539,0.89788559,0.02614953,1.59384246,0.56029687,0.11625253
-5.87393697,2.49792515,0.08042058,0.01220195,0.82991882,0.89856423,0.02557240,1.57710716,0.54775616,0.11408447
