energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,7.17129221,-7.17121811,0.11233020,-0.11232710,1.01335060,-1.01333830,2.35793146,-2.35791560,1.22592883,-1.22591211,0.27666305,-0.27666225,2.41117131,-2.41114795,0.25466800,-0.25466412,0.84880360,-0.84879705
-5.99399700,6.79479557,-6.79472512,0.10176996,-0.10176697,0.96055995,-0.96054814,2.22318263,-2.22316730,1.16614361,-1.16612774,0.27025384,-0.27025312,2.30048521,-2.30046332,0.23624075,-0.23623706,0.79027983,-0.79027345
-5.98799400,6.43489748,-6.43483137,0.09166097,-0.09165811,0.90978013,-0.90976894,2.09112890,-2.09111420,1.11031985,-1.11030504,0.26400764,-0.26400700,2.19505655,-2.19503629,0.21857639,-0.21857291,0.73414224,-0.73413610
-5.98199100,6.09398209,-6.09392086,0.08208073,-0.08207803,0.86144937,-0.86143890,1.96270979,-1.96269581,1.05876675,-1.05875317,0.25799445,-0.25799390,2.09543417,-2.09541565,0.20177081,-0.20176757,0.68075267,-0.68074684
-5.97598799,5.77386946,-5.77381349,0.07309123,-0.07308870,0.81590430,-0.81589462,1.83875680,-1.83874360,1.01167397,-1.01166175,0.25226191,-0.25226145,2.00201383,-2.00199710,0.18590408,-0.18590109,0.63040923,-0.63040377
-5.96998499,5.47581830,-5.47576783,0.06473897,-0.06473663,0.77337819,-0.77336935,1.71998065,-1.71996827,0.96911971,-0.96910894,0.24683488,-0.24683450,1.91504262,-1.91502772,0.17104077,-0.17103804,0.58334387,-0.58333883
-5.96398199,5.20054686,-5.20050197,0.05705563,-0.05705348,0.73400288,-0.73399489,1.60696294,-1.60695140,0.93108185,-0.93107258,0.24171602,-0.24171572,1.83462822,-1.83461511,0.15723077,-0.15722830,0.53972195,-0.53971735
-5.95797899,4.94827000,-4.94823064,0.05005896,-0.05005701,0.69781403,-0.69780688,1.50015254,-1.50014185,0.89745159,-0.89744381,0.23688725,-0.23688700,1.76075202,-1.76074066,0.14451036,-0.14450815,0.49964359,-0.49963947
-5.95197599,4.71875003,-4.71871605,0.04375406,-0.04375231,0.66475952,-0.66475319,1.39986635,-1.39985650,0.86804864,-0.86804234,0.23231198,-0.23231176,1.69328565,-1.69327595,0.13290354,-0.13290159,0.46314691,-0.46314329
-5.94597299,4.51135812,-4.51132927,0.03813483,-0.03813329,0.63471030,-0.63470472,1.30629432,-1.30628528,0.84263740,-0.84263252,0.22793816,-0.22793795,1.63200966,-1.63200150,0.12242343,-0.12242175,0.43021273,-0.43020961
-5.93996998,4.32514309,-4.32511903,0.03318555,-0.03318420,0.60747321,-0.60746831,1.21950813,-1.21949986,0.82094305,-0.82093952,0.22370174,-0.22370152,1.57663347,-1.57662674,0.11307376,-0.11307233,0.40077058,-0.40076796
-5.93396698,4.15890399,-4.15888436,0.02888246,-0.02888130,0.58280518,-0.58280089,1.13947294,-1.13946539,0.80266712,-0.80266486,0.21953063,-0.21953037,1.52681568,-1.52681026,0.10485018,-0.10484900,0.37470567,-0.37470354
-5.92796398,4.01126303,-4.01124742,0.02519540,-0.02519442,0.56042809,-0.56042432,1.06606139,-1.06605450,0.78750165,-0.78750056,0.21534881,-0.21534847,1.48218354,-1.48217928,0.09774147,-0.09774053,0.35186650,-0.35186485
-5.92196098,3.88073557,-3.88072355,0.02208928,-0.02208847,0.54004364,-0.54004029,0.99906910,-0.99906283,0.77514148,-0.77514146,0.21108044,-0.21108001,1.44235084,-1.44234762,0.09173060,-0.09172989,0.33207263,-0.33207144
-5.91595798,3.76579413,-3.76578531,0.01952544,-0.01952479,0.52134762,-0.52134461,0.93823083,-0.93822513,0.76529427,-0.76529522,0.20665386,-0.20665332,1.40693338,-1.40693109,0.08679538,-0.08679489,0.31512244,-0.31512169
-5.90995498,3.66492411,-3.66491809,0.01746287,-0.01746237,0.50404308,-0.50404032,0.88323645,-0.88323125,0.75768787,-0.75768970,0.20200518,-0.20200451,1.37556148,-1.37556001,0.08290907,-0.08290879,0.30080037,-0.30080003
-5.90395198,3.57666914,-3.57666556,0.01585921,-0.01585884,0.48785183,-0.48784923,0.83374605,-0.83374132,0.75207504,-0.75207766,0.19708142,-0.19708061,1.34788899,-1.34788825,0.08004052,-0.08004045,0.28888353,-0.28888358
-5.89794897,3.49966502,-3.49966356,0.01467153,-0.01467129,0.47252387,-0.47252137,0.78940365,-0.78939933,0.74823534,-0.74823867,0.19184298,-0.19184202,1.32359875,-1.32359866,0.07815427,-0.07815439,0.27914734,-0.27914774
-5.89194597,3.43266158,-3.43266196,0.01385704,-0.01385691,0.45784468,-0.45784222,0.74984883,-0.74984490,0.74597458,-0.74597854,0.18626542,-0.18626431,1.30240440,-1.30240491,0.07721033,-0.07721063,0.27137012,-0.27137085
-5.88594297,3.37453283,-3.37453480,0.01337348,-0.01337346,0.44364000,-0.44363753,0.71472627,-0.71472269,0.74512192,-0.74512644,0.18034049,-0.18033922,1.28404886,-1.28404990,0.07716389,-0.07716435,0.26533660,-0.26533761
-5.87993997,3.32427609,-3.32427943,0.01317951,-0.01317958,0.42977818,-0.42977567,0.68369271,-0.68368947,0.74552518,-0.74553019,0.17407629,-0.17407488,1.26829988,-1.26830140,0.07796496,-0.07796558,0.26084022,-0.26084151
-5.87393697,3.28100172,-3.28100624,0.01323486,-0.01323500,0.41617024,-0.41616767,0.65642162,-0.65641869,0.74704478,-0.74705022,0.16749676,-0.16749521,1.25494318,-1.25494514,0.07955799,-0.07955875,0.25768452,-0.25768604
-5.86793397,3.24391524,-3.24392075,0.01350049,-0.01350070,0.40276780,-0.40276516,0.63260552,-0.63260288,0.74954689,-0.74955269,0.16064035,-0.16063869,1.24377414,-1.24377649,0.08188156,-0.08188245,0.25568350,-0.25568522
-5.86193097,3.21229420,-3.21230053,0.01393867,-0.01393893,0.38955911,-0.38955641,0.61195630,-0.61195394,0.75289643,-0.75290253,0.15355820,-0.15355644,1.23458860,-1.23459127,0.08486820,-0.08486920,0.25466131,-0.25466321
-5.85592796,3.18546229,-3.18546926,0.01451300,-0.01451329,0.37656368,-0.37656093,0.59420396,-0.59420186,0.75695042,-0.75695675,0.14631171,-0.14630987,1.22717371,-1.22717663,0.08844433,-0.08844542,0.25445146,-0.25445350
-5.84992496,3.16276301,-3.16277042,0.01518849,-0.01518881,0.36382583,-0.36382304,0.57909399,-0.57909213,0.76155228,-0.76155875,0.13896979,-0.13896790,1.22129969,-1.22130279,0.09253053,-0.09253168,0.25489568,-0.25489782
-5.84392196,3.14353535,-3.14354298,0.01593165,-0.01593199,0.35140751,-0.35140470,0.56638408,-0.56638244,0.76652746,-0.76653398,0.13160591,-0.13160400,1.21671318,-1.21671636,0.09704190,-0.09704310,0.25584271,-0.25584492
-5.83791896,3.12709348,-3.12710108,0.01671059,-0.01671093,0.33938105,-0.33937825,0.55584050,-0.55583904,0.77168091,-0.77168738,0.12429510,-0.12429318,1.21313277,-1.21313590,0.10188880,-0.10189003,0.25714726,-0.25714950
-5.83191596,3.11271206,-3.11271935,0.01749520,-0.01749554,0.32782196,-0.32781921,0.54723450,-0.54723319,0.77679644,-0.77680276,0.11711095,-0.11710906,1.21024711,-1.21025005,0.10697780,-0.10697902,0.25866919,-0.25867142
-5.82591296,3.09961832,-3.09962499,0.01825738,-0.01825769,0.31680237,-0.31679967,0.54033932,-0.54033813,0.78163817,-0.78164421,0.11012295,-0.11012110,1.20771595,-1.20771856,0.11221279,-0.11221398,0.26027310,-0.26027529
-5.81990995,3.08699141,-3.08699715,0.01897123,-0.01897152,0.30638521,-0.30638260,0.53492789,-0.53492677,0.78595397,-0.78595962,0.10339404,-0.10339225,1.20517407,-1.20517619,0.11749640,-0.11749754,0.26182841,-0.26183051
-5.81390695,3.07396924,-3.07397369,0.01961341,-0.01961366,0.29661958,-0.29661707,0.53077158,-0.53077047,0.78948081,-0.78948594,0.09697865,-0.09697695,1.20223794,-1.20223939,0.12273150,-0.12273256,0.26320989,-0.26321186
-5.80790395,3.05966203,-3.05966485,0.02016337,-0.02016357,0.28753721,-0.28753482,0.52764009,-0.52763895,0.79195154,-0.79195602,0.09092122,-0.09091961,1.19851471,-1.19851533,0.12782285,-0.12782380,0.26429868,-0.26430048
-5.80190095,3.04317193,-3.04317276,0.02060364,-0.02060379,0.27915035,-0.27914809,0.52530259,-0.52530135,0.79310291,-0.79310663,0.08525518,-0.08525367,1.19361327,-1.19361289,0.13267876,-0.13267958,0.26498363,-0.26498523
-5.79589795,3.02361719,-3.02361572,0.02092011,-0.02092019,0.27145090,-0.27144877,0.52352995,-0.52352856,0.79268423,-0.79268707,0.08000248,-0.08000108,1.18715640,-1.18715486,0.13721282,-0.13721349,0.26516299,-0.26516435
-5.78989495,3.00015946,-3.00015539,0.02110219,-0.02110221,0.26441083,-0.26440882,0.52209819,-0.52209660,0.79046628,-0.79046815,0.07517366,-0.07517237,1.17879365,-1.17879081,0.14134551,-0.14134602,0.26474619,-0.26474729
-5.78389195,2.97203247,-2.97202555,0.02114298,-0.02114293,0.25798375,-0.25798187,0.52079278,-0.52079094,0.78624988,-0.78625070,0.07076831,-0.07076714,1.16821416,-1.16820991,0.14500579,-0.14500612,0.26365569,-0.26365650
-5.77788894,2.93857055,-2.93856058,0.02103927,-0.02103915,0.25210750,-0.25210573,0.51941371,-0.51941158,0.77987382,-0.77987354,0.06677600,-0.06677494,1.15515864,-1.15515290,0.14813249,-0.14813263,0.26182862,-0.26182912
-5.77188594,2.89923527,-2.89922212,0.02079157,-0.02079138,0.24670752,-0.24670585,0.51778117,-0.51777870,0.77122160,-0.77122017,0.06317748,-0.06317653,1.13943013,-1.13942285,0.15067558,-0.15067551,0.25921829,-0.25921846
-5.76588294,2.85363906,-2.85362268,0.02040390,-0.02040365,0.24170089,-0.24169930,0.51574140,-0.51573858,0.76022678,-0.76022419,0.05994623,-0.05994537,1.12090289,-1.12089405,0.15259722,-0.15259695,0.25579524,-0.25579508
-5.75987994,2.80156456,-2.80154496,0.01988360,-0.01988328,0.23700072,-0.23699920,0.51317275,-0.51316957,0.74687672,-0.74687298,0.05705004,-0.05704928,1.09952906,-1.09951870,0.15387267,-0.15387220,0.25154799,-0.25154750
-5.75387694,2.74297896,-2.74295626,0.01924099,-0.01924061,0.23252073,-0.23251927,0.50999141,-0.50998786,0.73121450,-0.73120967,0.05445285,-0.05445217,1.07534305,-1.07533122,0.15449092,-0.15449024,0.24648320,-0.24648239
-5.74787394,2.67804299,-2.67801735,0.01848896,-0.01848852,0.22817987,-0.22817844,0.50615678,-0.50615288,0.71333919,-0.71333332,0.05211644,-0.05211584,1.04846328,-1.04845009,0.15445511,-0.15445425,0.24062543,-0.24062431
-5.74187094,2.60711411,-2.60708579,0.01764252,-0.01764204,0.22390661,-0.22390521,0.50167614,-0.50167192,0.69340433,-0.69339750,0.05000220,-0.05000166,1.01909156,-1.01907714,0.15378282,-0.15378178,0.23401641,-0.23401500
-5.73586793,2.53074428,-2.53071360,0.01671830,-0.01671778,0.21964292,-0.21964153,0.49660839,-0.49660389,0.67161492,-0.67160724,0.04807266,-0.04807217,0.98751005,-0.98749458,0.15250598,-0.15250478,0.22671383,-0.22671215
-5.72986493,2.44967235,-2.44963969,0.01573402,-0.01573347,0.21534767,-0.21534628,0.49106672,-0.49106200,0.64822305,-0.64821465,0.04629292,-0.04629248,0.95407621,-0.95405986,0.15067074,-0.15066940,0.21878982,-0.21878790
-5.72386193,2.36481165,-2.36477743,0.01470794,-0.01470737,0.21099932,-0.21099793,0.48521986,-0.48521499,0.62352248,-0.62351349,0.04463186,-0.04463145,0.91921576,-0.91919876,0.14833695,-0.14833549,0.21032907,-0.21032694
