energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,5.26356248,3.41786168,1.54294736,0.00723126,1.43407172,0.22495278,0.06535211,1.82006842
-5.99399700,5.21198339,3.39162081,1.53140648,0.00708493,1.42206378,0.22095537,0.06617182,1.80058951
-5.98799400,5.16278536,3.36802461,1.52040268,0.00693594,1.41127151,0.21649301,0.06701533,1.78143063
-5.98199100,5.11594215,3.34705096,1.50986407,0.00678567,1.40155965,0.21160650,0.06787968,1.76272063
-5.97598799,5.07147256,3.32870708,1.49973573,0.00663551,1.39279943,0.20634876,0.06876274,1.74460755
-5.96998499,5.02946137,3.31304147,1.48998859,0.00648688,1.38487829,0.20078432,0.06966318,1.72726187
-5.96398199,4.99007113,3.30014953,1.48062546,0.00634122,1.37770696,0.19498830,0.07058026,1.71087668
-5.95797899,4.95354399,3.29017218,1.47168392,0.00619995,1.37122367,0.18904487,0.07151360,1.69566469
-5.95197599,4.92019351,3.28328791,1.46323594,0.00606448,1.36539529,0.18304520,0.07246289,1.68185214
-5.94597299,4.89038708,3.27969872,1.45538417,0.00593616,1.36021543,0.17708504,0.07342746,1.66966983
-5.93996998,4.86452016,3.27961107,1.44825529,0.00581628,1.35569993,0.17126195,0.07440593,1.65934196
-5.93396698,4.84298438,3.28321317,1.44199087,0.00570602,1.35188002,0.16567234,0.07539579,1.65107330
-5.92796398,4.82613160,3.29065045,1.43673640,0.00560639,1.34879392,0.16040840,0.07639307,1.64503546
-5.92196098,4.81423658,3.30200082,1.43262918,0.00551825,1.34647744,0.15555502,0.07739203,1.64135338
-5.91595798,4.80746091,3.31725169,1.42978609,0.00544226,1.34495444,0.15118693,0.07838500,1.64009267
-5.90995498,4.80582090,3.33628050,1.42829184,0.00537881,1.34422785,0.14736611,0.07936227,1.64124883
-5.90395198,4.80916167,3.35884026,1.42818879,0.00532807,1.34427194,0.14413953,0.08031216,1.64473914
-5.89794897,4.81713972,3.38455129,1.42946884,0.00528989,1.34502646,0.14153751,0.08122119,1.65039784
-5.89194597,4.82921529,3.41290017,1.43206818,0.00526387,1.34639311,0.13957257,0.08207443,1.65797514
-5.88594297,4.84465575,3.44324623,1.43586519,0.00524929,1.34823464,0.13823898,0.08285592,1.66714040
-5.87993997,4.86255020,3.47483565,1.44068187,0.00524518,1.35037673,0.13751296,0.08354928,1.67748950
-5.87393697,4.88183518,3.50682264,1.44628874,0.00525031,1.35261266,0.13735356,0.08413833,1.68855636
-5.86793397,4.90133040,3.53829691,1.45241311,0.00526323,1.35471044,0.13770423,0.08460783,1.69982825
-5.86193097,4.91978315,3.56831622,1.45875034,0.00528233,1.35642212,0.13849494,0.08494426,1.71076420
-5.85592796,4.93591929,3.59594228,1.46497750,0.00530587,1.35749477,0.13964490,0.08513651,1.72081597
-5.84992496,4.94849830,3.62027847,1.47076880,0.00533207,1.35768250,0.14106554,0.08517668,1.72945051
-5.84392196,4.95636982,3.64050734,1.47581190,0.00535915,1.35675879,0.14266395,0.08506062,1.73617290
-5.83791896,4.95852857,3.65592589,1.47982425,0.00538543,1.35452849,0.14434629,0.08478852,1.74054870
-5.83191596,4.95416482,3.66597693,1.48256846,0.00540938,1.35083878,0.14602128,0.08436524,1.74222460
-5.82591296,4.94270762,3.67027460,1.48386592,0.00542968,1.34558832,0.14760350,0.08380050,1.74094613
-5.81990995,4.92385811,3.66862275,1.48360765,0.00544533,1.33873415,0.14901629,0.08310890,1.73657168
-5.81390695,4.89761103,3.66102486,1.48176189,0.00545561,1.33029576,0.15019431,0.08230969,1.72908171
-5.80790395,4.86426268,3.64768493,1.47837764,0.00546022,1.32035604,0.15108542,0.08142634,1.71858272
-5.80190095,4.82440452,3.62899885,1.47358405,0.00545922,1.30905899,0.15165198,0.08048586,1.70530541
-5.79589795,4.77890224,3.60553665,1.46758536,0.00545306,1.29660409,0.15187137,0.07951802,1.68959704
-5.78989495,4.72886091,3.57801604,1.46065158,0.00544260,1.28323767,0.15173588,0.07855426,1.67190809
-5.78389195,4.67557748,3.54726856,1.45310534,0.00542903,1.26924147,0.15125182,0.07762659,1.65277375
-5.77788894,4.62048288,3.51419988,1.44530544,0.00541386,1.25491911,0.15043805,0.07676625,1.63279101
-5.77188594,4.56507635,3.47974604,1.43762799,0.00539888,1.24058103,0.14932392,0.07600248,1.61259236
-5.76588294,4.51085525,3.44482805,1.43044605,0.00538604,1.22652864,0.14794692,0.07536120,1.59281746
-5.75987994,4.45924404,3.41030697,1.42410902,0.00537745,1.21303868,0.14634988,0.07486374,1.57408407
-5.75387694,4.41152606,3.37694210,1.41892278,0.00537527,1.20034848,0.14457828,0.07452583,1.55695988
