energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.11781992,-1.50014522,0.01140624,-0.05155796,0.06328710,-0.06607004,0.52216674,-0.23922876,0.31823965,-0.13700477,0.51949557,-0.30425726,0.32646440,-0.38942470,0.01949930,-0.01580690,1.14292665,-0.80485949
-5.99399700,2.09712771,-1.53987442,0.01054683,-0.05122794,0.06238802,-0.06736420,0.52586883,-0.24979504,0.31545860,-0.14138322,0.51235661,-0.31511599,0.32106967,-0.39189582,0.01866265,-0.01586394,1.13285156,-0.82869161
-5.98799400,2.07542729,-1.58163048,0.00981608,-0.05065039,0.06149340,-0.06897374,0.52893436,-0.26184856,0.31257984,-0.14595936,0.50458446,-0.32684310,0.31608072,-0.39377357,0.01785898,-0.01592216,1.12207231,-0.85363334
-5.98199100,2.05333244,-1.62498847,0.00920767,-0.04983392,0.06060784,-0.07084289,0.53147110,-0.27520823,0.30966972,-0.15066858,0.49641892,-0.33935860,0.31158745,-0.39507755,0.01709595,-0.01598485,1.11094992,-0.87948350
-5.97598799,2.03141942,-1.66948315,0.00871394,-0.04879165,0.05973398,-0.07291511,0.53358304,-0.28968073,0.30678760,-0.15544218,0.48809468,-0.35255587,0.30767215,-0.39583860,0.01637926,-0.01605405,1.09982728,-0.90601130
-5.96998499,2.01021263,-1.71460794,0.00832615,-0.04754068,0.05887238,-0.07513380,0.53536700,-0.30506215,0.30398403,-0.16020807,0.47983537,-0.36630126,0.30440882,-0.39609560,0.01571258,-0.01613037,1.08902070,-0.93295539
-5.96398199,1.99017310,-1.75981662,0.00803481,-0.04610155,0.05802140,-0.07744291,0.53690987,-0.32114006,0.30129939,-0.16489170,0.47184833,-0.38043510,0.30186256,-0.39589244,0.01509762,-0.01621293,1.07881308,-0.96002479
-5.95797899,1.97169007,-1.80452811,0.00782990,-0.04449747,0.05717731,-0.07978764,0.53828676,-0.33769617,0.29876305,-0.16941715,0.46432015,-0.39477424,0.30008908,-0.39527509,0.01453419,-0.01629939,1.06944864,-0.98690186
-5.95197599,1.95507580,-1.84813473,0.00770106,-0.04275359,0.05633440,-0.08211519,0.53955990,-0.35450950,0.29639318,-0.17370852,0.45741330,-0.40911600,0.29913437,-0.39428913,0.01402034,-0.01638604,1.06112941,-1.01324742
-5.94597299,1.94056330,-1.89001391,0.00763779,-0.04089621,0.05548536,-0.08437547,0.54077817,-0.37136009,0.29419704,-0.17769146,0.45126354,-0.42324358,0.29903420,-0.39297783,0.01355263,-0.01646801,1.05401326,-1.03870812
-5.93996998,1.92830680,-1.92954305,0.00762961,-0.03895200,0.05462160,-0.08652184,0.54197733,-0.38803312,0.29217176,-0.18129497,0.44597832,-0.43693258,0.29981379,-0.39138081,0.01312630,-0.01653951,1.04821341,-1.06292563
-5.93396698,1.91838437,-1.96611696,0.00766619,-0.03694728,0.05373377,-0.08851189,0.54318058,-0.40432331,0.29030557,-0.18445325,0.44163600,-0.44995849,0.30148723,-0.38953337,0.01273562,-0.01659416,1.04379909,-1.08554757
-5.92796398,1.91080210,-1.99916718,0.00773742,-0.03490731,0.05281228,-0.09030814,0.54439945,-0.42003932,0.28857924,-0.18710767,0.43828567,-0.46210473,0.30405690,-0.38746657,0.01237414,-0.01662533,1.04079705,-1.10623947
-5.92196098,1.90549923,-2.02818226,0.00783357,-0.03285578,0.05184780,-0.09187868,0.54563473,-0.43500812,0.28696767,-0.18920870,0.43594761,-0.47317086,0.30751264,-0.38520785,0.01203505,-0.01662651,1.03919356,-1.12469727
-5.91595798,1.90235356,-2.05272772,0.00794532,-0.03081427,0.05083182,-0.09319767,0.54687734,-0.44907889,0.28544156,-0.19071771,0.43461413,-0.48298058,0.31183093,-0.38278225,0.01171146,-0.01659171,1.03893676,-1.14065981
-5.90995498,1.90118679,-2.07246494,0.00806388,-0.02880197,0.04975712,-0.09424572,0.54810900,-0.46212637,0.28396887,-0.19160860,0.43425074,-0.49138906,0.31697378,-0.38021402,0.01139668,-0.01651578,1.03993885,-1.15392045
