energy_ev,total_up,Al_p_up,Al_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.98104520,0.01936380,0.00000000,0.27616881,0.27950733,0.05626602,0.46448243
-5.99399700,1.01413106,0.02028946,0.00000000,0.28804890,0.28735355,0.05781079,0.47933378
-5.98799400,1.04339608,0.02121045,0.00000000,0.29925315,0.29373279,0.05904598,0.49212642
-5.98199100,1.06842310,0.02211740,0.00000000,0.30970859,0.29853166,0.05994881,0.50267452
-5.97598799,1.08889157,0.02300191,0.00000000,0.31935815,0.30167095,0.06050355,0.51084158
-5.96998499,1.10458095,0.02385639,0.00000000,0.32815906,0.30310732,0.06070197,0.51654219
-5.96398199,1.11537026,0.02467391,0.00000000,0.33608062,0.30283362,0.06054338,0.51974189
-5.95797899,1.12123410,0.02544798,0.00000000,0.34310136,0.30087801,0.06003453,0.52045524
-5.95197599,1.12223544,0.02617239,0.00000000,0.34920603,0.29730183,0.05918909,0.51874221
-5.94597299,1.11851559,0.02684103,0.00000000,0.35438246,0.29219636,0.05802711,0.51470308
-5.93996998,1.11028231,0.02744772,0.00000000,0.35861861,0.28567878,0.05657407,0.50847239
-5.93396698,1.09779656,0.02798612,0.00000000,0.36190016,0.27788729,0.05485996,0.50021201
-5.92796398,1.08135886,0.02844967,0.00000000,0.36420864,0.26897601,0.05291813,0.49010403
-5.92196098,1.06129599,0.02883165,0.00000000,0.36552050,0.25910955,0.05078417,0.47834357
-5.91595798,1.03794875,0.02912524,0.00000000,0.36580702,0.24845773,0.04849478,0.46513213
-5.90995498,1.01166127,0.02932369,0.00000000,0.36503517,0.23719066,0.04608667,0.45067162
-5.90395198,0.98277255,0.02942057,0.00000000,0.36316948,0.22547424,0.04359558,0.43515937
-5.89794897,0.95161016,0.02941005,0.00000000,0.36017459,0.21346642,0.04105544,0.41878428
-5.89194597,0.91848643,0.02928717,0.00000000,0.35601850,0.20131421,0.03849765,0.40172419
-5.88594297,0.88369695,0.02904824,0.00000000,0.35067619,0.18915147,0.03595059,0.38414441
-5.87993997,0.84752097,0.02869113,0.00000000,0.34413342,0.17709762,0.03343925,0.36619742
-5.87393697,0.81022361,0.02821557,0.00000000,0.33639034,0.16525705,0.03098503,0.34802339
