energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,2.13630233,0.53487002,1.74660109,0.00062704,0.02052833,0.22582420,0.07372991,0.02240480,0.20564873
-5.99399700,2.16885786,0.54346108,1.77403012,0.00063729,0.02070897,0.23231774,0.07519856,0.02297191,0.20686066
-5.98799400,2.20173151,0.55179894,1.80003899,0.00064822,0.02125000,0.23878007,0.07719962,0.02346873,0.20895420
-5.98199100,2.23352428,0.55951731,1.82345373,0.00065937,0.02214819,0.24509622,0.07970263,0.02387999,0.21178960
-5.97598799,2.26298952,0.56628641,1.84323727,0.00067038,0.02339913,0.25116956,0.08267744,0.02419248,0.21523757
-5.96998499,2.28907470,0.57182391,1.85852531,0.00068097,0.02499726,0.25692527,0.08609497,0.02439553,0.21918273
-5.96398199,2.31095352,0.57590359,1.86865456,0.00069096,0.02693583,0.26231277,0.08992758,0.02448135,0.22352595
-5.95797899,2.32804675,0.57836139,1.87318188,0.00070026,0.02920667,0.26730693,0.09414908,0.02444528,0.22818560
-5.95197599,2.34003127,0.57909859,1.87189354,0.00070889,0.03179996,0.27190782,0.09873437,0.02428596,0.23309748
-5.94597299,2.34683697,0.57808207,1.86480446,0.00071695,0.03470379,0.27613937,0.10365874,0.02400530,0.23821373
-5.93996998,2.34863216,0.57534175,1.85214751,0.00072462,0.03790374,0.28004660,0.10889700,0.02360840,0.24350083
-5.93396698,2.34579861,0.57096546,1.83435376,0.00073216,0.04138250,0.28369200,0.11442240,0.02310328,0.24893675
-5.92796398,2.33889776,0.56509154,1.81202481,0.00073986,0.04511942,0.28715097,0.12020552,0.02250056,0.25450764
-5.92196098,2.32863039,0.55789981,1.78589896,0.00074806,0.04909027,0.29050671,0.12621322,0.02181306,0.26020428
-5.91595798,2.31579204,0.54960125,1.75681293,0.00075710,0.05326698,0.29384497,0.13240775,0.02105525,0.26601845
-5.90995498,2.30122677,0.54042715,1.72566135,0.00076732,0.05761765,0.29724874,0.13874607,0.02024275,0.27193972
-5.90395198,2.28578180,0.53061832,1.69335608,0.00077907,0.06210671,0.30079337,0.14517956,0.01939181,0.27795260
-5.89794897,2.27026545,0.52041479,1.66078734,0.00079263,0.06669524,0.30454240,0.15165413,0.01851872,0.28403453
-5.89194597,2.25541041,0.51004668,1.62878852,0.00080827,0.07134158,0.30854414,0.15811068,0.01763934,0.29015463
-5.88594297,2.24184407,0.49972643,1.59810613,0.00082622,0.07600208,0.31282942,0.16448606,0.01676862,0.29627342
-5.87993997,2.23006697,0.48964289,1.56937616,0.00084666,0.08063207,0.31741043,0.17071445,0.01592023,0.30234346
-5.87393697,2.22044014,0.47995722,1.54310738,0.00086974,0.08518697,0.32228074,0.17672904,0.01510624,0.30831089
-5.86793397,2.21318109,0.47080077,1.51967206,0.00089559,0.08962358,0.32741638,0.18246401,0.01433690,0.31411765
-5.86193097,2.20836832,0.46227478,1.49930386,0.00092433,0.09390133,0.33277799,0.18785673,0.01362048,0.31970435
