energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.83121306,0.00758578,0.03224075,2.07732953,0.43513204,0.01713236,1.82491175,0.73349342,0.26237518
-5.99399700,2.78606342,0.00701213,0.03189244,2.04972735,0.42740322,0.01654058,1.79713426,0.72744719,0.25810794
-5.98799400,2.73197855,0.00647275,0.03154108,2.01511057,0.41813389,0.01596104,1.76344314,0.71901520,0.25294370
-5.98199100,2.67006269,0.00596901,0.03119390,1.97424372,0.40747749,0.01540227,1.72455584,0.70843791,0.24699822
-5.97598799,2.60155570,0.00550157,0.03085846,1.92798917,0.39561075,0.01487279,1.68127853,0.69598810,0.24040188
-5.96998499,2.52778917,0.00507045,0.03054215,1.87727466,0.38272825,0.01438086,1.63447746,0.68195913,0.23329518
-5.96398199,2.45014021,0.00467505,0.03025170,1.82305961,0.36903632,0.01393434,1.58504889,0.66665290,0.22582402
-5.95797899,2.36998512,0.00431431,0.02999270,1.76630183,0.35474676,0.01354036,1.53388900,0.65036813,0.21813482
-5.95197599,2.28865510,0.00398672,0.02976918,1.70792627,0.34007055,0.01320520,1.48186511,0.63338960,0.21037000
-5.94597299,2.20739593,0.00369045,0.02958329,1.64879725,0.32521192,0.01293402,1.42978957,0.61597864,0.20266365
-5.93996998,2.12733340,0.00342337,0.02943503,1.58969526,0.31036290,0.01273071,1.37839741,0.59836554,0.19513791
-5.93396698,2.04944568,0.00318315,0.02932212,1.53129933,0.29569865,0.01259776,1.32832852,0.58074393,0.18789989
-5.92796398,1.97454357,0.00296734,0.02924001,1.47417526,0.28137379,0.01253614,1.28011493,0.56326747,0.18103946
-5.92196098,1.90325905,0.00277339,0.02918192,1.41877005,0.26751963,0.01254528,1.23417353,0.54604875,0.17462780
-5.91595798,1.83604192,0.00259874,0.02913910,1.36541215,0.25424259,0.01262305,1.19080401,0.52916039,0.16871674
-5.90995498,1.77316432,0.00244088,0.02910112,1.31431702,0.24162366,0.01276582,1.15019181,0.51263805,0.16333896
-5.90395198,1.71473189,0.00229738,0.02905630,1.26559733,0.22971883,0.01296854,1.11241546,0.49648508,0.15850878
-5.89794897,1.66070070,0.00216595,0.02899211,1.21927652,0.21856046,0.01322489,1.07745753,0.48067840,0.15422360
-5.89194597,1.61089851,0.00204446,0.02889572,1.17530499,0.20815935,0.01352744,1.04521831,0.46517528,0.15046575
-5.88594297,1.56504882,0.00193100,0.02875450,1.13357740,0.19850745,0.01386781,1.01553132,0.44992037,0.14720474
-5.87993997,1.52279628,0.00182390,0.02855654,1.09395030,0.18958082,0.01423696,0.98817959,0.43485280,0.14439963
-5.87393697,1.48373215,0.00172171,0.02829110,1.05625881,0.18134300,0.01462531,0.96291191,0.41991276,0.14200151
-5.86793397,1.44741849,0.00162328,0.02794906,1.02033182,0.17374817,0.01502300,0.93945824,0.40504743,0.13995588
-5.86193097,1.41341004,0.00152767,0.02752324,0.98600475,0.16674436,0.01542013,0.91754355,0.39021568,0.13820495
-5.85592796,1.38127319,0.00143423,0.02700869,0.95312966,0.16027633,0.01580689,0.89689983,0.37539183,0.13668969
-5.84992496,1.35060133,0.00134251,0.02640287,0.92158245,0.15428809,0.01617380,0.87727565,0.36056787,0.13535157
-5.84392196,1.32102654,0.00125231,0.02570567,0.89126713,0.14872503,0.01651184,0.85844345,0.34575451,0.13413408
-5.83791896,1.29222751,0.00116358,0.02491944,0.86211724,0.14353559,0.01681260,0.84020434,0.33098094,0.13298390
-5.83191596,1.26393395,0.00107644,0.02404886,0.83409493,0.13867245,0.01706843,0.82239073,0.31629346,0.13185181
-5.82591296,1.23592789,0.00099115,0.02310072,0.80718795,0.13409332,0.01727250,0.80486692,0.30175315,0.13069333
-5.81990995,1.20804229,0.00090801,0.02208367,0.78140509,0.12976132,0.01741890,0.78752809,0.28743283,0.12946917
-5.81390695,1.18015764,0.00082742,0.02100790,0.75677057,0.12564504,0.01750272,0.77029796,0.27341341,0.12814539
-5.80790395,1.15219694,0.00074978,0.01988475,0.73331784,0.12171831,0.01752010,0.75312552,0.25978005,0.12669356
-5.80190095,1.12411980,0.00067549,0.01872637,0.71108329,0.11795974,0.01746826,0.73598115,0.24661815,0.12509067
-5.79589795,1.09591594,0.00060493,0.01754530,0.69010009,0.11435216,0.01734554,0.71885257,0.23400951,0.12331905
