energy_ev,total_up,Ir_p_up,Ir_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,11.03604154,2.54158249,6.53119603,1.49448324,0.07652697,0.09939891,3.17006120
-5.99399700,11.03721354,2.49657087,6.56172740,1.49072637,0.07574597,0.09897030,3.17876217
-5.98799400,11.03402912,2.45008206,6.59049839,1.48871332,0.07488533,0.09854525,3.18518779
-5.98199100,11.02581124,2.40236343,6.61683350,1.48795727,0.07395829,0.09813052,3.18919132
-5.97598799,11.01196756,2.35366296,6.64010765,1.48795582,0.07297893,0.09773578,3.19066020
-5.96998499,10.99201711,2.30422850,6.65976822,1.48820626,0.07196187,0.09737315,3.18952418
-5.96398199,10.96561714,2.25430805,6.67535680,1.48822053,0.07092191,0.09705665,3.18576402
-5.95797899,10.93258941,2.20415110,6.68653013,1.48753936,0.06987370,0.09680159,3.17942060
-5.95197599,10.89294464,2.15401088,6.69307913,1.48574521,0.06883149,0.09662398,3.17060368
-5.94597299,10.84690375,2.10414715,6.69494509,1.48247351,0.06780883,0.09653983,3.15949983
-5.93996998,10.79491418,2.05482933,6.69223195,1.47742197,0.06681834,0.09656458,3.14637882
-5.93396698,10.73765968,2.00633948,6.68521327,1.47035752,0.06587156,0.09671257,3.13159760
-5.92796398,10.67606185,1.95897481,6.67433323,1.46112077,0.06497877,0.09699659,3.11560127
-5.92196098,10.61127218,1.91304930,6.66020049,1.44962777,0.06414894,0.09742752,3.09892038
-5.91595798,10.54465338,1.86889403,6.64357438,1.43586918,0.06338963,0.09801412,3.08216402
-5.90995498,10.47774956,1.82685596,6.62534336,1.41990674,0.06270692,0.09876297,3.06600855
-5.90395198,10.41224515,1.78729487,6.60649556,1.40186737,0.06210548,0.09967841,3.05118176
-5.89794897,10.34991323,1.75057844,6.58808232,1.38193516,0.06158849,0.10076277,3.03844285
-5.89194597,10.29255469,1.71707545,6.57117557,1.36034146,0.06115765,0.10201651,3.02855874
-5.88594297,10.24193011,1.68714724,6.55682064,1.33735370,0.06081321,0.10343857,3.02227743
-5.87993997,10.19968711,1.66113770,6.54598637,1.31326326,0.06055396,0.10502667,3.02029965
-5.87393697,10.16728631,1.63936239,6.53951474,1.28837297,0.06037721,0.10677773,3.02324999
-5.86793397,10.14592947,1.62209713,6.53807242,1.26298475,0.06027876,0.10868822,3.03164895
-5.86193097,10.13649367,1.60956689,6.54210680,1.23738787,0.06025295,0.11075450,3.04588754
-5.85592796,10.13947516,1.60193559,6.55180892,1.21184840,0.06029259,0.11297325,3.06620584
-5.84992496,10.15494672,1.59929768,6.56708575,1.18660010,0.06038903,0.11534171,3.09267697
