energy_ev,total_up,Cd_p_up,Cd_d_up,In_p_up,In_d_up,S_s_up,S_p_up
-6.00000000,1.12295777,0.48949426,0.22472480,0.06673641,0.00251859,0.18440018,0.46599792
-5.99399700,1.14838252,0.48514332,0.23172966,0.06509559,0.00260612,0.19218330,0.47515507
-5.98799400,1.17366167,0.48227202,0.23849133,0.06371386,0.00269766,0.19954961,0.48438139
-5.98199100,1.19823839,0.48058547,0.24490746,0.06253596,0.00279113,0.20642656,0.49345849
-5.97598799,1.22156671,0.47979630,0.25087769,0.06150762,0.00288442,0.21274300,0.50217328
-5.96998499,1.24312382,0.47963136,0.25630582,0.06057696,0.00297543,0.21843069,0.51032265
-5.96398199,1.26242177,0.47983718,0.26110208,0.05969570,0.00306216,0.22342598,0.51771781
-5.95797899,1.27901838,0.48018431,0.26518524,0.05882016,0.00314271,0.22767141,0.52418819
-5.95197599,1.29252711,0.48047049,0.26848472,0.05791211,0.00321537,0.23111751,0.52958488
-5.94597299,1.30262556,0.48052287,0.27094241,0.05693946,0.00327861,0.23372429,0.53378344
-5.93996998,1.30906228,0.48019923,0.27251417,0.05587675,0.00333117,0.23546268,0.53668606
-5.93396698,1.31166174,0.47938845,0.27317109,0.05470559,0.00337205,0.23631558,0.53822302
-5.92796398,1.31032710,0.47801022,0.27290013,0.05341487,0.00340052,0.23627859,0.53835336
-5.92196098,1.30504086,0.47601428,0.27170439,0.05200088,0.00341615,0.23536027,0.53706474
-5.91595798,1.29586331,0.47337925,0.26960291,0.05046736,0.00341878,0.23358199,0.53437264
-5.90995498,1.28292896,0.47011117,0.26662985,0.04882537,0.00340855,0.23097728,0.53031881
-5.90395198,1.26644118,0.46624216,0.26283337,0.04709317,0.00338581,0.22759078,0.52496933
-5.89794897,1.24666558,0.46182915,0.25827410,0.04529595,0.00335119,0.22347679,0.51841216
-5.89194597,1.22392249,0.45695297,0.25302333,0.04346562,0.00330546,0.21869759,0.51075471
-5.88594297,1.19857916,0.45171807,0.24716106,0.04164045,0.00324961,0.21332148,0.50212135
-5.87993997,1.17104224,0.44625288,0.24077409,0.03986481,0.00318470,0.20742089,0.49265125
-5.87393697,1.14175112,0.44071092,0.23395411,0.03818891,0.00311194,0.20107038,0.48249679
-5.86793397,1.11117250,0.43527285,0.22679614,0.03666853,0.00303256,0.19434494,0.47182239
-5.86193097,1.07979658,0.43014922,0.21939715,0.03536482,0.00294787,0.18731843,0.46080430
-5.85592796,1.04813505,0.42558391,0.21185511,0.03434412,0.00285918,0.18006241,0.44963094
-5.84992496,1.01672077,0.42185809,0.20426842,0.03367782,0.00276782,0.17264524,0.43850403
-5.84392196,0.98610907,0.41929422,0.19673568,0.03344217,0.00267511,0.16513169,0.42764023
-5.83791896,0.95688010,0.41825992,0.18935583,0.03371817,0.00258239,0.15758271,0.41727306
-5.83191596,0.92964180,0.41917107,0.18222843,0.03459125,0.00249097,0.15005569,0.40765490
-5.82591296,0.90503270,0.42249374,0.17545420,0.03615093,0.00240220,0.14260483,0.39905867
-5.81990995,0.88372378,0.42874444,0.16913538,0.03849022,0.00231742,0.13528168,0.39177884
-5.81390695,0.86641867,0.43848808,0.16337607,0.04170488,0.00223798,0.12813578,0.38613143
-5.80790395,0.85385121,0.45233321,0.15828226,0.04589228,0.00216524,0.12121521,0.38245256
-5.80190095,0.84677998,0.47092428,0.15396135,0.05115002,0.00210057,0.11456703,0.38109547
-5.79589795,0.84597893,0.49493036,0.15052132,0.05757413,0.00204536,0.10823751,0.38242550
-5.78989495,0.85222408,0.52503045,0.14806923,0.06525686,0.00200095,0.10227207,0.38681318
-5.78389195,0.86627605,0.56189529,0.14670910,0.07428415,0.00196865,0.09671502,0.39462526
-5.77788894,0.88885856,0.60616588,0.14653931,0.08473268,0.00194969,0.09160887,0.40621381
-5.77188594,0.92063347,0.65842923,0.14764941,0.09666668,0.00194521,0.08699345,0.42190371
-5.76588294,0.96217303,0.71919188,0.15011650,0.11013446,0.00195619,0.08290481,0.44197883
-5.75987994,1.01393031,0.78885209,0.15400139,0.12516493,0.00198339,0.07937384,0.46666739
-5.75387694,1.07620903,0.86767176,0.15934463,0.14176402,0.00202739,0.07642488,0.49612711
-5.74787394,1.14913420,0.95574911,0.16616267,0.15991144,0.00208843,0.07407431,0.53043084
-5.74187094,1.23262508,1.05299362,0.17444426,0.17955771,0.00216648,0.07232920,0.56955326
-5.73586793,1.32637187,1.15910435,0.18414752,0.20062174,0.00226113,0.07118611,0.61335959
-5.72986493,1.42981783,1.27355310,0.19519760,0.22298922,0.00237162,0.07063027,0.66159685
-5.72386193,1.54214810,1.39557361,0.20748537,0.24651180,0.00249679,0.07063495,0.71388833
-5.71785893,1.66228644,1.52415790,0.22086717,0.27100733,0.00263511,0.07116130,0.76973202
-5.71185593,1.78890078,1.65806063,0.23516575,0.29626133,0.00278468,0.07215868,0.82850315
-5.70585293,1.92041831,1.79581204,0.25017249,0.32202958,0.00294325,0.07356534,0.88946132
-5.69984992,2.05505001,1.93573964,0.26565088,0.34804199,0.00310827,0.07530964,0.95176220
-5.69384692,2.19082470,2.07599866,0.28134125,0.37400770,0.00327695,0.07731164,1.01447362
-5.68784392,2.32563155,2.21461045,0.29696656,0.39962127,0.00344632,0.07948512,1.07659583
-5.68184092,2.45727021,2.34950796,0.31223918,0.42456981,0.00361329,0.08173988,1.13708517
-5.67583792,2.58350673,2.47858698,0.32686833,0.44854091,0.00377475,0.08398428,1.19488057
-5.66983492,2.70213344,2.59976115,0.34056798,0.47123105,0.00392765,0.08612789,1.24893182
-5.66383192,2.81103058,2.71101899,0.35306490,0.49235412,0.00406908,0.08808420,1.29822862
-5.65782891,2.90822724,2.81048065,0.36410649,0.51164993,0.00419635,0.08977320,1.34182920
-5.65182591,2.99195911,2.89645196,0.37346814,0.52889210,0.00430707,0.09112379,1.37888748
-5.64582291,3.06072074,2.96747386,0.38095977,0.54389521,0.00439922,0.09207590,1.40867751
-5.63981991,3.11330992,3.02236482,0.38643124,0.55652075,0.00447118,0.09258219,1.43061426
-5.63381691,3.14886253,3.06025462,0.38977653,0.56668162,0.00452183,0.09260934,1.44426990
-5.62781391,3.16687601,3.08060805,0.39093634,0.57434500,0.00455047,0.09213876,1.44938481
-5.62181091,3.16722076,3.08323749,0.38989916,0.57953324,0.00455695,0.09116686,1.44587304
