energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,5.35229498,0.01395955,0.99345638,1.50291842,1.79288622,0.11601879,2.03340201,0.53318455,0.22003197
-5.99399700,5.62265252,0.01410552,1.06548303,1.58022518,1.92877439,0.11862353,2.10697869,0.54218463,0.22782472
-5.98799400,5.91090204,0.01434309,1.14032528,1.66435530,2.07200867,0.12090673,2.18808180,0.55504092,0.23639974
-5.98199100,6.21534439,0.01467737,1.21701790,1.75539441,2.22097049,0.12287558,2.27696157,0.57200758,0.24577880
-5.97598799,6.53401088,0.01511122,1.29451598,1.85330490,2.37388342,0.12454577,2.37380577,0.59328076,0.25598051
-5.96998499,6.86465022,0.01564499,1.37171169,1.95790680,2.52883763,0.12594010,2.47870902,0.61898575,0.26701756
-5.96398199,7.20472193,0.01627636,1.44745397,2.06886208,2.68381969,0.12708675,2.59164209,0.64916576,0.27889378
-5.95797899,7.55139851,0.01700029,1.52057102,2.18566341,2.83674716,0.12801733,2.71242316,0.68377281,0.29160130
-5.95197599,7.90157846,0.01780907,1.58989495,2.30762817,2.98550777,0.12876469,2.84069267,0.72266127,0.30511793
-5.94597299,8.25191148,0.01869245,1.65428801,2.43389853,3.12800211,0.12936076,2.97589382,0.76558432,0.31940493
-5.93996998,8.59883679,0.01963789,1.71266957,2.56344818,3.26218895,0.12983446,3.11726001,0.81219383,0.33440541
-5.93396698,8.93863480,0.02063094,1.76404300,2.69509586,3.38613160,0.13020976,3.26381082,0.86204359,0.35004340
-5.92796398,9.26749124,0.02165562,1.80752144,2.82752586,3.49804397,0.13050421,3.41435712,0.91459619,0.36622368
-5.92196098,9.58157257,0.02269492,1.84235151,2.95931504,3.59633461,0.13072769,3.56751583,0.96923321,0.38283252
-5.91595798,9.87711016,0.02373137,1.86793405,3.08896575,3.67964702,0.13088189,3.72173421,1.02526867,0.39973916
-5.90995498,10.15049052,0.02474757,1.88384106,3.21494375,3.74689465,0.13096008,3.87532286,1.08196523,0.41679812
-5.90395198,10.39834800,0.02572678,1.88982806,3.33571974,3.79728925,0.13094766,4.02649637,1.13855269,0.43385209
-5.89794897,10.61765628,0.02665348,1.88584153,3.44981306,3.83036129,0.13082299,4.17341987,1.19424812,0.45073545
-5.89194597,10.80581459,0.02751383,1.87202097,3.55583582,3.84597161,0.13055888,4.31425950,1.24827694,0.46727802
-5.88594297,10.96072503,0.02829619,1.84869559,3.65253576,3.84431403,0.13012432,4.44723458,1.29989420,0.48330900
-5.87993997,11.08085732,0.02899141,1.81637588,3.73883591,3.82590859,0.12948653,4.57066906,1.34840527,0.49866094
-5.87393697,11.16529832,0.02959315,1.77574023,3.81386947,3.79158597,0.12861314,4.68304005,1.39318512,0.51317343
-5.86793397,11.21378384,0.03009800,1.72761742,3.87700840,3.74246391,0.12747434,4.78302124,1.43369569,0.52669643
-5.86193097,11.22671174,0.03050554,1.67296567,3.92788445,3.67991652,0.12604501,4.86951944,1.46950048,0.53909320
-5.85592796,11.20513563,0.03081827,1.61284901,3.96640191,3.60553805,0.12430651,4.94170292,1.50027606,0.55024252
-5.84992496,11.15073980,0.03104140,1.54841203,3.99274143,3.52110259,0.12224819,4.99902042,1.52582007,0.56004051
-5.84392196,11.06579676,0.03118263,1.48085397,4.00735514,3.42852134,0.11986851,5.04121063,1.54605547,0.56840167
-5.83791896,10.95310934,0.03125172,1.41140294,4.01095313,3.32979915,0.11717562,5.06830215,1.56103099,0.57525945
-5.83191596,10.81594013,0.03126009,1.34129125,4.00448233,3.22699174,0.11418752,5.08060425,1.57091783,0.58056638
