energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,2.55953810,1.18391800,0.31804588,0.00253782,0.31657000,1.13196355,0.65303968,0.01934265,1.19248389
-5.99399700,2.60792234,1.21681046,0.31963495,0.00243138,0.31734268,1.16165404,0.66691936,0.01815566,1.21946393
-5.98799400,2.65454904,1.24797587,0.32071182,0.00235505,0.31809690,1.18990743,0.68043838,0.01698418,1.24512976
-5.98199100,2.69871511,1.27697506,0.32123828,0.00230574,0.31883253,1.21610576,0.69343977,0.01584516,1.26907355
-5.97598799,2.73972531,1.30339578,0.32118430,0.00228029,0.31955450,1.23967317,0.70576522,0.01475353,1.29089676
-5.96998499,2.77690042,1.32685734,0.32052764,0.00227555,0.32027192,1.26008912,0.71725629,0.01372185,1.31021547
-5.96398199,2.80958648,1.34701455,0.31925342,0.00228839,0.32099700,1.27690020,0.72775605,0.01276012,1.32666593
-5.95797899,2.83716546,1.36356133,0.31735370,0.00231576,0.32174429,1.28973038,0.73711134,0.01187568,1.33991054
-5.95197599,2.85906734,1.37623430,0.31482718,0.00235475,0.32252992,1.29828949,0.74517560,0.01107322,1.34964402
-5.94597299,2.87478379,1.38481629,0.31167911,0.00240256,0.32337135,1.30237993,0.75181234,0.01035485,1.35560016
-5.93996998,2.88388299,1.38914020,0.30792147,0.00245663,0.32428729,1.30190139,0.75689919,0.00972033,1.35755864
-5.93396698,2.88602529,1.38909303,0.30357327,0.00251457,0.32529813,1.29685367,0.76033229,0.00916727,1.35535212
-5.92796398,2.88097922,1.38462020,0.29866118,0.00257428,0.32642658,1.28733765,0.76203099,0.00869143,1.34887314
-5.92196098,2.86863696,1.37573003,0.29322023,0.00263391,0.32769873,1.27355420,0.76194251,0.00828713,1.33808069
-5.91595798,2.84902865,1.36249815,0.28729468,0.00269195,0.32914524,1.25580138,0.76004633,0.00794752,1.32300611
-5.90995498,2.82233459,1.34507166,0.28093889,0.00274723,0.33080257,1.23446982,0.75635811,0.00766502,1.30375802
-5.90395198,2.78889461,1.32367261,0.27421808,0.00279896,0.33271428,1.21003645,0.75093279,0.00743164,1.28052594
-5.89794897,2.74921382,1.29860065,0.26720903,0.00284673,0.33493205,1.18305666,0.74386672,0.00723937,1.25358227
-5.89194597,2.70396410,1.27023432,0.26000046,0.00289054,0.33751647,1.15415509,0.73529849,0.00708041,1.22328251
-5.88594297,2.65398093,1.23903074,0.25269319,0.00293082,0.34053740,1.12401520,0.72540855,0.00694753,1.19006330
-5.87993997,2.60025530,1.20552350,0.24539991,0.00296841,0.34407386,1.09336766,0.71441733,0.00683423,1.15443844
-5.87393697,2.54392058,1.17031831,0.23824453,0.00300455,0.34821334,1.06297795,0.70258200,0.00673493,1.11699255
-5.86793397,2.48623460,1.13408651,0.23136120,0.00304085,0.35305062,1.03363307,0.69019187,0.00664510,1.07837262
-5.86193097,2.42855735,1.09755620,0.22489289,0.00307928,0.35868600,1.00612786,0.67756268,0.00656128,1.03927749
-5.85592796,2.37232469,1.06150116,0.21898959,0.00312210,0.36522314,0.98125078,0.66502981,0.00648116,1.00044543
-5.84992496,2.31901901,1.02672761,0.21380613,0.00317179,0.37276641,0.95976960,0.65294084,0.00640348,0.96264016
-5.84392196,2.27013737,0.99405902,0.20949974,0.00323101,0.38141800,0.94241695,0.64164753,0.00632802,0.92663547
-5.83791896,2.22715829,0.96431937,0.20622733,0.00330250,0.39127483,0.92987606,0.63149767,0.00625543,0.89319902
-5.83191596,2.19150780,0.93831512,0.20414250,0.00338898,0.40242537,0.92276679,0.62282696,0.00618712,0.86307546
-5.82591296,2.16452576,0.91681637,0.20339248,0.00349307,0.41494654,0.92163204,0.61595116,0.00612507,0.83696948
-5.81990995,2.14743324,0.90053768,0.20411487,0.00361717,0.42890064,0.92692492,0.61115875,0.00607170,0.81552901
-5.81390695,2.14130172,0.89011903,0.20643438,0.00376337,0.44433259,0.93899666,0.60870435,0.00602964,0.79932914
-5.80790395,2.14702471,0.88610751,0.21045956,0.00393335,0.46126729,0.95808560,0.60880277,0.00600158,0.78885702
-5.80190095,2.16529245,0.88894013,0.21627953,0.00412825,0.47970735,0.98430748,0.61162407,0.00599007,0.78449818
-5.79589795,2.19657017,0.89892850,0.22396089,0.00434864,0.49963111,1.01764732,0.61728949,0.00599736,0.78652471
-5.78989495,2.24108034,0.91624572,0.23354481,0.00459437,0.52099094,1.05795310,0.62586828,0.00602527,0.79508545
-5.78389195,2.29878939,0.94091600,0.24504430,0.00486456,0.54371187,1.10493171,0.63737547,0.00607509,0.81019869
-5.77788894,2.36939914,0.97280754,0.25844195,0.00515756,0.56769062,1.15814738,0.65177050,0.00614742,0.83174764
-5.77188594,2.45234338,1.01162905,0.27368797,0.00547087,0.59279492,1.21702296,0.66895682,0.00624218,0.85947879
-5.76588294,2.54678980,1.05693009,0.29069887,0.00580124,0.61886326,1.28084438,0.68878222,0.00635857,0.89300353
-5.75987994,2.65164760,1.10810566,0.30935672,0.00614463,0.64570512,1.34876852,0.71104014,0.00649500,0.93180302
-5.75387694,2.76558083,1.16440500,0.32950910,0.00649629,0.67310169,1.41983463,0.73547180,0.00664923,0.97523642
-5.74787394,2.88702763,1.22494461,0.35096986,0.00685088,0.70080725,1.49297937,0.76176925,0.00681834,1.02255249
-5.74187094,3.01422528,1.28872535,0.37352076,0.00720257,0.72855118,1.56705542,0.78957931,0.00699889,1.07290425
-5.73586793,3.14524080,1.35465328,0.39691396,0.00754517,0.75604079,1.64085340,0.81850858,0.00718697,1.12536665
-5.72986493,3.27800683,1.42156370,0.42087536,0.00787233,0.78296493,1.71312673,0.84812924,0.00737842,1.17895663
-5.72386193,3.41036203,1.48824791,0.44510888,0.00817769,0.80899851,1.78261882,0.87798597,0.00756887,1.23265537
-5.71785893,3.54009529,1.55348169,0.46930149,0.00845506,0.83380784,1.84809192,0.90760368,0.00775403,1.28543181
-5.71185593,3.66499279,1.61605497,0.49312892,0.00869865,0.85705673,1.90835678,0.93649611,0.00792975,1.33626705
-5.70585293,3.78288665,1.67480141,0.51626196,0.00890320,0.87841340,1.96230212,0.96417512,0.00809226,1.38417871
-5.69984992,3.89170385,1.72862718,0.53837311,0.00906419,0.89755784,2.00892296,0.99016050,0.00823828,1.42824458
-5.69384692,3.98951414,1.77653792,0.55914354,0.00917799,0.91418958,2.04734676,1.01399010,0.00836523,1.46762477
-5.68784392,4.07457539,1.81766295,0.57827000,0.00924193,0.92803562,2.07685644,1.03523002,0.00847131,1.50158166
-5.68184092,4.14537501,1.85127607,0.59547156,0.00925445,0.93885815,2.09690937,1.05348463,0.00855563,1.52949703
-5.67583792,4.20066631,1.87681221,0.61049600,0.00921509,0.94646192,2.10715168,1.06840597,0.00861831,1.55088585
-5.66983492,4.23949836,1.89387946,0.62312564,0.00912458,0.95070086,2.10742727,1.07970251,0.00866052,1.56540629
-5.66383192,4.26123879,1.90226637,0.63318242,0.00898472,0.95148379,2.09778132,1.08714663,0.00868448,1.57286578
-5.65782891,4.26558852,1.90194420,0.64053213,0.00879840,0.94877879,2.07845805,1.09058093,0.00869350,1.57322295
-5.65182591,4.25258828,1.89306432,0.64508762,0.00856944,0.94261626,2.04989308,1.08992282,0.00869189,1.56658556
-5.64582291,4.22261648,1.87595112,0.64681095,0.00830250,0.93309028,2.01270049,1.08516738,0.00868488,1.55320463
-5.63981991,4.17637886,1.85109061,0.64571438,0.00800292,0.92035827,1.96765540,1.07638837,0.00867851,1.53346496
-5.63381691,4.11488999,1.81911544,0.64186016,0.00767655,0.90463888,1.91567246,1.06373715,0.00867945,1.50787268
-5.62781391,4.03944736,1.78078683,0.63535921,0.00732958,0.88620811,1.85778134,1.04743970,0.00869487,1.47704007
-5.62181091,3.95159882,1.73697401,0.62636858,0.00696833,0.86539375,1.79509986,1.02779162,0.00873217,1.44166830
-5.61580790,3.85310422,1.68863200,0.61508786,0.00659913,0.84256821,1.72880575,1.00515128,0.00879877,1.40252877
-5.60980490,3.74589242,1.63677812,0.60175458,0.00622812,0.81814003,1.66010793,0.97993137,0.00890187,1.36044329
-5.60380190,3.63201473,1.58246814,0.58663869,0.00586108,0.79254423,1.59021808,0.95258895,0.00904819,1.31626396
-5.59779890,3.51359609,1.52677234,0.57003629,0.00550336,0.76623185,1.52032326,0.92361428,0.00924372,1.27085314
-5.59179590,3.39278527,1.47075236,0.55226280,0.00515972,0.73965888,1.45156027,0.89351898,0.00949344,1.22506394
-5.58579290,3.27170545,1.41543899,0.53364563,0.00483428,0.71327509,1.38499229,0.86282354,0.00980114,1.17972176
-5.57978989,3.15240649,1.36181158,0.51451670,0.00453044,0.68751302,1.32158828,0.83204492,0.01016915,1.13560739
-5.57378689,3.03682021,1.31077939,0.49520494,0.00425085,0.66277748,1.26220551,0.80168437,0.01059826,1.09344178
-5.56778389,2.92672002,1.26316520,0.47602903,0.00399740,0.63943599,1.20757551,0.77221613,0.01108752,1.05387312
-5.56178089,2.82368606,1.21969158,0.45729059,0.00377125,0.61781044,1.15829364,0.74407715,0.01163422,1.01746631
-5.55577789,2.72907690,1.18097006,0.43926800,0.00357283,0.59817026,1.11481241,0.71765844,0.01223386,0.98469521
-5.54977489,2.64400872,1.14749337,0.42221121,0.00340190,0.58072744,1.07743863,0.69329812,0.01288025,0.95593769
-5.54377189,2.56934254,1.11963102,0.40633748,0.00325762,0.56563337,1.04633437,0.67127663,0.01356560,0.93147377
-5.53776888,2.50568000,1.09762813,0.39182836,0.00313861,0.55297794,1.02152158,0.65181404,0.01428076,0.91148670
-5.53176588,2.45336758,1.08160768,0.37882793,0.00304304,0.54279054,1.00289032,0.63506963,0.01501545,0.89606701
-5.52576288,2.41250914,1.07157589,0.36744235,0.00296872,0.53504320,0.99021017,0.62114371,0.01575861,0.88521926
-5.51975988,2.38298588,1.06743056,0.35774063,0.00291317,0.52965559,0.98314465,0.61008136,0.01649876,0.87887127
-5.51375688,2.36448296,1.06897204,0.34975664,0.00287377,0.52650163,0.98126798,0.60187797,0.01722436,0.87688529
-5.50775388,2.35652120,1.07591631,0.34349208,0.00284778,0.52541742,0.98408382,0.59648621,0.01792430,0.87907068
-5.50175088,2.35849238,1.08790956,0.33892034,0.00283248,0.52621008,0.99104527,0.59382384,0.01858823,0.88519745
-5.49574787,2.36969626,1.10454370,0.33599089,0.00282523,0.52866716,1.00157531,0.59378212,0.01920695,0.89501000
-5.48974487,2.38937738,1.12537211,0.33463401,0.00282357,0.53256601,1.01508715,0.59623409,0.01977278,0.90824030
-5.48374187,2.41675972,1.14992473,0.33476557,0.00282524,0.53768280,1.03100351,0.60104232,0.02027980,0.92461985
-5.47773887,2.45107742,1.17772208,0.33629156,0.00282827,0.54380069,1.04877412,0.60806569,0.02072402,0.94388983
-5.47173587,2.49159989,1.20828738,0.33911212,0.00283101,0.55071676,1.06789082,0.61716476,0.02110351,0.96580870
-5.46573287,2.53765009,1.24115625,0.34312485,0.00283216,0.55824743,1.08789950,0.62820539,0.02141836,0.99015705
-5.45972986,2.58861512,1.27588384,0.34822733,0.00283075,0.56623208,1.10840856,0.64106052,0.02167060,1.01673925
-5.45372686,2.64394869,1.31204887,0.35431858,0.00282616,0.57453485,1.12909343,0.65561001,0.02186396,1.04538197
-5.44772386,2.70316563,1.34925481,0.36129963,0.00281812,0.58304444,1.14969707,0.67173851,0.02200362,1.07592950
-5.44172086,2.76582908,1.38712832,0.36907304,0.00280663,0.59167220,1.17002669,0.68933183,0.02209582,1.10823651
-5.43571786,2.83153155,1.42531517,0.37754171,0.00279197,0.60034858,1.18994666,0.70827182,0.02214745,1.14215847
-5.42971486,2.89987126,1.46347437,0.38660699,0.00277463,0.60901820,1.20936844,0.72843047,0.02216558,1.17754064
-5.42371186,2.97042589,1.50127108,0.39616636,0.00275524,0.61763412,1.22823798,0.74966352,0.02215706,1.21420635
-5.41770885,3.04272569,1.53836901,0.40611103,0.00273455,0.62615146,1.24652153,0.77180436,0.02212805,1.25194560
-5.41170585,3.11622826,1.57442323,0.41632365,0.00271338,0.63452102,1.26419067,0.79465858,0.02208368,1.29050478
-5.40570285,3.19029717,1.60907403,0.42667640,0.00269252,0.64268325,1.28120767,0.81799978,0.02202769,1.32957856
-5.39969985,3.26418639,1.64194276,0.43702986,0.00267277,0.65056307,1.29751207,0.84156719,0.02196227,1.36880471
-5.39369685,3.33703219,1.67263006,0.44723269,0.00265484,0.65806582,1.31300933,0.86506541,0.02188790,1.40776255
-5.38769385,3.40785383,1.70071708,0.45712244,0.00263937,0.66507480,1.32756242,0.88816646,0.02180335,1.44597544
-5.38169085,3.47556355,1.72576988,0.46652749,0.00262692,0.67145038,1.34098696,0.91051440,0.02170577,1.48291763
-5.37568784,3.53898618,1.74734708,0.47527012,0.00261795,0.67703110,1.35305026,0.93173241,0.02159091,1.51802538
-5.36968484,3.59688777,1.76501053,0.48317072,0.00261287,0.68163642,1.36347437,0.95143210,0.02145336,1.55071209
-5.36368184,3.64801205,1.77833859,0.49005293,0.00261202,0.68507129,1.37194327,0.96922473,0.02128695,1.58038671
-5.35767884,3.69112335,1.78694143,0.49574945,0.00261574,0.68713221,1.37811356,0.98473387,0.02108512,1.60647490
-5.35167584,3.72505350,1.79047745,0.50010829,0.00262435,0.68761445,1.38162832,0.99760891,0.02084138,1.62844154
-5.34567284,3.74875059,1.78867001,0.50299916,0.00263823,0.68632010,1.38213329,1.00753872,0.02054969,1.64581380
-5.33966983,3.76132681,1.78132338,0.50431947,0.00265781,0.68306658,1.37929433,1.01426477,0.02020489,1.65820320
-5.33366683,3.76210261,1.76833690,0.50399983,0.00268359,0.67769499,1.37281538,1.01759296,0.01980306,1.66532565
-5.32766383,3.75064476,1.74971652,0.50200852,0.00271616,0.67007805,1.36245560,1.01740359,0.01934177,1.66701814
-5.32166083,3.72679596,1.72558267,0.49835468,0.00275619,0.66012702,1.34804494,1.01365877,0.01882030,1.66325111
-5.31565783,3.69069406,1.69617404,0.49309007,0.00280441,0.64779740,1.32949690,1.00640688,0.01823974,1.65413568
-5.30965483,3.64277966,1.66184668,0.48630911,0.00286158,0.63309289,1.30681804,0.99578371,0.01760298,1.63992517
-5.30365183,3.58379130,1.62306825,0.47814729,0.00292844,0.61606761,1.28011336,0.98201022,0.01691468,1.62101063
-5.29764882,3.51474827,1.58040759,0.46877780,0.00300566,0.59682626,1.24958744,0.96538679,0.01618105,1.59791053
-5.29164582,3.43692156,1.53451986,0.45840661,0.00309379,0.57552236,1.21554112,0.94628436,0.01540964,1.57125489
-5.28564282,3.35179432,1.48612785,0.44726623,0.00319314,0.55235458,1.17836392,0.92513268,0.01460902,1.54176461
-5.27963982,3.26101358,1.43600040,0.43560834,0.00330379,0.52756127,1.13852255,0.90240627,0.01378849,1.51022699
-5.27363682,3.16633557,1.38492874,0.42369558,0.00342545,0.50141364,1.09654630,0.87860876,0.01295765,1.47746843
-5.26763382,3.06956715,1.33370193,0.41179310,0.00355744,0.47420775,1.05300980,0.85425618,0.01212611,1.44432582
-5.26163082,2.97250625,1.28308250,0.40015997,0.00369867,0.44625574,1.00851432,0.82986020,0.01130312,1.41161773
-5.25562781,2.87688382,1.23378345,0.38904099,0.00384756,0.41787674,0.96366837,0.80591188,0.01049728,1.38011697
-5.24962481,2.78431021,1.18644753,0.37865927,0.00400207,0.38938783,0.91906866,0.78286669,0.00971628,1.35052556
-5.24362181,2.69622798,1.14162976,0.36920974,0.00415971,0.36109547,0.87528220,0.76113148,0.00896672,1.32345320
-5.23761881,2.61387312,1.09978388,0.36085399,0.00431761,0.33328761,0.83283045,0.74105382,0.00825394,1.29940027
-5.23161581,2.53824616,1.06125310,0.35371648,0.00447250,0.30622699,0.79217604,0.72291417,0.00758197,1.27874568
-5.22561281,2.47009366,1.02626555,0.34788232,0.00462091,0.28014562,0.75371251,0.70692095,0.00695353,1.26174005
-5.21960980,2.40990065,0.99493417,0.34339650,0.00475918,0.25524080,0.71775746,0.69320869,0.00637005,1.24850426
-5.21360680,2.35789334,0.96726108,0.34026463,0.00488363,0.23167251,0.68454895,0.68183906,0.00583180,1.23903295
-5.20760380,2.31405142,0.94314570,0.33845499,0.00499067,0.20956232,0.65424524,0.67280451,0.00533800,1.23320269
-5.20160080,2.27812864,0.92239624,0.33790169,0.00507690,0.18899379,0.62692741,0.66603420,0.00488699,1.23078390
-5.19559780,2.24968003,0.90474365,0.33850883,0.00513931,0.17001396,0.60260463,0.66140177,0.00447643,1.23145594
-5.18959480,2.22809386,0.88985732,0.34015518,0.00517530,0.15263602,0.58122130,0.65873430,0.00410346,1.23482420
-5.18359180,2.21262665,0.87736165,0.34269943,0.00518286,0.13684287,0.56266580,0.65782211,0.00376492,1.24043836
-5.17758879,2.20243913,0.86685279,0.34598546,0.00516061,0.12259115,0.54678004,0.65842866,0.00345750,1.24781101
-5.17158579,2.19663165,0.85791464,0.34984768,0.00510785,0.10981583,0.53336932,0.66030032,0.00317794,1.25643547
-5.16558279,2.19427727,0.85013364,0.35411595,0.00502461,0.09843482,0.52221206,0.66317532,0.00292311,1.26580252
-5.15957979,2.19445169,0.84311184,0.35862021,0.00491165,0.08835360,0.51306891,0.66679177,0.00269016,1.27541505
-5.15357679,2.19625874,0.83647777,0.36319451,0.00477041,0.07946959,0.50569090,0.67089440,0.00247663,1.28480060
-5.14757379,2.19885131,0.82989511,0.36768039,0.00460298,0.07167612,0.49982647,0.67523998,0.00228044,1.29352135
-5.14157079,2.20144719,0.82306884,0.37192970,0.00441199,0.06486602,0.49522730,0.67960135,0.00209999,1.30118152
-5.13556778,2.20334025,0.81574918,0.37580670,0.00420057,0.05893452,0.49165281,0.68377010,0.00193417,1.30743242
-5.12956478,2.20390715,0.80773336,0.37918963,0.00397219,0.05378166,0.48887348,0.68755814,0.00178233,1.31197518
-5.12356178,2.20261026,0.79886549,0.38197170,0.00373058,0.04931411,0.48667324,0.69079831,0.00164429,1.31456165
-5.11755878,2.19899756,0.78903489,0.38406165,0.00347955,0.04544640,0.48485085,0.69334423,0.00152030,1.31499366
-5.11155578,2.19270020,0.77817316,0.38538393,0.00322297,0.04210167,0.48322084,0.69506977,0.00141104,1.31312129
-5.10555278,2.18342872,0.76625046,0.38587867,0.00296454,0.03921197,0.48161391,0.69586821,0.00131756,1.30884027
-5.09954977,2.17096847,0.75327121,0.38550137,0.00270780,0.03671822,0.47987724,0.69565148,0.00124126,1.30208907
-5.09354677,2.15517496,0.73926959,0.38422259,0.00245597,0.03456983,0.47787470,0.69434959,0.00118385,1.29284599
-5.08754377,2.13596975,0.72430508,0.38202749,0.00221191,0.03272416,0.47548723,0.69191030,0.00114732,1.28112634
-5.08154077,2.11333693,0.70845825,0.37891550,0.00197809,0.03114581,0.47261334,0.68829930,0.00113391,1.26698005
-5.07553777,2.08732062,0.69182691,0.37489988,0.00175651,0.02980580,0.46916984,0.68350063,0.00114606,1.25048971
-5.06953477,2.05802328,0.67452268,0.37000739,0.00154875,0.02868078,0.46509268,0.67751755,0.00118636,1.23176895
-5.06353177,2.02560479,0.65666806,0.36427796,0.00135593,0.02775219,0.46033787,0.67037355,0.00125755,1.21096127
-5.05752876,1.99028185,0.63839387,0.35776441,0.00117873,0.02700547,0.45488232,0.66211346,0.00136238,1.18823898
