energy_ev,total_up,Ir_p_up,Ir_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,0.89239335,0.35062469,0.58634685,0.34801244,0.00264003,0.08017911,0.00000000
-5.99399700,0.87087184,0.35820814,0.56157237,0.34382405,0.00239890,0.08381896,0.00000000
-5.98799400,0.85726536,0.36860336,0.54217046,0.34214545,0.00218715,0.08824054,0.00000000
-5.98199100,0.85114141,0.38158641,0.52787709,0.34285752,0.00200442,0.09337965,0.00000000
-5.97598799,0.85195430,0.39688282,0.51836582,0.34579634,0.00184996,0.09915424,0.00000000
-5.96998499,0.85905747,0.41417053,0.51325632,0.35075675,0.00172263,0.10546558,0.00000000
-5.96398199,0.87171901,0.43308456,0.51212460,0.35749726,0.00162103,0.11220015,0.00000000
-5.95797899,0.88914030,0.45322354,0.51451473,0.36574619,0.00154354,0.11923202,0.00000000
-5.95197599,0.91047754,0.47415790,0.51995188,0.37520904,0.00148842,0.12642577,0.00000000
-5.94597299,0.93486547,0.49543960,0.52795650,0.38557680,0.00145388,0.13363990,0.00000000
-5.93996998,0.96144269,0.51661320,0.53805896,0.39653506,0.00143813,0.14073050,0.00000000
-5.93396698,0.98937777,0.53722766,0.54981445,0.40777355,0.00143950,0.14755522,0.00000000
-5.92796398,1.01789503,0.55684860,0.56281745,0.41899577,0.00145644,0.15397724,0.00000000
-5.92196098,1.04629911,0.57507038,0.57671515,0.42992826,0.00148759,0.15986917,0.00000000
-5.91595798,1.07399696,0.59152749,0.59121926,0.44032923,0.00153182,0.16511669,0.00000000
-5.90995498,1.10051645,0.60590462,0.60611549,0.44999591,0.00158826,0.16962173,0.00000000
-5.90395198,1.12552026,0.61794508,0.62127025,0.45877046,0.00165629,0.17330511,0.00000000
-5.89794897,1.14881451,0.62745683,0.63663394,0.46654394,0.00173554,0.17610847,0.00000000
-5.89194597,1.17035113,0.63431622,0.65224050,0.47325820,0.00182587,0.17799544,0.00000000
-5.88594297,1.19022391,0.63846883,0.66820304,0.47890552,0.00192734,0.17895192,0.00000000
-5.87993997,1.20865791,0.63992769,0.68470545,0.48352594,0.00204016,0.17898562,0.00000000
