energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.73471482,1.32199961,0.22820012,0.01074449,0.28783114,0.78602764,0.00000000,0.59228782,0.12670221
-5.99399700,1.78195769,1.37050545,0.23018078,0.01034821,0.29778395,0.81272763,0.00000000,0.61219854,0.13008054
-5.98799400,1.82504800,1.41568709,0.23184919,0.00997505,0.30699914,0.83709646,0.00000000,0.63031173,0.13312176
-5.98199100,1.86335717,1.45692280,0.23316166,0.00962802,0.31535323,0.85879839,0.00000000,0.64637264,0.13578232
-5.97598799,1.89626697,1.49360274,0.23406880,0.00930866,0.32272589,0.87751609,0.00000000,0.66014051,0.13802048
-5.96998499,1.92318336,1.52514179,0.23451725,0.00901706,0.32900235,0.89295706,0.00000000,0.67139397,0.13979717
-5.96398199,1.94355113,1.55099285,0.23445165,0.00875202,0.33407587,0.90486000,0.00000000,0.67993615,0.14107694
-5.95797899,1.95686883,1.57066032,0.23381691,0.00851120,0.33785021,0.91300086,0.00000000,0.68559971,0.14182887
-5.95197599,1.96270356,1.58371338,0.23256060,0.00829129,0.34024215,0.91719850,0.00000000,0.68825129,0.14202746
-5.94597299,1.96070519,1.58979872,0.23063532,0.00808827,0.34118384,0.91731971,0.00000000,0.68779549,0.14165339
-5.93996998,1.95061930,1.58865207,0.22800111,0.00789762,0.34062498,0.91328360,0.00000000,0.68417823,0.14069429
-5.93396698,1.93229862,1.58010832,0.22462755,0.00771458,0.33853480,0.90506500,0.00000000,0.67738919,0.13914535
-5.92796398,1.90571214,1.56410959,0.22049563,0.00753439,0.33490360,0.89269687,0.00000000,0.66746350,0.13700974
-5.92196098,1.87095173,1.54071094,0.21559932,0.00735248,0.32974396,0.87627150,0.00000000,0.65448229,0.13429898
-5.91595798,1.82823558,1.51008332,0.20994655,0.00716470,0.32309135,0.85594043,0.00000000,0.63857221,0.13103297
-5.90995498,1.77790839,1.47251340,0.20355986,0.00696746,0.31500429,0.83191291,0.00000000,0.61990388,0.12723999
-5.90395198,1.72043792,1.42840029,0.19647643,0.00675788,0.30556376,0.80445297,0.00000000,0.59868908,0.12295629
-5.89794897,1.65640793,1.37824891,0.18874764,0.00653387,0.29487209,0.77387502,0.00000000,0.57517697,0.11822562
-5.89194597,1.58650761,1.32266017,0.18043803,0.00629415,0.28305119,0.74053798,0.00000000,0.54964915,0.11309845
-5.88594297,1.51151763,1.26231827,0.17162392,0.00603832,0.27024008,0.70483829,0.00000000,0.52241385,0.10763104
-5.87993997,1.43229335,1.19797530,0.16239150,0.00576676,0.25659205,0.66720163,0.00000000,0.49379942,0.10188426
-5.87393697,1.34974568,1.13043391,0.15283464,0.00548064,0.24227124,0.62807395,0.00000000,0.46414714,0.09592237
-5.86793397,1.26482021,1.06052845,0.14305246,0.00518178,0.22744889,0.58791180,0.00000000,0.43380385,0.08981159
-5.86193097,1.17847551,0.98910533,0.13314671,0.00487256,0.21229948,0.54717253,0.00000000,0.40311436,0.08361871
-5.85592796,1.09166125,0.91700341,0.12321920,0.00455579,0.19699670,0.50630455,0.00000000,0.37241419,0.07740965
-5.84992496,1.00529714,0.84503505,0.11336924,0.00423459,0.18170959,0.46573799,0.00000000,0.34202264,0.07124805
-5.84392196,0.92025335,0.77396861,0.10369132,0.00391222,0.16659886,0.42587622,0.00000000,0.31223662,0.06519406
-5.83791896,0.83733317,0.70451292,0.09427299,0.00359198,0.15181367,0.38708846,0.00000000,0.28332534,0.05930316
-5.83191596,0.75725859,0.63730436,0.08519311,0.00327710,0.13748878,0.34970366,0.00000000,0.25552605,0.05362527
-5.82591296,0.68065905,0.57289677,0.07652054,0.00297060,0.12374235,0.31400592,0.00000000,0.22904095,0.04820407
-5.81990995,0.60806396,0.51175465,0.06831318,0.00267519,0.11067440,0.28023158,0.00000000,0.20403533,0.04307651
-5.81390695,0.53989875,0.45424945,0.06061754,0.00239328,0.09836585,0.24856793,0.00000000,0.18063694,0.03827263
-5.80790395,0.47648469,0.40065913,0.05346863,0.00212684,0.08687828,0.21915350,0.00000000,0.15893657,0.03381563
-5.80190095,0.41804209,0.35117060,0.04689040,0.00187744,0.07625431,0.19207998,0.00000000,0.13898967,0.02972214
-5.79589795,0.36469656,0.30588488,0.04089643,0.00164619,0.06651852,0.16739534,0.00000000,0.12081899,0.02600276
-5.78989495,0.31648792,0.26482434,0.03549098,0.00143382,0.05767889,0.14510819,0.00000000,0.10441790,0.02266271
-5.78389195,0.27338111,0.22794176,0.03067024,0.00124063,0.04972856,0.12519294,0.00000000,0.08975444,0.01970269
-5.77788894,0.23527850,0.19513056,0.02642386,0.00106661,0.04264795,0.10759558,0.00000000,0.07677562,0.01711979
-5.77188594,0.20203315,0.16623569,0.02273642,0.00091141,0.03640700,0.09223979,0.00000000,0.06541208,0.01490847
-5.76588294,0.17346213,0.14106475,0.01958908,0.00077449,0.03096750,0.07903306,0.00000000,0.05558261,0.01306155
-5.75987994,0.14935960,0.11939878,0.01696107,0.00065510,0.02628532,0.06787271,0.00000000,0.04719864,0.01157119
-5.75387694,0.12950904,0.10100244,0.01483120,0.00055240,0.02231264,0.05865134,0.00000000,0.04016838,0.01042969
-5.74787394,0.11369407,0.08563313,0.01317913,0.00046553,0.01899982,0.05126182,0.00000000,0.03440054,0.00963029
-5.74187094,0.10170787,0.07304897,0.01198651,0.00039364,0.01629721,0.04560147,0.00000000,0.02980755,0.00916780
-5.73586793,0.09336047,0.06301526,0.01123789,0.00033598,0.01415644,0.04157535,0.00000000,0.02630822,0.00903899
-5.72986493,0.08848422,0.05530957,0.01092134,0.00029197,0.01253162,0.03909867,0.00000000,0.02382981,0.00924284
-5.72386193,0.08693698,0.04972524,0.01102894,0.00026125,0.01138007,0.03809827,0.00000000,0.02230942,0.00978065
-5.71785893,0.08860330,0.04607344,0.01155683,0.00024374,0.01066272,0.03851307,0.00000000,0.02169488,0.01065581
-5.71185593,0.09339346,0.04418392,0.01250518,0.00023972,0.01034437,0.04029369,0.00000000,0.02194491,0.01187348
-5.70585293,0.10124070,0.04390447,0.01387778,0.00024983,0.01039347,0.04340122,0.00000000,0.02302888,0.01344007
-5.69984992,0.11209669,0.04509937,0.01568145,0.00027517,0.01078180,0.04780521,0.00000000,0.02492598,0.01536249
-5.69384692,0.12592558,0.04764701,0.01792528,0.00031734,0.01148394,0.05348113,0.00000000,0.02762401,0.01764728
-5.68784392,0.14269693,0.05143685,0.02061959,0.00037847,0.01247656,0.06040724,0.00000000,0.03111776,0.02029969
-5.68184092,0.16237782,0.05636597,0.02377480,0.00046126,0.01373764,0.06856120,0.00000000,0.03540709,0.02332260
-5.67583792,0.18492452,0.06233549,0.02740023,0.00056902,0.01524564,0.07791646,0.00000000,0.04049483,0.02671547
-5.66983492,0.21027413,0.06924694,0.03150275,0.00070566,0.01697867,0.08843873,0.00000000,0.04638450,0.03047327
-5.66383192,0.23833658,0.07699893,0.03608545,0.00087576,0.01891374,0.10008252,0.00000000,0.05307794,0.03458551
-5.65782891,0.26898733,0.08548417,0.04114635,0.00108448,0.02102607,0.11278810,0.00000000,0.06057297,0.03903542
-5.65182591,0.30206124,0.09458721,0.04667720,0.00133760,0.02328858,0.12647895,0.00000000,0.06886114,0.04379922
-5.64582291,0.33734781,0.10418271,0.05266237,0.00164141,0.02567150,0.14105978,0.00000000,0.07792565,0.04884571
-5.63981991,0.37458824,0.11413471,0.05907800,0.00200267,0.02814222,0.15641545,0.00000000,0.08773949,0.05413605
-5.63381691,0.41347440,0.12429662,0.06589128,0.00242845,0.03066535,0.17241061,0.00000000,0.09826391,0.05962383
-5.62781391,0.45364988,0.13451225,0.07306011,0.00292605,0.03320294,0.18889033,0.00000000,0.10944726,0.06525553
-5.62181091,0.49471326,0.14461761,0.08053299,0.00350275,0.03571496,0.20568159,0.00000000,0.12122419,0.07097114
-5.61580790,0.53622338,0.15444352,0.08824923,0.00416564,0.03815999,0.22259577,0.00000000,0.13351544,0.07670521
-5.60980490,0.57770670,0.16381901,0.09613955,0.00492135,0.04049601,0.23943183,0.00000000,0.14622797,0.08238810
-5.60380190,0.61866629,0.17257513,0.10412693,0.00577579,0.04268137,0.25598031,0.00000000,0.15925565,0.08794748
-5.59779890,0.65859220,0.18054923,0.11212782,0.00673385,0.04467587,0.27202786,0.00000000,0.17248043,0.09331000
-5.59179590,0.69697291,0.18758933,0.12005360,0.00779910,0.04644181,0.28736212,0.00000000,0.18577393,0.09840308
-5.58579290,0.73330720,0.19355851,0.12781227,0.00897345,0.04794512,0.30177686,0.00000000,0.19899942,0.10315670
-5.57978989,0.76711615,0.19833898,0.13531032,0.01025686,0.04915633,0.31507703,0.00000000,0.21201421,0.10750524
-5.57378689,0.79795466,0.20183566,0.14245471,0.01164709,0.05005151,0.32708357,0.00000000,0.22467218,0.11138910
-5.56778389,0.82542202,0.20397922,0.14915490,0.01313939,0.05061299,0.33763780,0.00000000,0.23682666,0.11475623
-5.56178089,0.84917120,0.20472813,0.15532485,0.01472637,0.05082993,0.34660519,0.00000000,0.24833324,0.11756339
-5.55577789,0.86891639,0.20406996,0.16088495,0.01639784,0.05069862,0.35387828,0.00000000,0.25905268,0.11977709
-5.54977489,0.88443860,0.20202161,0.16576370,0.01814074,0.05022258,0.35937884,0.00000000,0.26885370,0.12137425
-5.54377189,0.89558915,0.19862855,0.16989929,0.01993923,0.04941239,0.36305899,0.00000000,0.27761559,0.12234250
-5.53776888,0.90229088,0.19396310,0.17324086,0.02177476,0.04828530,0.36490139,0.00000000,0.28523059,0.12268016
-5.53176588,0.90453737,0.18812189,0.17574943,0.02362637,0.04686461,0.36491848,0.00000000,0.29160588,0.12239582
-5.52576288,0.90238999,0.18122245,0.17739855,0.02547095,0.04517884,0.36315093,0.00000000,0.29666536,0.12150773
-5.51975988,0.89597332,0.17339934,0.17817461,0.02728375,0.04326081,0.35966523,0.00000000,0.30035083,0.12004286
-5.51375688,0.88546898,0.16479973,0.17807682,0.02903882,0.04114659,0.35455078,0.00000000,0.30262291,0.11803580
-5.50775388,0.87110847,0.15557890,0.17711683,0.03070965,0.03887431,0.34791649,0.00000000,0.30346144,0.11552748
-5.50175088,0.85316506,0.14589560,0.17531816,0.03226980,0.03648313,0.33988707,0.00000000,0.30286554,0.11256384
-5.49574787,0.83194550,0.13590765,0.17271530,0.03369358,0.03401208,0.33059928,0.00000000,0.30085316,0.10919446
-5.48974487,0.80778150,0.12576781,0.16935265,0.03495674,0.03149905,0.32019813,0.00000000,0.29746043,0.10547127
-5.48374187,0.78102158,0.11562018,0.16528324,0.03603714,0.02897992,0.30883337,0.00000000,0.29274049,0.10144723
-5.47773887,0.75202341,0.10559715,0.16056743,0.03691539,0.02648776,0.29665616,0.00000000,0.28676224,0.09717526
-5.47173587,0.72114693,0.09581698,0.15527146,0.03757545,0.02405224,0.28381623,0.00000000,0.27960868,0.09270721
-5.46573287,0.68874822,0.08638212,0.14946602,0.03800504,0.02169917,0.27045935,0.00000000,0.27137520,0.08809308
-5.45972986,0.65517441,0.07737820,0.14322480,0.03819610,0.01945028,0.25672542,0.00000000,0.26216764,0.08338030
-5.45372686,0.62075953,0.06887368,0.13662315,0.03814498,0.01732306,0.24274686,0.00000000,0.25210030,0.07861332
-5.44772386,0.58582118,0.06092014,0.12973676,0.03785256,0.01533081,0.22864755,0.00000000,0.24129389,0.07383318
-5.44172086,0.55065818,0.05355305,0.12264044,0.03732425,0.01348286,0.21454213,0.00000000,0.22987345,0.06907738
-5.43571786,0.51554887,0.04679308,0.11540709,0.03656983,0.01178484,0.20053558,0.00000000,0.21796633,0.06437980
-5.42971486,0.48075001,0.04064768,0.10810666,0.03560310,0.01023905,0.18672320,0.00000000,0.20570019,0.05977065
-5.42371186,0.44649633,0.03511294,0.10080539,0.03444154,0.00884492,0.17319071,0.00000000,0.19320112,0.05527663
-5.41770885,0.41300029,0.03017569,0.09356505,0.03310575,0.00759952,0.16001457,0.00000000,0.18059182,0.05092102
-5.41170585,0.38045231,0.02581552,0.08644241,0.03161883,0.00649803,0.14726235,0.00000000,0.16799005,0.04672387
-5.40570285,0.34902111,0.02200698,0.07948876,0.03000579,0.00553431,0.13499324,0.00000000,0.15550705,0.04270219
-5.39969985,0.31885427,0.01872158,0.07274962,0.02829280,0.00470136,0.12325857,0.00000000,0.14324635,0.03887015
-5.39369685,0.29007891,0.01592975,0.06626450,0.02650654,0.00399182,0.11210231,0.00000000,0.13130270,0.03523929
-5.38769385,0.26280252,0.01360266,0.06006684,0.02467350,0.00339842,0.10156164,0.00000000,0.11976116,0.03181870
-5.38169085,0.23711385,0.01171379,0.05418399,0.02281934,0.00291438,0.09166749,0.00000000,0.10869661,0.02861523
-5.37568784,0.21308400,0.01024042,0.04863732,0.02096837,0.00253374,0.08244513,0.00000000,0.09817330,0.02563370
-5.36968484,0.19076756,0.00916484,0.04344246,0.01914303,0.00225170,0.07391469,0.00000000,0.08824478,0.02287707
-5.36368184,0.17020401,0.00847534,0.03860954,0.01736349,0.00206488,0.06609179,0.00000000,0.07895406,0.02034667
-5.35767884,0.15141918,0.00816711,0.03414355,0.01564739,0.00197148,0.05898818,0.00000000,0.07033394,0.01804238
-5.35167584,0.13442692,0.00824276,0.03004483,0.01400964,0.00197148,0.05261232,0.00000000,0.06240755,0.01596290
-5.34567284,0.11923085,0.00871275,0.02630947,0.01246232,0.00206671,0.04697006,0.00000000,0.05518918,0.01410591
-5.33966983,0.10582623,0.00959552,0.02292994,0.01101470,0.00226088,0.04206529,0.00000000,0.04868508,0.01246836
-5.33366683,0.09420188,0.01091742,0.01989556,0.00967336,0.00255960,0.03790058,0.00000000,0.04289454,0.01104669
-5.32766383,0.08434207,0.01271237,0.01719316,0.00844236,0.00297026,0.03447773,0.00000000,0.03781091,0.00983706
-5.32166083,0.07622832,0.01502124,0.01480768,0.00732346,0.00350189,0.03179829,0.00000000,0.03342275,0.00883559
-5.31565783,0.06984111,0.01789098,0.01272273,0.00631645,0.00416497,0.02986399,0.00000000,0.02971488,0.00803857
-5.30965483,0.06516133,0.02137349,0.01092121,0.00541946,0.00497113,0.02867698,0.00000000,0.02666941,0.00744271
-5.30365183,0.06217148,0.02552413,0.00938588,0.00462933,0.00593282,0.02824000,0.00000000,0.02426671,0.00704523
-5.29764882,0.06085657,0.03040002,0.00809985,0.00394191,0.00706288,0.02855627,0.00000000,0.02248624,0.00684412
-5.29164582,0.06120474,0.03605813,0.00704714,0.00335249,0.00837411,0.02962937,0.00000000,0.02130723,0.00683817
-5.28564282,0.06320741,0.04255307,0.00621305,0.00285610,0.00987870,0.03146277,0.00000000,0.02070920,0.00702711
-5.27963982,0.06685929,0.04993489,0.00558461,0.00244781,0.01158776,0.03405937,0.00000000,0.02067243,0.00741165
-5.27363682,0.07215795,0.05824665,0.00515089,0.00212306,0.01351070,0.03742083,0.00000000,0.02117811,0.00799351
-5.26763382,0.07910331,0.06752221,0.00490329,0.00187785,0.01565476,0.04154688,0.00000000,0.02220854,0.00877542
-5.26163082,0.08769687,0.07778407,0.00483575,0.00170899,0.01802443,0.04643452,0.00000000,0.02374705,0.00976110
-5.25562781,0.09794094,0.08904147,0.00494494,0.00161427,0.02062110,0.05207739,0.00000000,0.02577799,0.01095522
-5.24962481,0.10983784,0.10128895,0.00523031,0.00159251,0.02344268,0.05846514,0.00000000,0.02828652,0.01236335
-5.24362181,0.12338926,0.11450539,0.00569417,0.00164373,0.02648340,0.06558294,0.00000000,0.03125841,0.01399187
-5.23761881,0.13859567,0.12865364,0.00634162,0.00176907,0.02973375,0.07341130,0.00000000,0.03467990,0.01584795
-5.23161581,0.15545602,0.14368082,0.00718045,0.00197084,0.03318060,0.08192599,0.00000000,0.03853745,0.01793939
-5.22561281,0.17396760,0.15951941,0.00822098,0.00225239,0.03680749,0.09109837,0.00000000,0.04281757,0.02027457
-5.21960980,0.19412607,0.17608901,0.00947576,0.00261800,0.04059508,0.10089588,0.00000000,0.04750672,0.02286233
-5.21360680,0.21592563,0.19329874,0.01095922,0.00307271,0.04452181,0.11128279,0.00000000,0.05259115,0.02571176
-5.20760380,0.23935923,0.21105035,0.01268727,0.00362209,0.04856463,0.12222122,0.00000000,0.05805683,0.02883207
-5.20160080,0.26441871,0.22924162,0.01467673,0.00427195,0.05269997,0.13367220,0.00000000,0.06388934,0.03223228
-5.19559780,0.29109467,0.24777012,0.01694473,0.00502805,0.05690459,0.14559681,0.00000000,0.07007378,0.03592095
-5.18959480,0.31937606,0.26653694,0.01950798,0.00589577,0.06115660,0.15795729,0.00000000,0.07659458,0.03990572
-5.18359180,0.34924918,0.28545024,0.02238205,0.00687973,0.06543637,0.17071796,0.00000000,0.08343530,0.04419288
-5.17758879,0.38069610,0.30442836,0.02558046,0.00798339,0.06972726,0.18384585,0.00000000,0.09057833,0.04878681
-5.17158579,0.41369243,0.32340213,0.02911384,0.00920870,0.07401627,0.19731102,0.00000000,0.09800445,0.05368925
-5.16558279,0.44820422,0.34231641,0.03298903,0.01055572,0.07829443,0.21108639,0.00000000,0.10569234,0.05889868
-5.15957979,0.48418436,0.36113047,0.03720817,0.01202227,0.08255685,0.22514713,0.00000000,0.11361795,0.06440948
-5.15357679,0.52156816,0.37981723,0.04176785,0.01360364,0.08680256,0.23946955,0.00000000,0.12175385,0.07021118
-5.14757379,0.56026872,0.39836136,0.04665842,0.01529235,0.09103398,0.25402948,0.00000000,0.13006850,0.07628764
-5.14157079,0.60017197,0.41675619,0.05186325,0.01707799,0.09525614,0.26880035,0.00000000,0.13852552,0.08261638
-5.13556778,0.64113197,0.43499975,0.05735833,0.01894715,0.09947557,0.28375091,0.00000000,0.14708312,0.08916797
-5.12956478,0.68296658,0.45309000,0.06311199,0.02088345,0.10369905,0.29884285,0.00000000,0.15569357,0.09590554
-5.12356178,0.72545411,0.47101973,0.06908479,0.02286766,0.10793221,0.31402849,0.00000000,0.16430290,0.10278455
-5.11755878,0.76833118,0.48877132,0.07522978,0.02487797,0.11217804,0.32924870,0.00000000,0.17285093,0.10975281
-5.11155578,0.81129212,0.50631183,0.08149291,0.02689032,0.11643552,0.34443126,0.00000000,0.18127158,0.11675074
-5.10555278,0.85399037,0.52358889,0.08781382,0.02887888,0.12069839,0.35948981,0.00000000,0.18949351,0.12371199
-5.09954977,0.89604187,0.54052750,0.09412683,0.03081656,0.12495414,0.37432364,0.00000000,0.19744123,0.13056433
-5.09354677,0.93703078,0.55702841,0.10036218,0.03267565,0.12918336,0.38881837,0.00000000,0.20503658,0.13723093
-5.08754377,0.97651725,0.57296794,0.10644750,0.03442848,0.13335955,0.40284755,0.00000000,0.21220051,0.14363186
-5.08154077,1.01404738,0.58819966,0.11230949,0.03604809,0.13744924,0.41627533,0.00000000,0.21885524,0.14968589
-5.07553777,1.04916482,0.60255781,0.11787569,0.03750898,0.14141279,0.42895998,0.00000000,0.22492663,0.15531251
-5.06953477,1.08142382,0.61586238,0.12307632,0.03878774,0.14520539,0.44075825,0.00000000,0.23034668,0.16043407
-5.06353177,1.11040296,0.62792564,0.12784610,0.03986367,0.14877873,0.45153028,0.00000000,0.23505602,0.16497796
-5.05752876,1.13571930,0.63855978,0.13212611,0.04071938,0.15208276,0.46114501,0.00000000,0.23900635,0.16887879
-5.05152576,1.15704188,0.64758530,0.13586533,0.04134119,0.15506788,0.46948554,0.00000000,0.24216254,0.17208049
-5.04552276,1.17410427,0.65483954,0.13902216,0.04171952,0.15768713,0.47645437,0.00000000,0.24450443,0.17453809
-5.03951976,1.18671521,0.66018498,0.14156555,0.04184911,0.15989838,0.48197812,0.00000000,0.24602814,0.17621935
-5.03351676,1.19476699,0.66351670,0.14347590,0.04172912,0.16166643,0.48601139,0.00000000,0.24674672,0.17710596
-5.02751376,1.19824090,0.66476858,0.14474551,0.04136311,0.16296474,0.48853966,0.00000000,0.24669024,0.17719435
-5.02151076,1.19720951,0.66391773,0.14537875,0.04075891,0.16377687,0.48958081,0.00000000,0.24590514,0.17649603
-5.01550775,1.19183553,0.66098701,0.14539179,0.03992831,0.16409734,0.48918530,0.00000000,0.24445291,0.17503752
-5.00950475,1.18236724,0.65604523,0.14481193,0.03888678,0.16393203,0.48743494,0.00000000,0.24240814,0.17285979
-5.00350175,1.16913069,0.64920518,0.14367661,0.03765298,0.16329791,0.48444020,0.00000000,0.23985602,0.17001732
-4.99749875,1.15251906,0.64061943,0.14203210,0.03624827,0.16222233,0.48033622,0.00000000,0.23688936,0.16657668
-4.99149575,1.13297956,0.63047417,0.13993192,0.03469615,0.16074163,0.47527783,0.00000000,0.23360538,0.16261499
-4.98549275,1.11099875,0.61898143,0.13743507,0.03302176,0.15889944,0.46943371,0.00000000,0.23010232,0.15821800
-4.97948974,1.08708691,0.60637013,0.13460416,0.03125122,0.15674460,0.46298010,0.00000000,0.22647619,0.15347814
-4.97348674,1.06176228,0.59287644,0.13150356,0.02941118,0.15432877,0.45609451,0.00000000,0.22281773,0.14849256
-4.96748374,1.03553626,0.57873409,0.12819756,0.02752825,0.15170415,0.44894968,0.00000000,0.21920986,0.14336123
