energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.81120350,0.00918368,0.19553605,1.02912151,0.57102928,0.80185444,0.00000000
-5.99399700,1.90142557,0.00984087,0.21651721,1.09981617,0.59554802,0.83132532,0.00000000
-5.98799400,1.98614965,0.01047878,0.23912664,1.17086618,0.61775900,0.85629608,0.00000000
-5.98199100,2.06473872,0.01108799,0.26340812,1.24202312,0.63747148,0.87637836,0.00000000
-5.97598799,2.13672602,0.01165913,0.28939080,1.31307961,0.65456065,0.89128923,0.00000000
-5.96998499,2.20183038,0.01218305,0.31708633,1.38387305,0.66897261,0.90086233,0.00000000
-5.96398199,2.25996483,0.01265113,0.34648611,1.45428728,0.68072671,0.90505503,0.00000000
-5.95797899,2.31123821,0.01305548,0.37755911,1.52425229,0.68991532,0.90395161,0.00000000
-5.95197599,2.35594965,0.01338920,0.41025016,1.59374199,0.69670089,0.89776194,0.00000000
-5.94597299,2.39457614,0.01364661,0.44447897,1.66277034,0.70131042,0.88681585,0.00000000
-5.93996998,2.42775386,0.01382340,0.48013998,1.73138592,0.70402760,0.87155347,0.00000000
-5.93396698,2.45625399,0.01391677,0.51710295,1.79966545,0.70518303,0.85251168,0.00000000
-5.92796398,2.48095409,0.01392559,0.55521445,1.86770620,0.70514271,0.83030755,0.00000000
-5.92196098,2.50280614,0.01385039,0.59430002,1.93561795,0.70429546,0.80561921,0.00000000
-5.91595798,2.52280251,0.01369337,0.63416691,2.00351431,0.70303977,0.77916501,0.00000000
-5.90995498,2.54194116,0.01345839,0.67460734,2.07150386,0.70177040,0.75168180,0.00000000
-5.90395198,2.56119116,0.01315082,0.71540187,2.13968112,0.70086546,0.72390318,0.00000000
-5.89794897,2.58145974,0.01277743,0.75632282,2.20811742,0.70067425,0.69653844,0.00000000
-5.89194597,2.60356189,0.01234617,0.79713747,2.27685188,0.70150631,0.67025303,0.00000000
-5.88594297,2.62819337,0.01186601,0.83761087,2.34588255,0.70362210,0.64565115,0.00000000
-5.87993997,2.65590793,0.01134662,0.87750806,2.41515786,0.70722552,0.62326101,0.00000000
-5.87393697,2.68709935,0.01079819,0.91659582,2.48456875,0.71245843,0.60352319,0.00000000
-5.86793397,2.72198878,0.01023113,0.95464365,2.55394163,0.71939748,0.58678235,0.00000000
-5.86193097,2.76061783,0.00965584,0.99142438,2.62303272,0.72805314,0.57328251,0.00000000
-5.85592796,2.80284751,0.00908244,1.02671430,2.69152425,0.73837101,0.56316573,0.00000000
-5.84992496,2.84836327,0.00852060,1.06029324,2.75902289,0.75023536,0.55647431,0.00000000
-5.84392196,2.89668590,0.00797929,1.09194458,2.82506114,0.76347476,0.55315606,0.00000000
-5.83791896,2.94718828,0.00746670,1.12145576,2.88910189,0.77786953,0.55307249,0.00000000
-5.83191596,2.99911730,0.00699005,1.14861923,2.95054673,0.79316090,0.55600933,0.00000000
-5.82591296,3.05162052,0.00655553,1.17323422,3.00874788,0.80906136,0.56168904,0.00000000
-5.81990995,3.10377664,0.00616825,1.19510936,3.06302395,0.82526601,0.56978460,0.00000000
-5.81390695,3.15462872,0.00583219,1.21406624,3.11267897,0.84146440,0.57993419,0.00000000
-5.80790395,3.20321888,0.00555025,1.22994371,3.15702418,0.85735231,0.59175599,0.00000000
-5.80190095,3.24862318,0.00532424,1.24260293,3.19540173,0.87264322,0.60486267,0.00000000
-5.79589795,3.28998507,0.00515492,1.25193269,3.22720910,0.88707872,0.61887484,0.00000000
-5.78989495,3.32654594,0.00504210,1.25785484,3.25192305,0.90043750,0.63343315,0.00000000
-5.78389195,3.35767126,0.00498466,1.26032921,3.26912174,0.91254263,0.64820846,0.00000000
-5.77788894,3.38287108,0.00498066,1.25935784,3.27850367,0.92326645,0.66290976,0.00000000
-5.77188594,3.40181372,0.00502738,1.25498795,3.27990208,0.93253323,0.67728962,0.00000000
-5.76588294,3.41433191,0.00512143,1.24731335,3.27329408,0.94031901,0.69114711,0.00000000
-5.75987994,3.42042103,0.00525878,1.23647405,3.25880340,0.94664899,0.70432807,0.00000000
-5.75387694,3.42022948,0.00543487,1.22265398,3.23669662,0.95159231,0.71672284,0.00000000
-5.74787394,3.41404168,0.00564465,1.20607664,3.20737286,0.95525461,0.72826194,0.00000000
-5.74187094,3.40225455,0.00588264,1.18699901,3.17134724,0.95776877,0.73890967,0.00000000
-5.73586793,3.38534895,0.00614304,1.16570384,3.12922911,0.95928420,0.74865639,0.00000000
