energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,3.27192915,0.05909056,0.00264966,0.00685128,2.15955815,1.76300782,1.21753711
-5.99399700,3.26253771,0.05900539,0.00254415,0.00651653,2.16858619,1.79383889,1.21287419
-5.98799400,3.24930531,0.05909368,0.00243317,0.00617629,2.17501180,1.82314995,1.20643558
-5.98199100,3.23339109,0.05939417,0.00231903,0.00583565,2.17938511,1.85105003,1.19868141
-5.97598799,3.21583865,0.05993878,0.00220396,0.00549924,2.18218574,1.87759442,1.19003343
-5.96998499,3.19753420,0.06075141,0.00209005,0.00517109,2.18379855,1.90277154,1.18085895
-5.96398199,3.17917375,0.06184716,0.00197923,0.00485457,2.18449497,1.92649357,1.17145795
-5.95797899,3.16124085,0.06323180,0.00187319,0.00455237,2.18442092,1.94859173,1.16205408
-5.95197599,3.14399563,0.06490162,0.00177340,0.00426646,2.18359191,1.96881651,1.15278974
-5.94597299,3.12747560,0.06684360,0.00168105,0.00399815,2.18189563,1.98684303,1.14372546
-5.93996998,3.11150783,0.06903594,0.00159705,0.00374811,2.17910165,2.00228144,1.13484351
-5.93396698,3.09573169,0.07144889,0.00152204,0.00351642,2.17487793,2.01469201,1.12605539
-5.92796398,3.07963066,0.07404584,0.00145644,0.00330273,2.16881300,2.02360418,1.11721281
-5.92196098,3.06257154,0.07678471,0.00140040,0.00310625,2.16044276,2.02853880,1.10812134
-5.91595798,3.04384876,0.07961943,0.00135387,0.00292595,2.14928032,2.02903246,1.09855612
-5.90995498,3.02273146,0.08250156,0.00131664,0.00276058,2.13484743,2.02466283,1.08827865
-5.90395198,2.99851100,0.08538197,0.00128834,0.00260883,2.11670579,2.01507363,1.07705377
-5.89794897,2.97054639,0.08821252,0.00126850,0.00246937,2.09448662,1.99999815,1.06466608
-5.89194597,2.93830540,0.09094755,0.00125657,0.00234095,2.06791704,1.97928006,1.05093474
-5.88594297,2.90139963,0.09354533,0.00125197,0.00222246,2.03684187,1.95289045,1.03572618
-5.87993997,2.85961169,0.09596926,0.00125409,0.00211298,2.00123996,1.92094028,1.01896394
-5.87393697,2.81291353,0.09818878,0.00126231,0.00201180,1.96123415,1.88368747,1.00063537
-5.86793397,2.76147530,0.10018007,0.00127606,0.00191847,1.91709450,1.84153826,0.98079488
-5.86193097,2.70566439,0.10192639,0.00129480,0.00183274,1.86923481,1.79504270,0.95956367
-5.85592796,2.64603524,0.10341820,0.00131802,0.00175463,1.81820254,1.74488422,0.93712616
-5.84992496,2.58331045,0.10465284,0.00134526,0.00168435,1.76466287,1.69186388,0.91372329
-5.84392196,2.51835447,0.10563412,0.00137611,0.00162231,1.70937761,1.63687968,0.88964328
-5.83791896,2.45214124,0.10637158,0.00141021,0.00156902,1.65318015,1.58090179,0.86521025
-5.83191596,2.38571756,0.10687954,0.00144722,0.00152514,1.59694752,1.52494476,0.84077141
-5.82591296,2.32016393,0.10717608,0.00148684,0.00149134,1.54157099,1.47003769,0.81668355
-5.81990995,2.25655463,0.10728196,0.00152877,0.00146833,1.48792645,1.41719357,0.79329934
-5.81390695,2.19591900,0.10721941,0.00157274,0.00145676,1.43684583,1.36737891,0.77095427
-5.80790395,2.13920541,0.10701109,0.00161844,0.00145718,1.38909083,1.32148494,0.74995471
-5.80190095,2.08724944,0.10667903,0.00166558,0.00147005,1.34532989,1.28030128,0.73056763
-5.79589795,2.04074748,0.10624380,0.00171383,0.00149565,1.30611927,1.24449319,0.71301241
-5.78989495,2.00023660,0.10572374,0.00176284,0.00153405,1.27188888,1.21458312,0.69745488
-5.78389195,1.96608128,0.10513443,0.00181221,0.00158513,1.24293320,1.19093716,0.68400398
-5.77788894,1.93846736,0.10448838,0.00186152,0.00164853,1.21940753,1.17375696,0.67271085
-5.77188594,1.91740297,0.10379488,0.00191029,0.00172367,1.20132945,1.16307717,0.66357037
-5.76588294,1.90272625,0.10306008,0.00195803,0.00180970,1.18858519,1.15876850,0.65652494
-5.75987994,1.89411921,0.10228720,0.00200419,0.00190560,1.18094044,1.16054621,0.65147015
-5.75387694,1.89112676,0.10147691,0.00204821,0.00201010,1.17805500,1.16798346,0.64826209
-5.74787394,1.89317998,0.10062790,0.00208950,0.00212178,1.17950034,1.18052914,0.64672571
-5.74187094,1.89962239,0.09973739,0.00212748,0.00223907,1.18477941,1.19752917,0.64666389
-5.73586793,1.90973789,0.09880181,0.00216157,0.00236032,1.19334746,1.21825049,0.64786670
-5.72986493,1.92277909,0.09781743,0.00219120,0.00248380,1.20463311,1.24190671,0.65012033
-5.72386193,1.93799465,0.09678097,0.00221585,0.00260777,1.21805867,1.26768428,0.65321537
-5.71785893,1.95465443,0.09569010,0.00223503,0.00273054,1.23305869,1.29476806,0.65695385
-5.71185593,1.97207128,0.09454388,0.00224835,0.00285050,1.24909611,1.32236538,0.66115492
-5.70585293,1.98961865,0.09334308,0.00225548,0.00296615,1.26567522,1.34972742,0.66565872
-5.69984992,2.00674314,0.09209030,0.00225618,0.00307613,1.28235107,1.37616721,0.67032852
-5.69384692,2.02297170,0.09078996,0.00225031,0.00317928,1.29873490,1.40107353,0.67505084
-5.68784392,2.03791334,0.08944815,0.00223786,0.00327462,1.31449573,1.42392028,0.67973382
-5.68184092,2.05125550,0.08807230,0.00221890,0.00336137,1.32935805,1.44427120,0.68430389
-5.67583792,2.06275561,0.08667073,0.00219363,0.00343896,1.34309621,1.46177991,0.68870109
-5.66983492,2.07222869,0.08525210,0.00216233,0.00350698,1.35552602,1.47618575,0.69287341
-5.66383192,2.07953194,0.08382478,0.00212539,0.00356520,1.36649420,1.48730582,0.69677055
-5.65782891,2.08454772,0.08239623,0.00208326,0.00361351,1.37586689,1.49502425,0.70033758
-5.65182591,2.08716609,0.08097232,0.00203645,0.00365190,1.38351781,1.49927940,0.70350910
-5.64582291,2.08726855,0.07955682,0.00198553,0.00368043,1.38931737,1.50005021,0.70620424
-5.63981991,2.08471406,0.07815090,0.00193106,0.00369921,1.39312341,1.49734265,0.70832301
-5.63381691,2.07932865,0.07675281,0.00187362,0.00370831,1.39477454,1.49117742,0.70974445
-5.62781391,2.07089957,0.07535777,0.00181377,0.00370781,1.39408657,1.48157958,0.71032654
-5.62181091,2.05917450,0.07395796,0.00175203,0.00369773,1.39085260,1.46857110,0.70990841
-5.61580790,2.04386616,0.07254280,0.00168888,0.00367807,1.38484667,1.45216654,0.70831440
-5.60980490,2.02466214,0.07109939,0.00162474,0.00364875,1.37583111,1.43237229,0.70536017
-5.60380190,2.00123947,0.06961307,0.00155997,0.00360965,1.36356707,1.40918918,0.70086036
-5.59779890,1.97328312,0.06806822,0.00149486,0.00356066,1.34782755,1.38261827,0.69463750
-5.59179590,1.94050710,0.06644907,0.00142966,0.00350164,1.32841229,1.35266910,0.68653162
-5.58579290,1.90267714,0.06474063,0.00136455,0.00343249,1.30516345,1.31936981,0.67641003
-5.57978989,1.85963309,0.06292956,0.00129967,0.00335321,1.27798105,1.28277822,0.66417678
-5.57378689,1.81130988,0.06100504,0.00123514,0.00326384,1.24683721,1.24299285,0.64978104
-5.56778389,1.75775544,0.05895947,0.00117105,0.00316461,1.21178824,1.20016312,0.63322416
-5.56178089,1.69914454,0.05678912,0.00110748,0.00305585,1.17298370,1.15449772,0.61456473
-5.55577789,1.63578747,0.05449450,0.00104452,0.00293810,1.13067186,1.10627059,0.59392162
-5.54977489,1.56813304,0.05208055,0.00098227,0.00281205,1.08520117,1.05582385,0.57147447
-5.54377189,1.49676556,0.04955667,0.00092086,0.00267859,1.03701754,1.00356749,0.54746189
-5.53776888,1.42239598,0.04693648,0.00086043,0.00253878,0.98665747,0.94997566,0.52217731
-5.53176588,1.34584747,0.04423739,0.00080117,0.00239380,0.93473745,0.89557973,0.49596261
-5.52576288,1.26803627,0.04148001,0.00074329,0.00224498,0.88194007,0.84095833,0.46920000
-5.51975988,1.18994869,0.03868744,0.00068701,0.00209374,0.82899736,0.78672503,0.44230233
-5.51375688,1.11261533,0.03588446,0.00063259,0.00194153,0.77667236,0.73351410,0.41570246
-5.50775388,1.03708365,0.03309663,0.00058029,0.00178984,0.72573944,0.68196511,0.38984186
-5.50175088,0.96439011,0.03034945,0.00053037,0.00164010,0.67696432,0.63270693,0.36515908
-5.49574787,0.89553290,0.02766753,0.00048310,0.00149367,0.63108443,0.58634193,0.34207843
