energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,6.42040976,0.31985210,0.04274923,0.11501827,0.05286656,0.45880840,0.50655854,4.75055407
-5.99399700,6.54299832,0.32685402,0.04429279,0.11735242,0.05367541,0.46690381,0.51590951,4.83550077
-5.98799400,6.63804947,0.33213009,0.04562381,0.11926219,0.05424377,0.47297457,0.52266224,4.90095139
-5.98199100,6.70194479,0.33557137,0.04671556,0.12072710,0.05454554,0.47691556,0.52667716,4.94390808
-5.97598799,6.73189517,0.33709961,0.04754568,0.12173190,0.05456163,0.47865449,0.52785933,4.96204965
-5.96998499,6.72597356,0.33666991,0.04809679,0.12226662,0.05428021,0.47815325,0.52616134,4.95375278
-5.96398199,6.68312870,0.33427247,0.04835696,0.12232657,0.05369676,0.47540845,0.52158521,4.91809832
-5.95797899,6.60317865,0.32993331,0.04832006,0.12191224,0.05281397,0.47045141,0.51418286,4.85486173
-5.95197599,6.48678342,0.32371399,0.04798589,0.12102927,0.05164138,0.46334735,0.50405527,4.76448720
-5.94597299,6.33539715,0.31571014,0.04736019,0.11968831,0.05019487,0.45419406,0.49135022,4.64804585
-5.93996998,6.15120122,0.30604907,0.04645448,0.11790496,0.04849608,0.44311980,0.47625887,4.50717911
-5.93396698,5.93702019,0.29488637,0.04528567,0.11569973,0.04657153,0.43028085,0.45901100,4.34402898
-5.92796398,5.69622385,0.28240178,0.04387561,0.11309792,0.04445178,0.41585851,0.43986936,4.16115754
-5.92196098,5.43261868,0.26879432,0.04225047,0.11012965,0.04217043,0.40005588,0.41912323,3.96145860
-5.91595798,5.15033289,0.25427708,0.04044000,0.10682976,0.03976315,0.38309435,0.39708140,3.74806468
-5.90995498,4.85369916,0.23907176,0.03847681,0.10323786,0.03726666,0.36521012,0.37406494,3.52425258
-5.90395198,4.54713934,0.22340314,0.03639550,0.09939825,0.03471780,0.34665069,0.35039995,3.29335100
-5.89794897,4.23505498,0.20749385,0.03423192,0.09535988,0.03215263,0.32767154,0.32641062,3.05865315
-5.89194597,3.92172734,0.19155945,0.03202232,0.09117627,0.02960563,0.30853303,0.30241278,2.82333740
-5.88594297,3.61122976,0.17580412,0.02980266,0.08690538,0.02710909,0.28949763,0.27870824,2.59039792
-5.87993997,3.30735447,0.16041701,0.02760799,0.08260937,0.02469257,0.27082749,0.25557996,2.36258742
-5.87393697,3.01355536,0.14556942,0.02547188,0.07835438,0.02238248,0.25278231,0.23328826,2.14237268
-5.86793397,2.73290720,0.13141270,0.02342597,0.07421008,0.02020189,0.23561765,0.21206802,1.93190365
-5.86193097,2.46808097,0.11807712,0.02149965,0.07024923,0.01817042,0.21958343,0.19212701,1.73299566
-5.85592796,2.22133431,0.10567138,0.01971981,0.06654702,0.01630424,0.20492267,0.17364514,1.54712412
-5.84992496,1.99451543,0.09428297,0.01811074,0.06318038,0.01461623,0.19187032,0.15677454,1.37543030
-5.84392196,1.78907820,0.08397903,0.01669401,0.06022702,0.01311613,0.18065209,0.14164048,1.21873664
-5.83791896,1.60610597,0.07480774,0.01548848,0.05776442,0.01181083,0.17148316,0.12834269,1.07756964
-5.83191596,1.44634138,0.06680004,0.01451035,0.05586863,0.01070467,0.16456651,0.11695714,0.95218813
-5.82591296,1.31021942,0.05997156,0.01377317,0.05461289,0.00979972,0.16009100,0.10753793,0.84261499
-5.81990995,1.19790106,0.05432457,0.01328786,0.05406608,0.00909606,0.15822889,0.10011910,0.74867020
-5.81390695,1.10930537,0.04984984,0.01306275,0.05429108,0.00859204,0.15913285,0.09471635,0.67000347
-5.80790395,1.04413804,0.04652835,0.01310349,0.05534295,0.00828448,0.16293238,0.09132830,0.60612488
-5.80190095,1.00191505,0.04433269,0.01341301,0.05726701,0.00816884,0.16972978,0.08993744,0.55643234
-5.79589795,0.98198067,0.04322810,0.01399135,0.06009689,0.00823928,0.17959562,0.09051049,0.52023497
-5.78989495,0.98351954,0.04317320,0.01483550,0.06385255,0.00848876,0.19256408,0.09299842,0.49677212
-5.78389195,1.00556317,0.04412033,0.01593915,0.06853838,0.00890897,0.20862813,0.09733593,0.48522773
-5.77788894,1.04699191,0.04601551,0.01729249,0.07414146,0.00949036,0.22773508,0.10344074,0.48474047
-5.77188594,1.10653358,0.04879820,0.01888198,0.08063005,0.01022202,0.24978267,0.11121257,0.49441010
-5.76588294,1.18276059,0.05240085,0.02069017,0.08795242,0.01109170,0.27461614,0.12053227,0.51330098
-5.75987994,1.27408747,0.05674836,0.02269557,0.09603618,0.01208572,0.30202658,0.13126106,0.54044363
-5.75387694,1.37877089,0.06175756,0.02487268,0.10478810,0.01318902,0.33175106,0.14324018,0.57483537
-5.74787394,1.49491404,0.06733683,0.02719205,0.11409460,0.01438518,0.36347462,0.15629118,0.61544125
-5.74187094,1.62047726,0.07338599,0.02962060,0.12382296,0.01565662,0.39683467,0.17021698,0.66119616
-5.73586793,1.75329622,0.07979651,0.03212201,0.13382326,0.01698477,0.43142759,0.18480375,0.71100902
-5.72986493,1.89110854,0.08645212,0.03465739,0.14393114,0.01835041,0.46681792,0.19982395,0.76376979
-5.72386193,2.03158919,0.09322994,0.03718599,0.15397121,0.01973406,0.50254972,0.21504023,0.81835964
-5.71785893,2.17239430,0.10000206,0.03966622,0.16376125,0.02111645,0.53816006,0.23021044,0.87366435
-5.71185593,2.31121235,0.10663760,0.04205672,0.17311691,0.02247906,0.57319406,0.24509342,0.92859096
-5.70585293,2.44582105,0.11300521,0.04431748,0.18185690,0.02380470,0.60722102,0.25945559,0.98208699
-5.69984992,2.57414768,0.11897593,0.04641119,0.18980836,0.02507809,0.63985101,0.27307786,1.03316162
-5.69384692,2.69433009,0.12442628,0.04830438,0.19681238,0.02628646,0.67075100,0.28576285,1.08090775
-5.68784392,2.80477547,0.12924145,0.04996871,0.20272928,0.02742005,0.69965983,0.29734186,1.12452398
-5.68184092,2.90421344,0.13331852,0.05138197,0.20744357,0.02847257,0.72640120,0.30768138,1.16333505
-5.67583792,2.99174069,0.13656940,0.05252905,0.21086828,0.02944153,0.75089388,0.31668873,1.19680972
-5.66983492,3.06685410,0.13892355,0.05340264,0.21294849,0.03032839,0.77315842,0.32431657,1.22457481
-5.66383192,3.12947003,0.14033014,0.05400368,0.21366399,0.03113864,0.79331987,0.33056595,1.24642444
-5.65782891,3.17992823,0.14075966,0.05434152,0.21303077,0.03188160,0.81160621,0.33548778,1.26232370
-5.65182591,3.21897917,0.14020485,0.05443376,0.21110142,0.03257008,0.82834215,0.33918243,1.27240634
-5.64582291,3.24775497,0.13868089,0.05430587,0.20796442,0.03321989,0.84393870,0.34179761,1.27696622
-5.63981991,3.26772463,0.13622484,0.05399042,0.20374218,0.03384914,0.85887848,0.34352440,1.27644284
-5.63381691,3.28063527,0.13289437,0.05352606,0.19858815,0.03447741,0.87369763,0.34459162,1.27140139
-5.62781391,3.28844182,0.12876573,0.05295637,0.19268291,0.03512489,0.88896487,0.34525883,1.26250832
-5.62181091,3.29322838,0.12393123,0.05232840,0.18622950,0.03581133,0.90525865,0.34580806,1.25050331
-5.61580790,3.29712462,0.11849623,0.05169122,0.17944818,0.03655512,0.92314350,0.34653475,1.23616924
-5.60980490,3.30222121,0.11257571,0.05109430,0.17257073,0.03737228,0.94314646,0.34773821,1.22030121
-5.60380190,3.31048798,0.10629075,0.05058596,0.16583450,0.03827565,0.96573485,0.34971190,1.20367638
-5.59779890,3.32369850,0.09976494,0.05021191,0.15947650,0.03927412,0.99129615,0.35273405,1.18702573
-5.59179590,3.34336424,0.09312090,0.05001382,0.15372750,0.04037210,1.02012106,0.35705873,1.17100908
-5.58579290,3.37068103,0.08647699,0.05002811,0.14880642,0.04156916,1.05239033,0.36290789,1.15619427
-5.57978989,3.40648965,0.07994446,0.05028494,0.14491517,0.04285988,1.08816582,0.37046445,1.14304132
-5.57378689,3.45125187,0.07362498,0.05080740,0.14223379,0.04423401,1.12738617,0.37986670,1.13189197
-5.56778389,3.50504212,0.06760867,0.05161091,0.14091631,0.04567682,1.16986722,0.39120401,1.12296468
-5.56178089,3.56755453,0.06197266,0.05270295,0.14108709,0.04716962,1.21530673,0.40451412,1.11635495
-5.55577789,3.63812415,0.05678025,0.05408287,0.14283779,0.04869058,1.26329347,0.41978178,1.11204066
-5.54977489,3.71576075,0.05208047,0.05574209,0.14622510,0.05021565,1.31331993,0.43693889,1.10989157
-5.54377189,3.79919305,0.04790826,0.05766436,0.15126903,0.05171959,1.36479805,0.45586595,1.10968238
-5.53776888,3.88692112,0.04428495,0.05982628,0.15795204,0.05317708,1.41707748,0.47639479,1.11110848
-5.53176588,3.97727433,0.04121921,0.06219795,0.16621888,0.05456387,1.46946545,0.49831250,1.11380330
-5.52576288,4.06847246,0.03870823,0.06474377,0.17597720,0.05585783,1.52124763,0.52136637,1.11735663
-5.51975988,4.15868776,0.03673915,0.06742330,0.18709907,0.05703994,1.57170930,0.54526984,1.12133288
-5.51375688,4.24610564,0.03529060,0.07019229,0.19942326,0.05809516,1.62015613,0.56970926,1.12528878
-5.50775388,4.32898248,0.03433436,0.07300371,0.21275847,0.05901307,1.66593409,0.59435139,1.12878978
-5.50175088,4.40569880,0.03383704,0.07580887,0.22688733,0.05978837,1.70844789,0.61885146,1.13142493
-5.49574787,4.47480683,0.03376168,0.07855860,0.24157127,0.06042109,1.74717761,0.64286176,1.13281977
-5.48974487,4.53507128,0.03406931,0.08120438,0.25655612,0.06091659,1.78169303,0.66604041,1.13264712
-5.48374187,4.58550295,0.03472039,0.08369951,0.27157832,0.06128534,1.81166541,0.68806028,1.13063576
-5.47773887,4.62538424,0.03567605,0.08600030,0.28637156,0.06154245,1.83687643,0.70861773,1.12657693
-5.47173587,4.65428653,0.03689923,0.08806712,0.30067375,0.06170701,1.85722395,0.72744095,1.12032872
-5.46573287,4.67207890,0.03835550,0.08986547,0.31423395,0.06180127,1.87272447,0.74429752,1.11181834
-5.45972986,4.67892807,0.04001379,0.09136687,0.32681910,0.06184965,1.88351204,0.75900106,1.10104251
-5.45372686,4.67528957,0.04184679,0.09254970,0.33822022,0.06187771,1.88983365,0.77141650,1.08806588
-5.44772386,4.66189012,0.04383117,0.09339976,0.34825797,0.06191106,1.89204093,0.78146383,1.07301761
-5.44172086,4.63970151,0.04594755,0.09391082,0.35678699,0.06197420,1.89057827,0.78911997,1.05608624
