energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,7.74805034,0.04851388,0.05316153,2.24917074,0.00000000,1.54341937,0.42530442,0.36127883,4.66035427
-5.99399700,8.02332750,0.05217521,0.05430328,2.29531797,0.00000000,1.60252740,0.44135340,0.37564742,4.82511083
-5.98799400,8.27738053,0.05615990,0.05534420,2.33429367,0.00000000,1.65717486,0.45637225,0.38890633,4.97684970
-5.98199100,8.50874422,0.06048304,0.05629320,2.36607837,0.00000000,1.70698666,0.47029514,0.40097479,5.11465954
-5.97598799,8.71622219,0.06515260,0.05715979,2.39071583,0.00000000,1.75165465,0.48307077,0.41179411,5.23779234
-5.96998499,8.89886469,0.07016777,0.05795326,2.40829770,0.00000000,1.79093574,0.49466033,0.42132680,5.34565163
-5.96398199,9.05593847,0.07551769,0.05868196,2.41894801,0.00000000,1.82464758,0.50503490,0.42955476,5.43777594
-5.95797899,9.18689156,0.08118028,0.05935249,2.42280868,0.00000000,1.85266253,0.51417241,0.43647656,5.51381917
-5.95197599,9.29131607,0.08712148,0.05996915,2.42002681,0.00000000,1.87490033,0.52205447,0.44210417,5.57352975
-5.94597299,9.36891226,0.09329494,0.06053337,2.41074488,0.00000000,1.89132026,0.52866340,0.44645927,5.61673041
-5.93996998,9.41945727,0.09964212,0.06104339,2.39509417,0.00000000,1.90191338,0.53397948,0.44956934,5.64330051
-5.93396698,9.44278116,0.10609294,0.06149408,2.37319223,0.00000000,1.90669567,0.53797891,0.45146407,5.65316243
-5.92796398,9.43875277,0.11256687,0.06187700,2.34514409,0.00000000,1.90570252,0.54063247,0.45217198,5.64627356
-5.92196098,9.40727688,0.11897462,0.06218060,2.31104750,0.00000000,1.89898517,0.54190516,0.45171791,5.62262460
-5.91595798,9.34830339,0.12522023,0.06239069,2.27100143,0.00000000,1.88660930,0.54175687,0.45012113,5.58224459
-5.90995498,9.26184809,0.13120355,0.06249098,2.22511745,0.00000000,1.86865592,0.54014404,0.44739457,5.52521249
-5.90395198,9.14802401,0.13682310,0.06246392,2.17353296,0.00000000,1.84522445,0.53702228,0.44354497,5.45167461
-5.89794897,9.00708089,0.14197904,0.06229150,2.11642546,0.00000000,1.81643773,0.53234991,0.43857405,5.36186647
-5.89194597,8.83945018,0.14657627,0.06195618,2.05402655,0.00000000,1.78244845,0.52609196,0.43248053,5.25613770
-5.88594297,8.64579202,0.15052748,0.06144190,1.98663502,0.00000000,1.74344643,0.51822473,0.42526289,5.13497772
-5.87993997,8.42704048,0.15375600,0.06073497,1.91462762,0.00000000,1.69966601,0.50874027,0.41692263,4.99904030
-5.87393697,8.18444350,0.15619833,0.05982495,1.83846701,0.00000000,1.65139292,0.49765082,0.40746775,4.84916488
-5.86793397,7.91959391,0.15780620,0.05870536,1.75870614,0.00000000,1.59896981,0.48499258,0.39691619,4.68639256
-5.86193097,7.63444872,0.15854818,0.05737431,1.67598863,0.00000000,1.54279995,0.47082880,0.38529901,4.51197526
-5.85592796,7.33133431,0.15841064,0.05583489,1.59104501,0.00000000,1.48334841,0.45525188,0.37266299,4.32737670
-5.84992496,7.01293623,0.15739803,0.05409537,1.50468490,0.00000000,1.42114060,0.43838422,0.35907251,4.13426458
-5.84392196,6.68227303,0.15553260,0.05216922,1.41778538,0.00000000,1.35675784,0.42037785,0.34461051,3.93449358
-5.83791896,6.34265459,0.15285342,0.05007490,1.33127614,0.00000000,1.29083003,0.40141275,0.32937849,3.73007963
-5.83191596,5.99762637,0.14941484,0.04783544,1.24612189,0.00000000,1.22402564,0.38169390,0.31349551,3.52316616
-5.82591296,5.65090162,0.14528450,0.04547792,1.16330289,0.00000000,1.15703944,0.36144720,0.29709624,3.31598373
-5.81990995,5.30628423,0.14054090,0.04303269,1.08379426,0.00000000,1.09057835,0.34091436,0.28032818,3.11080444
-5.81390695,4.96758550,0.13527074,0.04053262,1.00854493,0.00000000,1.02534613,0.32034710,0.26334813,2.90989303
-5.80790395,4.63853791,0.12956611,0.03801216,0.93845680,0.00000000,0.96202748,0.30000080,0.24631828,2.71545664
-5.80190095,4.32270955,0.12352168,0.03550642,0.87436495,0.00000000,0.90127224,0.28012788,0.22940191,2.52959491
-5.79589795,4.02342201,0.11723199,0.03305028,0.81701911,0.00000000,0.84368028,0.26097123,0.21275910,2.35425247
-5.78989495,3.74367486,0.11078893,0.03067745,0.76706716,0.00000000,0.78978772,0.24275791,0.19654260,2.19117526
-5.78389195,3.48607885,0.10427962,0.02841971,0.72504058,0.00000000,0.74005483,0.22569330,0.18089395,2.04187194
-5.77788894,3.25279996,0.09778454,0.02630611,0.69134242,0.00000000,0.69485609,0.20995603,0.16594023,1.90758172
-5.77188594,3.04551531,0.09137615,0.02436240,0.66623760,0.00000000,0.65447263,0.19569368,0.15179132,1.78924899
-5.76588294,2.86538206,0.08511792,0.02261047,0.64984585,0.00000000,0.61908719,0.18301947,0.13853790,1.68750554
-5.75987994,2.71301944,0.07906379,0.02106799,0.64213722,0.00000000,0.58878162,0.17201000,0.12625020,1.60266034
-5.75387694,2.58850387,0.07325793,0.01974811,0.64293021,0.00000000,0.56353700,0.16270405,0.11497740,1.53469700
-5.74787394,2.49137683,0.06773501,0.01865933,0.65189266,0.00000000,0.54323610,0.15510242,0.10474779,1.48327860
-5.74187094,2.42066481,0.06252058,0.01780544,0.66854537,0.00000000,0.52766826,0.14916884,0.09556948,1.44775972
-5.73586793,2.37491046,0.05763178,0.01718554,0.69226860,0.00000000,0.51653621,0.14483180,0.08743167,1.42720502
-5.72986493,2.35221404,0.05307818,0.01679425,0.72231153,0.00000000,0.50946489,0.14198730,0.08030635,1.42041413
-5.72386193,2.35028403,0.04886268,0.01662189,0.75780471,0.00000000,0.50601184,0.14050234,0.07415025,1.42595199
-5.71785893,2.36649591,0.04498247,0.01665481,0.79777555,0.00000000,0.50567900,0.14021910,0.06890713,1.44218429
-5.71185593,2.39795770,0.04143001,0.01687572,0.84116684,0.00000000,0.50792565,0.14095966,0.06451006,1.46731719
-5.70585293,2.44158108,0.03819390,0.01726419,0.88685800,0.00000000,0.51218224,0.14253112,0.06088386,1.49944045
