energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,3.40307772,-1.56565259,1.42006529,-0.61782847,0.79954516,-0.13207871,0.00494824,-0.00392490,0.72623966,-0.28367486,1.19897733,-0.69325240,0.00000000,-0.00000000
-5.99399700,3.51641248,-1.52562473,1.46298137,-0.59866238,0.83412150,-0.12854915,0.00518556,-0.00394215,0.75463104,-0.27373497,1.23338160,-0.67977963,0.00000000,-0.00000000
-5.98799400,3.61872901,-1.48261152,1.50014838,-0.57855667,0.86761213,-0.12486026,0.00542038,-0.00397009,0.78164382,-0.26334698,1.26231007,-0.66487967,0.00000000,-0.00000000
-5.98199100,3.70875765,-1.43811678,1.53093802,-0.55811439,0.89982399,-0.12113028,0.00565111,-0.00401094,0.80706624,-0.25275815,1.28517825,-0.64926360,0.00000000,-0.00000000
-5.97598799,3.78543235,-1.39374841,1.55483272,-0.53796715,0.93058131,-0.11748991,0.00587599,-0.00406722,0.83070977,-0.24223347,1.30150728,-0.63368987,0.00000000,-0.00000000
-5.96998499,3.84791053,-1.35117636,1.57143888,-0.51875947,0.95972532,-0.11407871,0.00609311,-0.00414169,0.85241031,-0.23204833,1.31093730,-0.61894532,0.00000000,-0.00000000
-5.96398199,3.89558674,-1.31208977,1.58049690,-0.50113318,0.98711332,-0.11104137,0.00630038,-0.00423707,0.87202876,-0.22248131,1.31323747,-0.60582546,0.00000000,-0.00000000
-5.95797899,3.92809977,-1.27815444,1.58188743,-0.48571213,1.01261728,-0.10852406,0.00649553,-0.00435599,0.88945098,-0.21380714,1.30831231,-0.59511465,0.00000000,-0.00000000
-5.95197599,3.94533305,-1.25097159,1.57563367,-0.47308753,1.03612196,-0.10667085,0.00667612,-0.00450078,0.90458725,-0.20629014,1.29620411,-0.58756643,0.00000000,-0.00000000
-5.94597299,3.94740863,-1.23203899,1.56189967,-0.46380438,1.05752306,-0.10562030,0.00683960,-0.00467335,0.91737127,-0.20017824,1.27709114,-0.58388472,0.00000000,-0.00000000
-5.93996998,3.93467519,-1.22271514,1.54098465,-0.45834898,1.07672543,-0.10550231,0.00698335,-0.00487512,0.92775901,-0.19569756,1.25128189,-0.58470606,0.00000000,-0.00000000
-5.93396698,3.90769095,-1.22418696,1.51331371,-0.45713792,1.09364163,-0.10643524,0.00710470,-0.00510692,0.93572747,-0.19304784,1.21920550,-0.59058327,0.00000000,-0.00000000
-5.92796398,3.86720254,-1.23744158,1.47942532,-0.46050852,1.10819135,-0.10852334,0.00720108,-0.00536894,0.94127359,-0.19239857,1.18139881,-0.60197083,0.00000000,-0.00000000
-5.92196098,3.81412119,-1.26324241,1.43995628,-0.46871089,1.12030163,-0.11185451,0.00727004,-0.00566070,0.94441346,-0.19388584,1.13849067,-0.61921215,0.00000000,-0.00000000
-5.91595798,3.74949745,-1.30210977,1.39562470,-0.48190168,1.12990829,-0.11649833,0.00730936,-0.00598109,0.94518215,-0.19761005,1.09118407,-0.64252896,0.00000000,-0.00000000
-5.90995498,3.67449599,-1.35430618,1.34721206,-0.50013959,1.13695877,-0.12250450,0.00731715,-0.00632841,0.94363405,-0.20363419,1.04023703,-0.67201296,0.00000000,-0.00000000
-5.90395198,3.59037169,-1.41982653,1.29554485,-0.52338269,1.14141624,-0.12990158,0.00729194,-0.00670040,0.93984410,-0.21198300,0.98644284,-0.70761996,0.00000000,-0.00000000
-5.89794897,3.49844813,-1.49839324,1.24147679,-0.55148759,1.14326516,-0.13869600,0.00723275,-0.00709436,0.93390973,-0.22264258,0.93061071,-0.74916654,0.00000000,-0.00000000
-5.89194597,3.40009944,-1.58945660,1.18587219,-0.58421066,1.14251806,-0.14887153,0.00713916,-0.00750726,0.92595354,-0.23556085,0.87354722,-0.79632963,0.00000000,-0.00000000
-5.88594297,3.29673594,-1.69220024,1.12959109,-0.62121111,1.13922323,-0.16038902,0.00701136,-0.00793583,0.91612662,-0.25064845,0.81603958,-0.84864889,0.00000000,-0.00000000
-5.87993997,3.18979380,-1.80555218,1.07347659,-0.66205623,1.13347301,-0.17318651,0.00685018,-0.00837667,0.90461231,-0.26778033,0.75884091,-0.90553230,0.00000000,-0.00000000
-5.87393697,3.08072847,-1.92820120,1.01834457,-0.70622863,1.12541222,-0.18717977,0.00665710,-0.00882640,0.89163000,-0.28679783,0.70265814,-0.96626477,0.00000000,-0.00000000
-5.86793397,2.97101144,-2.05861862,0.96497587,-0.75313544,1.11524605,-0.20226314,0.00643425,-0.00928173,0.87743880,-0.30751134,0.64814262,-1.03002002,0.00000000,-0.00000000
-5.86193097,2.86212916,-2.19508532,0.91411084,-0.80211951,1.10324694,-0.21831080,0.00618433,-0.00973953,0.86234053,-0.32970342,0.59588346,-1.09587553,0.00000000,-0.00000000
-5.85592796,2.75558329,-2.33572367,0.86644588,-0.85247216,1.08975964,-0.23517841,0.00591058,-0.01019694,0.84668172,-0.35313232,0.54640368,-1.16283047,0.00000000,-0.00000000
-5.84992496,2.65289058,-2.47853377,0.82263159,-0.90344759,1.07520404,-0.25270508,0.00561670,-0.01065134,0.83085407,-0.37753596,0.50015866,-1.22982620,0.00000000,-0.00000000
-5.84392196,2.55558135,-2.62143321,0.78327201,-0.95427822,1.06007497,-0.27071563,0.00530675,-0.01110040,0.81529318,-0.40263605,0.45753683,-1.29576903,0.00000000,-0.00000000
-5.83791896,2.46519484,-2.76229961,0.74892431,-1.00419086,1.04493872,-0.28902313,0.00498501,-0.01154208,0.80047495,-0.42814251,0.41886188,-1.35955463,0.00000000,-0.00000000
-5.83191596,2.38327045,-2.89901452,0.72009837,-1.05242309,1.03042580,-0.30743169,0.00465591,-0.01197451,0.78690969,-0.45375793,0.38439620,-1.42009338,0.00000000,-0.00000000
-5.82591296,2.31133377,-3.02950763,0.69725565,-1.09823935,1.01721988,-0.32573928,0.00432389,-0.01239600,0.77513359,-0.47918198,0.35434503,-1.47633593,0.00000000,-0.00000000
-5.81990995,2.25087678,-3.15179990,0.68080699,-1.14094627,1.00604284,-0.34374073,0.00399327,-0.01280489,0.76569763,-0.50411573,0.32886063,-1.52729817,0.00000000,-0.00000000
-5.81390695,2.20333201,-3.26404415,0.67110886,-1.17990667,0.99763630,-0.36123067,0.00366817,-0.01319951,0.75915414,-0.52826566,0.30804637,-1.57208466,0.00000000,-0.00000000
-5.80790395,2.17004075,-3.36456198,0.66845796,-1.21455193,0.99273995,-0.37800646,0.00335241,-0.01357803,0.75604120,-0.55134750,0.29196003,-1.60990982,0.00000000,-0.00000000
-5.80190095,2.15221618,-3.45187581,0.67308417,-1.24439206,0.99206740,-0.39387093,0.00304941,-0.01393841,0.75686531,-0.57308955,0.28061630,-1.64011606,0.00000000,-0.00000000
-5.79589795,2.15090234,-3.52473502,0.68514193,-1.26902350,0.99628031,-0.40863509,0.00276214,-0.01427830,0.76208305,-0.59323577,0.27398819,-1.66218812,0.00000000,-0.00000000
-5.78989495,2.16693060,-3.58213568,0.70470044,-1.28813427,1.00596179,-0.42212057,0.00249307,-0.01459497,0.77208224,-0.61154837,0.27200735,-1.67576337,0.00000000,-0.00000000
-5.78389195,2.20087544,-3.62333336,0.73173321,-1.30150651,1.02159022,-0.43416195,0.00224415,-0.01488530,0.78716339,-0.62781013,0.27456333,-1.68063747,0.00000000,-0.00000000
-5.77788894,2.25301181,-3.64784899,0.76610759,-1.30901647,1.04351441,-0.44460885,0.00201677,-0.01514576,0.80752242,-0.64182635,0.28150205,-1.67676546,0.00000000,-0.00000000
-5.77188594,2.32327616,-3.65546803,0.80757489,-1.31063214,1.07193155,-0.45332791,0.00181182,-0.01537248,0.83323522,-0.65342661,0.29262367,-1.66425836,0.00000000,-0.00000000
-5.76588294,2.41123373,-3.64623333,0.85576205,-1.30640873,1.10686873,-0.46020453,0.00162965,-0.01556128,0.86424507,-0.66246630,0.30768024,-1.64337542,0.00000000,-0.00000000
-5.75987994,2.51605411,-3.62043260,0.91016555,-1.29648254,1.14816926,-0.46514459,0.00147017,-0.01570781,0.90035359,-0.66882805,0.32637358,-1.61451258,0.00000000,-0.00000000
-5.75387694,2.63649724,-3.57858115,0.97014830,-1.28106340,1.19548451,-0.46807585,0.00133282,-0.01580767,0.94121571,-0.67242308,0.34835377,-1.57818772,0.00000000,-0.00000000
-5.74787394,2.77091148,-3.52140100,1.03494020,-1.26042622,1.24827194,-0.46894933,0.00121668,-0.01585657,0.98633937,-0.67319247,0.37321861,-1.53502333,0.00000000,-0.00000000
-5.74187094,2.91724496,-3.44979733,1.10364286,-1.23490205,1.30579973,-0.46774043,0.00112052,-0.01585054,1.03509007,-0.67110836,0.40051467,-1.48572739,0.00000000,-0.00000000
-5.73586793,3.07307093,-3.36483318,1.17523889,-1.20486891,1.36715816,-0.46444985,0.00104281,-0.01578609,1.08670048,-0.66617501,0.42973993,-1.43107320,0.00000000,-0.00000000
-5.72986493,3.23562717,-3.26770332,1.24860571,-1.17074282,1.43127757,-0.45910422,0.00098186,-0.01566037,1.14028496,-0.65842967,0.46034851,-1.37187894,0.00000000,-0.00000000
-5.72386193,3.40186888,-3.15970793,1.32253408,-1.13296911,1.49695244,-0.45175637,0.00093578,-0.01547142,1.19485864,-0.64794312,0.49175747,-1.30898759,0.00000000,-0.00000000
-5.71785893,3.56853389,-3.04222675,1.39575069,-1.09201431,1.56287103,-0.44248520,0.00090264,-0.01521823,1.24936064,-0.63481982,0.52335567,-1.24324789,0.00000000,-0.00000000
-5.71185593,3.73221822,-2.91669406,1.46694456,-1.04835856,1.62764938,-0.43139505,0.00088042,-0.01490091,1.30268062,-0.61919746,0.55451473,-1.17549673,0.00000000,-0.00000000
-5.70585293,3.88945977,-2.78457476,1.53479619,-1.00248864,1.68986876,-0.41861452,0.00086715,-0.01452073,1.35368775,-0.60124590,0.58460149,-1.10654343,0.00000000,-0.00000000
-5.69984992,4.03682718,-2.64734181,1.59800882,-0.95489152,1.74811503,-0.40429470,0.00086089,-0.01408021,1.40126119,-0.58116524,0.61299195,-1.03715616,0.00000000,-0.00000000
-5.69384692,4.17101067,-2.50645487,1.65534039,-0.90604849,1.80101862,-0.38860681,0.00085977,-0.01358304,1.44432091,-0.55918320,0.63908594,-0.96805053,0.00000000,-0.00000000
-5.68784392,4.28891153,-2.36334049,1.70563532,-0.85642955,1.84729350,-0.37173918,0.00086207,-0.01303404,1.48185770,-0.53555152,0.66232199,-0.89988061,0.00000000,-0.00000000
-5.68184092,4.38772685,-2.21937350,1.74785469,-0.80648829,1.88577387,-0.35389379,0.00086620,-0.01243907,1.51296134,-0.51054162,0.68219195,-0.83323213,0.00000000,-0.00000000
-5.67583792,4.46502620,-2.07585996,1.78110376,-0.75665692,1.91544699,-0.33528224,0.00087072,-0.01180486,1.53684579,-0.48443951,0.69825443,-0.76861784,0.00000000,-0.00000000
-5.66983492,4.51881735,-1.93402155,1.80465565,-0.70734171,1.93548114,-0.31612140,0.00087440,-0.01113886,1.55287057,-0.45754009,0.71014675,-0.70647493,0.00000000,-0.00000000
-5.66383192,4.54759847,-1.79498156,1.81797036,-0.65891859,1.94524763,-0.29662891,0.00087617,-0.01044900,1.56055746,-0.43014103,0.71759463,-0.64716420,0.00000000,-0.00000000
-5.65782891,4.55039488,-1.65975279,1.82070829,-0.61172918,1.94433613,-0.27701852,0.00087517,-0.00974349,1.55960202,-0.40253653,0.72041926,-0.59097091,0.00000000,-0.00000000
-5.65182591,4.52677915,-1.52922740,1.81273771,-0.56607728,1.93256285,-0.25749563,0.00087073,-0.00903058,1.54987962,-0.37501102,0.71854144,-0.53810701,0.00000000,-0.00000000
-5.64582291,4.47687381,-1.40416916,1.79413604,-0.52222584,1.90997150,-0.23825306,0.00086239,-0.00831838,1.53144575,-0.34783326,0.71198250,-0.48871460,0.00000000,-0.00000000
-5.63981991,4.40133717,-1.28520818,1.76518477,-0.48039474,1.87682714,-0.21946737,0.00084986,-0.00761460,1.50453079,-0.32125094,0.70086202,-0.44287047,0.00000000,-0.00000000
-5.63381691,4.30133280,-1.17283851,1.72635850,-0.44075932,1.83360337,-0.20129568,0.00083301,-0.00692642,1.46952968,-0.29548602,0.68539248,-0.40059144,0.00000000,-0.00000000
-5.62781391,4.17848453,-1.06741862,1.67830836,-0.40344982,1.78096358,-0.18387321,0.00081189,-0.00626029,1.42698686,-0.27073108,0.66587093,-0.36184046,0.00000000,-0.00000000
-5.62181091,4.03481894,-0.96917498,1.62184076,-0.36855195,1.71973712,-0.16731169,0.00078667,-0.00562185,1.37757729,-0.24714667,0.64266836,-0.32653325,0.00000000,-0.00000000
-5.61580790,3.87269793,-0.87820847,1.55789225,-0.33610833,1.65089155,-0.15169851,0.00075767,-0.00501582,1.32208437,-0.22485988,0.61621691,-0.29454532,0.00000000,-0.00000000
-5.60980490,3.69474424,-0.79450379,1.48750151,-0.30612115,1.57550214,-0.13709675,0.00072527,-0.00444595,1.26137572,-0.20396406,0.58699575,-0.26571924,0.00000000,-0.00000000
-5.60380190,3.50376302,-0.71794130,1.41177967,-0.27855562,1.49471974,-0.12354596,0.00068995,-0.00391503,1.19637771,-0.18451966,0.55551613,-0.23987206,0.00000000,-0.00000000
-5.59779890,3.30266228,-0.64831104,1.33187996,-0.25334445,1.40973837,-0.11106369,0.00065225,-0.00342489,1.12804976,-0.16655616,0.52230615,-0.21680266,0.00000000,-0.00000000
-5.59179590,3.09437526,-0.58532844,1.24896788,-0.23039289,1.32176363,-0.09964765,0.00061273,-0.00297648,1.05735920,-0.15007483,0.48789603,-0.19629892,0.00000000,-0.00000000
-5.58579290,2.88178730,-0.52865110,1.16419280,-0.20958432,1.23198290,-0.08927825,0.00057197,-0.00256992,0.98525775,-0.13505233,0.45280420,-0.17814458,0.00000000,-0.00000000
-5.57978989,2.66766936,-0.47789616,1.07866193,-0.19078619,1.14153833,-0.07992164,0.00053053,-0.00220458,0.91265994,-0.12144476,0.41752484,-0.16212564,0.00000000,-0.00000000
-5.57378689,2.45462011,-0.43265745,0.99341744,-0.17385592,1.05150317,-0.07153279,0.00048898,-0.00187923,0.84042446,-0.10919210,0.38251718,-0.14803613,0.00000000,-0.00000000
-5.56778389,2.24501786,-0.39252208,0.90941710,-0.15864669,0.96286219,-0.06405878,0.00044783,-0.00159212,0.76933847,-0.09822271,0.34819676,-0.13568322,0.00000000,-0.00000000
-5.56178089,2.04098311,-0.35708564,0.82751901,-0.14501286,0.87649616,-0.05744183,0.00040754,-0.00134111,0.70010541,-0.08845782,0.31492898,-0.12489151,0.00000000,-0.00000000
