energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.06880751,0.00109226,0.34118785,0.01459294,0.14828724,0.24685943,0.18569475
-5.99399700,1.15918103,0.00120133,0.37058033,0.01551427,0.16077275,0.26979301,0.20129436
-5.98799400,1.25004499,0.00131386,0.40027447,0.01641835,0.17323252,0.29312253,0.21699783
-5.98199100,1.34047119,0.00142909,0.42998942,0.01729792,0.18551753,0.31662835,0.23265181
-5.97598799,1.42950608,0.00154618,0.45943480,0.01814629,0.19747553,0.34007941,0.24809877
-5.96998499,1.51619472,0.00166430,0.48831776,0.01895755,0.20895501,0.36323849,0.26318091
-5.96398199,1.59960537,0.00178261,0.51635013,0.01972682,0.21980943,0.38586786,0.27774410
-5.95797899,1.67885373,0.00190033,0.54325569,0.02045037,0.22990137,0.40773493,0.29164183
-5.95197599,1.75312584,0.00201670,0.56877685,0.02112582,0.23910639,0.42861769,0.30473889
-5.94597299,1.82169865,0.00213107,0.59268081,0.02175223,0.24731656,0.44830975,0.31691467
-5.93996998,1.88395724,0.00224290,0.61476474,0.02233015,0.25444338,0.46662477,0.32806589
-5.93396698,1.93940821,0.00235176,0.63485984,0.02286167,0.26042008,0.48340010,0.33810875
-5.92796398,1.98768857,0.00245733,0.65283414,0.02335036,0.26520303,0.49849952,0.34698035
-5.92196098,2.02856989,0.00255948,0.66859401,0.02380120,0.26877242,0.51181502,0.35463927
-5.91595798,2.06195783,0.00265816,0.68208424,0.02422041,0.27113201,0.52326764,0.36106556
-5.90995498,2.08788704,0.00275350,0.69328696,0.02461530,0.27230809,0.53280734,0.36625986
-5.90395198,2.10651211,0.00284572,0.70221937,0.02499399,0.27234769,0.54041208,0.37024194
-5.89794897,2.11809500,0.00293516,0.70893052,0.02536519,0.27131616,0.54608614,0.37304875
-5.89194597,2.12298973,0.00302224,0.71349732,0.02573785,0.26929420,0.54985786,0.37473195
-5.88594297,2.12162530,0.00310743,0.71602002,0.02612088,0.26637457,0.55177703,0.37535527
-5.87993997,2.11448742,0.00319123,0.71661744,0.02652280,0.26265862,0.55191193,0.37499160
-5.87393697,2.10210009,0.00327413,0.71542201,0.02695141,0.25825268,0.55034627,0.37372015
-5.86793397,2.08500769,0.00335660,0.71257502,0.02741348,0.25326472,0.54717622,0.37162362
-5.86193097,2.06375821,0.00343903,0.70822212,0.02791445,0.24780106,0.54250739,0.36878568
-5.85592796,2.03888817,0.00352168,0.70250919,0.02845814,0.24196363,0.53645218,0.36528855
-5.84992496,2.01090963,0.00360473,0.69557873,0.02904658,0.23584748,0.52912717,0.36121107
-5.84392196,1.98029950,0.00368817,0.68756685,0.02967978,0.22953893,0.52065094,0.35662707
-5.83791896,1.94749136,0.00377181,0.67860078,0.03035566,0.22311416,0.51114202,0.35160407
-5.83191596,1.91286974,0.00385529,0.66879712,0.03106998,0.21663830,0.50071719,0.34620247
-5.82591296,1.87676686,0.00393803,0.65826052,0.03181637,0.21016511,0.48948995,0.34047507
-5.81990995,1.83946175,0.00401924,0.64708315,0.03258644,0.20373704,0.47756933,0.33446693
-5.81390695,1.80118143,0.00409797,0.63534452,0.03336995,0.19738577,0.46505888,0.32821561
-5.80790395,1.76210411,0.00417305,0.62311206,0.03415508,0.19113300,0.45205584,0.32175171
-5.80190095,1.72236410,0.00424318,0.61044197,0.03492873,0.18499167,0.43865067,0.31509965
-5.79589795,1.68205812,0.00430692,0.59738071,0.03567695,0.17896727,0.42492669,0.30827870
-5.78989495,1.64125278,0.00436278,0.58396671,0.03638536,0.17305934,0.41096009,0.30130417
-5.78389195,1.59999293,0.00440919,0.57023255,0.03703963,0.16726303,0.39682005,0.29418880
-5.77788894,1.55831038,0.00444462,0.55620721,0.03762598,0.16157067,0.38256922,0.28694414
-5.77188594,1.51623285,0.00446762,0.54191856,0.03813171,0.15597328,0.36826431,0.27958194
-5.76588294,1.47379253,0.00447682,0.52739579,0.03854564,0.15046197,0.35395693,0.27211556
-5.75987994,1.43103391,0.00447108,0.51267166,0.03885857,0.14502916,0.33969455,0.26456113
-5.75387694,1.38802057,0.00444945,0.49778456,0.03906366,0.13966960,0.32552148,0.25693861
-5.74787394,1.34484039,0.00441127,0.48278006,0.03915665,0.13438116,0.31147987,0.24927248
-5.74187094,1.30160889,0.00435616,0.46771194,0.03913613,0.12916533,0.29761066,0.24159212
-5.73586793,1.25847053,0.00428410,0.45264257,0.03900352,0.12402744,0.28395429,0.23393185
-5.72986493,1.21559775,0.00419540,0.43764256,0.03876302,0.11897663,0.27055129,0.22633051
-5.72386193,1.17318761,0.00409070,0.42278964,0.03842147,0.11402553,0.25744249,0.21883064
-5.71785893,1.13145638,0.00397098,0.40816678,0.03798795,0.10918967,0.24466897,0.21147728
-5.71185593,1.09063205,0.00383754,0.39385969,0.03747347,0.10448673,0.23227172,0.20431642
-5.70585293,1.05094533,0.00369194,0.37995377,0.03689037,0.09993559,0.22029095,0.19739324
-5.69984992,1.01261959,0.00353596,0.36653060,0.03625180,0.09555530,0.20876519,0.19075006
-5.69384692,0.97586023,0.00337155,0.35366436,0.03557112,0.09136398,0.19773019,0.18442439
-5.68784392,0.94084438,0.00320080,0.34141825,0.03486128,0.08737777,0.18721774,0.17844695
-5.68184092,0.90771133,0.00302583,0.32984123,0.03413428,0.08360987,0.17725452,0.17283995
-5.67583792,0.87655456,0.00284875,0.31896529,0.03340060,0.08006971,0.16786105,0.16761568
-5.66983492,0.84741583,0.00267164,0.30880344,0.03266887,0.07676235,0.15905086,0.16277555
-5.66383192,0.82028196,0.00249644,0.29934868,0.03194546,0.07368813,0.15082998,0.15830965
-5.65782891,0.79508434,0.00232495,0.29057397,0.03123440,0.07084258,0.14319688,0.15419687
-5.65182591,0.77170171,0.00215877,0.28243330,0.03053727,0.06821661,0.13614272,0.15040570
-5.64582291,0.74996587,0.00199931,0.27486388,0.02985337,0.06579702,0.12965214,0.14689552
-5.63981991,0.72967017,0.00184773,0.26778931,0.02917986,0.06356721,0.12370452,0.14361854
-5.63381691,0.71058054,0.00170498,0.26112364,0.02851221,0.06150822,0.11827550,0.14052208
-5.62781391,0.69244823,0.00157179,0.25477610,0.02784457,0.05959976,0.11333898,0.13755132
-5.62181091,0.67502383,0.00144870,0.24865622,0.02717032,0.05782158,0.10886918,0.13465213
-5.61580790,0.65807165,0.00133605,0.24267913,0.02648261,0.05615463,0.10484289,0.13177402
-5.60980490,0.64138366,0.00123405,0.23677066,0.02577487,0.05458242,0.10124171,0.12887301
-5.60380190,0.62479244,0.00114278,0.23087207,0.02504140,0.05309206,0.09805401,0.12591413
-5.59779890,0.60818202,0.00106225,0.22494401,0.02427777,0.05167532,0.09527669,0.12287363
-5.59179590,0.59149646,0.00099240,0.21896963,0.02348122,0.05032933,0.09291653,0.11974064
-5.58579290,0.57474532,0.00093317,0.21295657,0.02265094,0.04905708,0.09099100,0.11651816
-5.57978989,0.55800603,0.00088446,0.20693773,0.02178822,0.04786761,0.08952850,0.11322350
-5.57378689,0.54142277,0.00084621,0.20097084,0.02089647,0.04677590,0.08856804,0.10988798
-5.56778389,0.52520220,0.00081840,0.19513681,0.01998116,0.04580247,0.08815823,0.10655597
-5.56178089,0.50960608,0.00080102,0.18953692,0.01904964,0.04497264,0.08835579,0.10328337
-5.55577789,0.49494126,0.00079411,0.18428911,0.01811077,0.04431569,0.08922343,0.10013550
-5.54977489,0.48154768,0.00079772,0.17952338,0.01717464,0.04386363,0.09082733,0.09718470
-5.54377189,0.46978477,0.00081194,0.17537680,0.01625207,0.04365003,0.09323434,0.09450752
-5.53776888,0.46001717,0.00083684,0.17198808,0.01535421,0.04370866,0.09650893,0.09218188
-5.53176588,0.45260040,0.00087250,0.16949225,0.01449204,0.04407216,0.10071013,0.09028414
-5.52576288,0.44786710,0.00091895,0.16801544,0.01367594,0.04477076,0.10588853,0.08888639
-5.51975988,0.44611453,0.00097618,0.16767026,0.01291528,0.04583114,0.11208359,0.08805395
-5.51375688,0.44759393,0.00104412,0.16855174,0.01221812,0.04727545,0.11932131,0.08784319
-5.50775388,0.45250199,0.00112264,0.17073415,0.01159088,0.04912053,0.12761239,0.08829989
-5.50175088,0.46097490,0.00121150,0.17426876,0.01103820,0.05137739,0.13695101,0.08945803
-5.49574787,0.47308503,0.00131041,0.17918255,0.01056284,0.05405090,0.14731429,0.09133905
-5.48974487,0.48884022,0.00141901,0.18547800,0.01016567,0.05713978,0.15866241,0.09395175
-5.48374187,0.50818565,0.00153685,0.19313373,0.00984574,0.06063676,0.17093940,0.09729255
