energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
4.59529765,0.32527253,0.63409355,0.00166645,0.00436173,0.01890248,0.07991781,0.01815804,0.00639635,0.08401437
4.60130065,0.28189346,0.54957725,0.00145923,0.00370556,0.01586286,0.06759995,0.01550753,0.00567441,0.07120209
4.60730365,0.24651108,0.48070659,0.00129724,0.00317044,0.01322049,0.05736946,0.01327685,0.00511821,0.06029886
4.61330665,0.21872606,0.42669705,0.00117835,0.00274663,0.01094384,0.04905518,0.01143957,0.00472317,0.05116829
4.61930965,0.19813799,0.38676393,0.00110057,0.00242486,0.00899973,0.04249149,0.00996863,0.00448485,0.04367051
4.62531266,0.18435898,0.36014872,0.00106206,0.00219656,0.00735451,0.03752183,0.00883723,0.00439912,0.03766660
4.63131566,0.17702287,0.34613691,0.00106118,0.00205391,0.00597499,0.03400112,0.00801951,0.00446229,0.03302214
4.63731866,0.17579022,0.34406738,0.00109648,0.00198989,0.00482926,0.03179700,0.00749108,0.00467112,0.02960968
4.64332166,0.18034909,0.35333379,0.00116670,0.00199827,0.00388728,0.03079021,0.00722923,0.00502270,0.02731050
4.64932466,0.19041219,0.37337872,0.00127068,0.00207353,0.00312133,0.03087402,0.00721307,0.00551438,0.02601531
4.65532766,0.20571083,0.40368166,0.00140736,0.00221071,0.00250629,0.03195303,0.00742344,0.00614345,0.02562444
4.66133067,0.22598634,0.44374215,0.00157567,0.00240532,0.00201981,0.03394139,0.00784271,0.00690694,0.02604730
4.66733367,0.25097979,0.49305953,0.00177442,0.00265314,0.00164237,0.03676072,0.00845447,0.00780125,0.02720140
4.67333667,0.28042076,0.55111097,0.00200229,0.00295006,0.00135724,0.04033772,0.00924321,0.00882187,0.02901110
4.67933967,0.31401610,0.61732948,0.00225769,0.00329188,0.00115042,0.04460189,0.01019387,0.00996306,0.03140614
4.68534267,0.35143942,0.69108351,0.00253870,0.00367421,0.00101048,0.04948323,0.01129151,0.01121757,0.03432014
4.69134567,0.39232231,0.77165981,0.00284301,0.00409227,0.00092847,0.05491030,0.01252094,0.01257642,0.03768917
4.69734867,0.43624786,0.85825094,0.00316790,0.00454079,0.00089772,0.06080862,0.01386646,0.01402879,0.04145057
4.70335168,0.48274718,0.94994881,0.00351018,0.00501398,0.00091369,0.06709957,0.01531172,0.01556195,0.04554196
4.70935468,0.53129947,1.04574496,0.00386623,0.00550543,0.00097385,0.07369985,0.01683961,0.01716136,0.04990069
4.71535768,0.58133586,1.14453842,0.00423202,0.00600819,0.00107755,0.08052156,0.01843233,0.01881084,0.05446360
4.72136068,0.63224716,1.24515107,0.00460316,0.00651475,0.00122589,0.08747292,0.02007164,0.02049288,0.05916730
4.72736368,0.68339534,1.34635044,0.00497503,0.00701721,0.00142166,0.09445954,0.02173907,0.02218908,0.06394874
4.73336668,0.73412848,1.44687916,0.00534284,0.00750739,0.00166918,0.10138639,0.02341645,0.02388067,0.06874621
4.73936968,0.78379856,1.54548977,0.00570179,0.00797702,0.00197429,0.10816012,0.02508632,0.02554913,0.07350065
4.74537269,0.83178122,1.64098355,0.00604724,0.00841793,0.00234422,0.11469185,0.02673255,0.02717684,0.07815720
4.75137569,0.87749673,1.73225118,0.00637482,0.00882230,0.00278749,0.12090025,0.02834093,0.02874779,0.08266682
4.75737869,0.92043089,1.81831337,0.00668061,0.00918289,0.00331379,0.12671465,0.02989975,0.03024826,0.08698805
4.76338169,0.96015485,1.89835899,0.00696129,0.00949330,0.00393387,0.13207818,0.03140033,0.03166749,0.09108858
4.76938469,0.99634264,1.97177850,0.00721427,0.00974814,0.00465930,0.13695079,0.03283748,0.03299819,0.09494667
