energy_ev,total_up,Cu_p_up,Cu_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,4.00051405,0.77031664,1.10722991,0.91005402,1.36192734,0.00189504,0.68529785,0.01406758,0.67419325
-5.99399700,3.99574593,0.76356416,1.09191983,0.90731390,1.36933013,0.00180938,0.68958182,0.01340969,0.67832222
-5.98799400,3.98387588,0.75582428,1.07510465,0.90385008,1.37369673,0.00173349,0.69249564,0.01273316,0.68127627
-5.98199100,3.96415321,0.74706893,1.05685799,0.89937009,1.37466170,0.00166540,0.69379553,0.01204660,0.68276864
-5.97598799,3.93596352,0.73727953,1.03726399,0.89360424,1.37192400,0.00160324,0.69327258,0.01135860,0.68254947
-5.96998499,3.89885003,0.72644923,1.01641614,0.88631449,1.36525637,0.00154534,0.69075912,0.01067751,0.68041385
-5.96398199,3.85253006,0.71458502,0.99441623,0.87730215,1.35451236,0.00149024,0.68613344,0.01001136,0.67620842
-5.95797899,3.79690648,0.70170972,0.97137340,0.86641394,1.33963102,0.00143667,0.67932302,0.00936763,0.66983628
-5.95197599,3.73207370,0.68786353,0.94740341,0.85354652,1.32063889,0.00138361,0.67030598,0.00875320,0.66126003
-5.94597299,3.65831805,0.67310530,0.92262800,0.83864923,1.29764946,0.00133028,0.65911094,0.00817430,0.65050282
-5.93996998,3.57611257,0.65751314,0.89717436,0.82172509,1.27086005,0.00127608,0.64581529,0.00763641,0.63764739
-5.93396698,3.48610627,0.64118448,0.87117454,0.80283009,1.24054620,0.00122064,0.63054205,0.00714431,0.62283305
-5.92796398,3.38910836,0.62423530,0.84476473,0.78207077,1.20705396,0.00116379,0.61345540,0.00670213,0.60625088
-5.92196098,3.28606778,0.60679868,0.81808444,0.75960036,1.17079017,0.00110551,0.59475519,0.00631332,0.58813715
-5.91595798,3.17804867,0.58902245,0.79127522,0.73561347,1.13221111,0.00104593,0.57467060,0.00598083,0.56876538
-5.90995498,3.06620270,0.57106621,0.76447923,0.71033971,1.09181008,0.00098529,0.55345320,0.00570714,0.54843726
-5.90395198,2.95173901,0.55309754,0.73783735,0.68403641,1.05010403,0.00092394,0.53136961,0.00549441,0.52747283
-5.89794897,2.83589274,0.53528779,0.71148690,0.65698075,1.00761993,0.00086230,0.50869414,0.00534451,0.50620021
-5.89194597,2.71989331,0.51780739,0.68555926,0.62946152,0.96488119,0.00080082,0.48570151,0.00525919,0.48494543
-5.88594297,2.60493329,0.50082096,0.66017710,0.60177090,0.92239459,0.00074000,0.46265990,0.00524007,0.46402252
-5.87993997,2.49213893,0.48448247,0.63545163,0.57419641,0.88063803,0.00068030,0.43982464,0.00528875,0.44372438
-5.87393697,2.38254339,0.46893056,0.61147996,0.54701345,0.84004963,0.00062221,0.41743252,0.00540675,0.42431462
-5.86793397,2.27706319,0.45428427,0.58834259,0.52047849,0.80101820,0.00056616,0.39569696,0.00559553,0.40602069
-5.86193097,2.17647895,0.44063939,0.56610134,0.49482318,0.76387559,0.00051256,0.37480422,0.00585641,0.38902845
-5.85592796,2.08142053,0.42806556,0.54479775,0.47024950,0.72889085,0.00046174,0.35491043,0.00619046,0.37347832
-5.84992496,1.99235721,0.41660423,0.52445211,0.44692613,0.69626649,0.00041399,0.33613981,0.00659834,0.35946311
-5.84392196,1.90959295,0.40626758,0.50506327,0.42498588,0.66613668,0.00036952,0.31858382,0.00708016,0.34702741
-5.83791896,1.83326662,0.39703851,0.48660907,0.40452450,0.63856753,0.00032848,0.30230123,0.00763525,0.33616869
-5.83191596,1.76335719,0.38887147,0.46904768,0.38560044,0.61355918,0.00029096,0.28731921,0.00826200,0.32683974
-5.82591296,1.69969339,0.38169447,0.45231960,0.36823592,0.59104973,0.00025699,0.27363507,0.00895760,0.31895254
-5.81990995,1.64196733,0.37541174,0.43635034,0.35241885,0.57092065,0.00022651,0.26121883,0.00971786,0.31238314
-5.81390695,1.58975165,0.36990731,0.42105367,0.33810565,0.55300356,0.00019945,0.25001621,0.01053708,0.30697755
-5.80790395,1.54251931,0.36504912,0.40633530,0.32522484,0.53708798,0.00017567,0.23995221,0.01140789,0.30255820
-5.80190095,1.49966549,0.36069367,0.39209678,0.31368120,0.52293000,0.00015498,0.23093487,0.01232119,0.29893089
-5.79589795,1.46053063,0.35669085,0.37823960,0.30336032,0.51026137,0.00013718,0.22285930,0.01326616,0.29589186
-5.78989495,1.42442412,0.35288906,0.36466910,0.29413346,0.49879879,0.00012203,0.21561172,0.01423032,0.29323485
-5.78389195,1.39064758,0.34914010,0.35129829,0.28586256,0.48825318,0.00010929,0.20907348,0.01519970,0.29075784
-5.77788894,1.35851734,0.34530397,0.33805116,0.27840518,0.47833869,0.00009871,0.20312485,0.01615907,0.28826935
-5.77188594,1.32738531,0.34125330,0.32486559,0.27161930,0.46878098,0.00009000,0.19764869,0.01709224,0.28559407
-5.76588294,1.29665771,0.33687719,0.31169565,0.26536790,0.45932493,0.00008293,0.19253365,0.01798247,0.28257768
-5.75987994,1.26581124,0.33208454,0.29851315,0.25952300,0.44974120,0.00007724,0.18767707,0.01881288,0.27909080
-5.75387694,1.23440636,0.32680658,0.28530868,0.25396939,0.43983186,0.00007269,0.18298742,0.01956699,0.27503189
-5.74787394,1.20209723,0.32099871,0.27209179,0.24860753,0.42943466,0.00006907,0.17838618,0.02022913,0.27032923
-5.74187094,1.16863848,0.31464144,0.25889063,0.24335603,0.41842606,0.00006617,0.17380926,0.02078503,0.26494175
-5.73586793,1.13388837,0.30774053,0.24575101,0.23815314,0.40672300,0.00006381,0.16920791,0.02122224,0.25885888
-5.72986493,1.09780884,0.30032629,0.23273496,0.23295772,0.39428327,0.00006183,0.16454902,0.02153057,0.25209954
-5.72386193,1.06046226,0.29245209,0.21991886,0.22774921,0.38110471,0.00006011,0.15981494,0.02170247,0.24471012
-5.71785893,1.02200534,0.28419217,0.20739147,0.22252703,0.36722322,0.00005853,0.15500279,0.02173329,0.23676181
-5.71185593,0.98268056,0.27563878,0.19525163,0.21730908,0.35270974,0.00005701,0.15012334,0.02162144,0.22834728
-5.70585293,0.94280552,0.26689884,0.18360613,0.21212976,0.33766638,0.00005549,0.14519943,0.02136846,0.21957691
-5.69984992,0.90276062,0.25809024,0.17256753,0.20703725,0.32222187,0.00005392,0.14026414,0.02097901,0.21057465
-5.69384692,0.86297582,0.24933790,0.16225230,0.20209056,0.30652649,0.00005230,0.13535864,0.02046063,0.20147382
-5.68784392,0.82391677,0.24076977,0.15277910,0.19735606,0.29074681,0.00005062,0.13052988,0.01982354,0.19241287
-5.68184092,0.78607107,0.23251298,0.14426742,0.19290409,0.27506025,0.00004890,0.12582827,0.01908027,0.18353127
-5.67583792,0.74993499,0.22469029,0.13683660,0.18880546,0.25964988,0.00004720,0.12130530,0.01824521,0.17496579
-5.66983492,0.71600130,0.21741690,0.13060502,0.18512816,0.24469949,0.00004556,0.11701138,0.01733418,0.16684708
-5.66383192,0.68474834,0.21079794,0.12568969,0.18193446,0.23038915,0.00004406,0.11299377,0.01636387,0.15929681
-5.65782891,0.65663084,0.20492654,0.12220596,0.17927840,0.21689139,0.00004280,0.10929490,0.01535137,0.15242535
-5.65182591,0.63207252,0.19988271,0.12026737,0.17720390,0.20436799,0.00004186,0.10595097,0.01431363,0.14632999
-5.64582291,0.61146050,0.19573295,0.11998552,0.17574350,0.19296766,0.00004138,0.10299097,0.01326706,0.14109379
-5.63981991,0.59514158,0.19253061,0.12146976,0.17491774,0.18282423,0.00004149,0.10043604,0.01222705,0.13678495
-5.63381691,0.58342001,0.19031692,0.12482671,0.17473520,0.17405575,0.00004233,0.09829934,0.01120768,0.13345661
-5.62781391,0.57655665,0.18912259,0.13015938,0.17519309,0.16676404,0.00004406,0.09658614,0.01022142,0.13114717
-5.62181091,0.57476894,0.18896982,0.13756584,0.17627844,0.16103480,0.00004686,0.09529439,0.00927899,0.12988080
-5.61580790,0.57823153,0.18987449,0.14713737,0.17796952,0.15693812,0.00005092,0.09441545,0.00838917,0.12966817
-5.60980490,0.58707684,0.19184842,0.15895595,0.18023757,0.15452909,0.00005644,0.09393502,0.00755888,0.13050735
-5.60380190,0.60139545,0.19490136,0.17309124,0.18304861,0.15384866,0.00006363,0.09383423,0.00679311,0.13238463
-5.59779890,0.62123565,0.19904269,0.18959700,0.18636507,0.15492422,0.00007273,0.09409065,0.00609508,0.13527525
-5.59179590,0.64660224,0.20428246,0.20850695,0.19014735,0.15777020,0.00008396,0.09467933,0.00546637,0.13914404
-5.58579290,0.67745417,0.21063170,0.22983045,0.19435488,0.16238819,0.00009756,0.09557367,0.00490706,0.14394583
-5.57978989,0.71370119,0.21810200,0.25354794,0.19894685,0.16876693,0.00011378,0.09674612,0.00441599,0.14962569
