energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,3.47302248,-3.25167919,0.70556212,-0.64371459,2.24045209,-2.18268580,0.00464626,-0.00405534,0.30308919,-0.25885716,0.67983099,-0.59901739,0.53666199,-0.44128266,0.34582313,-0.31055378,0.00000000,-0.00000000
-5.99399700,3.51165454,-3.30568515,0.73353810,-0.66852476,2.25119718,-2.19241321,0.00498031,-0.00437059,0.30554964,-0.26908760,0.70274456,-0.62791119,0.54344542,-0.46136734,0.36049723,-0.32526915,0.00000000,-0.00000000
-5.98799400,3.54764673,-3.35901440,0.76261157,-0.69472735,2.26115837,-2.20167394,0.00531872,-0.00469436,0.30703362,-0.27891484,0.72555100,-0.65743226,0.54832341,-0.48065632,0.37540740,-0.34049169,0.00000000,-0.00000000
-5.98199100,3.58085552,-3.41120497,0.79264176,-0.72225178,2.27024510,-2.21042013,0.00565888,-0.00502444,0.30758522,-0.28820792,0.74819307,-0.68736451,0.55132732,-0.49888618,0.39043898,-0.35611254,0.00000000,-0.00000000
-5.97598799,3.61118554,-3.46179286,0.82346403,-0.75100572,2.27837555,-2.21859954,0.00599809,-0.00535851,0.30727191,-0.29684359,0.77062394,-0.71748652,0.55253025,-0.51580590,0.40546956,-0.37201270,0.00000000,-0.00000000
-5.96998499,3.63859312,-3.51032760,0.85488954,-0.78087323,2.28548350,-2.22616104,0.00633353,-0.00569420,0.30618256,-0.30471043,0.79280547,-0.74757613,0.55204436,-0.53118477,0.42036985,-0.38806422,0.00000000,-0.00000000
-5.96398199,3.66308794,-3.55638837,0.88670543,-0.81171316,2.29152492,-2.23306085,0.00666233,-0.00602906,0.30442449,-0.31171281,0.81470561,-0.77741486,0.55001682,-0.54481982,0.43500477,-0.40413162,0.00000000,-0.00000000
-5.95797899,3.68473228,-3.59959934,0.91867547,-0.84335785,2.29648355,-2.23926895,0.00698155,-0.00636058,0.30211995,-0.31777427,0.83629522,-0.80679198,0.54662445,-0.55654265,0.44923462,-0.42007331,0.00000000,-0.00000000
-5.95197599,3.70363753,-3.63964310,0.95054137,-0.87561226,2.30037486,-2.24477482,0.00728820,-0.00668616,0.29940197,-0.32284050,0.85754435,-0.83550796,0.54206739,-0.56622504,0.46291634,-0.43574301,0.00000000,-0.00000000
-5.94597299,3.71995773,-3.67627102,0.98202466,-0.90825348,2.30324782,-2.24959186,0.00757929,-0.00700319,0.29640976,-0.32688136,0.87841800,-0.86337698,0.53656195,-0.57378334,0.47590495,-0.45099125,0.00000000,-0.00000000
-5.93996998,3.73388028,-3.70930979,1.01282932,-0.94103088,2.30518414,-2.25375990,0.00785181,-0.00730897,0.29328386,-0.32989214,0.89887187,-0.89022860,0.53033306,-0.57918113,0.48805508,-0.46566670,0.00000000,-0.00000000
-5.93396698,3.74561393,-3.73866342,1.04264513,-0.97366690,2.30629477,-2.25734531,0.00810279,-0.00760076,0.29016122,-0.33189371,0.91884807,-0.91590829,0.52360640,-0.58243029,0.49922269,-0.47961754,0.00000000,-0.00000000
-5.92796398,3.75537448,-3.76431046,1.07115183,-1.00585861,2.30671365,-2.26043856,0.00832933,-0.00787580,0.28717030,-0.33293169,0.93827113,-0.94027712,0.51660078,-0.58359009,0.50926701,-0.49269286,0.00000000,-0.00000000
-5.92196098,3.76336891,-3.78629652,1.09802396,-1.03728028,2.30658886,-2.26314897,0.00852863,-0.00813129,0.28442652,-0.33307462,0.95704467,-0.96321034,0.50952085,-0.58276469,0.51805256,-0.50474406,0.00000000,-0.00000000
-5.91595798,3.76977850,-3.80472233,1.12293653,-1.06758685,2.30607166,-2.26559701,0.00869805,-0.00836443,0.28202810,-0.33241109,0.97504883,-0.98459541,0.50255056,-0.58009878,0.52545154,-0.51562631,0.00000000,-0.00000000
-5.90995498,3.77474185,-3.81972818,1.14557120,-1.09641844,2.30530371,-2.26790430,0.00883513,-0.00857248,0.28005250,-0.33104610,0.99213878,-1.00432936,0.49584745,-0.57577190,0.53134620,-0.52520022,0.00000000,-0.00000000
-5.90395198,3.77833881,-3.83147542,1.16562298,-1.12340601,2.30440345,-2.27018187,0.00893769,-0.00875274,0.27855352,-0.32909667,1.00814449,-1.02231594,0.48953812,-0.56999142,0.53563149,-0.53333366,0.00000000,-0.00000000
-5.89794897,3.78057591,-3.84012630,1.18280729,-1.14817794,2.30345219,-2.27251739,0.00900386,-0.00890265,0.27755933,-0.32668696,1.02287183,-1.03846274,0.48371487,-0.56298469,0.53821770,-0.53990379,0.00000000,-0.00000000
-5.89194597,3.78137457,-3.84582324,1.19686698,-1.17036748,2.30248074,-2.27496202,0.00903213,-0.00901984,0.27707126,-0.32394315,1.03610519,-1.05267862,0.47843370,-0.55499055,0.53903312,-0.54479931,0.00000000,-0.00000000
-5.88594297,3.78056253,-3.84866889,1.20757923,-1.18962102,2.30145768,-2.27751779,0.00902141,-0.00910216,0.27706366,-0.32098814,1.04761148,-1.06487155,0.47371368,-0.54625068,0.53802656,-0.54792286,0.00000000,-0.00000000
-5.87993997,3.77786944,-3.84870809,1.21476203,-1.20560674,2.30027974,-2.28012629,0.00897112,-0.00914778,0.27748460,-0.31793656,1.05714558,-1.07494733,0.46953762,-0.53700108,0.53516966,-0.54919363,0.00000000,-0.00000000
-5.87393697,3.77292690,-3.84591306,1.21827982,-1.21802351,2.29876527,-2.28265948,0.00888116,-0.00915524,0.27825763,-0.31489007,1.06445700,-1.08280904,0.46585408,-0.52746410,0.53045884,-0.54854992,0.00000000,-0.00000000
