energy_ev,total_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.77634624,0.55882288,0.28773086,0.00366247,0.54567793,0.00855949,0.00003029
-5.99399700,0.73313489,0.53175354,0.26084507,0.00349711,0.50403945,0.00802015,0.00003062
-5.98799400,0.69643380,0.50896456,0.23623160,0.00336280,0.46697819,0.00753683,0.00003116
-5.98199100,0.66683085,0.49096905,0.21409530,0.00326512,0.43502138,0.00711980,0.00003190
-5.97598799,0.64477961,0.47818452,0.19458880,0.00320918,0.40859769,0.00677797,0.00003283
-5.96998499,0.63059812,0.47092916,0.17781600,0.00319952,0.38803659,0.00651870,0.00003393
-5.96398199,0.62447055,0.46942018,0.16383677,0.00323998,0.37356975,0.00634773,0.00003519
-5.95797899,0.62645106,0.47377378,0.15267249,0.00333365,0.36533384,0.00626907,0.00003658
-5.95197599,0.63646934,0.48400651,0.14431209,0.00348279,0.36337453,0.00628497,0.00003808
-5.94597299,0.65433737,0.50003754,0.13871820,0.00368873,0.36765102,0.00639586,0.00003965
-5.93996998,0.67975703,0.52169179,0.13583311,0.00395183,0.37804111,0.00660038,0.00004128
-5.93396698,0.71232818,0.54870363,0.13558431,0.00427140,0.39434633,0.00689538,0.00004293
-5.92796398,0.75155725,0.58072126,0.13788940,0.00464563,0.41629727,0.00727593,0.00004456
-5.92196098,0.79686605,0.61731155,0.14266015,0.00507162,0.44355891,0.00773546,0.00004616
-5.91595798,0.84760099,0.65796569,0.14980562,0.00554525,0.47573612,0.00826574,0.00004768
-5.90995498,0.90304266,0.70210564,0.15923437,0.00606127,0.51237925,0.00885708,0.00004911
-5.90395198,0.96241592,0.74909158,0.17085553,0.00661331,0.55299015,0.00949847,0.00005042
-5.89794897,1.02490059,0.79823050,0.18457895,0.00719387,0.59702848,0.01017770,0.00005158
-5.89194597,1.08964272,0.84878607,0.20031432,0.00779450,0.64391853,0.01088164,0.00005259
-5.88594297,1.15576651,0.89998983,0.21796949,0.00840590,0.69305642,0.01159645,0.00005342
-5.87993997,1.22238670,0.95105360,0.23744793,0.00901803,0.74381792,0.01230788,0.00005407
-5.87393697,1.28862137,1.00118313,0.25864559,0.00962040,0.79556645,0.01300153,0.00005451
-5.86793397,1.35360480,1.04959256,0.28144735,0.01020224,0.84766139,0.01366325,0.00005477
-5.86193097,1.41650020,1.09551949,0.30572316,0.01075277,0.89946649,0.01427939,0.00005482
-5.85592796,1.47651196,1.13824025,0.33132422,0.01126150,0.95035807,0.01483719,0.00005467
-5.84992496,1.53289704,1.17708485,0.35807931,0.01171851,0.99973296,0.01532508,0.00005434
-5.84392196,1.58497531,1.21145117,0.38579174,0.01211470,1.04701595,0.01573299,0.00005383
-5.83791896,1.63213857,1.24081792,0.41423708,0.01244215,1.09166668,0.01605262,0.00005314
-5.83191596,1.67385798,1.26475589,0.44316187,0.01269427,1.13318583,0.01627766,0.00005230
-5.82591296,1.70969005,1.28293713,0.47228379,0.01286612,1.17112064,0.01640398,0.00005132
-5.81990995,1.73928102,1.29514183,0.50129333,0.01295451,1.20506986,0.01642972,0.00005022
-5.81390695,1.76236987,1.30126262,0.52985716,0.01295818,1.23468815,0.01635536,0.00004901
-5.80790395,1.77879010,1.30130643,0.55762336,0.01287784,1.25969003,0.01618373,0.00004772
-5.80190095,1.78847062,1.29539367,0.58422838,0.01271619,1.27985369,0.01591993,0.00004636
-5.79589795,1.79143587,1.28375523,0.60930576,0.01247789,1.29502457,0.01557117,0.00004494
-5.78989495,1.78780553,1.26672728,0.63249632,0.01216943,1.30511901,0.01514668,0.00004349
-5.78389195,1.77779402,1.24474434,0.65345946,0.01179898,1.31012778,0.01465742,0.00004203
-5.77788894,1.76170978,1.21833083,0.67188526,0.01137618,1.31011964,0.01411588,0.00004057
-5.77188594,1.73995442,1.18809156,0.68750676,0.01091190,1.30524465,0.01353581,0.00003913
-5.76588294,1.71302168,1.15470138,0.70011191,0.01041796,1.29573705,0.01293195,0.00003773
-5.75987994,1.68149574,1.11889432,0.70955458,0.00990685,1.28191738,0.01231978,0.00003638
-5.75387694,1.64604887,1.08145232,0.71576394,0.00939143,1.26419344,0.01171521,0.00003509
-5.74787394,1.60743763,1.04319381,0.71875182,0.00888461,1.24305971,0.01113440,0.00003388
-5.74187094,1.56649756,1.00496206,0.71861734,0.00839908,1.21909480,0.01059346,0.00003277
-5.73586793,1.52413552,0.96761340,0.71554857,0.00794701,1.19295647,0.01010828,0.00003176
-5.72986493,1.48131963,0.93200516,0.70982086,0.00753984,1.16537399,0.00969432,0.00003088
-5.72386193,1.43906626,0.89898335,0.70179178,0.00718800,1.13713764,0.00936642,0.00003013
-5.71785893,1.39842407,0.86936993,0.69189269,0.00690076,1.10908519,0.00913863,0.00002953
-5.71185593,1.36045501,0.84394959,0.68061721,0.00668603,1.08208548,0.00902405,0.00002909
-5.70585293,1.32621265,0.82345619,0.66850687,0.00655022,1.05701950,0.00903460,0.00002883
-5.69984992,1.29671807,0.80855882,0.65613459,0.00649815,1.03475915,0.00918091,0.00002875
-5.69384692,1.27293415,0.79984766,0.64408642,0.00653295,1.01614455,0.00947207,0.00002886
-5.68784392,1.25573891,0.79782004,0.63294260,0.00665602,1.00196044,0.00991544,0.00002918
-5.68184092,1.24589905,0.80286694,0.62325834,0.00686697,0.99291269,0.01051645,0.00002970
-5.67583792,1.24404455,0.81526054,0.61554535,0.00716368,0.98960569,0.01127833,0.00003042
-5.66983492,1.25064575,0.83514332,0.61025485,0.00754228,0.99252181,0.01220194,0.00003135
-5.66383192,1.26599381,0.86251931,0.60776268,0.00799724,1.00200361,0.01328550,0.00003247
-5.65782891,1.29018579,0.89724820,0.60835724,0.00852146,1.01823991,0.01452443,0.00003379
-5.65182591,1.32311521,0.93904282,0.61223062,0.00910638,1.04125642,0.01591121,0.00003528
-5.64582291,1.36446898,0.98747056,0.61947337,0.00974216,1.07091146,0.01743524,0.00003692
-5.63981991,1.41373110,1.04195921,0.63007319,0.01041788,1.10689739,0.01908286,0.00003871
-5.63381691,1.47019352,1.10180746,0.64391727,0.01112174,1.14874775,0.02083736,0.00004060
-5.62781391,1.53297412,1.16620008,0.66079857,0.01184135,1.19585027,0.02267918,0.00004259
-5.62181091,1.60104133,1.23422774,0.68042545,0.01256399,1.24746526,0.02458614,0.00004464
-5.61580790,1.67324486,1.30491109,0.70243435,0.01327695,1.30274907,0.02653385,0.00004672
-5.60980490,1.74835147,1.37722838,0.72640499,0.01396782,1.36078162,0.02849612,0.00004880
-5.60380190,1.82508453,1.45014588,0.75187740,0.01462483,1.42059716,0.03044563,0.00005087
-5.59779890,1.90216579,1.52264994,0.77837010,0.01523714,1.48121696,0.03235452,0.00005290
-5.59179590,1.97835779,1.59377949,0.80539864,0.01579515,1.54168273,0.03419513,0.00005487
-5.58579290,2.05250504,1.66265761,0.83249367,0.01629075,1.60108927,0.03594079,0.00005676
-5.57978989,2.12357216,1.72852060,0.85921786,0.01671753,1.65861499,0.03756656,0.00005858
