energy_ev,total_up,Nb_p_up,Nb_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,2.23918519,1.33055534,0.72023121,0.01858833,0.48898605,0.92513891,0.00000000
-5.99399700,2.32595200,1.37762601,0.76153450,0.01932191,0.51910984,0.95270362,0.00000000
-5.98799400,2.40941652,1.42280724,0.80389876,0.01995719,0.55023288,0.97738307,0.00000000
-5.98199100,2.48867347,1.46585091,0.84707179,0.02048060,0.58229121,0.99870825,0.00000000
-5.97598799,2.56287840,1.50659980,0.89079258,0.02088054,0.61523468,1.01623892,0.00000000
-5.96998499,2.63127543,1.54499148,0.93479867,0.02114779,0.64902679,1.02957933,0.00000000
-5.96398199,2.69322403,1.58105910,0.97883414,0.02127581,0.68364428,1.03839333,0.00000000
-5.95797899,2.74822323,1.61492867,1.02265774,0.02126103,0.71907622,1.04241824,0.00000000
-5.95197599,2.79593238,1.64681291,1.06605079,0.02110295,0.75532279,1.04147672,0.00000000
-5.94597299,2.83618688,1.67700167,1.10882445,0.02080420,0.79239354,1.03548611,0.00000000
-5.93996998,2.86900841,1.70584923,1.15082587,0.02037043,0.83030531,1.02446469,0.00000000
-5.93396698,2.89460856,1.73375881,1.19194286,0.01981016,0.86907963,1.00853461,0.00000000
-5.92796398,2.91338563,1.76116494,1.23210687,0.01913452,0.90873970,0.98792119,0.00000000
-5.92196098,2.92591446,1.78851419,1.27129381,0.01835684,0.94930697,0.96294875,0.00000000
-5.91595798,2.93292941,1.81624512,1.30952283,0.01749224,0.99079725,0.93403287,0.00000000
-5.90995498,2.93530110,1.84476822,1.34685280,0.01655719,1.03321647,0.90166965,0.00000000
-5.90395198,2.93400752,1.87444649,1.38337665,0.01556897,1.07655614,0.86642220,0.00000000
-5.89794897,2.93010066,1.90557752,1.41921371,0.01454516,1.12078860,0.82890506,0.00000000
-5.89194597,2.92466987,1.93837776,1.45450033,0.01350318,1.16586212,0.78976703,0.00000000
-5.88594297,2.91880308,1.97296946,1.48937911,0.01245982,1.21169608,0.74967321,0.00000000
-5.87993997,2.91354757,2.00937076,1.52398718,0.01143085,1.25817630,0.70928685,0.00000000
-5.87393697,2.90987151,2.04748939,1.55844392,0.01043065,1.30515071,0.66925173,0.00000000
-5.86793397,2.90862767,2.08711994,1.59283881,0.00947199,1.35242562,0.63017555,0.00000000
-5.86193097,2.91052071,2.12794489,1.62721972,0.00856579,1.39976269,0.59261510,0.00000000
-5.85592796,2.91607904,2.16953934,1.66158227,0.00772105,1.44687689,0.55706338,0.00000000
-5.84992496,2.92563238,2.21137912,1.69586079,0.00694479,1.49343558,0.52393925,0.00000000
-5.84392196,2.93929576,2.25285215,1.72992117,0.00624207,1.53905896,0.49357974,0.00000000
-5.83791896,2.95696050,2.29327256,1.76355615,0.00561614,1.58332205,0.46623514,0.00000000
-5.83191596,2.97829273,2.33189725,1.79648333,0.00506850,1.62575829,0.44206690,0.00000000
-5.82591296,3.00273940,2.36794447,1.82834603,0.00459915,1.66586497,0.42114839,0.00000000
-5.81990995,3.02954186,2.40061386,1.85871736,0.00420680,1.70311041,0.40346816,0.00000000
-5.81390695,3.05775659,2.42910756,1.88710731,0.00388907,1.73694306,0.38893568,0.00000000
-5.80790395,3.08628277,2.45265197,1.91297298,0.00364276,1.76680218,0.37738912,0.00000000
-5.80190095,3.11389571,2.47051952,1.93573162,0.00346410,1.79213027,0.36860488,0.00000000
-5.79589795,3.13928541,2.48205015,1.95477634,0.00334897,1.81238669,0.36230864,0.00000000
-5.78989495,3.16109898,2.48667184,1.96949391,0.00329315,1.82706240,0.35818722,0.00000000
-5.78389195,3.17798575,2.48391993,1.97928421,0.00329248,1.83569520,0.35590117,0.00000000
-5.77788894,3.18864347,2.47345438,1.98358078,0.00334309,1.83788520,0.35509751,0.00000000
-5.77188594,3.19186426,2.45507485,1.98187151,0.00344151,1.83330972,0.35542213,0.00000000
-5.76588294,3.18657847,2.42873281,1.97371901,0.00358481,1.82173732,0.35653169,0.00000000
-5.75987994,3.17189507,2.39454040,1.95877965,0.00377065,1.80304017,0.35810444,0.00000000
-5.75387694,3.14713693,2.35277548,1.93682056,0.00399735,1.77720429,0.35984966,0.00000000
-5.74787394,3.11186957,2.30388269,1.90773382,0.00426389,1.74433704,0.36151556,0.00000000
-5.74187094,3.06592229,2.24847014,1.87154724,0.00456985,1.70467159,0.36289527,0.00000000
-5.73586793,3.00940071,2.18730172,1.82843099,0.00491534,1.65856786,0.36383080,0.00000000
-5.72986493,2.94269011,2.12128498,1.77870003,0.00530089,1.60650984,0.36421489,0.00000000
-5.72386193,2.86644939,2.05145491,1.72281177,0.00572729,1.54909921,0.36399076,0.00000000
-5.71785893,2.78159582,1.97895379,1.66135913,0.00619539,1.48704540,0.36314984,0.00000000
-5.71185593,2.68928117,1.90500795,1.59505926,0.00670591,1.42115233,0.36172754,0.00000000
-5.70585293,2.59086004,1.83090174,1.52473805,0.00725922,1.35230222,0.35979746,0.00000000
-5.69984992,2.48785180,1.75794992,1.45131126,0.00785509,1.28143716,0.35746427,0.00000000
-5.69384692,2.38189764,1.68746899,1.37576284,0.00849245,1.20953885,0.35485557,0.00000000
-5.68784392,2.27471438,1.62074859,1.29912123,0.00916922,1.13760735,0.35211328,0.00000000
-5.68184092,2.16804682,1.55902388,1.22243461,0.00988210,1.06663960,0.34938482,0.00000000
-5.67583792,2.06362062,1.50344955,1.14674600,0.01062646,0.99760819,0.34681463,0.00000000
-5.66983492,1.96309717,1.45507642,1.07306893,0.01139624,0.93144129,0.34453637,0.00000000
-5.66383192,1.86803206,1.41483101,1.00236470,0.01218395,0.86900407,0.34266617,0.00000000
-5.65782891,1.77983850,1.38349864,0.93552168,0.01298070,0.81108221,0.34129721,0.00000000
