energy_ev,total_up,Pd_p_up,Pd_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,2.22703757,0.71339955,2.00129547,0.16933622,0.03207273,0.16216880,0.00000000
-5.99399700,2.30906713,0.77522607,2.06890106,0.17502488,0.03318540,0.17044653,0.00000000
-5.98799400,2.39748399,0.84443199,2.14117639,0.18156088,0.03433506,0.17965093,0.00000000
-5.98199100,2.49195471,0.92092190,2.21783143,0.18893846,0.03551437,0.18976355,0.00000000
-5.97598799,2.59196503,1.00446930,2.29842584,0.19712620,0.03671472,0.20074537,0.00000000
-5.96998499,2.69680851,1.09469982,2.38236112,0.20606542,0.03792616,0.21253481,0.00000000
-5.96398199,2.80558311,1.19107741,2.46887997,0.21566964,0.03913745,0.22504632,0.00000000
-5.95797899,2.91719694,1.29289496,2.55707361,0.22582520,0.04033609,0.23816988,0.00000000
-5.95197599,3.03038347,1.39927029,2.64589732,0.23639305,0.04150852,0.25177134,0.00000000
-5.94597299,3.14372661,1.50914832,2.73419422,0.24721177,0.04264038,0.26569391,0.00000000
-5.93996998,3.25569497,1.62131033,2.82072663,0.25810162,0.04371684,0.27976058,0.00000000
-5.93396698,3.36468456,1.73439046,2.90421421,0.26886963,0.04472299,0.29377764,0.00000000
-5.92796398,3.46906844,1.84689963,2.98337734,0.27931537,0.04564435,0.30753919,0.00000000
-5.92196098,3.56725139,1.95725648,3.05698401,0.28923738,0.04646737,0.32083238,0.00000000
-5.91595798,3.65772728,2.06382462,3.12389809,0.29843973,0.04717994,0.33344347,0.00000000
-5.90995498,3.73913652,2.16495504,3.18312676,0.30673870,0.04777198,0.34516422,0.00000000
-5.90395198,3.81032084,2.25903214,3.23386450,0.31396910,0.04823587,0.35579846,0.00000000
-5.89794897,3.87037245,2.34452172,3.27553147,0.31998992,0.04856695,0.36516867,0.00000000
-5.89194597,3.91867502,2.42001876,3.30780389,0.32468928,0.04876380,0.37312201,0.00000000
-5.88594297,3.95493402,2.48429288,3.33063465,0.32798809,0.04882852,0.37953574,0.00000000
-5.87993997,3.97919446,2.53632941,3.34426259,0.32984260,0.04876680,0.38432166,0.00000000
-5.87393697,3.99184471,2.57536399,3.34920958,0.33024548,0.04858787,0.38742927,0.00000000
-5.86793397,3.99360564,2.60090878,3.34626509,0.32922543,0.04830432,0.38884762,0.00000000
-5.86193097,3.98550526,2.61276910,3.33645860,0.32684544,0.04793169,0.38860559,0.00000000
-5.85592796,3.96883965,2.61104925,3.32102084,0.32319965,0.04748804,0.38677055,0.00000000
-5.84992496,3.94512180,2.59614718,3.30133551,0.31840907,0.04699330,0.38344562,0.00000000
-5.84392196,3.91602053,2.56873810,3.27888362,0.31261623,0.04646857,0.37876535,0.00000000
-5.83791896,3.88329247,2.52974760,3.25518312,0.30597929,0.04593534,0.37289025,0.00000000
-5.83191596,3.84871016,2.48031562,3.23172654,0.29866553,0.04541471,0.36600030,0.00000000
-5.82591296,3.81398980,2.42175281,3.20991977,0.29084482,0.04492660,0.35828775,0.00000000
-5.81990995,3.78072208,2.35549144,3.19102482,0.28268333,0.04448900,0.34994964,0.00000000
-5.81390695,3.75030932,2.28303321,3.17610929,0.27433755,0.04411735,0.34118027,0.00000000
-5.80790395,3.72391200,2.20589628,3.16600499,0.26594921,0.04382397,0.33216400,0.00000000
-5.80190095,3.70240700,2.12556423,3.16127749,0.25764101,0.04361770,0.32306890,0.00000000
-5.79589795,3.68635936,2.04343895,3.16220787,0.24951355,0.04350361,0.31404118,0.00000000
-5.78989495,3.67600880,1.96079981,3.16878748,0.24164341,0.04348296,0.30520104,0.00000000
-5.78389195,3.67127105,1.87877054,3.18072549,0.23408245,0.04355327,0.29663974,0.00000000
-5.77788894,3.67175386,1.79829513,3.19746879,0.22685831,0.04370852,0.28841830,0.00000000
-5.77188594,3.67678639,1.72012340,3.21823292,0.21997607,0.04393958,0.28056759,0.00000000
-5.76588294,3.68546025,1.64480637,3.24204225,0.21342079,0.04423467,0.27308988,0.00000000
-5.75987994,3.69667996,1.57270110,3.26777756,0.20716091,0.04457992,0.26596172,0.00000000
-5.75387694,3.70922027,1.50398412,3.29422837,0.20115212,0.04496005,0.25913781,0.00000000
-5.74787394,3.72178736,1.43867222,3.32014780,0.19534169,0.04535897,0.25255584,0.00000000
-5.74187094,3.73308117,1.37664911,3.34430731,0.18967275,0.04576052,0.24614178,0.00000000
-5.73586793,3.74185605,1.31769600,3.36554907,0.18408860,0.04614903,0.23981551,0.00000000
-5.72986493,3.74697709,1.26152449,3.38283391,0.17853657,0.04650995,0.23349642,0.00000000
-5.72386193,3.74746995,1.20780972,3.39528291,0.17297148,0.04683032,0.22710861,0.00000000
-5.71785893,3.74256237,1.15622215,3.40221136,0.16735835,0.04709917,0.22058569,0.00000000
-5.71185593,3.73171603,1.10645635,3.40315407,0.16167452,0.04730786,0.21387468,0.00000000
-5.70585293,3.71464798,1.05825560,3.39788151,0.15591088,0.04745029,0.20693904,0.00000000
-5.69984992,3.69134119,1.01143130,3.38640656,0.15007237,0.04752295,0.19976074,0.00000000
-5.69384692,3.66204450,0.96587647,3.36898221,0.14417772,0.04752499,0.19234117,0.00000000
-5.68784392,3.62726242,0.92157325,3.34609075,0.13825852,0.04745809,0.18470112,0.00000000
-5.68184092,3.58773577,0.87859426,3.31842525,0.13235762,0.04732628,0.17687965,0.00000000
-5.67583792,3.54441419,0.83709824,3.28686442,0.12652718,0.04713578,0.16893225,0.00000000
-5.66983492,3.49842206,0.79732054,3.25244199,0.12082622,0.04689464,0.16092812,0.00000000
-5.66383192,3.45101912,0.75955932,3.21631177,0.11531804,0.04661247,0.15294701,0.00000000
-5.65782891,3.40355737,0.72415828,3.17970978,0.11006748,0.04630005,0.14507561,0.00000000
-5.65182591,3.35743570,0.69148704,3.14391444,0.10513822,0.04596902,0.13740379,0.00000000
-5.64582291,3.31405368,0.66192017,3.11020609,0.10059020,0.04563147,0.13002084,0.00000000
-5.63981991,3.27476577,0.63581598,3.07982690,0.09647719,0.04529954,0.12301178,0.00000000
-5.63381691,3.24083723,0.61349602,3.05394200,0.09284471,0.04498516,0.11645413,0.00000000
-5.62781391,3.21340282,0.59522606,3.03360292,0.08972824,0.04469957,0.11041493,0.00000000
-5.62181091,3.19342922,0.58119960,3.01971403,0.08715185,0.04445308,0.10494839,0.00000000
-5.61580790,3.18168227,0.57152427,3.01300280,0.08512719,0.04425472,0.10009409,0.00000000
-5.60980490,3.17869966,0.56621180,3.01399470,0.08365293,0.04411195,0.09587583,0.00000000
-5.60380190,3.18476998,0.56517181,3.02299337,0.08271462,0.04403039,0.09230102,0.00000000
-5.59779890,3.19991883,0.56820965,3.04006674,0.08228497,0.04401362,0.08936083,0.00000000
-5.59179590,3.22390248,0.57502836,3.06503975,0.08232453,0.04406301,0.08703079,0.00000000
-5.58579290,3.25620958,0.58523464,3.09749419,0.08278279,0.04417757,0.08527207,0.00000000
-5.57978989,3.29607119,0.59834852,3.13677588,0.08359960,0.04435390,0.08403309,0.00000000
-5.57378689,3.34247931,0.61381653,3.18200954,0.08470694,0.04458620,0.08325165,0.00000000
-5.56778389,3.39421349,0.63102775,3.23212127,0.08603093,0.04486636,0.08285730,0.00000000
