energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up
-6.00000000,13.82614292,0.03025454,1.91812373,3.35757294,6.06190617,1.51424172,0.66562265,0.05298357,4.97114672
-5.99399700,14.12060706,0.03070694,1.98632035,3.43234111,6.20769076,1.51614652,0.67406614,0.05217710,5.03280689
-5.98799400,14.38007134,0.03121984,2.04966721,3.49902456,6.33836470,1.51579949,0.67986922,0.05134106,5.08152882
-5.98199100,14.59697942,0.03178368,2.10673217,3.55569883,6.45026756,1.51273811,0.68283661,0.05048053,5.11528055
-5.97598799,14.76437021,0.03238651,2.15616742,3.60059477,6.53997954,1.50652296,0.68282467,0.04960209,5.13224870
-5.96998499,14.87615361,0.03301456,2.19675746,3.63216856,6.60445226,1.49676126,0.67974846,0.04871407,5.13091918
-5.96398199,14.92736321,0.03365291,2.22746349,3.64916553,6.64112986,1.48312932,0.67358717,0.04782676,5.11014997
-5.95797899,14.91437397,0.03428618,2.24746208,3.65067498,6.64805459,1.46539256,0.66438762,0.04695253,5.06923218
-5.95197599,14.83507423,0.03489935,2.25617648,3.63617325,6.62395207,1.44342200,0.65226565,0.04610589,5.00793629
-5.94597299,14.68898416,0.03547852,2.25329927,3.60555302,6.56829233,1.41720641,0.63740526,0.04530343,4.92654110
-5.93996998,14.47731466,0.03601165,2.23880530,3.55913762,6.48132383,1.38685934,0.62005556,0.04456363,4.82584365
-5.93396698,14.20296444,0.03648920,2.21295456,3.49767956,6.36407916,1.35262077,0.60052559,0.04390666,4.70714970
-5.92796398,13.87045542,0.03690470,2.17628496,3.42234363,6.21835234,1.31485321,0.57917718,0.04335396,4.57224485
-5.92196098,13.48581006,0.03725515,2.12959555,3.33467547,6.04664923,1.27403254,0.55641618,0.04292782,4.42334776
-5.91595798,13.05637667,0.03754124,2.07392123,3.23655728,5.85211353,1.23073404,0.53268243,0.04265083,4.26304752
-5.90995498,12.59061123,0.03776743,2.01050016,3.13015296,5.63843233,1.18561435,0.50843874,0.04254528,4.09422808
-5.90395198,12.09782605,0.03794184,1.94073558,3.01784529,5.40972551,1.13939028,0.48415943,0.04263256,3.91998318
-5.89794897,11.58791664,0.03807590,1.86615391,2.90216804,5.17042439,1.09281553,0.46031878,0.04293252,3.74352545
-5.89194597,11.07107873,0.03818390,1.78836091,2.78573617,4.92514479,1.04665641,0.43737977,0.04346279,3.56809367
-5.88594297,10.55752731,0.03828239,1.70899786,2.67117689,4.67855996,1.00166764,0.41578363,0.04423827,3.39686205
-5.87993997,10.05722847,0.03838943,1.62969944,2.56106420,4.43527834,0.95856941,0.39594028,0.04527054,3.23285494
-5.87393697,9.57965374,0.03852378,1.55205479,2.45785935,4.19973051,0.91802643,0.37822018,0.04656746,3.07887023
-5.86793397,9.13356484,0.03870407,1.47757300,2.36385875,3.97606898,0.88062999,0.36294755,0.04813281,2.93741381
-5.86193097,8.72683429,0.03894792,1.40765386,2.28115070,3.76808351,0.84688348,0.35039523,0.04996611,2.81064710
-5.85592796,8.36630580,0.03927119,1.34356439,2.21158150,3.57913359,0.81719173,0.34078116,0.05206251,2.70034862
-5.84992496,8.05769538,0.03968721,1.28642124,2.15673103,3.41209881,0.79185453,0.33426636,0.05441283,2.60789006
-5.84392196,7.80553259,0.04020619,1.23717890,2.11789727,3.26934690,0.77106412,0.33095456,0.05700372,2.53422654
-5.83791896,7.61313922,0.04083476,1.19662305,2.09608910,3.15271819,0.75490660,0.33089297,0.05981797,2.47990004
-5.83191596,7.48264108,0.04157569,1.16536863,2.09202592,3.06352492,0.74336672,0.33407439,0.06283480,2.44505462
-5.82591296,7.41500783,0.04242771,1.14386150,2.10614295,3.00256289,0.73633568,0.34044010,0.06603037,2.42946148
-5.81990995,7.41011475,0.04338557,1.13238297,2.13860055,2.97013311,0.73362131,0.34988359,0.06937819,2.43255170
-5.81390695,7.46682020,0.04444023,1.13105629,2.18929616,2.96607055,0.73495992,0.36225463,0.07284963,2.45345448
-5.80790395,7.58305285,0.04557921,1.13985412,2.25787751,2.98977761,0.74002919,0.37736369,0.07641442,2.49103850
-5.80190095,7.75590319,0.04678703,1.15860634,2.34375602,3.04025977,0.74846141,0.39498645,0.08004102,2.54395431
-5.79589795,7.98171470,0.04804578,1.18700766,2.44611954,3.11616161,0.75985652,0.41486811,0.08369707,2.61067585
