energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.72372159,0.00247963,0.37391967,0.01408466,0.77295150,0.33526103,0.14867827,0.19290677,0.43615848
-5.99399700,1.75566877,0.00265602,0.38513648,0.01342078,0.78359703,0.34391429,0.14858356,0.20620330,0.44993335
-5.98799400,1.78928649,0.00285444,0.39663403,0.01270772,0.79517440,0.35349494,0.14851204,0.22088699,0.46392571
-5.98199100,1.82438200,0.00307213,0.40819283,0.01195888,0.80779901,0.36403276,0.14850567,0.23684366,0.47790414
-5.97598799,1.86072781,0.00330605,0.41958566,0.01118774,0.82156867,0.37553978,0.14860581,0.25394547,0.49163043
-5.96998499,1.89805644,0.00355288,0.43058161,0.01040748,0.83655532,0.38800681,0.14885129,0.27205100,0.50486352
-5.96398199,1.93605709,0.00380910,0.44095064,0.00963060,0.85279763,0.40140053,0.14927657,0.29100558,0.51736374
-5.95797899,1.97437434,0.00407104,0.45046817,0.00886862,0.87029490,0.41566143,0.14991021,0.31064166,0.52889737
-5.95197599,2.01260890,0.00433495,0.45891994,0.00813182,0.88900232,0.43070254,0.15077343,0.33077954,0.53924128
-5.94597299,2.05032053,0.00459708,0.46610673,0.00742905,0.90882771,0.44640900,0.15187908,0.35122818,0.54818753
-5.93996998,2.08703275,0.00485376,0.47184891,0.00676762,0.92962985,0.46263846,0.15323087,0.37178641,0.55554789
-5.93396698,2.12223925,0.00510145,0.47599066,0.00615321,0.95121833,0.47922232,0.15482290,0.39224439,0.56115788
-5.92796398,2.15541164,0.00533692,0.47840362,0.00558987,0.97335505,0.49596775,0.15663957,0.41238533,0.56488042
-5.92196098,2.18600844,0.00555722,0.47898990,0.00508009,0.99575720,0.51266049,0.15865575,0.43198772,0.56660882
-5.91595798,2.21348476,0.00575984,0.47768433,0.00462489,1.01810182,0.52906834,0.16083739,0.45082774,0.56626891
-5.90995498,2.23730274,0.00594278,0.47445579,0.00422394,1.04003172,0.54494533,0.16314231,0.46868223,0.56382050
