energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,3.16208427,0.00985135,0.85484652,1.10673738,1.46081722,0.27160517,0.12872731,0.95952861,0.00000000
-5.99399700,3.03020871,0.00928709,0.81619212,1.06167467,1.39809330,0.26505609,0.12391702,0.92660656,0.00000000
-5.98799400,2.90061356,0.00875436,0.77621914,1.01641063,1.33335041,0.25987980,0.11946368,0.89664000,0.00000000
-5.98199100,2.77485088,0.00826011,0.73541835,0.97147382,1.26742982,0.25621773,0.11541816,0.86998442,0.00000000
-5.97598799,2.65438744,0.00781027,0.69428589,0.92737035,1.20118350,0.25420359,0.11182818,0.84694236,0.00000000
-5.96998499,2.54057262,0.00740968,0.65331309,0.88457346,1.13545601,0.25396069,0.10873711,0.82775521,0.00000000
-5.96398199,2.43461043,0.00706204,0.61297656,0.84351452,1.07106681,0.25559912,0.10618292,0.81259699,0.00000000
-5.95797899,2.33753615,0.00676987,0.57372897,0.80457532,1.00879343,0.25921277,0.10419727,0.80157005,0.00000000
-5.95197599,2.25019769,0.00653456,0.53599043,0.76808198,0.94935573,0.26487621,0.10280486,0.79470273,0.00000000
-5.94597299,2.17324190,0.00635639,0.50014096,0.73430039,0.89340179,0.27264141,0.10202282,0.79194888,0.00000000
-5.93996998,2.10710588,0.00623458,0.46651400,0.70343333,0.84149567,0.28253437,0.10186041,0.79318909,0.00000000
-5.93396698,2.05201316,0.00616738,0.43539113,0.67561917,0.79410727,0.29455176,0.10231870,0.79823361,0.00000000
-5.92796398,2.00797465,0.00615216,0.40699820,0.65093224,0.75160458,0.30865779,0.10339046,0.80682670,0.00000000
-5.92196098,1.97479420,0.00618549,0.38150270,0.62938457,0.71424844,0.32478142,0.10506017,0.81865238,0.00000000
-5.91595798,1.95207857,0.00626326,0.35901269,0.61092923,0.68218991,0.34281426,0.10730412,0.83334136,0.00000000
-5.90995498,1.93925153,0.00638078,0.33957704,0.59546482,0.65547042,0.36260927,0.11009063,0.85047908,0.00000000
-5.90395198,1.93557186,0.00653293,0.32318705,0.58284132,0.63402445,0.38398070,0.11338042,0.86961480,0.00000000
-5.89794897,1.94015493,0.00671422,0.30977945,0.57286679,0.61768499,0.40670530,0.11712709,0.89027141,0.00000000
-5.89194597,1.95199740,0.00691903,0.29924053,0.56531503,0.60619142,0.43052516,0.12127775,0.91195608,0.00000000
-5.88594297,1.97000477,0.00714163,0.29141147,0.55993393,0.59919964,0.45515220,0.12577384,0.93417144,0.00000000
-5.87993997,1.99302103,0.00737644,0.28609455,0.55645424,0.59629434,0.48027443,0.13055204,0.95642708,0.00000000
-5.87393697,2.01986005,0.00761810,0.28306026,0.55459861,0.59700299,0.50556386,0.13554538,0.97825130,0.00000000
-5.86793397,2.04933788,0.00786167,0.28205498,0.55409079,0.60081113,0.53068598,0.14068453,0.99920276,0.00000000
-5.86193097,2.08030529,0.00810281,0.28280909,0.55466455,0.60717873,0.55531044,0.14589914,1.01888181,0.00000000
-5.85592796,2.11167975,0.00833787,0.28504537,0.55607239,0.61555698,0.57912269,0.15111938,1.03694119,0.00000000
-5.84992496,2.14247595,0.00856410,0.28848734,0.55809358,0.62540522,0.60183602,0.15627750,1.05309579,0.00000000
-5.84392196,2.17183412,0.00877973,0.29286751,0.56054156,0.63620733,0.62320354,0.16130945,1.06713118,0.00000000
-5.83791896,2.19904519,0.00898413,0.29793512,0.56327042,0.64748735,0.64302945,0.16615648,1.07891059,0.00000000
-5.83191596,2.22357208,0.00917784,0.30346344,0.56618026,0.65882364,0.66117909,0.17076673,1.08838001,0.00000000
-5.82591296,2.24506646,0.00936264,0.30925615,0.56922148,0.66986140,0.67758717,0.17509660,1.09557123,0.00000000
-5.81990995,2.26338018,0.00954154,0.31515296,0.57239769,0.68032300,0.69226367,0.17911206,1.10060257,0.00000000
-5.81390695,2.27857121,0.00971875,0.32103404,0.57576725,0.69001603,0.70529689,0.18278968,1.10367715,0.00000000
-5.80790395,2.29090352,0.00989957,0.32682350,0.57944345,0.69883864,0.71685349,0.18611739,1.10507860,0.00000000
-5.80190095,2.30084095,0.01009025,0.33249145,0.58359314,0.70678236,0.72717524,0.18909493,1.10516429,0.00000000
-5.79589795,2.30903506,0.01029783,0.33805502,0.58843388,0.71393199,0.73657238,0.19173396,1.10435611,0.00000000
-5.78989495,2.31630727,0.01052985,0.34357794,0.59422972,0.72046302,0.74541387,0.19405783,1.10312896,0.00000000
-5.78389195,2.32362562,0.01079413,0.34916910,0.60128540,0.72663626,0.75411473,0.19610088,1.10199724,0.00000000
-5.77788894,2.33207684,0.01109846,0.35497970,0.60993938,0.73279031,0.76312089,0.19790749,1.10149970,0.00000000
-5.77188594,2.34283442,0.01145024,0.36119942,0.62055546,0.73933167,0.77289212,0.19953066,1.10218296,0.00000000
-5.76588294,2.35712345,0.01185621,0.36805143,0.63351335,0.74672315,0.78388375,0.20103036,1.10458431,0.00000000
-5.75987994,2.37618331,0.01232210,0.37578649,0.64919820,0.75547051,0.79652786,0.20247150,1.10921423,0.00000000
-5.75387694,2.40122907,0.01285231,0.38467609,0.66798941,0.76610797,0.81121480,0.20392178,1.11653908,0.00000000
-5.74787394,2.43341264,0.01344971,0.39500481,0.69024872,0.77918254,0.82827560,0.20544931,1.12696479,0.00000000
-5.74187094,2.47378470,0.01411534,0.40706201,0.71630802,0.79523778,0.84796635,0.20712017,1.14082172,0.00000000
-5.73586793,2.52325839,0.01484830,0.42113292,0.74645704,0.81479705,0.87045481,0.20899595,1.15835159,0.00000000
-5.72986493,2.58257570,0.01564563,0.43748930,0.78093115,0.83834672,0.89581023,0.21113143,1.17969667,0.00000000
-5.72386193,2.65227739,0.01650229,0.45637978,0.81989972,0.86631944,0.92399640,0.21357236,1.20489175,0.00000000
-5.71785893,2.73267734,0.01741121,0.47802012,0.86345525,0.89907799,0.95486858,0.21635352,1.23385925,0.00000000
-5.71185593,2.82384196,0.01836342,0.50258351,0.91160362,0.93689987,0.98817418,0.21949714,1.26640758,0.00000000
-5.70585293,2.92557529,0.01934826,0.53019130,0.96425580,0.97996305,1.02355740,0.22301161,1.30223306,0.00000000
-5.69984992,3.03741041,0.02035361,0.56090416,1.02122145,1.02833333,1.06056743,0.22689078,1.34092523,0.00000000
-5.69384692,3.15860743,0.02136629,0.59471432,1.08220454,1.08195361,1.09867009,0.23111361,1.38197555,0.00000000
